Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,The four of us cousins were shooting the breeze over all kinds of topics.,"The four of us cousins were enjoying our stories, just shooting the breeze. ","The four of us cousins were enjoying our stories, just shooting the breeze.",俺たちはいとこ同士４人で、色々な話に花を咲かせていた。,[=JP],Наша четверка из двух кузенов и кузин с удовольствием рассказывала друг другу разные истории и просто трепалась.,Os quatro primos estavam conversando sobre os mais variados assuntos.,+Bốn đứa tụi tôi đang tán gẫu đủ chuyện trên trời dưới đất.,我們堂兄妹四個很是開心地談著各種話題。,我们堂兄妹四个很是开心地谈着各种话题。,Kami berempat sesama sepupu sedang mengobrol tentang berbagai topik.,Noi quattro cugini eravamo presi nel raccontarci vari aneddoti.,Biz dört kuzen her türlü konuda sohbet ediyorduk.
,"After all, there are both girls and guys here, plus, we've got people over a wide spread of ages: adult, high school, and elementary school.","Anyway, there were both girls and guys here. Plus, we had people over a wide spread of ages: adult, high school, and elementary school. "," Anyway, there are both girls and guys here. Plus, we've got people over a wide spread of ages: adult, high school, and elementary school.",何しろ、男女の両方が揃い、その上、成人、高校生、小学生と世代も揃ってる。,[=JP],"Это была компания из мальчиков и девочек с ощутимой разницей в возрасте: кто‐то уже достиг совершеннолетия, кто‐то учился в старшей школе, а кто‐то ещё даже младшую не закончил.","Afinal, eram tanto garotos como garotas, com diferentes idades; adulto, ensino médio e ensino fundamental.","Dù sao thì, anh em nhà tôi có đủ cả trai lẫn gái, và còn ở đủ loại độ tuổi khác nhau nữa: người lớn cũng có, học sinh cấp ba cũng có, cả học sinh tiểu học cũng có luôn.",畢竟我們有男有女，而且還是成年人、高中生、小學生，幾代相聚在此。,毕竟我们有男有女，而且还是成年人、高中生、小学生，几代相聚在此。,"Soalnya di sini ada cewek dan cowok, plus usia kami juga beragam: dewasa, SMA, dan SD.","Ad ogni modo, eravamo sia ragazze che ragazzi, e per giunta di ogni fascia d'età: adulti, liceali e studenti delle elementari.","Ne de olsa burada hem kızlar hem de erkekler var, ayrıca yetişkin, liseli ve ilkokullu olmak üzere geniş bir yaş aralığına sahibiz."
,"All each of us had to do was talk about ourselves, and it would be of great interest to the other three.","Even if we just talked about our own lives, the other three kept listening attentively. "," Even though everyone was only telling his or her personal story, the other three were listening attentively.",それぞれが身の上話をするだけで、他の３人にとっては大いに興味深いことだった。,[=JP],"Когда каждый из нас что‐нибудь рассказывал, остальные внимательно слушали рассказчика.","Cada um estava contando sobre si mesmo, e ainda assim, era sempre algo interessante para os outros três.",Chỉ cần mỗi đứa kể chuyện về bản thân mình là đã đủ làm mấy đứa còn lại thấy thú vị rồi.,僅僅是每個人都說一說自己經歷過的事情，就會引起另外三人的強烈興趣。,仅仅是每个人都说一说自己经历过的事情，就会引起另外三人的强烈兴趣。,"Cukup dengan masing-masing bercerita tentang diri sendiri, itu sudah sangat menarik bagi tiga orang lainnya.","Ognuno di noi parlava solamente delle proprie esperienze personali, ma i tre restanti ascoltavano con grande interesse.",Her birimizin tek yapması gereken kendimizden bahsetmekti ve bu diğer üçünün de büyük ilgisini çekecekti.
Ushiromiya Battler,"""I think I'm finally getting used to all this. I mean, Jessica and Maria, you've both grown more than I could've imagined over the past six years. So, to be honest, I was feeling a bit uncomfortable, but talking like this, I guess that on the inside, nothing's really changed since back then.""","""I think I'm finally getting used to all this. Jessica and Maria have grown more than I could've imagined in the past six years. To be honest, I was feeling a bit uncomfortable, but talking like this, I guess that on the inside, nothing's really changed since back then."" ","""I think I'm finally getting used to all this. Jessica and Maria have grown more than I could've imagined in the past six years. To be honest, I was feeling a bit uncomfortable, but talking like this, I guess that on the inside, nothing's really changed since back then.""",「なんかやっと馴染んできたぜ。朱志香も真里亞も６年前からは想像もつかないくらい成長しちまったからよ。正直なところ、少しだけ違和感を持ってたんだが、こうして話をしている内に、中身はあの頃から何も変わってないことがわかったぜ。」,「なんかやっと馴染んできたぜ。朱志香も真里亞も６年前からは想像もつかないくらい成長しちまったからよ。正直なところ、少しだけ違和感を持ってたんだが、こうして話をしている内に、中身はあの頃から何も変わってないことがわかったぜ」,"""Похоже, я начинаю к этому привыкать. Сложно поверить, что Джессика и Мария так выросли за каких‐то шесть лет. Если честно, мне было как‐то не по себе, но после наших рассказов, думаю, можно смело сказать, что внутри мы ни капельки не изменились.""","""Acho que finalmente estou me acostumando a isso. Quero dizer, Jessica, Maria, vocês duas cresceram muito mais do que eu poderia imaginar nesses últimos seis anos. Honestamente, eu me sinto um pouco desconfortável, mas, conversando assim, é como se nada tivesse mudado desde aquela época.""","""Em nghĩ là giờ em đã quen được với mọi thứ rồi. Ý em là, sáu năm đã trôi qua, và em thấy chị Jessica và bé Maria lớn nhanh hơn em nghĩ nhiều đó. Thành thật mà nói thì lúc đầu em còn hơi ngại một chút, nhưng khi trò chuyện bên nhau thế này, em cảm thấy bên trong mọi người chẳng thay đổi gì so với ngày xưa cả.""",「感覺總算是和大家又混熟了。這六年間，朱志香和真里亞可都成長得遠遠超出我想像了。老實說一開始我還有點不適應，不過像這麼聊著聊著，總算是明白了你們的內在還是一點都沒變嘛。」,「感觉总算是和大家又混熟了。这六年间，朱志香和真里亚可都成长得远远超出我想象了。老实说一开始我还有点不适应，不过像这么聊着聊着，总算是明白了你们的内在还是一点都没变嘛。」,"""Kayaknya aku mulai terbiasa dengan semua ini. Maksudku, Jessica dan Maria, kalian berdua tumbuh lebih dari yang kubayangkan selama enam tahun terakhir. Jadi jujur saja, tadinya aku agak tidak nyaman, tapi dengan ngobrol seperti ini, sepertinya di dalam hati tidak ada yang benar-benar berubah sejak dulu.""","""Finalmente mi sento a mio agio. In questi sei anni Jessica e Maria sono cresciute più di quanto pensassi. Se devo essere sincero mi sentivo un po' a disagio, ma parlando tra di noi in questo modo, mi rendo conto di come niente sia cambiato da allora.""","""Sanırım sonunda tüm bunlara alışmaya başladım. Yani, Jessica ve Maria, ikiniz de son altı yılda hayal edebileceğimden çok daha fazla büyümüşsünüz. Dürüst olmak gerekirse kendimi biraz rahatsız hissediyordum ama böyle sohbet edince sanırım içten içe o zamandan bu yana hiçbir şey değişmemiş."""
Ushiromiya Jessica,"""Right back at you. Even after six years, you haven't changed a bit. Although your body's gotten gigantic, you're still a kid inside.""","""I agree. You haven't changed a bit, even after six years. Even though your body's gotten gigantic, you're still a kid inside."" ","""I agree. Battler, even after six years you haven't changed a bit. Even though your body's gotten gigantic, you're still a kid inside.""",「同じ言葉を返してやるよ。戦人だって、６年ぶりだってのに全然変わってねぇぜ。図体がいくらでかくなっても、中身は相変わらずお子様だってことだな。」,「同じ言葉を返してやるよ。戦人だって、６年ぶりだってのに全然変わってねぇぜ。図体がいくらでかくなっても、中身は相変わらずお子様だってことだな」,"""И правда. Ты совсем не изменился, Баттлер. Хоть ты и стал каланчой, зато в душе всё ещё ребёнок.""","""Digo o mesmo de você. Mesmo depois de seis anos, você não mudou nem um pouco. Apesar do seu corpo ter ficado grande, você continua uma criança por dentro.""","""Chị cũng thấy vậy với em luôn. Dù đã sáu năm trôi qua, em vẫn chẳng thay đổi gì cả. Dù to xác hơn xưa thì bên trong vẫn chỉ là một đứa trẻ con thôi.""",「原話奉還。戰人也是，六年了一點都沒變嘞。不管身體變大了多少，內在和以前一樣還是個小孩子嘛。」,「原话奉还。战人也是，六年了一点都没变嘞。不管身体变大了多少，内在和以前一样还是个小孩子嘛。」,"""Sama juga. Meski sudah enam tahun, kamu tidak berubah sama sekali. Meski tubuhmu jadi raksasa, dalam hati masih anak kecil.""","""Puoi dirlo forte. Anche tu in questi sei anni non sei cambiato affatto, Battler. Anche se sei diventato un colosso, dentro di te rimani sempre un bambino.""","""Sen de aynı şekilde. Altı yıl sonra bile hiç değişmemişsin. Vücudun devasa bir hal almış olsa da, içinde hala bir çocuksun."""
Ushiromiya Maria,"""Uu! I'm a kid too! I'm a kid too!""","""Uu-! I'm a kid too! I'm a kid too!"" ","""Uu-! Maria's a kid too! Maria's a kid too!""",「うー！　真里亞もお子様！　真里亞もお子様ー！」,[=JP],"""У‐у! Я тоже ребёнок! Я тоже ребёнок!""","""Uu! A Maria também é uma criança! A Maria também é uma criança!""","""Uu! Em cũng là trẻ con nè! Em cũng là trẻ con nè!""",「嗚——！真里亞也是小孩子！真里亞也是小孩子！」,「呜——！真里亚也是小孩子！真里亚也是小孩子！」,"""Uu! Aku juga anak kecil! Aku juga anak kecil!""","""Uuh! Anche Maria è una bambina! Anche Maria è una bambina!""","""Uu! Ben de bir çocuğum! Ben de bir çocuğum!"""
Ushiromiya Battler,"""Well, you aren't gonna be a kid forever, are you, Maria? I mean, you're gonna grow from being a kid to a cute young lady, aren'tcha? And when that happens, that flat‐as‐a‐board chest'll be on Jessica's level, you kno~w?""","""Well, even you aren't gonna be a kid forever, are you, Maria? I mean, you're gonna transform from a kid into a cute young lady, aren'tcha? And when that happens, that flat-as-a-board chest'll reach Jessica's level, huh? ","""Well, even you aren't gonna be a kid forever, are you Maria? I mean, you're growing from being a kid to a cute young lady, aren'tcha? And when that happens, that flat-as-a-board chest'll be on Jessica's level, huh~?",「真里亞だっていつまでもお子様じゃねぇぞぅ？　お子様から可愛いお姫様に成長してくんだからなぁ〜？　そうしたらまな板みてぇな胸も、すぅぐ朱志香並みになるぞ〜？,「真里亞だっていつまでもお子様じゃねぇぞぅ？　お子様から可愛いお姫様に成長してくんだからなぁ〜？　そうしたらまな板みてぇな胸も、すぅぐ朱志香並みになるぞ〜？」,"""Мария, ты ведь не собираешься всё время быть ребёнком? Довольно скоро ты вырастешь и станешь прекрасной юной леди. Когда это случится, грудь у тебя будет не хуже, чем у Джессики. И вот, когда настанет этот долгожданный момент...""","""Bem, você não vai ser uma criança para sempre, vai, Maria? Quero dizer, você vai crescer e deixar de ser uma garotinha meiga para ser uma jovem senhorita, não vai? E quando isso acontecer, seus peitos de tábua vão estar no mesmo nível dos da Jessica, sabi~a?""","""Nhưng mà, Maria à, em đâu thể mãi là trẻ con được, đúng không? Em sẽ phải lớn lên và trở thành một cô bé đáng yêu chứ? Và đến lúc đó thì, cái ngực phẳng lì của em sẽ ngang tầm với chị Jessica luôn đó nha~?""",「真里亞也不會永遠是小孩子哦！你可是會從小孩子成長為可愛的公主的～！然後像洗衣板一樣的胸部，也會變得像朱志香那麼大哦～！」,「真里亚也不会永远是小孩子哦！你可是会从小孩子成长为可爱的公主的～！然后像洗衣板一样的胸部，也会变得像朱志香那么大哦～！」,"""Yah, kamu tidak akan jadi anak kecil selamanya kan, Maria? Maksudku, nanti akan tumbuh jadi gadis muda yang manis, kan? Dan saat itu terjadi, dada rata itu akan selevel Jessica, tahuu~?""","""Ma neanche tu rimarrai una bambina per sempre, vero, Maria? Dall'essere una bambina, diventerai una graziosa principessina, no? E quando succederà, l'asse da stiro che ti ritrovi sul petto raggiungerà il livello di Jessica, eh?""","""Sonsuza kadar çocuk kalmayacaksın, değil mi Maria? Yani, çocukluktan çıkıp sevimli bir genç hanım olacaksın, değil mi? Ve bu olduğunda, o tahta gibi dümdüz göğüslerin Jessica'nın seviyesinde olacak, biliyor mu~sun?"""
Ushiromiya Battler,"""When that happens, let me rub it, OK? Promise!!""","When that happens, you gotta let me touch 'em, okay? It's a promise!!"" "," When that happens, let me rub it, OK? Promise!!""",　そしたら揉ませてくれよー約束だぞぉぅ！！」,「そしたら揉ませてくれよー約束だぞぉぅ！！」,"""Когда это случится, дашь потрогать, а? Пообещай!""","""Quando isso acontecer, me deixe apertar eles. Você promete?""","""Lúc đó thì nhớ cho anh bóp thử một cái nhé? Hứa nha!!""",「記得那時要讓我摸哦，就這麼說定了！！」,「记得那时要让我摸哦，就这么说定了！！」,"""Kalau sudah begitu, biar aku pegang ya? Janji!!""","""Promettimi che me lo farai palpare quando succederà!!""","""Bu olduğunda, bırak ovayım, olur mu? Söz ver!!"""
Ushiromiya Maria,"""Uu! Let you rub it! Promise! Uu!""","""Uu-! Let you touch 'em! Promise! Uu-!"" ","""Uu-! Let you rub it! Promise! Uu-!""",「うー！　揉ませる！　約束する！　うー！」,[=JP],"""У‐у! Дам потрогать! Обещаю! У‐у!""","""Uu! Pode apertar eles! Prometo! Uu!""","""Uu! Để anh bóp thử! Hứa rồi! Uu!""",「嗚——！讓戰人摸！說定了！嗚——！」,「呜——！让战人摸！说定了！呜——！」,"""Uu! Biar kamu pegang! Janji! Uu!""","""Uuh! Fartelo palpare! Te lo prometto! Uuh!""","""Uu! Ovmana izin veriyorum! Söz veriyorum! Uu!"""
Ushiromiya George,"""N‐no, Maria‐chan! You can't make that kind of promise, that's bad, bad, bad!""","""N-No, Maria-chan! You can't make that kind of promise, that's bad, bad, bad!"" ","""N, no, Maria-chan! You can't make that kind of promise, that's bad, bad, bad!""",「だ、駄目だよ真里亞ちゃん！　そんな約束しちゃ、ダメダメダメ！」,[=JP],"""М‐мария, т‐так нельзя! Н‐нельзя давать такие обещания, это плохо, очень плохо!""","""N‐Não, Maria‐chan! Você não pode ficar fazendo esse tipo de promessa, isso não é bom, não é nada bom!""","""K-không được đâu, bé Maria à! Em không thể hứa mấy chuyện đó đâu, nó tệ, tệ, tệ lắm đó!""",「這、這可不能答應的啊，小真里亞！不能做這種約定，不能不能不能！」,「这、这可不能答应的啊，小真里亚！不能做这种约定，不能不能不能！」,"""J-jangan, Maria-chan! Janji begitu tidak boleh, itu buruk, buruk, buruk!""","""N-Non farlo, Maria-chan! Non puoi promettere qualcosa del genere, non si fa, non si fa!""","""H-Hayır, Maria-chan! Böyle bir söz veremezsin, bu kötü, kötü, kötü!"""
