Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,"Lunch ended, and the servants removed the tableware and went to the kitchen. The wind and rain neither weakened nor strengthened, and the island remained cut off from the outside world. ","Lunch had ended, and the servants had removed the tableware, and were now in the kitchen.{n}The wind and rain had neither weakened nor strengthened, and the island remained cut off from the outside world.","Lunch ended, and the servants removed the tableware and went to the kitchen. The wind and rain neither weakened nor strengthened, and the island remained cut off from the outside world.",昼食が終わり、使用人たちは食器を下げ、厨房にいた。風雨は強くも弱くもならず、この島を異界に切り離したままだ。,昼食が終わり、使用人たちは食器を下げ、厨房にいた。{n}風雨は強くも弱くもならず、この島を異界に切り離したままだ。,"Обед закончился и слуги, убрав столовую посуду, направились на кухню.{n}Ветер и дождь не хотели ни ослабляться, ни усиливаться, и остров продолжал оставаться отрезанным от внешнего мира.","O almoço terminou e os serviçais retiraram a mesa, e agora iam em direção à cozinha. O vento e a chuva não estavam fortes, mas também não estavam fracos, e a ilha continuava incomunicável com o mundo exterior.",午飯結束後，傭人們撤下了餐具，聚集在廚房裡。{n}外面的風雨絲毫沒有加強或減弱，仍然把這個島封閉在與世隔絕的異界。,午饭结束后，佣人们撤下了餐具，聚集在厨房里。{n}外面的风雨丝毫没有加强或减弱，仍然把这个岛封闭在与世隔绝的异界。,"Una volta terminato il pranzo, i domestici presero le stoviglie e si diressero in cucina. Il vento e la pioggia non si erano né indeboliti ma neanche rafforzati, e l'isola era ormai estraniata dal mondo esterno.","Una volta terminato il pranzo, i domestici tolsero le stoviglie e si diressero in cucina. Il vento e la pioggia non si erano indeboliti, ma neanche rafforzati, e l'isola continuava a restare tagliata fuori dal mondo esterno.","Öğle yemeği sona ermiş, hizmetkârlar sofra takımlarını kaldırmış ve mutfağa gelmişlerdi.{n}Rüzgâr ve yağmur ne hafiflemiş ne de şiddetlenmişti ve adanın dış dünyayla bağlantısı hâlâ kesikti."
,"At first, it seemed as though Natsuhi planned to stop anyone from taking a step outside the room, but when it came time to prepare lunch, she finally realized this would be impossible. ","It seemed that, at first, Natsuhi had planned not to let anyone set one foot outside the room, but when it came time to prepare lunch, she finally realized that this was impossible."," It seemed that, at first, Natsuhi had planned not to let anyone set one foot outside the room, but when it came time to prepare lunch, she finally realized that this was impossible.",夏妃は当初、誰も部屋から一歩も出さないつもりらしかったが、さすがにそれは無理だと、昼食の準備の時間になってようやく気付く。,[=JP],"Похоже, что сперва Нацухи планировала не давать никому сделать ни единого шага за порог комнаты, но когда пришло время готовить обед, то она наконец‐то поняла, что это было невозможно.","Parecia que, primeiramente, Natsuhi havia planejado não deixar ninguém colocar um pé para fora daquela sala, mas quando chegou a hora de preparar o almoço, ela finalmente percebeu que era impossível.",雖然夏妃本打算不讓任何人離開房間，但是到了準備午餐時，總算察覺到這終究不太可能。,虽然夏妃本打算不让任何人离开房间，但是到了准备午餐时，总算察觉到这终究不太可能。,"Sembrò, inizialmente, che Natsuhi non volesse permettere a nessuno di mettere piede fuori dalla stanza, ma quando fu ora di preparare il pranzo, finalmente realizzò che era impossibile.","Inizialmente, sembrò che Natsuhi non volesse permettere a nessuno di mettere piede fuori dalla stanza, ma quando fu ora di preparare il pranzo, capì alla fine che sarebbe stato impossibile.","Natsuhi ilk başta kimsenin odanın dışına adım atmasına izin vermemeyi planlamış gibiydi, ancak öğle yemeği hazırlama zamanı geldiğinde nihayet bunun imkansız olduğunu anladı."
,"However, in order to avoid having anyone alone in the kitchen, she told the three servants to go together. ","However, in order to avoid having anyone alone in the kitchen, she told the three servants to go together."," However, in order to avoid having anyone alone in the kitchen, she told the three servants to go together.",ただし、厨房にひとりでいることがないよう、使用人たち３人で行くように言われた。,[=JP],"Однако чтобы избежать оставления кого‐нибудь в одиночестве на кухне, она сказала трём слугам идти всем вместе.","Entretanto, com o intuito de não deixar ninguém sozinho na cozinha, ela havia dito para os três serviçais irem juntos.",不過，她還是本著禁止單獨行動的原則，吩咐傭人們三人一起去了廚房。,不过，她还是本着禁止单独行动的原则，吩咐佣人们三人一起去了厨房。,"Tuttavia, in modo da evitare che qualcuno restasse solo in cucina, disse ai tre domestici di restare insieme.","Tuttavia, disse ai tre domestici di andare insieme, in modo da evitare che qualcuno restasse solo in cucina.","Bununla birlikte, mutfakta kimsenin yalnız kalmamasını sağlamak için üç hizmetkâra birlikte gitmelerini söyledi."
,"Because of that, the servants were the first ones given the right to leave the stuffy parlor, which had been packed with eleven people. ","Because of that, the servants were the first ones given the right to leave the stuffy parlor, which had been packed with eleven people."," Because of that, the servants were the first ones given the right to leave the stuffy parlor, which had been packed with eleven people.",その為、１１人もごった返して空気が澱んだ客間を、最初に出る権利を得たのは使用人たちだった。,[=JP],"Поэтому слуги были первыми, кому было позволено покинуть душную гостиную, набитую одиннадцатью людьми.","Por causa disso, os serviçais foram os primeiros a terem o direito de deixar a sala de visitas, que havia sido fechado com onze pessoas.",因此，這間擠了十一個人，空氣早已渾濁不堪的房間裡，最早得以離開的是傭人們。,因此，这间挤了十一个人，空气早已浑浊不堪的房间里，最早得以离开的是佣人们。,"Perciò, i domestici furono i primi a lasciare immediatamente il salone recluso, che conteneva ben undici persone.","Perciò, i domestici furono i primi ad avere il permesso di lasciare il salotto, riempito da un gruppo di ben undici persone, e la cui aria era opprimente...","Bu nedenle, on bir kişiyle tıka basa dolu olan havasız salondan ilk ayrılma hakkı hizmetkârlara verildi."
,"...Since breakfast had immediately followed that terrible incident, preventing most of us from eating much, everyone tore into their lunches in silence. ","......Since breakfast had immediately followed that terrible incident, and many of them hadn't eaten much, everyone tore into their lunches in silence.",[=UP],……あのような事件があった直後ということもあり、朝食が進まなかった者も多かったため、昼食はみんな無言でもくもくと食べた。,[=JP],"......Так как завтрак последовал незамедлительно после того ужасного инцидента, то многие из нас почти ничего не ели и молча набросились на еду.","......Como o café da manhã havia sido seguido por um terrível incidente, e muitos não haviam comido muito, todos almoçaram em silêncio.",……因為剛剛發生了那種事，而且不少人都沒怎麼吃早餐，所以午餐時，大家都一言不發。,……因为刚刚发生了那种事，而且不少人都没怎么吃早餐，所以午餐时，大家都一言不发。,"... Poiché la colazione si era subito succeduta a quel terribile incidente, e molti di loro non avevano mangiato molto, tutti quanti, terminarono il loro pranzo silenziosamente.","Dato che molti di loro non riuscirono a fare colazione, essendo stata servita subito dopo quel terribile incidente, mangiarono il loro pranzo in silenzio.","......Kahvaltı o korkunç olayın hemen ardından yapıldığı, ve bir çoğu fazla bir şey yemediği için herkes öğle yemeğini sessizce yedi."
Kumasawa Chiyo,"""I will wash the dishes, so you can rest a while, Kanon-kun, Genji-san. ...Do you want something to drink?"" ","""I will wash the dishes, so you can rest a while, Genji‐san, Kanon‐kun. ...Do you want something to drink?""","""I will wash the dishes, so you can rest a while, Kanon-kun, Genji-san. ...Do you want something to drink?""",「私が洗いますから、源次さんと嘉音くんは、少し休んでいてくださいな。…何か飲みます？」,[=JP],"""Я помою посуду, так что вы пока можете отдохнуть, Канон‐кун, Генджи‐сан. ...Не хотите ли чего‐нибудь попить?""","""Eu vou lavar os pratos, então vocês dois podem descansar, Genji‐san, Kanon‐kun. ...Querem algo para beber?""",「我來洗好了，源次先生和嘉音君，你們稍微休息一下吧。…要喝點什麼嗎？」,「我来洗好了，源次先生和嘉音君，你们稍微休息一下吧。…要喝点什么吗？」,"""Ci penso io a lavare i piatti, quindi Kanon-kun e Genji-san, riposatevi pure. Volete qualcosa da bere?""","""Kanon-kun, Genji-san, i piatti li laverò io, perciò riposatevi pure... Volete bere qualcosa?""","""Bulaşıkları yıkayacağım, Genji-san ve Kanon-kun, siz de biraz dinlenebilirsiniz. ...İçecek bir şey ister misiniz?"""
Ronoue Genji,"""......I don't need anything. ...Kanon?"" ",""".........Nothing for me. .........Kanon?""",""".........I don't need anything. Kanon?""",「………私は結構。………嘉音は？」,[=JP],""".........Я ни в чём не нуждаюсь. Канон?""",""".........Eu estou bem. .........E você, Kanon?""",「………我不需要。………嘉音你呢？」,[=CHT],"""... No, grazie. Kanon?""","""...Non mi serve nulla... Kanon?""",""".........Ben istemiyorum. .........Kanon?"""
Kanon,"""...I don't need anything either."" ","""......Nothing for me either.""","""......I don't need anything either.""",「……僕も結構です。」,「……僕も結構です」,"""......Я также ни в чём не нуждаюсь.""","""......Também não.""",「……我也不用了。」,[=CHT],"""... Neanche io, grazie.""","""...Non serve nulla neanche a me.""","""......Ben de istemiyorum."""
Kumasawa Chiyo,"""You two must have been so busy, and so early in the morning... It's no wonder you're worn out..."" ","""You two must have been so busy, and so early in the morning... It's no wonder you're worn out...""",[=UP],「お二人とも、早朝から大変だったでしょう…。参ってしまうのも仕方ないことですよ…。」,「お二人とも、早朝から大変だったでしょう…。参ってしまうのも仕方ないことですよ…」,"""Вы двое, должно быть, были настолько заняты, да ещё и в такую рань... Неудивительно, что вы вымотались...""","""Vocês dois têm estado bem ocupados e estão de pé desde cedo... Não é de admirar que vocês estejam desgastados...""",「你們兩人，都是從一大早開始忙到現在吧…。身體肯定會吃不消嘛…」,「你们两人，都是从一大早开始忙到现在吧…。身体肯定会吃不消嘛…」,"""Voi due siete stati a lavorare tutto il tempo, e sin da stamattina presto... {n}Non mi sorprende che siate stanchi...""","""Vi siete dati da fare sin da stamattina presto... È normale che siate stanchi...""","""İkiniz de sabahın köründe çok meşguldünüz... Yorgun olmanıza şaşmamalı..."""
,"The only noise was that of Kumasawa washing the dishes, which resounded throughout the kitchen. ","The only sound was that of Kumasawa washing the dishes, which resounded throughout the kitchen.",[=UP],厨房の中を、熊沢が食器を洗う音だけが響き渡る。,[=JP],"Кумасава, моющая посуду, была единственной, кто издавал хоть какие‐то звуки на кухне.","O único som que havia era o de Kumasawa lavando os pratos, que ressoava pela cozinha.",安靜的廚房中，只有熊澤清洗餐具的聲音響個不停。,安静的厨房中，只有熊泽清洗餐具的声音响个不停。,"L'unico rumore presente era quello di Kumasawa che lavava i piatti, che risuonava in tutta la cucina.",L'unico suono udibile in cucina era quello dei piatti lavati da Kumasawa.,Tek ses Kumasawa'nın bulaşıkları yıkarken çıkardığı mutfakta yankılanan sesti.
