Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,The uncomfortable atmosphere continued even after those two left.,The uncomfortable atmosphere continued even after those two left. ,[=UP],絵羽伯母さんたちが去った後も、気まずい雰囲気は残り続けた。,[=JP],Обстановка в гостиной не стала более уютной даже после ухода тёти Евы с дядей Хидэёши.,O clima desconfortável continuou mesmo depois daqueles dois saírem.,[=UP],繪羽姑母他們離開後，房間裡依舊殘留著尷尬的氣氛。,绘羽姑母他们离开后，房间里依旧残留着尴尬的气氛。,[=ST],Il disagio continuò a permeare nell'aria anche dopo che i due zii se ne andarono.,O ikisi gittikten sonra bile rahatsız edici atmosfer devam etti.
,It was thick with the idea that thinking about who the killer was would be the same as deciding who to doubt. ...It had begun to feel like discussion of the incidents was itself taboo.,It was thick with the idea that simply thinking about the culprit's identity...would be the same as deciding whom to suspect. ...It had begun to feel like discussion of the case was itself taboo. , It was thick with the idea that thinking about who the culprit was would be the same as deciding who to doubt. ...It had begun to feel like discussion of the case was itself taboo.,犯人は誰かということを考えること自体が、誰かを疑うのと同じ意味であるという雰囲気が蔓延し、…事件を論ずること事態がタブーのような感じになっていった。,犯人は誰かということを考えること自体が、誰かを疑うのと同じ意味であるという雰囲気が蔓延し、…事件を論ずること自体がタブーのような感じになっていった。,"Стало очевидно, что размышление об истинной личности преступника неминуемо приведёт к необходимости кого‐то подозревать. ...Казалось, само обсуждение случившегося постепенно переходит в разряд табу.","Ele estava pesado, pois pensar sobre quem seria o assassino era o mesmo que decidir de quem duvidar. ...Tinha começado a parecer que a própria discussão dos incidentes era um tabu.",[=UP],思考誰是犯人，就等於是在懷疑某個人，這種氣氛充斥在空氣裡，…似乎討論事件本身已經成了一種禁忌。,思考谁是犯人，就等于是在怀疑某个人，这种气氛充斥在空气里，…似乎讨论事件本身已经成了一种禁忌。,[=ST],L'idea di ragionare su chi fosse il colpevole faceva proliferare un clima in cui farlo era praticamente come ragionare su chi dover sospettare... e sentimmo che conversare sul caso era diventato una specie di tabù.,"Katilin kim olduğunu düşünmenin, kimden şüphe edeceğimize karar vermekle aynı şey olduğu fikri ağır basıyordu. ...Olayların tartışılması başlı başına bir tabuymuş gibi hissettirmeye başlamıştı."
,"So no one was mentioning it, at least out loud.","So no one mentioned the case, at least out loud. "," So no one mentioned the case, at least out loud.",だからみんな、口にだけは事件のことを出さなくなっている。,[=JP],"Поэтому никто не упоминал о произошедшем, по крайней мере, вслух.","Por isso ninguém a mencionava, ao menos não em voz alta.",[=UP],所以，大家都閉口不提任何關於事件的看法。,所以，大家都闭口不提任何关于事件的看法。,[=ST],"Per cui, nessuno tirò fuori l'argomento, quantomeno non a voce alta...","Bu yüzden kimse bundan bahsetmiyordu, en azından yüksek sesle."
,"......However, those thoughts were what filled our minds.{n}All that we couldn't say aloud made our heads feel like they were going to explode...","......However, those thoughts were what filled our minds. All that we couldn't say aloud made our heads feel like they were going to explode... ","......However, those thoughts were what filled our minds. All that we couldn't say aloud made our heads feel like they were going to explode...",……しかし、その分、頭の中はいっぱいに違いない。口から吐き出せない分が、みんな頭の中ではち切れそうになっているだろう…。,……しかし、その分、頭の中はいっぱいに違いない。{n}口から吐き出せない分が、みんな頭の中ではち切れそうになっているだろう…。,"......Хотя наши мысли и были полностью поглощены им.{n}Ощущение было такое, будто недосказанное нами вот‐вот должно было взорвать наши головы...","......Entretanto, eram esses pensamentos que preenchiam nossas mentes.{n}Tudo o que nós não podíamos dizer em voz alta fazia com que nossas cabeças parecessem prestes a explodir...",[=UP],……但是，毫無疑問，如此一來腦袋反而裝滿了這些事。{n}不能一吐為快的疑問，估計都快把大家的腦袋裡的那根弦壓斷了吧…。,……但是，毫无疑问，如此一来脑袋反而装满了这些事。{n}不能一吐为快的疑问，估计都快把大家的脑袋里的那根弦压断了吧…。,[=ST],"Tuttavia, sicuramente quei pensieri riempivano le nostre menti. Tutto ciò che non potevamo dire a voce, faceva sì che le nostre teste fossero sul punto di scoppiare...",......Ancak bu düşünceler zihnimizi tamamen doldurmuştu.{n}Yüksek sesle söyleyemediğimiz her şey başımızı patlatacakmış gibi hissettiriyordu...
,"So, at least on the outside, the parlor had once again regained its calm mood.","So, at least on the outside, the parlor had once again regained its calm mood. "," So, at least on the outside, the parlor had once again regained its calm mood.",なので、とりあえずの表向き、客間は平穏を取り戻していた。,[=JP],"Но, по крайней мере, внешне гостиная вновь погрузилась в спокойствие.","Logo, pelo menos externamente, a sala de visitas tinha mais uma vez recobrado sua atmosfera calma.",[=UP],就這樣，客廳暫且在表面上恢復了平靜。,就这样，客厅暂且在表面上恢复了平静。,[=ST],"Perciò, almeno in apparenza, nel salotto era tornata la calma.","Böylece, en azından dışarıdan bakıldığında, salon bir kez daha sakin havasına kavuşmuştu."
,Though everything was left unsettled.,Everything was left unsettled. , Everything was left unsettled.,全てをうやむやにしながら。,[=JP],Вот только логическое разрешение ситуации так и не наступило.,Apesar de todas as coisas ainda estarem em suspenso.,[=UP],只是一切都曖昧不明。,只是一切都暧昧不明。,[=ST],Mentre tutto era così indefinito.,Yine de her şey belirsizliğini koruyordu.
Ushiromiya George,"""......It feels like the rain's gotten a little lighter.""","""......It feels like the rain's gotten a little lighter."" ",[=UP],「……少しだけ雨脚が弱まった気がするね。」,「……少しだけ雨脚が弱まった気がするね」,"""......Кажется, будто дождь слегка поутих.""","""......Parece que a chuva ficou um pouco mais fraca.""",[=UP],「……雨勢似乎小了點呢。」,「……雨势似乎小了点呢。」,[=ST],"""...Sembra che stia piovendo un po' di meno.""","""......Yağmur biraz hafiflemiş gibi görünüyor."""
Ushiromiya Maria,"""Uu...? Still pouring down. Uu...""","""Uu-...? Still pouring down. Uu-..."" ","""Uu-...? Still pouring down. Uu-...""",「うー…？　まだいっぱい降ってるよ。うー…。」,「うー…？　まだいっぱい降ってるよ。うー…」,"""У‐у?.. Пока ещё сильно капает. У‐у...""","""Uu...? Ainda está chovendo muito. Uu...""",[=UP],「嗚——…？還是下得很大呀。嗚——……」,「呜——…？还是下得很大呀。呜——……」,[=ST],"""Uuh...? Piove ancora a dirotto. Uuh...""","""Uu...? Hâlâ yağıyor. Uu..."""
Ushiromiya Battler,"""Even if it did stop, there's no boat on this island. ...But it'd be nice if the boat came quickly tomorrow. I've had enough of this Western mansion vacation, ihihi.""","""Even if it did stop, there's no boat on this island. ...But it'd be nice if the boat came quickly tomorrow. I've had enough of this Western mansion vacation, ihihi."" ","""Even if it did stop, there's no boat on this island. ...But it'd be nice if the boat came quickly tomorrow. I've had enough of this western mansion vacation, ihihi.""",「仮に止んだって、この島には船がねぇんだしな。…船が、明日すぐに来てくれりゃいいんだがよ。洋館バカンスはもうお腹いっぱいだぜ、いっひっひ。」,「仮に止んだって、この島には船がねぇんだしな。…船が、明日すぐに来てくれりゃいいんだがよ。洋館バカンスはもうお腹いっぱいだぜ、いっひっひ」,"""Даже если он и прекратится, на этом острове всё равно нет катера. ...Хорошо бы он завтра поскорее приплыл. Хватит с меня каникул в западном особняке, ихи‐хи.""","""Mesmo se ela parar, não tem nenhum barco nessa ilha. ...Mas seria legal se o barco viesse rapidamente amanhã. Eu já tive o suficiente destas férias em uma mansão ocidental, ihihi.""",[=UP],「就算雨停了，這島上也沒有船啊。…只要明天，船能馬上來就好。洋館度假什麼的已經夠了啊，嘿嘿嘿。」,「就算雨停了，这岛上也没有船啊。…只要明天，船能马上来就好。洋馆度假什么的已经够了啊，嘿嘿嘿。」,[=ST],"""Anche se smettesse, su quest'isola non c'è alcuna barca... Ma sarebbe perfetto se domani il battello arrivasse il prima possibile. Ne ho le tasche piene di questa vacanza all'occidentale, ihihih.""","""Dursa bile, bu adada tekne yok. ...Ama tekne yarın çabuk gelirse iyi olur. Bu Batı malikanesi tatilinden bıktım, ihihi."""
Ushiromiya Jessica,"""Mom, when will the boat come tomorrow?""","""Mom, when will the boat come tomorrow?"" ",[=UP],「母さん、明日、船はいつ来るのかな。」,「母さん、明日、船はいつ来るのかな」,"""Мама, во сколько завтра приплывёт катер?""","""Mãe, a que horas o barco vai chegar amanhã?""",[=UP],「媽媽，船明天什麼時候會來呢？」,「妈妈，船明天什么时候会来呢？」,[=ST],"""Mamma, quando arriverà il battello domani?""","""Anne, tekne yarın ne zaman gelecek?"""
