Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
Shannon,"""Look, George‐sama! They're so cute, look, look!""","""George-sama, please look! They're so cute, look, look!"" ","""Hey George-sama, please look! They're so cute, look, look!""",「ほら譲治さま、見てください！　かわいいですよ、ほらほら！」,[=JP],"""Джордж‐сама, вот, гляньте! Они такие миленькие! Взгляните, взгляните!""","""Veja, George‐sama! Eles são tão meigos, olha, olha!""",[=UP],「瞧呀，讓治少爺，您看那邊！好可愛呀，您看您看！」,「瞧呀，让治少爷，您看那边！好可爱呀，您看您看！」,[=UP],"""Guardi, signorino George! Guardi, guardi, sono proprio carini!""","""George-sama buraya bak! Çok tatlılar, bak, bak!"""
,"Shannon found a pair of hammerhead sharks playfully swimming in the tank, and made a fuss like a grade schooler seeing an aquarium for the first time.",Shannon found a pair of hammerhead sharks swimming playfully in the tank... and looked as excited as a grade schooler seeing an aquarium for the first time. ,"Shannon found a pair of hammerhead sharks playfully swimming in the tank, running around like a grade schooler seeing an aquarium for the first time.", 紗音が水槽の中に仲良く泳ぐシュモクザメのつがいを見つけ、まるで初めて水族館に来た小学生のようにはしゃぐ。,紗音が水槽の中に仲良く泳ぐシュモクザメのつがいを見つけ、まるで初めて水族館に来た小学生のようにはしゃぐ。,"Воскликнула Шаннон, бегающая повсюду, словно ученица младших классов, впервые посетившая океанариум, увидев пару акул‐молотов, игриво плавающих в резервуаре.","Shannon encontrou um par de tubarões cabeça‐de‐martelo nadando animadamente no tanque, e fez um alvoroço, como uma estudante do fundamental vendo um aquário pela primeira vez.",[=UP],紗音發現了一對在水槽中親密遨游的榔頭鯊。她歡快地雀躍著，簡直就像是第一次來到水族館的小學生。,纱音发现了一对在水槽中亲密遨游的榔头鲨。她欢快地雀跃着，简直就像是第一次来到水族馆的小学生。,[=UP],"Shannon aveva notato un paio di squali martello nuotare allegramente nella vasca dei pesci, con lo stesso entusiasmo di una bambina delle elementari che andava all'acquario per la prima volta.","Shannon akvaryumda şakacı bir şekilde yüzen bir çift çekiç başlı köpekbalığı gördü, ve ilk kez akvaryum gören bir çocuk gibi heyecanlandı."
Ushiromiya George,"""Yeah, they're really cute. I almost want to eat them.""","""Yeah, they really are cute. Almost makes me want to eat them."" ",[=UP],「うん、本当にかわいいね。食べちゃいたいくらいだよ。」,「うん、本当にかわいいね。食べちゃいたいくらいだよ」,"""Ага, и вправду миленькие. Аж съесть хочется.""","""Sim, são realmente meigos. Eu quase quero comê‐los.""",[=UP],「嗯，真的很可愛呢。可愛到都想吃掉它們了哦。」,「嗯，真的很可爱呢。可爱到都想吃掉它们了哦。」,[=UP],"""Già, sono davvero carini. Quasi mi viene voglia di mangiarli.""","""Evet, gerçekten de çok tatlılar. Neredeyse onları yiyesim geliyor."""
Shannon,"""I, I'd feel so sorry for them... Did you know? I hear that the only people in the world who come to an aquarium and say that the fish look delicious are the Japanese.""","""I-I'd feel so sorry for them... Did you know? I hear the Japanese are only people in the world who go to aquariums and say how delicious everything looks."" ",[=UP],「そ、そんなの可哀想です…。 知ってますか？　水族館に来て美味しそうなんて言い出すのは、世界中でも日本人だけなんだそうですよ？」,「そ、そんなの可哀想です…。知ってますか？　水族館に来て美味しそうなんて言い出すのは、世界中でも日本人だけなんだそうですよ？」,"""Бедненькие, ну зачем их так... Кстати, вы знали? Единственные люди, которые приходят в океанариум и заявляют, что плавающая там рыба смотрится аппетитно — это японцы.""","""M‐Mas, coitadinhos deles... Sabe de uma coisa? Ouvi dizer que as únicas pessoas no mundo que vão a um aquário e acham os peixes deliciosos são os japoneses.""",[=UP],「這、這就太可怜了…。您知道嗎？來到水族館，會說裡面的魚看起來很好吃的，貌似全世界也就只有日本人而已哦？」,「这、这就太可怜了…。您知道吗？来到水族馆，会说里面的鱼看起来很好吃的，貌似全世界也就只有日本人而已哦？」,[=UP],"""P-Poverini... Lo sapevi? Si dice che i giapponesi siano gli unici al mondo che, andando in un acquario, direbbero che tutto ha un aspetto delizioso.""","""O-Onlar için çok üzülürdüm... Biliyor muydun? Duyduğuma göre dünyada akvaryuma gelip de balıkların lezzetli göründüğünü söyleyen tek insanlar Japonlarmış."""
Ushiromiya George,"""Is that so? ...I'm sure even Americans and Italians would want to eat these.""","""Is that so? ...I'm sure even Americans and Italians would want to eat these."" ",[=UP],「そうなんだ？　…アメリカ人でもイタリア人でも、きっと食べちゃいたいって言うと思うよ。」,「そうなんだ？　…アメリカ人でもイタリア人でも、きっと食べちゃいたいって言うと思うよ」,"""Вот как? Я уверен, их даже американцы с итальянцами захотят съесть.""","""É mesmo? ...Eu tenho certeza que os italianos e americanos também iriam querer comê‐los.""",[=UP],「是嘛？…我倒是覺得，不論是美國人還是意大利人，都肯定會說想吃掉它們哦。」,「是嘛？…我倒是觉得，不论是美国人还是意大利人，都肯定会说想吃掉它们哦。」,[=UP],"""Davvero...? Sono sicuro che anche gli americani e gli italiani direbbero di volerli mangiare.""","""Öyle mi? ...Eminim Amerikalılar ve İtalyanlar bile bunları yemek isterdi."""
Shannon,"""...Uh, ...um......err...""","""...Uh, ...um...... err..."" ","""...Uh, ...um...... err...""",「…え、っと……。その…。」,「…え、っと……。その…」,"""Э‐э... м‐м... э‐э...""","""...Hmm, ...hm......bem...""",[=UP],「…那、那個……。這個……」,「…那、那个……。这个……」,[=UP],"""E... Ecco... Cioè...""","""...Uh, ...um......şey..."""
Ushiromiya George,"""Those clothes look good on you. Really.""","""Those clothes look good on you. Really."" ",[=UP],「似合ってるよ、その服。本当に。」,「似合ってるよ、その服。本当に」,"""Эта одежда тебе очень идёт. Серьёзно.""","""Essas roupas ficam bem em você. De verdade.""",[=UP],「這件衣服，很適合你哦。真的。」,「这件衣服，很适合你哦。真的。」,[=UP],"""Ti dona il vestito. Sul serio.""","""Bu kıyafetler sana çok yakışıyor. Gerçekten."""
,Shannon embraced her chest with both hands in embarrassment.{n}...She apparently felt like she was being made fun of for wearing these clothes that she wasn't used to.,Shannon clutched at her chest with both hands in embarrassment. ...She apparently felt like she was being made fun of for wearing these clothes she wasn't used to. ,Shannon embraced her chest with both hands in embarrassment....She apparently felt like she was being made fun of for wearing these clothes that she wasn't used to., 紗音は胸元を両手で抱え込むような仕草で恥ずかしがる。 …慣れないおめかしを笑われてるに違いないと感じたようだった。,紗音は胸元を両手で抱え込むような仕草で恥ずかしがる。{n}…慣れないおめかしを笑われてるに違いないと感じたようだった。,"Шаннон в смущении сложила обе руки на груди.{n}Ей, по‐видимому, казалось, что над ней посмеиваются из‐за того, что она носит непривычную для себя одежду.","Shannon abraçou seu peito com ambas as mãos, envergonhada.{n}...Ela parecia pensar que estava sendo zombada por usar essas roupas, que ela não estava acostumada a vestir.",[=UP],紗音雙手抱著胸部，羞紅了臉。{n}…她似乎是覺得，讓治一定是在取笑自己這身不太習慣的裝扮。,纱音双手抱着胸部，羞红了脸。{n}…她似乎是觉得，让治一定是在取笑自己这身不太习惯的装扮。,[=UP],Shannon strinse le mani attorno al proprio petto per l'imbarazzo...{n}Pensava che si stesse sicuramente prendendo gioco di lei per essersi vestita in un modo a cui non era abituata.,"Shannon utanç içinde iki eliyle göğsünü kavradı.{n}...Görünüşe göre, alışık olmadığı bu kıyafetleri giydiği için kendisiyle eğleniliyormuş gibi hissediyordu."
,"Even though George's face didn't show it, the truth was that even he was surprised at how easily those tremendous words had left his lips, and he was as embarrassed as Shannon on the inside.","Though George's face didn't show it, he'd actually said something so completely unexpected that it surprised even him, and he was as embarrassed as Shannon on the inside. "," Even though George's face didn't show it, the truth was that he'd said something so completely unexpected that it surprised even him, and he was as embarrassed as Shannon on the inside.", 譲治も、顔には出さないものの、実はあまりにとんでもないことを自分でも驚くくらいにさらりと口にしてしまい、内心は紗音に負けないくらい恥ずかしがっていた。,譲治も、顔には出さないものの、実はあまりにとんでもないことを自分でも驚くくらいにさらりと口にしてしまい、内心は紗音に負けないくらい恥ずかしがっていた。,"Джордж не подал виду, но в действительности он сказал нечто совершенно неожиданное, поразившее даже его самого, и внутренне смутился точно так же, как и Шаннон.","Ainda que o rosto de George não demonstrasse, a verdade é que até ele estava surpreso em como essas palavras ousadas tinham saído de sua boca, e, por dentro, ele estava tão constrangido quanto Shannon.",[=UP],讓治儘管沒從臉上表露出來，但其實他也在為自己能把這肉麻話若無其事地說出口來而吃驚，心中的羞澀完全不輸於紗音。,让治尽管没从脸上表露出来，但其实他也在为自己能把这肉麻话若无其事地说出口来而吃惊，心中的羞涩完全不输于纱音。,[=UP],"Anche George, pur se non lo dava a vedere, internamente era a disagio tanto quanto Shannon, essendogli uscite di bocca parole in realtà parecchio esagerate, con una spontaneità che aveva sorpreso persino lui.","George'un yüzü bunu belli etmese de, gerçek şu ki o bile bu çarpıcı sözlerin dudaklarından bu kadar kolay çıkmış olmasına şaşırmıştı, ve o da içten içe en az Shannon kadar utanmıştı."
,"However, when he saw how embarrassed Shannon was, he started to feel as though he was teasing the girl he liked, and instead of embarrassment, ticklish amusement welled up in him.","However, when he saw how embarrassed Shannon was, he started to imagine he was teasing a girl he liked, and instead of embarrassment, a ticklish amusement welled up in him. "," However, when he saw how embarrassed Shannon was, he started to feel as though he was teasing the girl he liked, and instead of embarrassment, a ticklish amusement welled up in him.", でも、紗音が過剰に恥ずかしがってくれている様子を見ていると、何だか、好きな子にイタズラをしているような気持ちになって、恥ずかしさの代わりに、くすぐったい楽しさが込み上げてくる。,でも、紗音が過剰に恥ずかしがってくれている様子を見ていると、何だか、好きな子にイタズラをしているような気持ちになって、恥ずかしさの代わりに、くすぐったい楽しさが込み上げてくる。,"Однако стоило ему увидеть, насколько смущена оказалась Шаннон, как он сразу же почувствовал, что подтрунивает над любимой девушкой, и смущение вынуждено было уступить место зарождающемуся смешливому веселью.","Entretanto, quando viu o quão envergonhada Shannon estava, ele começou a sentir que estava provocando a garota da qual ele gostava, e, ao invés de constrangimento, uma sensação de alegria brotou dentro dele.",[=UP],不過，看著紗音那副害羞過頭的樣子，心裡不禁涌起了一種，就好像自己是在戲弄著心儀之人一樣的感覺。這種癢癢的喜悅馬上便取代了羞澀之情。,不过，看着纱音那副害羞过头的样子，心里不禁涌起了一种，就好像自己是在戏弄着心仪之人一样的感觉。这种痒痒的喜悦马上便取代了羞涩之情。,[=UP],"Tuttavia, nel vederla così tanto imbarazzata, si sentiva un po' come se stesse stuzzicando la ragazza che gli piaceva, e al posto di provare riserbo, si beò di questo strano divertimento...","Ancak Shannon'un ne kadar utandığını görünce, sevdiği kızla kafa buluyormuş gibi hissetmeye başladı, ve utanç yerine içinde hoş bir mutluluk hissi filizlendi."
