Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,...Hideyoshi's claim that advertising doubled the taste was apparently right. ,...Hideyoshi's claim that advertising doubled the taste was apparently right.,[=UP],…秀吉の持論である、能書きは味を二倍高めるは、どうやら正しかったらしい。,[=JP],"...Утверждение Хидэёши о том, что реклама способствует улучшению вкуса, оказалось недалёким от истины.","...O clamor de Hideyoshi, de que a propaganda dobrava o sabor, aparentemente estava certo.",…秀吉的“加上說明能使味道倍增”的一貫觀點，看來是正確的。,…秀吉的“加上说明能使味道倍增”的一贯观点，看来是正确的。,... L'affermazione di Hideyoshi per cui avere informazioni avrebbe raddoppiato il sapore sembrava essere vera.,"...Apparentemente, c'era del vero nell'affermazione di Hideyoshi, secondo cui una presentazione, se fatta nel modo giusto, raddoppierebbe il sapore del cibo.","...Hideyoshi'nin ""sunumun lezzeti iki katına çıkardığı"" iddiası görünüşe göre doğruydu."
,"After being chased out to the guesthouse, the kids and Nanjo had gathered in the cousins' room and were eating the cake that Kumasawa had brought for dessert. ","The kids and Nanjo, who had been chased out to the guesthouse, had gathered in the cousins' room, and were eating the cake that Kumasawa had brought there for dessert."," The kids and Nanjo, who had been chased out to the guesthouse, had gathered in the cousins' room, and were eating the cake that Kumasawa had brought there for dessert.",ゲストハウスに追い出された子どもたちと南條は、いとこ部屋に集まり、熊沢が運んできてくれたデザートのケーキを食べているところだった。,[=JP],"Дети и Нанджо, которых спровадили в домик для гостей, собрались в комнате, отведённой кузенам и кузинам, и ели торт, принесённый им Кумасавой на десерт.","As crianças e Nanjo, que haviam sido mandados para a casa de hóspedes, tinham se juntado no quarto dos primos, e estavam comendo o bolo que Kumasawa havia levado de sobremesa para eles.",被趕到賓館的孩子們和南條，聚集在堂兄妹房間之中，正吃著熊澤送來的甜點蛋糕。,被赶到宾馆的孩子们和南条，聚集在堂兄妹房间之中，正吃着熊泽送来的甜点蛋糕。,"I ragazzi e Nanjo, che erano stati cacciati dalla casa degli ospiti, si erano riuniti nella stanza dei cugini, e stavano mangiando la torta che Kumasawa aveva portato per dessert.","Nanjo e i ragazzi, che erano stati cacciati via verso la dépendance, si erano riuniti nella stanza dei cugini, e stavano mangiando la torta che Kumasawa aveva portato come dessert.","Konukevine kovulan çocuklar ve Nanjo kuzenlerin odasında toplanmış, Kumasawa'nın tatlı olarak getirdiği pastayı yiyorlardı."
,"It was both wonderful and high-class, topped with lavish amounts of cream and decorated deliciously with fruits, but delicious as it was, it didn't taste quite as good for some reason... ","It was both wonderful and high‐class, with lavish amounts of cream and decorated deliciously with fruits, but even though it was delicious, for some reason it didn't taste quite as good..."," It was both wonderful and high-class, with lavish amounts of cream and decorated deliciously with fruits, but even though it was delicious, for some reason it didn't taste quite as good...",それはクリームをふんだんに使い、果物で美しく飾った高級感溢れる素晴らしいものだったが、美味であるにもかかわらず、なぜか一味落ちているように感じるのだった…。,[=JP],"Он оказался изумительно вкусным и высшего класса, щедро приправленный кремом и украшенный превосходными фруктами. Но хотя он и был очень вкусным, его вкус почему‐то не воспринимался в полной мере...","Era um bolo maravilhoso e de alta classe, com uma generosa quantidade de creme e decorado deliciosamente com frutas, mas, mesmo sendo delicioso, por alguma razão seu sabor não estava tão bom...",雖然這蛋糕抹著厚厚奶油，被點綴上了新鮮水果，是個洋溢著高級感的上等精品，但即便它甚是美味，卻也不知為何總感覺少了點味道…。,虽然这蛋糕抹着厚厚奶油，被点缀上了新鲜水果，是个洋溢着高级感的上等精品，但即便它甚是美味，却也不知为何总感觉少了点味道…。,"Era sia meravigliosa che di alta classe, con una generoso ammontare di crema e squisitamente decorata con frutta, ma sebbene fosse deliziosa, per qualche ragione non aveva un sapore così buono...","Era eccezionale e di alta classe, squisitamente decorata con della frutta e con un generoso ammontare di crema, ma per quanto avesse un buon sapore, per qualche ragione il suo gusto aveva perso mordente...","Hem harikaydı hem de son derece lükstü, kreması da boldu ve meyvelerle nefis bir şekilde süslenmişti, ama lezzetli olmasına rağmen, nedense tadı pek de iyi değildi..."
Ushiromiya Jessica,"""Haha, without Gohda-san selling it, it isn't nearly as good."" ","""Haha, without Gohda‐san's advertising, it doesn't taste nearly as good.""","""Haha, without Gohda-san's advertising, it doesn't taste nearly as good.""",「はは、郷田さんの能書きがないと、味ってずいぶん落ちるんだな。」,「はは、郷田さんの能書きがないと、味ってずいぶん落ちるんだな」,"""Ха‐ха, без расхваливаний Годы‐сана у него самый обыкновенный вкус.""","""Haha, sem a propaganda do Gohda‐san, não chega nem perto de ter um gosto tão bom.""",「哈哈，沒了鄉田的介紹，還真是少了好些味道呢。」,「哈哈，没了乡田的介绍，还真是少了好些味道呢。」,"""Haha, senza le informazioni date da Gohda-san, non ha un sapore tanto buono.""","""Ahah, il sapore cala decisamente di qualità, senza le presentazioni esaltanti di Gouda-san.""","""Haha, Gohda-san'ın sunumları olmadan tadı o kadar da güzel olmuyor."""
Ushiromiya Battler,"""And if we asked Kumasawa-san to sell it, she'd just say it's made of mackerel."" ","""And good frickin' luck asking Kumasawa baa‐chan for advertising, she'll just say it's made out of mackerel.""","""Even if we wanted advertising, Kumasawa-san'd just say that it's made out of mackerel.""",「能書きを求めようにも、熊沢の婆ちゃんに聞いた日にゃ、このケーキの原料も鯖ってことになっちまうぜ。」,「能書きを求めようにも、熊沢の婆ちゃんに聞いた日にゃ、このケーキの原料も鯖ってことになっちまうぜ」,"""Да даже вздумай он его расхваливать, Кумасава‐сан всё равно бы сказала, что он сделан из скумбрии.""","""E se pedirmos à Kumasawa baa‐chan para fazer propaganda, ela vai simplesmente dizer que ele é feito de cavalinha.""",「可就算想聽介紹，去問熊澤婆婆，這蛋糕的原料也是會變成鯖魚的哦。」,「可就算想听介绍，去问熊泽婆婆，这蛋糕的原料也是会变成鲭鱼的哦。」,"""Se anche le avessimo volute, Kumasawa-san avrebbe solamente detto che era stato fatto con lo sgombro.""","""Anche a volerle, se le avessimo chieste alla vecchia Kumasawa ci avrebbe detto che era una torta fatta con dello sgombro.""","""Ve eğer Kumasawa baa-chan'dan bunu tanıtmasını isteseydik, sadece uskumrudan yapıldığını söyleyecekti."""
Ushiromiya Maria,"""Uu-?! Really?! You can make cake from mackerel?!"" ","""Uu?! Really?! You can make cake from mackerel?!""","""Uu-?! Really?! You can make cake from mackerel?!""",「うー？！　本当？！　鯖からケーキってできる？！」,[=JP],"""У‐у?! Правда?! Из скумбрии можно делать торт?!""","""Uu?! É verdade?! Você pode fazer bolo de cavalinha?!""",「嗚——？！真的？！鯖魚可以做成蛋糕？！」,「呜——？！真的？！鲭鱼可以做成蛋糕？！」,"""Uu-?! Davvero?! Puoi preparare una torta con lo sgombro?!""","""Uuh?! Davvero?! Con lo sgombro si possono fare le torte?!""","""Uu?! Gerçekten mi?! Uskumrudan pasta yapılabiliyor mu?!"""
Kumasawa Chiyo,"""Hohohohoh. Absolutely, and as you can see with this very cake, if you mix the squeezed juice of mackerel with flour and eggs before cooking, it comes out all fluffy. Hohohohoh."" ","""Hoh‐hoh‐hoh‐ho. Oh, goodness, yes, this cake too, if you mix the squeezed juice of a mackerel in with the flour and eggs and bake it up, it comes out all fluffy. Hoh‐hoh‐hoh‐ho.""","""Hoh-hoh-hoh-ho. Yes, yes, this cake too, if you cook with the squeezed juice of mackerel mixed in with flour and eggs, it comes out all fluffy. Hoh-hoh-hoh-ho.""",「ほっほっほっほ。えぇえぇ、このケーキも、鯖の搾り汁に小麦粉と卵を混ぜて焼き上げると、ふっくら焼きあがるのでございますよ。ほっほっほっほ。」,「ほっほっほっほ。えぇえぇ、このケーキも、鯖の搾り汁に小麦粉と卵を混ぜて焼き上げると、ふっくら焼きあがるのでございますよ。ほっほっほっほ」,"""Хо‐хо‐хо‐хо. Да, да, и этот торт тоже, если при приготовлении воспользоваться соком скумбрии, смешанным с мукой и яйцами, он получится таким воздушным. Хо‐хо‐хо‐хо.""","""Hoh‐hoh‐hoh‐ho. Oh, sim, sim, e você pode ver neste próprio bolo, se você misturar o suco espremido de cavalinhas com farinha e ovos, e então assar, ele vai sair todo fofinho. Hoh‐hoh‐hoh‐ho.""",「嚯嚯嚯嚯。那是當然，就連這蛋糕，也只要用鯖魚榨出來的汁與小麥粉、雞蛋混合攪拌在一起去烘烤，就能烤得鼓鼓的了喲。嚯嚯嚯嚯。」,「嚯嚯嚯嚯。那是当然，就连这蛋糕，也只要用鲭鱼榨出来的汁与小麦粉、鸡蛋混合搅拌在一起去烘烤，就能烤得鼓鼓的了哟。嚯嚯嚯嚯。」,"""Hoh-hoh-hoh-ho. Certo, certo, anche questa torta, se la cuoci con succo di sgombro unito a farina e uova, diviene molto soffice. Hoh-hoh-hoh-ho.""","""Ohohohoh. Certo, certo, anche questa torta verrebbe fuori bella soffice, se infornata insieme a del succo di sgombro mischiato con farina e uova. Ohohohoh.""","""Hoh-hoh-hoh-ho. Oh, evet, bu pasta da öyle, uskumrunun sıkılmış suyunu un ve yumurtayla karıştırıp pişirdiğinizde yumuşacık oluyor. Hoh-hoh-hoh-ho."""
Ushiromiya George,"""That'd be incredible if true. Maybe mackerel cake will show up on the new menu at one of Father's restaurants."" ","""That would be incredible if true. Maybe mackerel cake will show up on the new menu at Father's stores.""","""That would be incredible if true. Maybe mackerel cake will show up on the new menu at Father's store.""",「それが本当ならすごいね。お父さんの店の新メニューに、鯖ケーキとか登場するかもしれないよ。」,「それが本当ならすごいね。お父さんの店の新メニューに、鯖ケーキとか登場するかもしれないよ」,"""Будь это правдой, то это было бы невероятным. Может быть, торт из скумбрии появится в новом меню в магазине отца.""","""Isso seria incrível se fosse verdade. Talvez bolo de cavalinha apareça no novo menu das lojas do pai.""",「這要是真的那就厲害了。爸餐廳的新菜單裡，或許就能有鯖魚蛋糕登場了。」,「这要是真的那就厉害了。爸餐厅的新菜单里，或许就能有鲭鱼蛋糕登场了。」,"""Sarebbe incredibile se fosse vero. Forse la torta allo sgombro si farà vedere sul nuovo menu del negozio di Papà.""","""Sarebbe incredibile se fosse vero. Forse la torta allo sgombro potrebbe diventare una nuova voce nei menù dei locali di mio padre.""","""Bu doğru olsaydı inanılmaz olurdu. Belki de uskumru pastası babamın dükkanlarındaki yeni menüde yer alır."""
Ushiromiya Battler,"""Wahahaha! After all, mackerel's full of nutrients and sounds healthy. It might get really popular with women and the elderly! But I'm not gonna get anywhere near it!"" ","""Wahahaha! Because mackerel is full of nutrients and has a healthy image. It could be really popular with women and old people! But I'm not gonna get anywhere near it!""","""Wahahaha! Because mackerel is full of nutrients and has a healthy image. It'll be really popular with women and old people! But I'm not gonna get anywhere near it!""",「わっはっはっは！　鯖って栄養満点でヘルシーっぽいイメージがあるしよ。女性とかお年寄りに人気が出たりしてな！　俺は食わねぇけどよ！」,[=JP],"""Ва‐ха‐ха‐ха! Это потому, что скумбрия полна питательных веществ и способствует здоровому образу жизни. Она широко распространена среди женщин и стариков! Но я к ней и на пушечный выстрел не подойду!""","""Wahahaha! Afinal, a cavalinha é cheia de nutrientes e parece um alimento saudável. Isso poderia ser realmente popular com as mulheres e os idosos! Mas eu não chegaria nem perto!""",「哇哈哈哈！畢竟鯖魚也有營養豐富、有益健康的印象嘛。沒准在女性和老年人之間會很有人氣的！雖然我是不會去吃的就是了！」,「哇哈哈哈！毕竟鲭鱼也有营养丰富、有益健康的印象嘛。没准在女性和老年人之间会很有人气的！虽然我是不会去吃的就是了！」,"""Wahahaha! Siccome il maccarello è pieno di nutrienti e ha un'immagine salutare, sarà molto popolare tra donne e anziani! Ma io non lo assaggerei mai!""","""Wahahahah! E poi lo sgombro è pieno di nutrienti, ed è noto per essere salutare. Diventerebbe popolare fra le donne e gli anziani! Ma col cavolo che lo mangerei!""","""Wahahaha! Ne de olsa uskumru besleyici ve de oldukça sağlıklı bir imaja sahip. Kadınlar ve yaşlılar arasında gerçekten popüler olabilir! Ama ben yanına bile yaklaşmam!"""
Ushiromiya Jessica,"""Girls won't eat something that weird."" ","""Girls won't eat something that weird.""",[=UP],「女はそんなゲテモノは食わねぇぜ。」,「女はそんなゲテモノは食わねぇぜ」,"""Девушки не станут есть что‐то столь подозрительное.""","""Garotas não comeriam uma coisa tão estranha.""",「女孩子才不會去吃這種怪東西嘞。」,「女孩子才不会去吃这种怪东西嘞。」,"""Le ragazze non mangeranno mai qualcosa di così strano.""","""Le ragazze non mangerebbero mai qualcosa di così strano.""","""Kızlar bu kadar tuhaf bir şeyi yemez."""
