Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Ushiromiya Rosa,"""................................."" ",""".................................""","""........................""",「………………………………。」,「………………………………」,[=OG],[=UP],[=JPC],[=JPC],"""...""",[=ITA],[=UP]
,Rosa awoke from her doze. ,Rosa woke up from her doze.,Rosa awoke from her doze.,楼座はまどろみから目を覚ましました。,[=JP],Роза пробудилась ото сна.,Rosa acordou de seu repouso.,樓座從睡夢中醒來了。,楼座从睡梦中醒来了。,Rosa si svegliò.,Rosa si destò dal proprio torpore...,Rosa uykusundan uyandı.
,"...It must have been a very deep sleep. Her mind was hazy, and she wasn't thinking clearly. ",......It must have been a very deep sleep.{n}Her mind was fuzzy and she wasn't thinking clearly.,......It must have been a very deep sleep. Her mind was hazy and she wasn't thinking clearly.,……相当の深い眠りだったのでしょうか。ぼんやりとして思考もはっきりしません。,……相当の深い眠りだったのでしょうか。{n}ぼんやりとして思考もはっきりしません。,"......Этот сон, должно быть, был очень глубокий.{n}Её разум был затуманен, и она не могла чётко мыслить.","......Deve ter sido um sono muito, muito profundo.{n}Sua mente estava confusa e ela não conseguia pensar claramente.",……是睡得相當深吧。{n}迷迷糊糊的，思維也不清晰。,……是睡得相当深吧。{n}迷迷糊糊的，思维也不清晰。,... Doveva essere stato un sonno molto profondo. La sua mente era annebbiata e i suoi pensieri erano confusi.,"Doveva essere stato un sonno molto profondo.{n}Si sentiva la testa appannata, e i suoi pensieri erano confusi.",......Çok derin bir uyku olmalıydı.{n}Zihni bulanıktı ve net düşünemiyordu.
,"Where is this...? It felt like some mansion, but it didn't seem to be the Ushiromiya mansion. ","Where was she...{n}It felt like some mansion, but at least it didn't seem to be the Ushiromiya family mansion."," Where is this...? It felt like some mansion, but at least it didn't seem to be the Ushiromiya family mansion.",ここはどこでしょう…。どこかの屋敷のように感じられたが、少なくとも右代宮家の屋敷ではないようでした。,ここはどこでしょう…。{n}どこかの屋敷のように感じられたが、少なくとも右代宮家の屋敷ではないようでした。,"Где я?..{n}Чувства говорили ей, что это какой‐то особняк, но по крайней мере, он не напоминал особняк семьи Уширомия.","Que lugar era esse...?{n}Parecia-se com uma espécie de mansão, mas não parecia ser a mansão da família Ushiromiya.",這裡是哪兒呢…。{n}雖然感覺像是某處的大屋，但至少應該不是右代宮家的大屋。,这里是哪儿呢…。{n}虽然感觉像是某处的大屋，但至少应该不是右代宫家的大屋。,"Che posto è questo...? Sembrava una villa, ma almeno non sembrava essere quella della famiglia Ushiromiya.","Che posto era quello...?{n}Sembrava una specie di villa, ma sicuramente non era simile a quella della famiglia Ushiromiya.",Neredeydi...{n}Bir malikaneye benziyordu ama en azından Ushiromiya ailesinin malikanesi gibi görünmüyordu.
,She could see a room that looked like a parlor. ,She was in a room that looked like a parlor., She could see a room that looked like a parlor.,そこは、客間のような部屋に見えました。,[=JP],"Перед её глазами была комната, похожая на гостиную.",Ela estava em uma sala que se parecia com a sala de visitas.,而這個房間，看起來像是個客廳。,而这个房间，看起来像是个客厅。,Riusciva a vedere una stanza che sembrava un salotto.,Riusciva a vedere una stanza che sembrava un salotto...,Salona benzeyen bir odadaydı.
,...And there was some tea that had been prepared. It had probably been made for her. ,......And there was some tea that had been prepared.{n}It had almost certainly been prepared for her.,......And there was some tea that had been prepared. It had probably been prepared for her.,……そしてそこにはお茶の用意がありました。恐らく、自分の為に用意されているに違いありません。,……そしてそこにはお茶の用意がありました。{n}恐らく、自分の為に用意されているに違いありません。,"......Ещё она видела приготовленный и заваренный чай.{n}Чай, вероятно, предназначался ей.",......E lá estava sendo preparado um pouco de chá.{n}Era quase certo de que estava sendo preparado para ela.,……桌上擺著一杯茶。{n}恐怕，這一定是為她而準備的吧。,……桌上摆着一杯茶。{n}恐怕，这一定是为她而准备的吧。,... E c'era del tè che era stato preparato. Probabilmente era stato preparato per lei.,E al suo interno era stato servito del tè.{n}Forse doveva essere stato preparato per lei.,......Ve biraz da hazırlanmış çay vardı.{n}Onun için hazırlandığı neredeyse kesindi.
,"Around the room, some glitter that looked like gold leaf drifted about, making the scene look quite fantastical. ","Sparkles like gold leaf were dancing around the room, and it looked very dreamlike."," Around the room, some glitter that looked like gold leaf drifted about, making the scene look very fantastical.",部屋の中に金箔のようなキラキラが舞っていて、とても幻想的でした。,[=JP],"В самом центре комнаты, кружась, сверкали золотые листья, что выглядело очень сказочно.","No entorno da sala, avistava‐se algo análogo a cintilantes folhas douradas, que dançavam no ar e transformavam a cena em algo fantasioso.",房間中閃爍著的光芒，如金箔一般翩翩飛舞，充滿了幻想色彩。,房间中闪烁着的光芒，如金箔一般翩翩飞舞，充满了幻想色彩。,"Un luccichio che sembrava polvere d'oro fluttuava per la stanza, facendo apparire la scena molto surreale.","Nella stanza aleggiava un luccichio che pareva della polvere dorata, creando un'atmosfera molto surreale...",Altın yaprağı andıran pırıltılar odanın etrafında adeta dans ediyorlardı ve oda bir rüyayı andırıyordu.
,"...When she eventually realized that they were gold butterflies, it further strengthened that impression. ","...She eventually realized that they were gold butterflies, which made that stand out even more.","...When she eventually realized that they were gold butterflies, it further strengthened this impression.",…それはやがて黄金の蝶であるとわかり、さらにそれを際立たせるのでした。,[=JP],"...В конце концов, она поняла, что то были золотые бабочки, и казалось, они выделялись ещё больше.","...Rosa eventualmente percebeu que eram borboletas douradas, o que fez com que elas se destacassem ainda mais.",…在不久後發現那是黃金蝴蝶時，更是突顯了這份幻想風格。,…在不久后发现那是黄金蝴蝶时，更是突显了这份幻想风格。,"... Quando poi si accorse che erano farfalle dorate, quest'impressione si rafforzò.","Una volta che si rese conto che erano delle farfalle dorate, quell'impressione venne ulteriormente accentuata.","...En sonunda onların altın kelebekler olduğunu fark etti, bu da durumu daha da belirginleştirdi."
,There was someone across from her. ,There was someone across from her., There was someone across from her.,自分の向かいには、誰かがいました。,[=JP],А напротив неё кто‐то стоял.,Havia alguém à sua frente.,而在她正對面，有一個人。,而在她正对面，有一个人。,C'era qualcuno davanti a lei.,Di fronte a lei c'era qualcuno...,Karşısında biri vardı.
,...A woman. ...A lady. ,......Female. ......A lady.,......Female. ......A woman.,……女性。……婦人。,[=JP],......Женщина. ......Девушка.,......Uma mulher. ......Uma dama.,[=JP],……女性。……妇人。,... Femmina. ... Una donna.,Era una femmina... Una donna adulta...,......Kadın. ......Bir bayan.
