Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA),Turkish (TR)
Ushiromiya Rudolf,"""Dang, too bad Aneki hates cigarettes so much."" ","""Sheesh. Aneki's hatred of cigarettes is a real pain in the neck.""","""My, my, what a shame that Aneki hates cigarettes so much.""",「やれやれ。姉貴の煙草嫌いにも参ったもんだな。」,「やれやれ。姉貴の煙草嫌いにも参ったもんだな」,"""М‐да, м‐да, какая жалость, что Анеки так ненавидит сигареты.""","""Francamente. O ódio da aneki por cigarros é mesmo um saco.""",「真是的。我算是敗給大姐的厭煙癖了。」,「真是的。我算是败给大姐的厌烟癖了。」,"""Oh cielo, è un peccato che Aneki odi le sigarette così tanto.""","""Amanın. Aneki'nin sigaraya olan nefreti gerçekten can sıkıcı."""
Ushiromiya Hideyoshi,"""Sorry. She's been pretty grumpy since last night. Please don't hold it against her."" ","""Sorry. She's been grumpy since last night. Think you could let it slide?""","""Sorry. She's been grumpy since last night. Would you mind ignoring it?""",「すまんなぁ。昨夜からカリカリしとるんや。気にせんでやってくれんか。」,「すまんなぁ。昨夜からカリカリしとるんや。気にせんでやってくれんか」,"""Извини. Она с прошлого вечера в дурном настроении. Ты не мог бы не обращать внимания?""","""Desculpa. Ela está mal‐humorada desde a noite passada. Não acha que pode deixar isso passar?""",「對不住吶。她從昨晚起心裡就很煩。請別介意吶。」,「对不住呐。她从昨晚起心里就很烦。请别介意呐。」,"""Scusate. È dalla scorsa notte che è scontrosa. Vi dispiacerebbe non farci troppo caso? ""","""Üzgünüm. Dün geceden beri huysuz. Bunu görmezden gelebilir misin?"""
,Rudolf and Hideyoshi went out onto the deck and took out some cigarettes. ,"Rudolf and Hideyoshi went out onto the deck, and took out some cigarettes.",[=UP],留弗夫と秀吉は甲板に出て、煙草を取り出す。,[=JP],Рудольф и Хидэёши вышли на палубу и достали сигареты.,Rudolf e Hideyoshi foram até o deck e pegaram um maço de cigarros.,留弗夫與秀吉來到甲板，取出了香煙。,留弗夫与秀吉来到甲板，取出了香烟。,Rudolf e Hideyoshi uscirono sul ponte e presero alcune sigarette.,Rudolf ve Hideyoshi güverteye çıktılar ve sigara çıkardılar.
,"Eva had always hated the smell of cigarettes, but when she was in a bad mood, she got even more sensitive to them. ","Eva had always hated the smell of cigarettes, but when she was in a bad mood, she got even more oversensitive."," Eva had always hated the smell of cigarettes, but when she was in a bad mood, she got even more oversensitive.",絵羽が煙草の臭いを嫌うのは昔からのことだが、不機嫌になるとさらにそれが過敏になる。,[=JP],"Ева всегда ненавидела запах сигарет, но когда пребывала в дурном расположении духа, то реагировала на него ещё острее.","Eva sempre odiou o cheiro de cigarros, mas quando estava de mau humor, ela ficava ainda mais hipersensível.",繪羽從很久以前就很討厭香煙的氣味，人不高興時那就更過敏了。,绘羽从很久以前就很讨厌香烟的气味，人不高兴时那就更过敏了。,"Eva aveva da sempre odiato l'odore del fumo, ma quando era di cattivo umore ne diventava ancora più sensibile.","Eva sigara kokusundan her zaman nefret ederdi, ama kötü bir ruh halinde olduğunda daha da hassaslaşıyordu."
,"When they decided to smoke casually until they reached the island, the two of them had gotten yelled at and chased out onto the deck. ","The two of them had attempted to spend some relaxed time smoking until they made it to the island, but they had gotten yelled at and chased out onto the deck."," When they had decided to spend the time until they reached the island smoking casually, the two of them had been threatened and chased out onto the deck.",島に着くまでをのんびり喫煙して過ごそうとした二人はそれを咎められ、甲板に追い出されたのだ。,[=JP],"Когда они решили скоротать время до прибытия на остров за расслабленным курением сигарет, она пригрозила им и выгнала на палубу.","Os dois tentaram passar um tempo relaxando enquanto fumavam até chegar à ilha, mas eles foram repreendidos e mandados para o deck.",她狠狠地斥責了打算在上島前悠閑地抽抽煙的秀吉與留弗夫，將他們趕到了甲板上。,她狠狠地斥责了打算在上岛前悠闲地抽抽烟的秀吉与留弗夫，将他们赶到了甲板上。,"Nel momento in cui avevano deciso di spendere il tempo che mancava all'arrivo fumando con aria indifferente, erano stati minacciati e scacciati sul ponte.",İkisi adaya varana kadar sigara eşliğinde rahat bir zaman geçirmeye çalışmışlar ama bağırış çağırış eşliğinde güverteye kovulmuşlardı.
,"Hideyoshi tried to use his lighter, but the strong winds gave him some trouble. Rudolf took out a Zippo with a smooth gesture and let Hideyoshi borrow the flame. ","Hideyoshi tried to use his lighter, but it didn't go well with all of the strong winds on the deck.{n}Rudolf took out a Zippo with a stylish gesture, and let Hideyoshi borrow the flame."," Hideyoshi tried to use his lighter, but it didn't go well with all of the strong winds on the deck. Rudolf took out a Zippo with a stylish gesture, and let Hideyoshi borrow the flame.",秀吉はライターを灯すが、甲板の強風でうまく付かない。留弗夫は、洒落た仕草でジッポを取り出すと、秀吉に火を貸すのだった。,秀吉はライターを灯すが、甲板の強風でうまく付かない。{n}留弗夫は、洒落た仕草でジッポを取り出すと、秀吉に火を貸すのだった。,"Хидэёши попытался воспользоваться своей зажигалкой, но из‐за сильного ветра на палубе у него ничего не получалось.{n}Рудольф стильным жестом достал Зиппо и дал Хидэёши прикурить.","Hideyoshi tentou usar seu isqueiro, mas não parecia funcionar muito bem devido ao forte vento que batia no deck.{n}Rudolf retirou um Zippo de seu bolso com um gesto refinado e emprestou a Hideyoshi sua chama.",秀吉摁燃了打火機，但由於甲板上的強風，沒法好好點上煙。{n}留弗夫以一記瀟灑的動作取出了 {c:86EF9C:ZIPPO}，給秀吉借了個火。{c:86EF9C:（詳見魔導書同名條目）},秀吉摁燃了打火机，但由于甲板上的强风，没法好好点上烟。{n}留弗夫以一记潇洒的动作取出了 {c:86EF9C:ZIPPO}，给秀吉借了个火。{c:86EF9C:（详见魔导书同名条目）},"Hideyoshi provò ad usare il suo accendino, ma fallì a causa del vento che sul ponte soffiava molto forte. Rudolf tirò fuori uno Zippo con un gesto elegante e permise ad Hideyoshi di usare la fiamma.",Hideyoshi çakmağını kullanmayı denedi ama güvertedeki şiddetli rüzgâr yüzünden pek işe yaramadı.{n}Rudolf şık bir hareketle bir Zippo çıkardı ve Hideyoshi'ye ateşini uzattı.
Ushiromiya Rudolf,"""When did you start smoking cigarettes, Hideyoshi nii-san?"" ","""When did you start smoking, Hideyoshi nii‐san?""","""When did you start smoking cigarettes, Hideyoshi nii-san?""",「秀吉兄さんはいつ頃から煙草を？」,[=JP],"""Когда ты начал курить, Хидэёши нии‐сан?""","""Quando você começou a fumar, Hideyoshi nii‐san?""",「秀吉姐夫是從什麼時候開始抽煙的？」,「秀吉姐夫是从什么时候开始抽烟的？」,"""Quando hai cominciato a fumare, Hideyoshi nii-san?""","""Hideyoshi nii-san, sigaraya ne zaman başladın?"""
Ushiromiya Hideyoshi,"""Just after the war. In the beginnin', I was rollin' 'em. Then I started usin' what I sold. Wahahahahahahaha."" ","""Just after the war. In the beginnin', I was rollin' 'em. Then I started usin' what I was sellin'. Wahahahahahahaha.""",[=UP],「戦後すぐや。最初は煙草を転がしとってなぁ。自分の売り物に手を付けてしまったわけや。わははははははは。」,「戦後すぐや。最初は煙草を転がしとってなぁ。自分の売り物に手を付けてしまったわけや。わははははははは」,"""Сразу после войны. Поначалу я их сворачивал. А затем перешёл на то, чем торговал. Аха‐ха‐ха‐ха‐ха‐ха‐ха.""","""Logo depois da guerra. No começo, eu só revendia os cigarros. Até que comecei a usar aquilo que eu estava vendendo. Wahahahahahahaha.""",「戰後沒多久吶。俺起初是倒賣香煙的。就是對自己的商品出了手吶。哇哈哈哈哈哈哈哈。」,「战后没多久呐。俺起初是倒卖香烟的。就是对自己的商品出了手呐。哇哈哈哈哈哈哈哈。」,"""Subito dopo la guerra. All'inizio io ero quello che le rollava. E dopo ho iniziato ad usare quello che stavo vendendo. Wahahahahahahaha.""","""Savaşın hemen sonrasında. İlk başta, sadece sarıyordum. Sonra sattıklarımı kullanmaya başladım. Wahahahahahahaha."""
Ushiromiya Rudolf,"""So you were already smoking when you met Aneki. Bet she's always telling you to stop."" ","""So you were already smoking when you met Aneki. I'll bet she's always telling you to stop.""",[=UP],「じゃあ、姉貴と会った時にはもう吸ってたわけだ。姉貴には、ずいぶん止めろ止めろと言われたでしょう。」,「じゃあ、姉貴と会った時にはもう吸ってたわけだ。姉貴には、ずいぶん止めろ止めろと言われたでしょう」,"""Стало быть, ты встретился с Анеки уже будучи курильщиком. Держу пари, она всё время говорила тебе бросить это дело.""","""Então você já fumava quando conheceu a aneki. Aposto que ela sempre disse para você parar.""",「那，姐夫在遇見大姐時就已經在抽了呢。被大姐說過好多次“別抽了別抽了”了吧。」,「那，姐夫在遇见大姐时就已经在抽了呢。被大姐说过好多次“别抽了别抽了”了吧。」,"""Quindi già fumavi quando hai conosciuto Aneki. Scommetto che ti dice in continuazione di smettere.""","""Yani Aneki'yle tanıştığın zaman zaten sigara içiyordun. Aneki'nin sana bırakmanı söyleyip durduğuna eminim."""
Ushiromiya Hideyoshi,"""I never listened to her, so she's already completely given up on that. Wahaha, men gotta be stubborn, times like these."" ","""I never listened to her, so she's already completely given up on that. Wahaha, looks like men've gotta be stubborn.""","""I never listened to her, so she's already completely given up on that. Wahaha, looks like men have got to be stubborn.""",「わしが聞く耳持たんもんだから、あれももうすっかり諦めよった。わはは、やはり男は強情でなくてはあかんな。」,「わしが聞く耳持たんもんだから、あれももうすっかり諦めよった。わはは、やはり男は強情でなくてはあかんな」,"""Я никогда её не слушал. Аха‐ха, похоже, мужчина временами должен проявить упрямство.""","""Eu nunca a escutei, então ela acabou desistindo completamente. Wahaha, parece que homens são mesmo teimosos.""",「俺這個人是聽不進這種話的，你姐也已經完全死心了。哇哈哈，男人果然是得強硬點吶。」,「俺这个人是听不进这种话的，你姐也已经完全死心了。哇哈哈，男人果然是得强硬点呐。」,"""Non le ho mai dato retta, quindi si è ormai completamente arresa. Wahaha, a quanto pare anche gli uomini hanno imparato ad essere testardi.""","""Ona hiç kulak asmadım, o da bunu yapmayı çoktan bıraktı. Wahaha, görünüşe göre erkekler inatçı olmak zorunda."""
