Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
Ushiromiya Kinzo,"""...........................Now then. How will the game be resolved this time? ...You may submit, and you may resist. ......Either way, it will truly be an entertaining banquet worth betting my short remaining life on.""","""............Well then, how will this game be resolved? ...You may submit, or you may resist. ...Either way, it will truly be an entertaining banquet worth betting my short remaining life on."" ",""".....................Well then. How will this game be resolved? ...You may submit, and you may resist. ......Either way, it will truly be an entertaining banquet worth betting my short remaining life on.""",「………………………さて。この度のゲームはどう転ぶのか。…委ねるもよし、抗うもよし。……いずれにせよ、わしに残されたわずかの命を賭すに値する、実に楽しい宴よ。」,「………………………さて。この度のゲームはどう転ぶのか。…委ねるもよし、抗うもよし。……いずれにせよ、わしに残されたわずかの命を賭すに値する、実に楽しい宴よ」,""".....................Итак. Какой же исход будет у этой игры? ...Ты можешь сдаться, а можешь и сопротивляться. ......В любом случае, это будет воистину занимательный пир, достойный того, чтобы поставить на него отмеренный мне недолгий срок.""","""...........................Pois bem... Como o jogo será resolvido desta vez? ...Você deve se submeter ou deve resistir? ......De ambas as formas, será um divertido banquete digno de se apostar o que resta da minha curta vida.""",[=UP],「………………………哼哼。本次的遊戲會如何展開呢？…委身也好，抵抗也罷。……不管怎樣，這都會是值得賭上我所剩無幾的性命的，實在愉快的宴會。」,「………………………哼哼。本次的游戏会如何展开呢？…委身也好，抵抗也罢。……不管怎样，这都会是值得赌上我所剩无几的性命的，实在愉快的宴会。」,[=UP],[=UP],[=UP]
,"In his dimly lit study, which was occasionally brightened by lightning, Kinzo kept mumbling to himself, laughing to himself.","In his dimly lit study, occasionally brightened by lightning, Kinzo kept mumbling and laughing to himself. ","In his dimly lit study, which was occasionally brightened by lightning, Kinzo kept mumbling to himself, laughed by himself.",金蔵は薄暗い書斎で、時折、稲光に照らされながら、ぶつぶつと独り言を口走っては、それにひとり、笑う。,[=JP],"Находясь в своем тускло освещённом кабинете, изредка озаряемом вспышкой молнии, Кинзо, посмеиваясь, что‐то бормотал про себя.","Em seu estúdio pouco iluminado, que ocasionalmente clareava devido aos raios, Kinzo continuava a murmurar para si mesmo, rindo sozinho.",[=UP],在陰暗的書房中，隨著一陣陣閃電照亮臉龐，金藏嘰哩咕嚕地自言自語完後，獨自一笑。,在阴暗的书房中，随着一阵阵闪电照亮脸庞，金藏叽哩咕噜地自言自语完后，独自一笑。,[=UP],[=UP],[=UP]
,"On the antique clock with an intricate design that was sitting on his desk, the two overlapping hands had begun to tilt to the right, and separate from one another.","On the antique clock with the intricate design that had been sitting on his desk, the two overlapping hands tilted to the right and began to slide. "," On the antique clock with the intricate design that had been sitting on his desk, the two overlapping hands tilted to the right, and began to slide.",机の上に置かれた、凝った意匠の施されたアンティークの時計は、重なっていた２本の針を右に傾かせ、ずらし始めている。,[=JP],"На антикварных часах причудливого облика, стоявших у него на столе, две совпавшие стрелки сдвинулись вправо и принялись скользить вниз.","O clássico relógio com um intrigante design estava sobre sua mesma, os dois ponteiros sobrepostos começaram a se inclinar para a direita, separando‐se um do outro.",[=UP],擺在桌上的造工精細的古董時鐘中，兩根重合在一起的指針已開始往右傾斜，慢慢錯開。,摆在桌上的造工精细的古董时钟中，两根重合在一起的指针已开始往右倾斜，慢慢错开。,[=UP],[=UP],[=UP]
,"The passage of time that had counted to 24 had returned to 0, and begun to start counting again...",The measure of time that counted up to 24...had returned to 0...and had begun to count back again... ," The measure of time that counted to 24 had returned to 0, and had begun to count back again...",２４を数えた時の刻みが０に戻り、再びそれを数え直していた…。,[=JP],"Измеряемое время достигло 24 и вернулось к 0, а затем начался обратный отсчёт...","A passagem do tempo havia contado até 24 e retornado ao 0, começando mais uma vez sua contagem...",[=UP],數到了二十四的時刻回到了零，再次重新數了起來…。,数到了二十四的时刻回到了零，再次重新数了起来…。,[=UP],[=UP],[=UP]
Ushiromiya Kinzo,"""......The passage of time is a brutal thing. It drags itself all the way to 24 over the course of a day, and then returns back to 0. ......It surely managed to count to 23:59. However, was it ever able to reach 24:00? ......If you believe that it returns to 0:00 again without reaching it, how futile it seems.""","""...Measuring time is a brutal thing. It drags itself all the way to 24 over the course of a day, and then returns back to 0. ...It certainly did count to 23:59. However, is it ever able to reach 24:00? ...If you conclude that it returns to 0:00 again without reaching 24, how futile it must all be."" ","""......Measuring time is a brutal thing. It drags itself all the way to 24 over the course of a day, and then returns back to 0. ......It surely counts to 23:59. However, is it ever able to reach 24:00? ......If you believe that it returns to 0:00 again without reaching it, how futile it seems.""",「……時の刻みとは残酷なものよ。２４を数えるために一日を掛けて辿り着き、そして再び０に戻る。……２３時５９分までは確かに数えただろう。しかし、２４時に辿り着くことはできたのだろうか？　……辿り着けず、再び０時に戻ったと考えれば、それは何とも虚しいことよ。」,「……時の刻みとは残酷なものよ。２４を数えるために一日を掛けて辿り着き、そして再び０に戻る。……２３時５９分までは確かに数えただろう。しかし、２４時に辿り着くことはできたのだろうか？　……辿り着けず、再び０時に戻ったと考えれば、それは何とも虚しいことよ」,"""......Измеряемое время жестоко. Оно тащится до 24 в течение дня, а затем возвращается обратно к нулю. ......Оно вне всякого сомнения достигает 23:59. Вот только сможет ли оно когда‐нибудь достичь 24:00? ......Если верить, что оно вновь возвращается к 0:00, то каким же напрасным кажется это течение.""","""......A passagem do tempo é algo brutal. Ela se arrasta por um longo caminho até bater 24 durante o curso do dia, e então, mais uma vez retorna ao 0. ......Certamente é possível contar até 23:59. Entretanto, nunca foi capaz de chegar 24:00? ......Se você acredita que ele retorna às 0:00 novamente sem alcançá‐lo, o quão fútil isso parece ser?""",[=UP],「……所謂時刻可真是殘酷。為了數到二十四，費盡一日抵達此處，然後再度回到了零。……直至二十三點五十九分，是確實能數到的。只不過，這到底有沒有抵達二十四點呢？……如果按未能抵達，再度回到了零來想，這是何等的徒勞呢。」,「……所谓时刻可真是残酷。为了数到二十四，费尽一日抵达此处，然后再度回到了零。……直至二十三点五十九分，是确实能数到的。只不过，这到底有没有抵达二十四点呢？……如果按未能抵达，再度回到了零来想，这是何等的徒劳呢。」,[=UP],[=UP],[=UP]
,"No, is that not the same as a person's life? You live, aiming for a perfect 24, and in the instant you reach it, you return to 0.","But perhaps a person's life is the same. You live, aiming for a perfect 24, and in the instant you reach it, you return to 0. ","No, is that the same as a person's life? You live, aiming for a perfect 24, and in the instant you reach it, you return to 0.",いや、それこそが人の生涯か。完全な２４を目指して生き、そこに辿り着いた刹那、０に戻る。,[=JP],"Нет, не схоже ли это с человеческой жизнью? Ты живёшь, стремясь к идеальным 24, но стоит лишь их достигнуть, как возвращаешься к 0.","Não, não é o mesmo que a vida de uma pessoa? Você vive, almejando por um 24 perfeito e, no instante que o alcança, você retorna ao 0.",[=UP],唉，這即是人的一生麼。以完整的二十四為目的活著，在抵達此處的那一剎那，回歸為零。,唉，这即是人的一生么。以完整的二十四为目的活着，在抵达此处的那一刹那，回归为零。,[=UP],[=UP],[=UP]
,"People may praise the departed, saying that they did reach 24, but that is absolutely not 24.","People will probably praise the departed, saying that he did reach 24, but he most certainly did not. "," People will probably praise the departed, saying that he did reach 24, but that surely is not 24.",故人は２４に辿り着けたと人々は讃えるだろうが、それは断じて２４ではない。,[=JP],"Люди наверняка похвалят почившего, говоря, что ему удалось достичь 24, но это определённо не 24.","As pessoas podem louvar os que já partiram, dizendo que eles alcançaram o 24, mas isto absolutamente não é 24.",[=UP],雖然人們讚美故人，稱他們抵達了二十四，但這絕非二十四。,虽然人们赞美故人，称他们抵达了二十四，但这绝非二十四。,[=UP],[=UP],[=UP]
,.........It is nothing more than 0.,"......In the end, he's a 0. ",".........After all, that is 0.",………所詮は、０なのだ。,[=JP],.........А всё‐таки 0.,.........Não é meramente mais do que 0.,[=UP],………終歸只是，一個零。,………终归只是，一个零。,[=UP],[=UP],[=UP]
Ushiromiya Kinzo,"""I am different. ......I will reach 24 alive. Because that itself is the Golden Land. ...That is {f:5:Beatrice}'s dwelling.""","""I am different. ...I will live and reach 24. That itself is the Golden Land. ...For that is where {f:5:Beatrice} dwells."" ","""I am different. ......I will live and reach 24. That itself is the Golden Land. ...Because that is Beatrice's dwelling.""",「わしは違うぞ。……わしは生きて２４に辿り着く。そここそが黄金郷。…ベアトリーチェの住処なのだから。」,「わしは違うぞ。……わしは生きて２４に辿り着く。そここそが黄金郷。…ベアトリーチェの住処なのだから」,"""Но я отличаюсь от других. ......Я выживу и достигну 24. Это, в сущности, и есть Золотая Земля. ...Потому что там обитает {f:5:Беатриче}.""","""Eu sou diferente. ......Eu chegarei ao 24 vivo. Porque isto em si é a Terra Dourada. ...É onde a {f:5:Beatrice} reside.""",[=UP],「我可不同。……我會活著抵達二十四。因為，那即正是黃金鄉。…是貝阿朵莉切的住處。」,「我可不同。……我会活着抵达二十四。因为，那即正是黄金乡。…是贝阿朵莉切的住处。」,[=UP],[=UP],[=UP]
,Kinzo had been fumbling around with some tarot cards for some time.,Kinzo had been fumbling around with some tarot cards for some time. ,[=UP],金蔵は先ほどからずっと、タロットカードを弄っていた。,[=JP],Какое‐то время Кинзо перебирал карты таро.,Kinzo estava se entretendo com cartas de tarot por um tempo.,[=UP],從剛才起，金藏就一直在撥弄著塔羅牌。,从刚才起，金藏就一直在拨弄着塔罗牌。,[=UP],[=UP],[=UP]
,"It looked as though he was trying to divine his own luck, his own propensity for victory, and doing it over every time he didn't like the result.","It looked as though he was trying to divine his own luck with a contest, doing it over every time he didn't like the result. "," It looked as though he was trying to divine his own luck in the contest, and doing it over every time he didn't like the result.",そして己の勝負運を占っては、その結果が気に入らない度にやり直しているように見えた。,[=JP],"Казалось, словно он пытается предсказать собственную удачу в состязании, и получавшийся каждый раз расклад не радовал его.","Parecia que ele estava tentando adivinhar sua própria sorte, sua própria propensão para vitória, fazendo isto novamente cada vez que ele não obtinha um resultado que o agradasse.",[=UP],看起來是對自己勝負運的占卜結果不滿意，一遍又一遍地重來。,看起来是对自己胜负运的占卜结果不满意，一遍又一遍地重来。,[=UP],[=UP],[=UP]
,The most forbidden action in tarot reading is to try predicting the same thing twice.,The most forbidden action in tarot reading is trying to predict the same thing twice. , The most forbidden action in tarot reading was to try predicting the same thing twice.,タロット占いでもっとも禁じられている行為は、同じことを二度占うことである。,[=JP],Самым запретным поступком при чтении карт таро было дважды пытаться предсказать одну и ту же вещь.,O ato de maior proibição na leitura do tarot é tentar prever a mesma coisa duas vezes.,[=UP],塔羅牌占卜最忌諱的行為，就是重複占卜同一件事。,塔罗牌占卜最忌讳的行为，就是重复占卜同一件事。,[=UP],[=UP],[=UP]
,"It is a desecration to the result of the fortune telling, and also desecrates the existence higher than humans which delivers signs through the tarot cards.",To do so ridicules the results of fortune telling... and also desecrates those beings higher than humans that give revelations through the tarot cards. ," That was a desecration to the result of the fortune telling, and also desecrated the existence higher than humans which became an oracle through the tarot cards.",それは占いの結果に対する冒涜であり、タロットを通じて神託を与えてくれる、人より上位の存在への冒涜ともなるのである。,[=JP],"Такой поступок осквернял результат ворожбы, включая также стоящую над людьми сущность, становившуюся оракулом через карты таро.","É uma profanação ao resultado da leitura da sorte, e também profana a existência superior aos humanos que entrega sinais através das cartas de tarot.",[=UP],這既是對占卜結果的冒瀆，還會被視為，對通過塔羅牌給予神旨的，位居人類之上的存在的褻瀆。,这既是对占卜结果的冒渎，还会被视为，对通过塔罗牌给予神旨的，位居人类之上的存在的亵渎。,[=UP],[=UP],[=UP]
,"However, Kinzo knew.","However, Kinzo knew. "," However, Kinzo knew.",しかし、金蔵は知っている。,[=JP],Но Кинзо знал причину.,"Entretanto, Kinzo sabia.",[=UP],然而，金藏是知道的。,[=CHT],[=UP],[=UP],[=UP]
,"The reason the tarot cards shouldn't be used twice was that, since it was nothing more than a random number generator, it was natural that if you read them twice, a different result would appear.","Tarot cards shouldn't be used twice because...since they're nothing more than a random number generator, reading them twice will naturally cause a different result to appear. "," The reason the tarot cards shouldn't be used twice was that, since it was nothing more than a random number generator, it was natural that if you read them twice, a different result could appear.",タロットが二度占ってはならないのは、これが単なる乱数発生器でしかないため、二度占えば異なる結果が出るのは当然だからだ。,[=JP],"Карты таро не полагалось использовать дважды, поскольку они были не более чем генератором случайных чисел, а значит естественно, что при втором чтении получится другой результат.","O motivo pelo qual cartas de tarot não deveriam ser usadas duas vezes, já era nada mais do que um gerador de números aleatórios, era natural que se você as lê‐se uma segunda vez, um resultado diferente iria aparecer.",[=UP],塔羅牌不能重複占卜，只是因為，它僅是一個亂數發生器，重複占卜出現不一樣的結果乃是理所當然之事。,塔罗牌不能重复占卜，只是因为，它仅是一个乱数发生器，重复占卜出现不一样的结果乃是理所当然之事。,[=UP],[=UP],[=UP]
,"......Therefore, reading twice was only forbidden to preserve the mystique of the tarot cards' results.","...Therefore, reading them twice was only forbidden to preserve the mystique of the tarot cards' results. ",[=UP],……だから、タロットの結果に神秘性を持たせるために、二度の占いを禁じているに過ぎないのだ。,[=JP],"......Таким образом, запрет на второе чтение был призван сохранить мистику результата от карт таро.","......Portanto, ler duas vezes era proibido para preservar a mística dos resultados das cartas de tarot.",[=UP],……所以，這僅僅是為了讓塔羅牌得出的結果具有神秘性，才禁止了重複占卜。,……所以，这仅仅是为了让塔罗牌得出的结果具有神秘性，才禁止了重复占卜。,[=UP],[=UP],[=UP]
,"...However, that didn't mean that Kinzo didn't take tarot reading seriously.","...However, that didn't mean that Kinzo didn't take tarot reading seriously. ",[=UP],…しかし、だからといって金蔵がタロット占いを馬鹿にしているわけではない。,[=JP],"...Но это не означало, что Кинзо легкомысленно относился к чтению карт таро.","...No entanto, isso não significava que Kinzo não levasse a leitura do tarot a sério.",[=UP],…不過，這也並不是說，金藏把塔羅牌占卜視為了兒戲。,…不过，这也并不是说，金藏把塔罗牌占卜视为了儿戏。,[=UP],[=UP],[=UP]
,Kinzo's interpretation of tarot reading was done in a completely different way.,Kinzo's interpretation of tarot reading was done in a completely different way. , Kinzo's interpretation of tarot reading was done in a completely different way.,金蔵の解釈によるタロット占いは、まったく別のやり方だった。,[=JP],Просто его интерпретация чтения карт таро заключалась в совершенно ином подходе.,A interpretação de Kinzo sobre a leitura das cartas de tarot era feita de uma forma completamente diferente.,[=UP],根據金藏的理解，塔羅牌占卜有著完全不同的規矩。,根据金藏的理解，塔罗牌占卜有着完全不同的规矩。,[=UP],[=UP],[=UP]
