Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
Ushiromiya Krauss,"""...Certainly, the body cannot last with nothing more than a small breakfast, but..."" ","""......Certainly, the body cannot last with nothing more than a small breakfast, but...""",[=UP],「……確かに、わずかばかりの朝食では体が持たないが、しかし…。」,「……確かに、わずかばかりの朝食では体が持たないが、しかし…」,"""......Для нормальной работы телу будет мало такого скромного завтрака, но всё же...""","""......Certamente, o corpo não consegue se manter com apenas um pequeno café da manhã, mas...""",「……的確，光靠這麼一點點早餐，身體是撐不住的，可是…」,「……的确，光靠这么一点点早餐，身体是撑不住的，可是…」,"""... Certamente, il corpo non può resistere con niente più di una piccola colazione, ma..."""
Ushiromiya Rudolf,"""Of course, we understand. Still, as time passes, it'll get darker and darker out. It's probably at its brightest now. It's the most convenient time."" ","""Of course, we understand. But the thing is, as time passes, it'll get darker and darker. Now is probably the lightest. Now is the most convenient time.""","""Of course, we understand. Still, as time passes, it'll get darker and darker. Now is probably the lightest. Now is the most convenient time.""",「もちろんわかってるさ。だがな、時間を置けばどんどん暗くなってくる。多分、今が一番明るい。今が一番都合がいいんだ。」,「もちろんわかってるさ。だがな、時間を置けばどんどん暗くなってくる。多分、今が一番明るい。今が一番都合がいいんだ」,"""Конечно, мы понимаем. Чем больше времени пройдёт, тем темнее станет. Сейчас светлее всего. Поэтому сейчас самое подходящее время.""","""É claro, nós entendemos. Mas a questão é que, conforme o tempo passa, vai ficar mais e mais escuro. Provavelmente esta é a hora mais clara. Este é o momento mais conveniente.""",「這個當然明白了。但是啊，時間越是拖下去，天就會越來越黑。現在多半是天最亮的時候。這會兒去是最合適的啊。」,「这个当然明白了。但是啊，时间越是拖下去，天就会越来越黑。现在多半是天最亮的时候。这会儿去是最合适的啊。」,"""Ovviamente, noi capiamo. Inoltre, come il tempo passa, si fa sempre più scuro. Ora probabilmente c'è più luce. È il momento più conveniente."""
Ushiromiya Natsuhi,"""Only about an hour has passed since Rosa-san was attacked. This is simply too reckless...!"" ","""Only about an hour has passed since Rosa‐san was attacked. This is simply too reckless...!""","""Only about an hour has passed since Rosa-san was attacked. This is simply too reckless...!""",「楼座さんたちが襲われてから、まだ１時間も経ったかどうかですよ。いくら何でも無用心です…！」,[=JP],"""С момента нападения на Розу прошло полчаса. Такой поступок будет чистой воды безрассудством!""","""Se passou apenas cerca de uma hora desde que a Rosa‐san foi atacada. Isto é simplesmente imprudente demais...!""",「從樓座妹妹他們遇襲時起到現在，連有沒有過一小時都不知道。再怎麼說，這也太缺乏警惕心了…！」,「从楼座妹妹他们遇袭时起到现在，连有没有过一小时都不知道。再怎么说，这也太缺乏警惕心了…！」,"""È passata solo un'ora da quando Rosa-san è stata attaccata. È semplicemente troppo sconsiderato...!"""
,"It was only natural that Natsuhi was yelling about recklessness. ...After all, Rudolf had said he was going to the mansion to get food. ",It was only natural that Natsuhi was yelling about recklessness.{n}...Because Rudolf had said that he was going to the mansion to get food.,It was only natural that Natsuhi was yelling about it being reckless....Because Rudolf had said that he was going to the mansion to get food.,夏妃が無用心だと叫ぶのも無理はない。…留弗夫が、屋敷に食料を取りに行くと言い出したからだ。,夏妃が無用心だと叫ぶのも無理はない。{n}…留弗夫が、屋敷に食料を取りに行くと言い出したからだ。,"Было не удивительно, что Нацухи кричала о безрассудстве.{n}...Потому что Рудольф заявил, что собирается пойти в особняк раздобыть еды.",Era natural que Natsuhi estivesse berrando sobre imprudência.{n}...Porque Rudolf tinha dito que ele estava indo à mansão para pegar comida.,夏妃高喊“太缺乏警惕心了”，也是不無道理的。{n}…因為留弗夫提出，要去趟大屋拿食物。,夏妃高喊“太缺乏警惕心了”，也是不无道理的。{n}…因为留弗夫提出，要去趟大屋拿食物。,Era solo naturale che Natsuhi stesse urlando per quell'azione sconsiderata. ... Dato che Rudolf aveva detto che sarebbe andato alla villa a prendere del cibo.
,"Certainly, on top of their fatigue, their hunger was tormenting them. ","Certainly, they were being tormented by hunger as well as their fatigue."," Certainly, thanks to their fatigue, their hunger was tormenting them.",確かに彼らは疲労に加え、空腹感にも苛まれていた。,[=JP],Из‐за их усталости голод только сильнее мучил их.,"Certamente eles estavam sendo atormentados pela fome, bem como pela fadiga.",確實，除了疲勞，他們也受到了空腹感的折磨。,确实，除了疲劳，他们也受到了空腹感的折磨。,"Certamente, a causa della loro stanchezza, la loro fame li stava tormentando."
,"In the beginning, a mild level of hunger had been just what they needed to fight off drowsiness. However, it now just made their minds hazy, since it was still only midday, and their bodies felt like they were reaching their limits. ","In the beginning, they were just fine, because they could fight their moderate hunger with their drowsiness; but now it just made their minds hazy, and even though it was still only midday, their bodies felt like they were reaching their limits."," In the beginning, they could fight their hunger just fine because of their drowsiness. However, now it just made their minds hazy, since it was still only midday and their bodies felt like they were reaching their limits.",初めの内こそ、ほどよい空腹感は眠気と戦えてちょうど良かったが、今は逆に意識を朦朧とさせ、まだ昼だと言うのに、もう体力の限界を感じさせている。,[=JP],"Поначалу они могли бороться с чувством голода благодаря их сонливости. Однако теперь их разум начал туманиться, поскольку был ещё только полдень, и они ощущали, что тела на пределе.","No início, eles estavam bem, porque conseguiam lutar com sua fome moderada por meio da sonolência; mas agora isso só deixava suas mentes nebulosas, e mesmo que ainda fosse apenas meio‐dia, seus corpos estavam chegando aos seus limites.",雖然剛開始時，恰到好處的空腹感正好能抑制住睡意，但現在，這反而令他們意識朦朧，明明還是中午，他們的身體似乎就已到了極限。,虽然刚开始时，恰到好处的空腹感正好能抑制住睡意，但现在，这反而令他们意识朦胧，明明还是中午，他们的身体似乎就已到了极限。,"All'inizio, potevano combatterla a causa della loro sonnolenza. Tuttavia, ora le loro menti si erano annebbiate, dato che era ancora solo mezzogiorno e i loro corpi sentivano come se avessero raggiunto il loro limite."
,The thought of going to the kitchen in the mansion and bringing back some food certainly was attractive. ,The thought of going to the kitchen in the mansion and bringing back some food certainly was attractive., The thought of going to the kitchen in the mansion and bringing back some food certainly was attractive.,屋敷の厨房へ行き、何か食料を持ってこようという話は、確かに魅力的だった。,[=JP],Мысль сходить в особняк и принести еды конечно же была крайне привлекательна.,O pensamento de ir à cozinha da mansão e trazer alguma comida certamente era atraente.,去一趟大屋廚房，帶點食物回來的提議，確實極具誘惑力。,去一趟大屋厨房，带点食物回来的提议，确实极具诱惑力。,Il pensiero di andare alla cucina della villa e tornare con del cibo era di sicuro allettante.
Ushiromiya Natsuhi,"""I am opposed to this. It may be a little rough, but we definitely shouldn't leave this place."" ","""I am opposed to this. It may be a little tough, but we definitely shouldn't leave this place.""",[=UP],「私は反対です。多少は辛いでしょうが、断じてここを出るべきではありません。」,「私は反対です。多少は辛いでしょうが、断じてここを出るべきではありません」,"""Я против этого. Может, это и слегка непросто, но мы ни за что не должны покидать это место.""","""Me oponho a isso. Pode ser um pouco difícil, mas definitivamente não devíamos deixar este lugar.""",「我反對。雖然多少會有點難熬，但斷然不該從這裡出去。」,「我反对。虽然多少会有点难熬，但断然不该从这里出去。」,"""Sono contraria. Può essere dura, ma di certo non dovremmo lasciare questo posto."""
Ushiromiya Krauss,"""...Don't worry about us, but it would pain my heart to keep the children hungry... I must be responsible as a parent."" ","""......It is alright for us. But it would pain my heart to keep the children hungry... I must bear my responsibility as a parent.""","""......We are fine. But it would pain my heart to keep the children hungry... I must bear my responsibility as a parent.""",「……私たちはいい。だが子どもたちにひもじい思いをさせるのは心が痛む…。親として責任を負わねばなるまい。」,「……私たちはいい。だが子どもたちにひもじい思いをさせるのは心が痛む…。親として責任を負わねばなるまい」,"""......Мы‐то ещё ничего. Но мне не по душе морить детей голодом... Я должен нести ответственность как родитель.""","""......Está tudo bem para nós. Mas machucaria meu coração deixar as crianças com fome... Devo carregar minha responsabilidade como pai.""",「……我們是不要緊。但讓孩子們遭罪，可就心痛了…。必須擔負起當父母的責任呢。」,「……我们是不要紧。但让孩子们遭罪，可就心痛了…。必须担负起当父母的责任呢。」,"""... Stiamo bene. Ma mi addolorerebbe lasciare i ragazzi affamati... devo portare avanti le mie responsabilità di genitore."""
Ushiromiya Natsuhi,"""D-Dear...! Now that Father is dead, you are the Ushiromiya Family Head. It is not permissible for you to take on such a danger...!"" ","""D‐dear...! Now that Father has passed away, you are the Ushiromiya family head. It is not permissible for you to take on such a danger...!""","""D, dear...! Now that Father is dead, you are the Ushiromiya family head. It is not permissible for you to take on such a danger...!""",「あ、あなた…！　お父様が亡くなられた今、右代宮家の当主はあなたです。そのような危険を冒すことは許されません…！」,[=JP],"""Д‐дорогой! Теперь, когда умер отец, ты глава семьи Уширомия. Тебе непозволительно подвергать себя такой опасности!..""","""Q‐Querido...! Agora que o pai faleceu, você é o chefe da família Ushiromiya. Não é permissível a você enfrentar tamanho perigo...!""",「老、老公…！爸已過世的現今，右代宮家的當主就是老公了啊。萬萬不可去冒此等大險…！」,「老、老公…！爸已过世的现今，右代宫家的当主就是老公了啊。万万不可去冒此等大险…！」,"""C-Caro...! Ora che nostro Padre è morto, tu sei il capofamiglia Ushiromiya. Non è ammissibile che tu corra un simile pericolo...!"""
