Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,The guesthouse lobby had been engulfed by silence.,The guesthouse lobby was wrapped in silence. ,The guesthouse lobby was wrapped in silence.,ゲストハウスのロビーは静寂に包まれていた。,[=JP],В вестибюле домика для гостей царила тишина.,O lobby da casa de hóspedes foi engolido pelo silêncio.,[=UP],靜寂包圍著賓館的大廳。,静寂包围着宾馆的大厅。,[=UP],[=UP],[=UP]
,"The strings of tension which bound Krauss, Natsuhi, and Eva had already loosened; they were completely tired; and their consciousness was beginning to waver.","The strings of tension binding Krauss, Natsuhi, and Eva had already loosened, and they were completely worn out, with their minds beginning to waver. "," The strings of tension which bound Krauss, Natsuhi, and Eva had already loosened, they were completely tired, and their consciousness was beginning to waver.",蔵臼、夏妃、絵羽の３人はもはや緊張感の糸も弛み、疲れきって、意識を朦朧とさせている。,[=JP],"Нити напряжения, связывавшие Краусса, Нацухи и Еву, уже ослабли, они были полностью измотаны, а их сознание расплывалось.","As cordas de tensão que vinculavam Krauss, Natsuhi e Eva já haviam se desprendido; eles estavam completamente exaustos; e suas consciências estavam começando a vacilar.",[=UP],藏臼、夏妃、繪羽三人的緊張感都已有所鬆懈，他們疲憊到了極點，意識趨於朦朧。,藏臼、夏妃、绘羽三人的紧张感都已有所松懈，他们疲惫到了极点，意识趋于朦胧。,[=UP],[=UP],[=UP]
,"Every once in a while, they would stand up and walk around pointlessly, fighting their drowsiness.","Every once in a while, they would stand up and walk around pointlessly, as though fighting their drowsiness. "," Every once in a while, they would stand up and walk around pointlessly, as though fighting their drowsiness.",彼らは時折、席を立ち、無意味に歩き回ったりすることで眠気と戦っているようだった。,[=JP],"Время от времени они поднимались и бессмысленно слонялись, словно это помогало им одолеть сонливость.","De tempos em tempos, eles se levantavam e andavam sem rumo, lutando contra a sonolência.",[=UP],看來，他們是在通過時而站起身來，無目的地隨便亂走，來與睡意較著勁。,看来，他们是在通过时而站起身来，无目的地随便乱走，来与睡意较着劲。,[=UP],[=UP],[=UP]
Ushiromiya Natsuhi,""".........Are you alright, Eva‐san? ...Please, do take it easy and rest.""","""......Are you okay, Eva-san? ...Please, do take it easy and rest."" ",""".........Are you alright, Eva-san? ...Please, do take it easy and rest.""",「………大丈夫ですか、絵羽さん。…やはり無理をせず、休んでいてください。」,「………大丈夫ですか、絵羽さん。…やはり無理をせず、休んでいてください」,""".........С тобой всё в порядке, Ева‐сан? ...Пожалуйста, успокойся и отдохни.""",""".........Você está bem, Eva‐san? ...Por favor, não se force tanto e descanse.""",[=UP],「………還好嗎，繪羽？…請還是別勉強了，去歇著吧。」,「………还好吗，绘羽？…请还是别勉强了，去歇着吧。」,[=UP],[=UP],[=UP]
Ushiromiya Eva,"""I told you, I'm fine...... ...The three of us are now the only adults... There's no time to rest... I'll guard this place even if I have to go through hell and high water...... ......haah......haah......""","""I told you, I'm fine... ...The three of us are now the only adults... There's no time to rest... No matter what the cost, we must guard this place until the end... ...Haah, ...haah..."" ","""I told you, I'm fine.........The three of us are now the only adults... There's no time to rest... No matter what the cost, we must guard this place until the end............Haah, ......haah......""",「大丈夫だって言ってるわ……。…もう、大人は私たち３人しかいないのよ…。休んでる暇なんかないわ…。石にかじりついてでも、ここを死守するわよ……。……はぁ、……はぁ……。」,「大丈夫だって言ってるわ……。…もう、大人は私たち３人しかいないのよ…。休んでる暇なんかないわ…。石にかじりついてでも、ここを死守するわよ……。……はぁ、……はぁ……」,"""Я же сказала тебе, я в порядке...... ...Теперь нас лишь трое взрослых... Нет никакого времени на отдых... Чего бы нам это ни стоило, мы должны до последнего охранять это место...... ......Ха‐а... ха‐а...""","""Eu já disse que estou bem......! ...Nós três somos os únicos adultos... Não há tempo para descansarmos... Irei vigiar este lugar a qualquer custo, mesmo que seja preciso atravessar o Inferno...... ......haah......haah......""",[=UP],「都說了沒事……。…就只剩我們三個大人了喲…。才沒工夫去歇著呢…。就算是硬著頭皮，也要死守此處……。……哈啊，……哈啊……」,「都说了没事……。…就只剩我们三个大人了哟…。才没工夫去歇着呢…。就算是硬着头皮，也要死守此处……。……哈啊，……哈啊……」,[=UP],[=UP],[=UP]
,"She spoke a brave line, but she couldn't hide her rough breathing.{n}...It seemed that the fever, which had been calmed with medicine for a time, had returned.","She spoke bravely, but she couldn't hide her rough breathing. ...It seemed that the fever, which had been calmed with medicine for a short time, had returned. ","She spoke a brave line, but she couldn't hide her rough breathing....It seemed that the fever, which had been calmed with medicine for a time, had returned.",勇ましい台詞を口にするが、荒い息は隠せていない。…一度は薬で落ち着いた熱だったが、再びぶり返してきたらしい。,勇ましい台詞を口にするが、荒い息は隠せていない。{n}…一度は薬で落ち着いた熱だったが、再びぶり返してきたらしい。,"Она говорила уверенным тоном, но ей было не под силу скрыть своё затруднённое дыхание.{n}...Судя по всему температура, на время сбитая лекарством, снова поднялась.","Ela falou algo bravo, mas incapaz de esconder sua respiração ofegante.{n}...Parece que a febre, que havia diminuído com os medicamentos, havia retornado.",[=UP],雖然說著豪言壯語，但她並沒有藏住急促的呼吸。{n}…看來是再度發起了，一度因藥而穩定下來的高燒。,虽然说着豪言壮语，但她并没有藏住急促的呼吸。{n}…看来是再度发起了，一度因药而稳定下来的高烧。,[=UP],[=UP],[=UP]
,It was very obvious that Eva's condition was not good.,It was very obvious that Eva's health was not good. , It was very obvious that Eva's health was not good.,絵羽の体調が悪いのは一目瞭然だった。,[=JP],"Было вполне очевидно, что Еве явно нездоровится.",Estava claro que as condições de Eva não eram boas.,[=UP],繪羽那糟糕的身體狀況一看便知。,绘羽那糟糕的身体状况一看便知。,[=UP],[=UP],[=UP]
Ushiromiya Krauss,"""Don't push yourself. At least close your eyes. If we have to wake you, we definitely will.""","""Take it easy. At least close your eyes. If something happens that you need to be awake for, we will definitiely wake you."" ","""Take it easy. At least close your eyes. Because if we have to wake you, we definitely will.""",「無理はするな。せめて目を閉じていたまえ。もし、起こさねばならぬ時は必ず起こしてやるから。」,「無理はするな。せめて目を閉じていたまえ。もし、起こさねばならぬ時は必ず起こしてやるから」,"""Не напрягайся. Хотя бы закрой глаза. Поскольку если нам потребуется разбудить тебя, мы обязательно это сделаем.""","""Não se esforce demais. Ao menos feche seus olhos. Se precisamos acordá‐la, certamente o faremos.""",[=UP],「別硬撐了。至少去合會兒眼吧。如果有必須叫你起來的情況，一定會來叫醒你的。」,「别硬撑了。至少去合会儿眼吧。如果有必须叫你起来的情况，一定会来叫醒你的。」,[=UP],[=UP],[=UP]
Ushiromiya Eva,"""I'm telling you that I'm fine...! Leave me alone......!!""","""I'm telling you I'm fine...! Leave me alone...!!"" ",[=UP],「だから平気だって言ってるわ…！　放っておいて……！！」,[=JP],"""Говорю же тебя, я в порядке!.. Оставь меня в покое!..""","""Estou dizendo que estou bem...! Me deixem sozinha......!!""",[=UP],「我不說了沒事了嘛…！別管我……！！」,「我不说了没事了嘛…！别管我……！！」,[=UP],[=UP],[=UP]
Ushiromiya Natsuhi,"""..............................""","""............"" ","""........................""",「…………………………。」,「…………………………」,[=OG],[=UP],[=UP],[=JPC],[=JPC],[=UP],[=UP],[=UP]
