Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
Ushiromiya Jessica,"""Dad.........Mom......!! Who would do something like this...?!! Waaa{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}aaahhh...!!""","""Dad, ...Mom...!! Who would do something like this...?!! Waaaaaaaaaaaaaaaahhh...!!"" ","""Dad..., ......Mom......!! Who would do something like this...?!! Waaaaaaaaaaaaaaaahhh...!!""",「父さん…、……母さん……！！　誰がこんなことを…！！　ううあああああぁああぁあぁあ…！！」,[=JP],"""Папа... Мама!!! Кто посмел это сделать???!!! А‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а‐а!!!""","""Pai.........mãe......!! Quem faria algo assim...?! Waaa{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}a{0}aaahhh...!!""",[=UP],「爸爸…，……媽媽……！！這是誰幹的…！！嗚嗚啊啊啊啊啊啊啊啊啊啊啊啊…！！」,「爸爸…，……妈妈……！！这是谁干的…！！呜呜啊啊啊啊啊啊啊啊啊啊啊啊…！！」,[=UP],[=UP],[=UP]
,Jessica's woeful voice echoed throughout the rose garden...,Jessica's woeful voice echoed throughout the rose garden... ,[=UP],朱志香の悲しい声が、薔薇庭園に木霊した…。,[=JP],Горестный голос Джессики эхом разнёсся по всему розарию...,A voz aflita de Jessica ecoou ao longo do jardim de rosas...,[=UP],朱志香悲傷的聲音，回蕩於玫瑰庭園之中…。,朱志香悲伤的声音，回荡于玫瑰庭园之中…。,[=UP],[=UP],[=UP]
,Perhaps it was the intuition of a person who lived on this island.,Perhaps it was the intuition of a person who lived on this island. , Perhaps it was the intuition of a person who lived on this island.,やはり、この島に住んでいる人間の勘なのだろう。,[=JP],"Наверное, то было проявление интуиции человека, жившего на этом острове.",Possivelmente era a intuição de uma pessoa que vivia nesta ilha.,[=UP],果然是出於住在這個島上之人的直覺吧。,果然是出于住在这个岛上之人的直觉吧。,[=UP],[=UP],[=UP]
,"...After Jessica had looked in the rose garden where Auntie Rosa and Maria had fallen and seen nothing, she had gone to look in the arbor next.","...After checking the part of the rose garden where Aunt Rosa and Maria had fallen and seeing nothing, Jessica went to look in the arbor next. ","...After Jessica had looked in the rose garden where Rosa oba-san and Maria had fallen and seen nothing, she had gone to look in the arbor next.", …朱志香は薔薇庭園の、楼座叔母さんたちが倒れていた場所を見て、何もないことを確かめると、次に東屋を見に行った。,…朱志香は薔薇庭園の、楼座叔母さんたちが倒れていた場所を見て、何もないことを確かめると、次に東屋を見に行った。,"...Когда Джессика заглянула в то место в розарии, где пали тётя Роза и Мария, и ничего не обнаружила, она прошла ещё дальше до самой беседки.","...Depois que Jessica olhou no jardim de rosas onde a tia Rosa e a Maria haviam caído e não viu nada, ela foi olhar próximo ao gazebo.",[=UP],…朱志香在玫瑰庭園確認了之前樓座姑母母女倒著的場所，發現什麼都沒有後，就直接跑去確認亭子。,…朱志香在玫瑰庭园确认了之前楼座姑母母女倒着的场所，发现什么都没有后，就直接跑去确认亭子。,[=UP],[=UP],[=UP]
,"Normally, the arbor was probably a wonderful location to enjoy tea peacefully while appreciating the roses on a good sunny day.","Normally, the arbor was probably a wonderful location to enjoy tea peacefully while appreciating the roses on a good sunny day. "," Normally, the arbor was probably a wonderful location to enjoy tea peacefully while appreciating the roses on a good sunny day.",東屋は、本来なら天気の良い日に薔薇を愛でながらお茶をするのに最高のロケーションだろう。,[=JP],"Обычно беседка была наиболее подходящим местом, чтобы мирно насладиться чаем и полюбоваться розами в хороший солнечный день.","Normalmente, o gazebo é um local maravilhoso para se aproveitar um chá pacificamente enquanto aprecia o jardim de rosas em um belo dia de sol.",[=UP],這個亭子本是在天氣好的日子，品茶、賞玫瑰的最佳場所吧。,这个亭子本是在天气好的日子，品茶、赏玫瑰的最佳场所吧。,[=UP],[=UP],[=UP]
,"......Who knows, maybe even Uncle Krauss and Aunt Natsuhi...had their days where they relaxed and enjoyed tea together there.",...Maybe even Uncle Krauss and Aunt Natsuhi... had days when they relaxed and enjoyed their tea together here. ,"......Unexpectedly, even Krauss oji-san and Natsuhi oba-san, had their days where they relaxed and enjoyed their tea together there.",……案外、あの蔵臼伯父さんと夏妃伯母さんにも、そこで二人でお茶を飲んでくつろぐ日もあったのかもしれない。,[=JP],"......Удивительно, но даже дядя Краусс и тётя Нацухи, бывало, отдыхали в ней и вместе наслаждались чаем.","......Inesperadamente, mas é possível, que o tio Krauss e a tia Natsuhi...também passassem seus dias relaxando e tomando chá juntos lá.",[=UP],……搞不好，藏臼伯父和夏妃伯母，也曾兩人一起，於此愜意地喝過茶也說不定。,……搞不好，藏臼伯父和夏妃伯母，也曾两人一起，于此惬意地喝过茶也说不定。,[=UP],[=UP],[=UP]
,......In that arbor lay the bodies of Uncle Krauss and Aunt Natsuhi.,...In that arbor lay their corpses. ,......In that arbor lay the corpses of Krauss oji-san and Natsuhi oba-san.,……その東屋に、蔵臼伯父さんと夏妃伯母さんの遺体が横たわっていた。,[=JP],......В беседке покоились трупы дяди Краусса и тёти Нацухи.,......Naquele gazebo estavam caídos os corpos do tio Krauss e da Natsuhi.,[=UP],……在亭子中，倒著藏臼伯父與夏妃伯母的遺體。,……在亭子中，倒着藏臼伯父与夏妃伯母的遗体。,[=UP],[=UP],[=UP]
,"At least they weren't drenched in the rain like Auntie Rosa and Maria had been, but there was no way I could say that out loud to Jessica at that moment...","At least they aren't drenched in the rain like Aunt Rosa and Maria had been, but there was no way I could say that out loud to Jessica at the moment... "," At least they aren't drenched in the rain like Rosa oba-san and Maria had been, but there was no way I could say that out loud to Jessica at the moment...",楼座叔母さんたちの時と違い、せめて雨曝しになっていないのだけが幸いだろうが、そんなこと、今の朱志香に口にできるわけもない…。,[=JP],"По крайней мере, они не были пропитаны дождём, как это произошло с тётей Розой и Марией, но я ни за что не стал бы делиться данной мыслью с Джессикой в этот момент...","Ao menos eles não estavam encharcados pela chuva assim com a tia Rosa e a Maria, mas não havia como eu dizer isso para Jessica naquele momento...",[=UP],雖然萬幸的是，與樓座姑母她們不同，他們至少沒有在大雨之中承受風吹雨打，但這話可沒法對此刻的朱志香說出口…。,虽然万幸的是，与楼座姑母她们不同，他们至少没有在大雨之中承受风吹雨打，但这话可没法对此刻的朱志香说出口…。,[=UP],[=UP],[=UP]
Ushiromiya Battler,"""......What do you think, Doctor Nanjo?""","""...What do you think, Doctor Nanjo?"" ",[=UP],「……どうなんだ、南條先生。」,「……どうなんだ、南條先生」,"""......Что вы об этом думаете, доктор Нанджо?""","""......O que você acha, Doutor Nanjo?""",[=UP],「……怎麼樣，南條大夫？」,「……怎么样，南条大夫？」,[=UP],[=UP],[=UP]
Nanjo Terumasa,"""Str‐...strangulation, I believe. ...Take a look at this. On their necks, there are distinct markings that something thin was used to strangle them.""","""...St-Strangulation, I believe. ...Come, take a look at this. On their necks, there are distinct markings that something thin was used to strangle them."" ","""Str, ...strangulation, I believe. ...Come, take a look at this. On their necks, there are distinct markings that something thin was used to strangle them.""",「こ、…絞殺ですな。…ほら、御覧なさい。首に、くっきりと何か細いもので絞めた跡が残っている。」,「こ、…絞殺ですな。…ほら、御覧なさい。首に、くっきりと何か細いもので絞めた跡が残っている」,"""Уд... удушье, надо полагать. ...Вот, взгляните на это. На шее остались следы, словно их задушили чем‐то тонким и прочным.""","""E‐Estrangulamento, acredito eu. ...Deem uma olhada nisto. Em seus pescoços, há distintas marcas de algo fino que foi sido usado para estrangulá‐los.""",[=UP],「是、…是絞殺吶。…喏，請看。脖子上留有顯眼的，被細細的什麼勒過的痕跡。」,「是、…是绞杀呐。…喏，请看。脖子上留有显眼的，被细细的什么勒过的痕迹。」,[=UP],[=UP],[=UP]
