Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR)
,It was already approaching ten at night.{n}The typhoon had already engulfed Rokkenjima.,"It was already approaching 10:00 at night. By now, the typhoon had wrapped itself around Rokkenjima. ","It was already approaching 10:00 at night.By now, the typhoon had wrapped itself around Rokkenjima.",時間は、もう夜の１０時を間近としている。すでに台風は六軒島を包み込んでいた。,時間は、もう夜の１０時を間近としている。{n}すでに台風は六軒島を包み込んでいた。,Время вплотную приблизилось к 10 часам ночи.{n}К этому моменту тайфун уже полностью окружил Роккенджиму.,Aproximava‐se das dez da noite.{n}O tufão já havia engolido Rokkenjima.,时间已临近晚上十点。{n}台风早已包围住了六轩岛。,時間已臨近晚上十點。{n}台風早已包圍住了六軒島。,"Si stavano già facendo le 10:00 di notte. Ora come ora, il tifone avvolgeva Rokkenjima.",[=UP],Ya casi eran las diez de la noche.{n}El tifón ya había envuelto Rokkenjima.,ﻛﺎﻧﺖ ﺍﻟﺴﺎﻋﺔ ﺗﻘﺘﺮﺏ ﻣﻦ ﺍﻟﻌﺎﺷﺮﺓ ﻟﻴﻼً.{n}ﺍﺑﺘﻠﻊ ﺍﻹﻋﺼﺎﺭ ﺭﻭﻛﻴﻨﺠﻴﻤﺎ ﺑﺎﻟﻔﻌﻞ.
,"Even the rose garden that had looked so beautiful during the day...was now being beaten down upon by the fierce winds and resisting with all its might, undulating and trying to keep the flowers from blowing away...","Even the rose garden that had looked so beautiful midday... was beaten down upon by the fierce winds and resisted with all its might, undulating and trying to keep the flowers from blowing away... ","Even the rose garden that had looked so beautiful midday, was beaten down upon by the fierce winds and resisted with all its might, undulating and trying to keep the flowers from blowing away...",昼間、あれだけの美しさを見せてくれた薔薇庭園も、今は暴風に耐え、その花を飛ばされまいとうねり、必死の抵抗を続けている…。,[=JP],"Даже розарий, радовавший своей красотой глаз в середине дня, оказался изрядно потрепан яростными ветрами и сопротивлялся изо всех сил, не собираясь сдаваться, и старался не позволить ветру вырвать и унести прочь цветы...","Mesmo o jardim de rosas que parecia tão belo durante o dia...agora estava sendo atacado pelos fervorosos ventos e resistindo a eles com todas as suas forças, ondulando e tentando impedir que suas flores fossem sopradas para longe...",白天展现出了如此夺目美景的玫瑰庭园，也于此刻忍受着暴风，为了不让花朵被吹走，而翻起花浪拼命抵抗…。,白天展現出了如此奪目美景的玫瑰庭園，也于此刻忍受著暴風，為了不讓花朵被吹走，而翻起花浪拚命抵抗…。,"Anche il roseto che era parso così bello a mezzogiorno, stava venendo colpito dai forti venti e resisteva con tutte le sue forze, ondulando e provando ad evitare che i fiori venissero spazzati via...",[=UP],"Incluso el jardín de rosas que tan bello se había visto al mediodía, era azotado por el viento y resistía con todas sus fuerzas, ondulando e intentando que la flores no salieran volando...",ﺣﺘﻰ ﺣﺪﻳﻘﺔ ﺍﻟﻮﺭﻭﺩ ﺍﻟﺘﻲ ﻛﺎﻧﺖ ﺗﺒﺪﻭ ﻓﻲ ﻏﺎﻳﺔ ﺍﻟﺠﻤﺎﻝ ﻧﻬﺎﺭﺍً...ﻛﺎﻧﺖ ﺍﻵﻥ ﺗﺠﻠﺪﻫﺎ ﺍﻟﺮﻳﺎﺡ ﺍﻟﻌﺎﺗﻴﺔ، ﻭﻫﻲ ﺗﻘﺎﻭﻡ ﺑﻜﻞ ﻣﺎ ﺃﻭﺗﻴﺖ ﻣﻦ ﻗﻮﺓ، ﺗﺘﻤﻮﺝ ﻭﺗﺤﺎﻭﻝ ﻣﻨﻊ ﺯﻫﻮﺭﻫﺎ ﻣﻦ ﺍﻟﺘﻄﺎﻳﺮ...
,"Heading for the guesthouse through that rose garden, led by Shannon, were Battler, who was holding up an umbrella; Jessica; and Maria, who was sleeping on George's shoulder.","In that rose garden...was Shannon in the lead, Battler holding up an umbrella, Jessica, and George carrying the sleeping Maria on his back, all heading for the guesthouse. ","In that rose garden, with Shannon in the lead, Battler, who was holding up an umbrella, Jessica, and Maria who was sleeping on George's shoulder were heading for the guesthouse.",そんな薔薇庭園を、紗音を先頭に、傘を差した戦人、朱志香、眠っている真里亞を背負う譲治がゲストハウスへ向かっていた。,[=JP],"По розарию, по направлении к домику для гостей, тем временем шла небольшая процессия, состоявшая из Шаннон, идущей во главе, за ней Баттлер, держащий зонтик, а за ним Джессика и Мария, посапывающая на плече у Джорджа.","Indo em direção à casa de hóspedes, passando pelo jardim de rosas, sendo guiados por Shannon, enquanto Battler segurava um guarda‐chuva; Jessica; e Maria dormia nos ombros de George.",在这玫瑰庭园之中，由纱音领头，撑着伞的战人、朱志香、还有背着睡着了的真里亚的让治一行人正在前往宾馆。,在這玫瑰庭園之中，由紗音領頭，撐著傘的戰人、朱志香、還有背著睡著了的真里亞的讓治一行人正在前往賓館。,"In quel roseto, con Shannon che era in testa, Battler, che stava tenendo l'ombrello, Jessica, e Maria che stava dormendo sulle spalle di George si stavano dirigendo alla casa degli ospiti.",[=UP],"En ese jardín de rosas, con Shannon por delante, Battler, que llevaba un paraguas; Jessica; y María, que dormía en el hombro de George, se dirigían a la casa de huéspedes.",ﻛﺎﻥ ﺑﺎﺗﻠﺮ ﺣﺎﻣﻼً ﻣﻈﻠﺔ، ﻭﻣﻌﻪ ﺟﻴﺴﻴﻜﺎ، ﻭﻣﺎﺭﻳﺎ ﺍﻟﺘﻲ ﻛﺎﻧﺖ ﻧﺎﺋﻤﺔ ﻋﻠﻰ ﻛﺘﻒ ﺟﻮﺭﺝ، ﻳﺸﻘﻮﻥ ﻃﺮﻳﻘﻬﻢ ﻋﺒﺮ ﺣﺪﻳﻘﺔ ﺍﻟﻮﺭﻭﺩ ﺗﻠﻚ ﻧﺤﻮ ﺑﻴﺖ ﺍﻟﻀﻴﺎﻓﺔ، ﺗﺘﻘﺪﻣﻬﻢ ﺷﺎﻧﻮﻥ.
Ushiromiya Battler,"""It's just to the guesthouse, we could make it there on our own... Shannon‐chan, it's OK, go back and rest.""","""We can at least make it to the guesthouse from here. Shannon-chan, it's fine, you should go back and rest."" ","""We can at least make it to the guesthouse from here.  Shannon-chan, it's fine, you should go back and rest.""",「ゲストハウスくらい、俺たちだけでも行けるってのに。いいんだぜ、紗音ちゃん、戻って休んでてくれよ。」,「ゲストハウスくらい、俺たちだけでも行けるってのに。いいんだぜ、紗音ちゃん、戻って休んでてくれよ」,"""Отсюда до домика для гостей мы уже доберемся самостоятельно. Так что, Шаннон‐чан, ты можешь спокойно идти назад и отдохнуть.""","""É só a casa de hóspedes, nós podemos ir sozinhos... Shannon‐chan, está tudo bem, pode voltar e descansar.""",「宾馆这点路，光我们几个就行了啊。不用了，纱音，回去休息吧。」,「賓館這點路，光我們幾個就行了啊。不用了，紗音，回去休息吧。」,"""Possiamo farcela da soli almeno da qui fino alla casa degli ospiti. Shannon-chan, va bene, dovresti tornare indietro e riposare.""",[=UP],"""Podemos ir solos a la casa de huéspedes desde aquí. Shannon-chan, no te preocupes, deberías volver y descansar.""","""ﺇﻧﻪ ﻣﺠﺮﺩ ﺍﻟﺬﻫﺎﺏ ﺇﻟﻰ ﺑﻴﺖ ﺍﻟﻀﻴﺎﻓﺔ، ﻳﻤﻜﻨﻨﺎ ﺍﻟﻮﺻﻮﻝ ﺇﻟﻰ ﻫﻨﺎﻙ ﺑﺄﻧﻔﺴﻨﺎ... ﺷﺎﻧﻮﻥ-ﺗﺸﺎﻥ، ﻻ ﺑﺄﺱ، ﻋﻮﺩﻱ ﻭﺍﺳﺘﺮﻳﺤﻲ."""
Shannon,"""Oh, no, accompanying you is also my duty...""","""Don't worry, seeing you off is also part of my duty..."" ","""It's fine, because seeing you off is also my duty....""",「いいえ、お送りするのも仕事ですので…。」,「いいえ、お送りするのも仕事ですので…」,"""Что вы, проводить вас до самого конца — мой долг...""","""Nada disso, acompanhá‐los também é parte do meu dever...""",「不，陪送也是我的工作…」,[=CN],"""Va tutto bene, perché accompagnarvi fino a lì è anch'esso mio dovere...""",[=UP],"""No hay problema, cuidarlos es también mi deber...""","""ﺃﻭﻩ، ﻻ ﺑﺄﺱ، ﻣﺮﺍﻓﻘﺘﻜﻢ ﻫﻲ ﺃﻳﻀﺎً ﻣﻦ ﻭﺍﺟﺒﻲ..."""
Ushiromiya Jessica,"""The family conference is going on inside, and my mom and Genji‐san are on edge, that's the thing. If we're too considerate to her, they'll get the wrong idea and think she's slacking off.""","""The family conference is going on inside, and Mom and Genji-san are probably getting stressed. If we keep you, they'll misunderstand and think you were being lazy."" ","""The family conference is going on inside, and Mom and Genji-san are probably getting stressed.  If we keep you, they'll misunderstand and think you were being lazy.""",「親族会議中は、うちの母さんとか源次さんもぴりぴりしてるからなー。下手に私たちが気を利かせると、紗音がサボってると勘違いされちゃう。」,「親族会議中は、うちの母さんとか源次さんもぴりぴりしてるからなー。下手に私たちが気を利かせると、紗音がサボってると勘違いされちゃう」,"""Собрание семьи ведётся внутри и мама с Генджи наверняка крайне загружены. Если мы тебя задержим, они могут посчитать тебя лентяйкой.""","""A conferência familiar está acontecendo lá dentro, e tanto minha mãe quanto o Genji‐san estão no limite, e isso é um problema. Se formos muito considerativos com ela, eles vão acabar tendo a ideia errada e achar que ela está matando trabalho.""",「在亲族会议期间，我妈还有源次都紧张到了草木皆兵。我们啥都不想的好意，是会令纱音被误会为偷懒的。」,「在親族會議期間，我媽還有源次都緊張到了草木皆兵。我們啥都不想的好意，是會令紗音被誤會為偷懶的。」,"""La conferenza di famiglia si sta svolgendo dentro, e Mamma e Genji-san si stanno probabilmente stressando. Se ti tratteniamo, loro fraintenderebbero e penserebbero che stai perdendo tempo.""",[=UP],"""La conferencia familiar continúa en el interior, y mamá y Genji-san estarán estresándose. Si te mantienes con nosotros demasiado tiempo, van a pensar que estás holgazaneando.""","""ﺍﻟﻤﺆﺗﻤﺮ ﺍﻟﻌﺎﺋﻠﻲ ﻣﻨﻌﻘﺪ ﻓﻲ ﺍﻟﺪﺍﺧﻞ، ﻭﺃﻣﻲ ﻭﻗﻴﻨﺠﻲ-ﺳﺎﻥ ﻓﻲ ﺣﺎﻟﺔ ﺗﻮﺗﺮ، ﻫﺬﻩ ﻫﻲ ﺍﻟﻤﺴﺄﻟﺔ. ﺇﺫﺍ ﺃﺑﺪﻳﻨﺎ ﻣﺮﺍﻋﺎﺓ ﻣﻔﺮﻃﺔ ﻟﻬﺎ، ﻓﺴﻴﺄﺧﺬﻭﻥ ﺍﻧﻄﺒﺎﻋﺎً ﺧﺎﻃﺌﺎً ﻭﻳﻈﻨﻮﻥ ﺃﻧﻬﺎ ﺗﺘﻬﺎﻭﻥ ﻓﻲ ﻋﻤﻠﻬﺎ."""
Ushiromiya George,"""That's right. Just graciously accepting her offer will actually cause her less trouble. ...Thanks, Shannon.""","""That's right. Just graciously accepting our offer might be the best way to avoid burdening people. ...Thank you, Shannon."" ","""That's right.  Just graciously accepting our offer might be the best way to avoid burdening people.  ...Thank you, Shannon.""",「そうだね。素直にお世話になった方が、むしろ迷惑を掛けないだろうね。…ありがと、紗音。」,「そうだね。素直にお世話になった方が、むしろ迷惑を掛けないだろうね。…ありがと、紗音」,"""Это точно. Принятие нашего предложения, возможно, является наилучшим способом для освобождения людей от лишней нагрузки. ...Спасибо, Шаннон.""","""Isso mesmo. Aceitar graciosamente sua oferta causará menos problemas. ...Obrigado, Shannon.""",「是呢。老老实实地接受服务，反而不会给人添麻烦啊。…谢谢，纱音。」,「是呢。老老實實地接受服務，反而不會給人添麻煩啊。…謝謝，紗音。」,"""Esatto. Accettare gentilmente la nostra offerta potrebbe essere il miglior modo per evitare di creare problemi agli altri. ... Grazie, Shannon.""",[=UP],"""Tienes razón. Aceptar nuestra oferta podría ser la mejor forma de evitar ser una carga... Gracias, Shannon.""","""ﻫﺬﺍ ﺻﺤﻴﺢ. ﻗﺒﻮﻝ ﻋﺮﺿﻬﺎ ﺑﻠﺒﺎﻗﺔ ﺳﻴﺠﻨﺒﻬﺎ ﺍﻟﻤﺘﺎﻋﺐ ﻓﻲ ﺍﻟﻮﺍﻗﻊ. ...ﺷﻜﺮﺍً ﻟﻚِ ﻳﺎ ﺷﺎﻧﻮﻥ."""
Shannon,"""Not at all. ......Certainly, as Milady says, it is very tense inside the mansion today. Coming with all of you has allowed me a breath of fresh air, and taken some of the stress off me.""","""Not at all. ...Certainly, as Milady has said, it is very tense inside the mansion today. Therefore, coming with all of you allowed me a breath of fresh air, and I've been able to relax a bit."" ","""Not at all. ......Certainly, as Milady has said, it is very tense inside the mansion today.  Therefore, coming with all of you allowed me a breath of fresh air, and I have been able to relax a bit.""",「いいえ。……確かにお嬢様の仰られますとおり、今日のお屋敷はぴりぴりしています。だから、私も皆さんとご一緒して外の空気が吸えるので、ちょっと肩が楽です。」,「いいえ。……確かにお嬢様の仰られますとおり、今日のお屋敷はぴりぴりしています。だから、私も皆さんとご一緒して外の空気が吸えるので、ちょっと肩が楽です」,"""Не за что. ......Разумеется, как и сказала миледи, сегодня в особняке царит крайне напряжённая обстановка. Поэтому небольшая прогулка с вами позволила мне глотнуть свежего воздуха и немного расслабиться.""","""Não tem de quê. ......Certamente, assim como a ojou‐sama disse, hoje o interior da mansão está bem tenso. Vir junto com vocês me permitiu respirar um pouco de ar puro e amenizar um pouco do estresse.""",「不用。……确实如小姐所说，今天大屋的气氛草木皆兵。所以，跟大家一起出来，呼吸下外面的空气，我也正好松口气哦。」,「不用。……確實如小姐所說，今天大屋的氣氛草木皆兵。所以，跟大家一起出來，呼吸下外面的空氣，我也正好鬆口氣哦。」,"""Di nulla. ... Certamente, come dice Milady, oggi c'è una atmosfera molto tesa alla villa. Pertanto, venire con tutti voi mi ha permesso una boccata di aria fresca, e sono stata capace di rilassarmi un po'.""",[=UP],"""No es nada... Tal y como la Señorita ha dicho, hoy se palpa la tensión en el interior de la mansión. Por lo tanto, venir con ustedes me ha permitido tomar algo de aire fresco, y he podido relajarme un poco.""","""ﻻ ﺑﺄﺱ. ......ﺑﺎﻟﺘﺄﻛﻴﺪ، ﻛﻤﺎ ﺗﻘﻮﻟﻴﻦ ﻳﺎ ﺳﻴﺪﺗﻲ، ﺍﻟﺠﻮ ﻣﺘﻮﺗﺮ ﺟﺪﺍً ﺩﺍﺧﻞ ﺍﻟﻘﺼﺮ ﺍﻟﻴﻮﻡ. ﻗﺪﻭﻣﻲ ﻣﻌﻜﻢ ﺟﻤﻴﻌﺎً ﻣَﻨﺤَﻨﻲ ﻣﺘﻨﻔﺴﺎً، ﻭﺧﻔﻒ ﻋﻨﻲ ﺑﻌﺾ ﺍﻟﺘﻮﺗﺮ."""
Ushiromiya Battler,"""The family conference, huh. .........They went to all the trouble of chasing us kids out, so they're probably having a pretty damn nasty discussion.""","""The family conference, huh? ......They went to all the trouble of chasing us kids out, so they're probably talking about something shady."" ","""The family conference, huh.  .........They went to all the trouble of chasing us kids out, so they're probably talking about something ill-natured.""",「親族会議、か。………わざわざ俺たち子どもを追い出すくらいだから、相当、性質の悪い話をするんだろうぜ。」,「親族会議、か。………わざわざ俺たち子どもを追い出すくらいだから、相当、性質の悪い話をするんだろうぜ」,"""Собрание семьи, значит. .........Они так расстарались выдворить нас, детей, наружу. Небось, наверняка говорят о чём‐то паскудном.""","""A conferência familiar, é...? .........Para terem se dado ao trabalho de nos expulsar, provavelmente devem estar tendo uma discussão bem sórdida.""",「亲族会议，么？………特意把我们这群小孩全赶走，肯定是要谈性质相当恶劣的事吧。」,「親族會議，麼？………特意把我們這群小孩全趕走，肯定是要談性質相當惡劣的事吧。」,"""La riunione di famiglia, uh. ... Si sono presi la briga di cacciare fuori noi ragazzi, quindi staranno parlando di qualcosa di scomodo.""",[=UP],"""La conferencia familiar, eh... Teniendo en cuenta que se molestaron tanto en echarnos, estarán hablando de cosas desagradables.""","""ﺍﻟﻤﺆﺗﻤﺮ ﺍﻟﻌﺎﺋﻠﻲ، ﺇﺫﻥ. .........ﻟﻘﺪ ﺗﻜﺒﺪﻭﺍ ﻋﻨﺎﺀ ﻃﺮﺩﻧﺎ ﻧﺤﻦ ﺍﻷﻭﻻﺩ، ﻟﺬﺍ ﻣﻦ ﺍﻟﻤﺮﺟﺢ ﺃﻧﻬﻢ ﻳﺨﻮﺿﻮﻥ ﻧﻘﺎﺷﺎً ﺑﻐﻴﻀﺎً ﻟﻠﻐﺎﻳﺔ."""
Ushiromiya George,"""Probably. I'm sure there's nothing we can do to help out. Just making sure to stay out of their way is the best way for us to be useful, I think.""","""Probably. I'm sure there's nothing we can do to help out. Just trying to stay out of their way is probably the best way for us to be useful."" ","""Probably.  I'm sure there's nothing we can do to help out.  Just trying to stay out of their way is probably the best way for us to be useful.""",「だろうね。僕たちはきっと、何の力にもなれない。せめて邪魔をしないようにするのが、一番の協力だと思うよ。」,「だろうね。僕たちはきっと、何の力にもなれない。せめて邪魔をしないようにするのが、一番の協力だと思うよ」,"""Всё может быть. Полагаю, мы вряд ли можем что‐либо сделать, чтобы помочь им. Мы наверняка принесём им наибольшую пользу, если не станем путаться под ногами.""","""Provavelmente. Tenho certeza que não há nada que possamos fazer para ajudar. Acredito que garantir que não vamos atrapalhar é o melhor que podemos fazer.""",「多半是吧。我们一定什么忙都帮不上。我觉得，至少不去妨碍，就是最大的合作哦。」,「多半是吧。我們一定什麼忙都幫不上。我覺得，至少不去妨礙，就是最大的合作哦。」,"""Probabilmente. Sono sicuro che non possiamo fare niente per aiutare. Provare a non intralciarli e basta forse è il modo migliore per renderci utili.""",[=UP],"""Es probable. Seguramente no podamos hacer nada para ayudar. Mantenernos fuera de su camino será la mejor forma de ser útiles.""","""ﻋﻠﻰ ﺍﻷﺭﺟﺢ. ﺃﻧﺎ ﻣﺘﺄﻛﺪ ﻣﻦ ﺃﻧﻪ ﻟﻴﺲ ﺑﻮﺳﻌﻨﺎ ﺍﻟﻤﺴﺎﻋﺪﺓ. ﺃﻋﺘﻘﺪ ﺃﻥ ﻣﺠﺮﺩ ﺍﻟﺤﺮﺹ ﻋﻠﻰ ﻋﺪﻡ ﺍﻟﻮﻗﻮﻑ ﻓﻲ ﻃﺮﻳﻘﻬﻢ ﻫﻮ ﺃﻓﻀﻞ ﻃﺮﻳﻘﺔ ﻟﻨﻜﻮﻥ ﻣﻔﻴﺪﻳﻦ."""
