Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Spanish (ES),Arabic (AR)
Ushiromiya Rosa,"""..................Ah, ...............uug.........""","""......Ah, ......uu......"" ","""............Ah, ............uu.........""",「………………あ、……………ぅ………、」,[=JP],"""............Ах... у‐у...""",[=UP],「………………啊、……………呜………、」,「………………啊、……………嗚………、」,"""... Ah... uu...""",[=ITA],"""..................ﺁﻩ، ...............ﺃﻏﻎ........."""
,Silent. Black. Cold. Painful.,Silent. Black. Cold. Painful. ,"Silent.  Black.Cold.  Painful.",静寂。真っ暗。冷たい。痛い。,[=JP],В тишине. Черноте. Холоде. С болью.,Silêncio. Escuridão. Frio. Dor.,寂静。漆黑。又冷。又痛。,寂靜。漆黑。又冷。又痛。,Silenzioso. Nero. Freddo. Doloroso.,Silencioso. Oscuro. Frío. Desagradable.,ﺻﻤﺖٌ.  ﻭﻗﺘﺎﻡ. ﺑﺮﻭﺩﺓٌ. ﻭﺃﻟﻢ.
,Rosa regained consciousness bit by bit......,Rosa regained consciousness bit by bit... ,"Rosa regained consciousness bit by bit......",楼座は少しずつ意識を取り戻す……。,[=JP],Роза понемногу начала приходить в себя...,Rosa recuperou a consciência pouco a pouco......,楼座一点点地取回了意识……。,樓座一點點地取回了意識……。,Rosa poco a poco riprese conoscenza...,Rosa recuperó el conocimiento poco a poco...,ﺍﺳﺘﻌﺎﺩﺕ ﺭﻭﺯﺍ ﻭﻋﻴﻬﺎ ﺷﻴﺌﺎً ﻓﺸﻴﺌﺎً......
,And the first thing she thought...was that it would have been better if she hadn't.,And the first thing she thought...was that it would have been better if she hadn't. ,"And the first thing she thought...was that it would have been better if she hadn't.",そして最初に考えたことは、意識を取り戻さなければ良かった、だった。,[=JP],И первой её мыслью было... Что лучше бы сознание к ней не возвращалось.,E a primeira coisa que ela pensou...foi aquilo na qual seria melhor não ter pensado.,然后，她第一个想到的是，要是没取回意识就好了。,然後，她第一個想到的是，要是沒取回意識就好了。,E la prima cosa alla quale pensò... era che sarebbe stato meglio se non si fosse svegliata affatto.,Y lo primero en que pensó... fue que habría sido mejor no recuperarlo.,ﻭﺃﻭﻝ ﻣﺎ ﻓﻜﺮﺕ ﻓﻴﻪ ﻫﻮ: ...ﻳﺎ ﻟﻴﺘﻨﻲ ﻟﻢ ﺃﻓﻌﻞ.
,"After all, her body was so cold and hurt so much, ......and it became worse the more her consciousness returned.","After all, with her body this cold and hurting, ...the pain grew the more her consciousness returned. ","After all, with her body this cold and hurting, ......it became more painful the more her consciousness returned.",だって、こんなにも体が冷えていて痛くて、……意識が戻れば戻るほどに辛くなるから。,[=JP],"Потому что холод и боль в её теле становились лишь сильнее, чем больше прояснялось её сознание.","Afinal, seu corpo estava gélido e doía muito, ......e isto ainda se agravou mais quando recobrou a consciência.",毕竟，身子又凉又痛，……越是清醒过来，就越是难受。,畢竟，身子又涼又痛，……越是清醒過來，就越是難受。,"Dopotutto, con il suo corpo così freddo e dolorante... mano a mano che avrebbe ripreso conoscenza il dolore sarebbe solo diventato più forte.","Después de todo, con su cuerpo frío y adolorido... se volvió más doloroso al recuperar el conocimiento.",ﻛﺎﻥ ﺟﺴﺪﻫﺎ ﺑﺎﺭﺩﺍً ﻭﻳﺆﻟﻤﻬﺎ ﻛﺜﻴﺮﺍً، ......ﻭﺍﺯﺩﺍﺩ ﺍﻷﻣﺮ ﺳﻮﺀﺍً ﻛﻠﻤﺎ ﻋﺎﺩ ﺇﻟﻴﻬﺎ ﻭﻋﻴﻬﺎ.
,"It felt like she had been sleeping in the darkness for a long time now, face‐down on ice‐cold marble.","It felt like she'd been sleeping on ice-cold marble in the darkness, lying face-down for a long time. ","It felt like she had been sleeping on ice-cold marble in the darkness, lying face-down for a long time.",暗闇の中、冷え切った大理石の上でずっとうつ伏せになって寝ていたような感じ。,[=JP],"Судя по ощущениям, она словно долгое время проспала в темноте на холодном как лёд мраморе лицом вниз.","Como se ela tivesse dormindo na escuridão por um longo período até então, com sua face contra o mármore frio.",感觉自己好像趴在了黑暗中冰凉冰凉的大理石上，睡了好一会儿。,感覺自己好像趴在了黑暗中冰涼冰涼的大理石上，睡了好一會兒。,Era come se avesse dormito su del marmo freddo come il ghiaccio nell'oscurità più totale e sdraiata a faccia in giù per parecchio tempo.,"Sentía como si hubiese estado durmiendo sobre el frío mármol en la oscuridad, acostada boca abajo por mucho tiempo.",ﺷﻌﺮﺕ ﻭﻛﺄﻧﻬﺎ ﻛﺎﻧﺖ ﻧﺎﺋﻤﺔ ﻓﻲ ﺍﻟﻈﻼﻡ ﻟﻮﻗﺖ ﻃﻮﻳﻞ، ﻭﻭﺟﻬﻬﺎ ﻷﺳﻔﻞ ﻋﻠﻰ ﺭﺧﺎﻡ ﺑﺎﺭﺩ ﻛﺎﻟﺜﻠﺞ.
,"......Aaah, this is why I always tell myself.{n}Even if it's just a nap, at least get on the sofa.","...Aaah, this is why I always tell myself. Even if its just for a nap, I've got to at least grab a sofa. ","......Aaah, this is why I always tell myself.Even if its just for a nap, at least get on the sofa.",……あぁ、だからいつも自分に言い聞かせてるのよ。たとえ仮眠であっても、せめてソファーの上へ行こうって。,……あぁ、だからいつも自分に言い聞かせてるのよ。{n}たとえ仮眠であっても、せめてソファーの上へ行こうって。,"......А‐а‐ах, вот почему я вечно твержу себе.{n}Даже если собираешься всего лишь ненадолго вздремнуть, нужно, по‐крайней мере, хотя бы лечь на диван.","......Aaah, é por isso que estou sempre dizendo para mim mesma.{n}Mesmo se for só um cochilo, ao menos vá para o sofá.",……啊——，所以我才一直都在对自己说。{n}即便只是打个盹儿，也起码得去沙发上睡。,……啊——，所以我才一直都在對自己說。{n}即便只是打個盹兒，也起碼得去沙發上睡。,"... Aaah, è per questo che me lo dico sempre. Anche se si tratta solo di un pisolino, cerca almeno di raggiungere il divano.","... Aaah, es por eso que siempre me digo a mí misma.{n}Aunque solo sea una siesta, tómala al menos en el sofá.",......ﺁﺁﻩ، ﻟﻬﺬﺍ ﺍﻟﺴﺒﺐ ﺃﻗﻮﻝ ﻟﻨﻔﺴﻲ ﺩﺍﺋﻤﺎً.{n}ﺣﺘﻰ ﻟﻮ ﻛﺎﻧﺖ ﻣﺠﺮﺩ ﻗﻴﻠﻮﻟﺔ، ﺧﺬﻳﻬﺎ ﻋﻠﻰ ﺍﻷﺭﻳﻜﺔ.
,"I always know that if I naively try and close my eyes for just a second, and end up sleeping on the floor or at my desk, it'll hurt my body later and I'll suffer for it......","I know that, if I naively try to close my eyes for just a second... and end up sleeping on the floor or in the study chair, it'll hurt my body later and make things difficult... ","Even though I always know that, if I naively try and close my eyes for just a second, and end up sleeping on the floor or in the study chair, it'll hurt my body later and make things difficult......",ちょっと目を閉じるだけ、なんて甘えて、フローリングの上や書斎机の上に突っ伏して眠ってしまうと、後で体が痛くなって辛い思いをするって、いつも知ってるのに……。,[=JP],"И хотя я всегда это знала, стоило мне наивно прикрыть глаза всего лишь на пару секунд, как в итоге я засыпала на полу или в кресле в кабинете, после чего моё тело в итоге начинало болеть, что всё усложняло...","Eu sei que sempre que eu inocentemente experimento fechar meus olhos por um instante, sempre acabo dormindo no chão ou sobre a mesa, e termino com meu corpo todo dolorido por causa disso......",自己明明清楚，一旦纵容“只是稍微闭会儿眼”的想法，趴在地板或书桌上合眼，等之后醒来时，身子就会酸痛得要命……。,自己明明清楚，一旦縱容“只是稍微閉會兒眼”的想法，趴在地板或書桌上合眼，等之後醒來時，身子就會酸痛得要命……。,"Sebbene io me lo ripeta sempre, se provo ingenuamente a chiudere i miei occhi anche solo per un attimo, e mi addormento sul pavimento o sulla sedia del mio studio, poi mi farà male tutto il corpo e mi renderà le cose difficili...","A pesar de que siempre sé que, si intento cerrar ingenuamente mis ojos por un segundo, y termino durmiendo en el suelo o en la silla del estudio, me dolerá el cuerpo y dificultará las cosas...",ﺃﻋﺮﻑ ﺩﺍﺋﻤﺎً ﺃﻧﻨﻲ ﺇﺫﺍ ﺣﺎﻭﻟﺖ ﺑﺴﺬﺍﺟﺔ ﺃﻥ ﺃﻏﻤﺾ ﻋﻴﻨﻲ ﻟﺜﺎﻧﻴﺔ ﻭﺍﺣﺪﺓ ﻓﻘﻂ، ﻭﺍﻧﺘﻬﻰ ﺑﻲ ﺍﻷﻣﺮ ﻧﺎﺋﻤﺔ ﻋﻠﻰ ﺍﻷﺭﺽ ﺃﻭ ﻋﻠﻰ ﻣﻜﺘﺒﻲ، ﻓﺴﻴﺆﻟﻢ ﺫﻟﻚ ﺟﺴﺪﻱ ﻻﺣﻘﺎً ﻭﺳﺄﻋﺎﻧﻲ ﻣﻨﻪ......
,"Because she slept on such a cold and hard floor, she was chilled to the bone.","Since I slept on such a cold and hard floor, even my bones are ice-cold. ","Since I slept on such a cold and hard floor, even my bones are ice-cold.",こんなにも冷たくて硬い床で眠っていたから、骨まで冷え切ってしまった。,[=JP],"Поскольку я спала на столь холодном и твёрдом полу, мне казалось, что у меня замерзли даже кости.","Por sempre dormir sobre um piso duro e gélido, ela estava fria até os ossos.",都是因为睡在这又冷又硬的地上，才连骨头都凉透了。,都是因為睡在這又冷又硬的地上，才連骨頭都涼透了。,"Giacché mi sono addormentata su di un pavimento così freddo e duro, persino le mie ossa sono fredde come il gelo.","Como me dormí en este suelo tan frío y duro, hasta mis huesos están fríos.",ﻷﻧﻬﺎ ﻧﺎﻣﺖ ﻋﻠﻰ ﺃﺭﺿﻴﺔ ﺑﺎﺭﺩﺓ ﻭﺻﻠﺒﺔ، ﺗﻐﻠﻐﻞ ﺍﻟﺒﺮﺩ ﺇﻟﻰ ﻋﻈﺎﻣﻬﺎ.
,"Because she slept on such a hard and cold floor, the side of her face that had been pressing down against it was very painful.","Since I slept on such a hard and cold floor, the half of my face pressed down against it hurts a lot. ","Since I slept on such a hard and cold floor, the half of my face pressed down against it hurt a lot.",こんなにも硬くて冷たい床で眠っていたから、押し付けていた顔半分がとても痛い。,[=JP],"Очень болела также и половина лица, которой я во сне прижималась к полу.","Por sempre dormir em um piso duro e gélido, o lado de seu rosto, que estava pressionado contra o chão, estava doendo muito.",都是因为睡在这又硬又冷的地上，压着的半张脸才会疼痛难当。,都是因為睡在這又硬又冷的地上，壓著的半張臉才會疼痛難當。,"Giacché mi sono addormentata su di un pavimento così freddo, il lato della faccia a contatto con esso mi fa molto male.","Como me dormí en este suelo tan frío y duro, la mitad de mi cara presionada contra él me duele mucho.",ﻷﻧﻬﺎ ﻧﺎﻣﺖ ﻋﻠﻰ ﺃﺭﺿﻴﺔ ﺑﺎﺭﺩﺓ ﻭﺻﻠﺒﺔ، ﺁﻟﻤﻬﺎ ﺟﺎﻧﺐ ﻭﺟﻬﻬﺎ.
