Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,"It goes without saying, but since the time she was born, ......Jessica was raised in this mansion.","Of course, since the time of her birth, ...Jessica had been raised in this mansion. ",[=ST],朱志香は生まれてからずっと、……当たり前だが、この屋敷で育ってきた。,[=JP],С самого своего рождения Джессика росла и воспитывалась в этом особняке.,"Naturalmente, desde seu nascimento, ......Jessica vem sendo criada nesta mansão.",[=UP],不言而喻，……朱志香自出生時起，一直在這幢大屋中生活、成長。,不言而喻，……朱志香自出生时起，一直在这幢大屋中生活、成长。,[=UP],[=UP],[=UP]
,"The Western‐style house that the cousins simply called ""the mansion"" was her home.","The atrophied, Western-style house that the cousins called a mansion was her home. ",[=ST],いとこたちがお屋敷と呼んで萎縮するその洋館が、自分の家だった。,[=JP],"Выполненный в западном стиле дом, который кузены называли особняком, являлся её домом.","A casa em estilo ocidental que seus primos chamavam de ""a mansão"", era sua casa.",[=UP],這幢被堂兄妹們稱為大屋，令他們感到拘謹的洋館，是她自己的家。,这幢被堂兄妹们称为大屋，令他们感到拘谨的洋馆，是她自己的家。,[=UP],[=UP],[=UP]
,"And yet, she had never understood her cousins' feelings as much as she did today.","And yet, she had never understood her cousins' feelings as much as she did today. ",[=ST],なのに、今日ほどそのいとこたちの気持ちがわかったことはない。,[=JP],"И всё же она никогда не понимала чувства своих кузенов так, как сегодня.","Ainda assim, ela nunca entendeu os sentimentos de seus primos tanto quanto ela tinha entendido hoje.",[=UP],不過，她從來沒有像今天這般深刻地體會到堂兄妹們的心情。,不过，她从来没有像今天这般深刻地体会到堂兄妹们的心情。,[=UP],[=UP],[=UP]
,"......And at the same time, her own home, which she knew well, had never felt so different a place as it did now......","...At the same time, she had never felt her own home, which she knew well, to be as alien as it seemed now... ",[=ST],……そして同時に、自分がよく見知った自宅が、これほど別の場所に感じたことはなかった……。,[=JP],"......И в то же время она никогда настолько не ощущала, что её собственный дом, который она знала так хорошо, был совершенно другим местом, как сейчас......","......E ao mesmo tempo, sua própria casa, na qual ela conhecia bem, nunca pareceu ser um lugar tão diferente como agora......",[=UP],……與此同時，她也從未如現在這般地感到過，自己所熟知的家，猶如他處…。,……与此同时，她也从未如现在这般地感到过，自己所熟知的家，犹如他处…。,[=UP],[=UP],[=UP]
,Her own.........room.,Her own......room. ,[=ST],自分の、………部屋。,[=JP],Её собственная... комната.,Seu próprio.........quarto.,[=UP],自己的………房間。,自己的………房间。,[=UP],[=UP],[=UP]
,"This had once been her personal hideaway, the only place in this vast mansion where she could feel at peace.","This had once been her hideaway, the only place in this vast mansion where she could feel at peace. ",[=ST],そこはかつて、この広大な屋敷で唯一心を許せる、自分だけの隠れ家だった。,[=JP],"Когда‐то она была её убежищем, единственным местом в этом огромном особняке, где Джессика могла чувствовать себя спокойно.","Uma vez fora seu esconderijo pessoal, o único lugar nessa imensa mansão onde ela podia se sentir em paz.",[=UP],此處曾是這廣大的大屋中唯一能令自己徹底放鬆的，只屬於自己的藏身處。,此处曾是这广大的大屋中唯一能令自己彻底放松的，只属于自己的藏身处。,[=UP],[=UP],[=UP]
,"However, ......that door had never felt as intimidating as it did now.","However, ...she had never felt as much pressure coming from that door as she did now. ",[=ST],しかし、……今ほど、その扉に威圧感を感じることはない。,[=JP],"Однако она никогда не ощущала такого давления, исходящего сейчас от двери.","Entretanto, ......aquela porta nunca pareceu ser tão intimidadora como agora.",[=UP],可是，……此刻的她卻從這扇門上感到了未曾有過的威壓感。,可是，……此刻的她却从这扇门上感到了未曾有过的威压感。,[=UP],[=UP],[=UP]
Ushiromiya Jessica,""".........A test, he says...? Tch, what the hell has he got waiting in there...... He better not have ransacked my desk and stuff......""","""......A test, you say...? Tch, what the hell could be waiting in there... I'm not gonna find my desk and stuff dragged around all over the place, right...?"" ",[=ST],「………テストだって…？　ちぇ、一体、何が待ち受けてやがるんだ……。まさか、私の机とか、引っ掻き回してねぇだろうな……。」,「………テストだって…？　ちぇ、一体、何が待ち受けてやがるんだ……。まさか、私の机とか、引っ掻き回してねぇだろうな……」,""".........Испытание, говорите? Что, чёрт возьми, меня может там ждать... Я же не обнаружу, что мой стол и вещи разбросаны по всей комнате, верно?""",""".........Ele disse que era um teste...? Tch, que merda vai estar me esperando aqui......? É melhor que ele não tenha mexido na minha mesa e espalhado minhas coisas......""",[=UP],「………考試…？切，到底是有什麼等著我呢……？總不會是亂翻過我的桌子什麼的吧……」,「………考试…？切，到底是有什么等着我呢……？总不会是乱翻过我的桌子什么的吧……」,[=UP],[=UP],[=UP]
,"She acted tough, trying to deceive herself.{n}......Trying to make herself believe that she wasn't scared of anything.","She acted tough, trying to deceive herself. ...Trying make herself believe that she wasn't scared of anything. ",[=ST],自らを騙すために、悪態をつく。……自分は何も恐れていないのだと、信じさせるために。,自らを騙すために、悪態をつく。{n}……自分は何も恐れていないのだと、信じさせるために。,"Она храбрилась, пытаясь обмануть саму себя.{n}......Стараясь заставить себя поверить, что она ничего не боялась.","Ela falou de forma dura, tentando enganar a si mesma.{n}......Tentando fazer a si mesma acreditar que não estava com medo de nada.",[=UP],為了騙自己，朱志香故意出言不遜。{n}……這是為了令自己相信，自己無所畏懼。,为了骗自己，朱志香故意出言不逊。{n}……这是为了令自己相信，自己无所畏惧。,[=UP],[=UP],[=UP]
,"She readied herself, and opened the door to her room.","Readying herself, she opened the door to her room. ",[=ST],覚悟を決め、自分の部屋の扉を開く。,[=JP],"Подготовив себя, она открыла дверь в свою комнату.","Ela preparou a si mesma, e então abriu a porta de seu quarto.",[=UP],然後，她鐵了鐵心，打開了自己房間的門。,然后，她铁了铁心，打开了自己房间的门。,[=UP],[=UP],[=UP]
