Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,..........................................,.......................................... ,[=ST],……………………………………。,[=JP],..............................,[=UP],[=UP],[=JP],[=JP],[=UP],[=UP],[=UP]
Sakutarou,"‘........................Uryu... .........Maria, ...answer me......’","‘........................Uryu... .........Maria, ...answer me......’ ",[=ST],『……………………うりゅ…。………真里亞、…返事して……？』,[=JP],"{p:0:『}..................Урю............Мария, ты не хочешь отвечать?{p:0:』}","‘........................Uryu... .........Maria, ...me responda......’",[=UP],『……………………嗚溜…。………真里亞，…回答一聲……？』,『……………………呜溜…。………真里亚，…回答一声……？』,[=UP],[=UP],[=UP]
Ushiromiya Maria,"""...........................""","""..........................."" ",[=ST],「………………………。」,「………………………」,"""........................""",[=UP],[=UP],[=JPC],[=JPC],[=UP],[=UP],[=UP]
Sakutarou,"‘.........Uryu... ......So I really am......a stuffed animal...? ......I'm made of cloth and cotton, ......so there's no way I can...talk......? ......Is that why......I can't talk to you.........?’","‘.........Uryu... ......So I really am... a stuffed animal...? ...I'm made of cloth and cotton, ...so there's no way I can... talk...? ...So, ...I can't talk to Maria......?’ ",[=ST],『………うりゅ…。……やっぱりボクは、……ぬいぐるみなの…？　……布と綿で出来てるから、……しゃべれるわけ…ないの……？　……だから、……真里亞とはおしゃべりできないの………？』,[=JP],"{p:0:『}.........Урю.........Так я на самом деле кукла? ......Я из ткани и хлопка, и потому никак не могу разговаривать? Значит я не могу разговаривать с Марией?{p:0:』}","‘.........Uryu... ......Então eu sou mesmo......um animal de pelúcia...? ......Sou feito de tecido e algodão, ......por isso não posso...falar......? ......É por isso que......eu não posso falar com você.........?’",[=UP],『………嗚溜…。……果然偶，……是布娃娃麼…？……因為是布與棉花做的，……所以不可能…會說話……？……所以，……沒法與真里亞講話………？』,『………呜溜…。……果然偶，……是布娃娃么…？……因为是布与棉花做的，……所以不可能…会说话……？……所以，……没法与真里亚讲话………？』,[=UP],[=UP],[=UP]
,Sakutaro looked up at Maria sadly.,Sakutaro looked up at Maria sadly. ,[=ST],さくたろが悲しそうに真里亞を見上げる。,[=JP],Сакутаро с грустью в глазах посмотрел на Марию.,Sakutaro olhou para Maria com uma expressão triste.,[=UP],櫻太郎顯得很悲傷地仰望著真里亞。,樱太郎显得很悲伤地仰望着真里亚。,[=UP],[=UP],[=UP]
,"Maria's face was covered with tears, and she looked as though she had even lost the emotion of sadness......","Maria's face was covered with tears, and it looked as though it had even lost all traces of sadness... ",[=ST],真里亞の表情は、泣き腫らし、悲しみの感情さえ失ったように見えた…。,[=JP],"Мариино лицо всё было заплаканным, но выглядело так, будто с него бесследно исчезла печаль...","O rosto de Maria estava coberto de lágrimas, e parecia como se ela houvesse perdido até mesmo a emoção da tristeza......",[=UP],真里亞的臉哭腫了，看似是連悲傷之情都已經失去了…。,真里亚的脸哭肿了，看似是连悲伤之情都已经失去了…。,[=UP],[=UP],[=UP]
Ushiromiya Maria,"""............Uu. ......I can hear you, Sakutaro. ......You aren't a stuffed animal made of cloth and cotton. .........You're my...friend. ..................Hate Ange. ......Uuu{0}u{0}u{0}u{0}u{0}u{0}u{0}uuu......""","""......Uu-. ...I hear you, Sakutaro. ...You aren't a stuffed animal made of cloth and cotton. ......You are...my friend. ......I hate Ange. ...Uuuuuuuuuuuu..."" ",[=ST],「…………うー。……聞こえてるよ、さくたろ。……さくたろは、布と綿で出来たぬいぐるみなんかじゃないよ。………真里亞の、お友達だよ。………………縁寿なんか嫌い。……うううぅううぅぅぅ……。」,「…………うー。……聞こえてるよ、さくたろ。……さくたろは、布と綿で出来たぬいぐるみなんかじゃないよ。………真里亞の、お友達だよ。………………縁寿なんか嫌い。……うううぅううぅぅぅ……」,""".........У‐у. Мария слышит тебя, Сакутаро. ......Сакутаро, ты не кукла из ткани и хлопка. .........Ты Мариин... друг. ............Ненавижу Энджи. ......У‐у‐у‐у‐у‐у‐у‐у‐у‐у...""","""............Uu. ......Estou ouvindo você, Sakutaro. ......Você não é um animal de pelúcia feito de tecido e algodão. .........Você é...amigo da Maria. ..................Odeio a Ange. ......Uuu{0}u{0}u{0}u{0}u{0}u{0}u{0}uuu......""",[=UP],「…………嗚——。……聽得到喲，櫻太郎。……櫻太郎才不是布與棉花做出來的布娃娃喲。………是真里亞的、朋友哦。………………討厭緣壽。……嗚嗚嗚嗚嗚嗚嗚嗚嗚……」,「…………呜——。……听得到哟，樱太郎。……樱太郎才不是布与棉花做出来的布娃娃哟。………是真里亚的、朋友哦。………………讨厌缘寿。……呜呜呜呜呜呜呜呜呜……」,[=UP],[=UP],[=UP]
Sakutarou,"‘Uryu... I'm sorry Maria, I'm sorry Maria......! Uryu......!’","‘Uryu... Sorry, Maria. Sorry, Maria...! Uryu...!’ ",[=ST],『うりゅ…、真里亞ごめんね、真里亞ごめんね……！　うりゅ……！』,[=JP],"{p:0:『}Урю, прости, Мария, прости! Урю!{p:0:』}","‘Uryu... Desculpa Maria, desculpa Maria......! Uryu......!’",[=UP],『嗚溜…，真里亞對不起，真里亞對不起……！嗚溜……！』,『呜溜…，真里亚对不起，真里亚对不起……！呜溜……！』,[=UP],[=UP],[=UP]
,"Sakutaro felt regret. By freezing her heart, Maria had finally been able to escape from her sadness.","Sakutaro regretted doing that. By freezing her heart, Maria had finally been able to escape from her sadness. ",[=ST],さくたろは後悔する。真里亞は心を凍らせることで、ようやく悲しみから逃れられていたのだ。,[=JP],"Сакутаро ощутил острый укол сожаления. Заморозив своё сердце, Марии, наконец, удавалось сбежать от печали.","Sakutaro se arrependeu. Congelando seu coração, Maria finalmente foi capaz de escapar de sua tristeza.",[=UP],櫻太郎後悔了。真里亞是通過將心凍結成冰，才好不容易得以擺脫了悲傷。,樱太郎后悔了。真里亚是通过将心冻结成冰，才好不容易得以摆脱了悲伤。,[=UP],[=UP],[=UP]
,"...By speaking up and calling her back, he had caused her to become overwhelmed with sadness again...","...By speaking up and calling her back, he'd caused her to be overwhelmed with sadness again... ",[=ST],…それを、声を掛けて呼び戻してしまったから、また悲しみに囚われてしまった…。,[=JP],"...Но Сакутаро, разговаривая с ней и зовя её, заставлял её грустнеть снова и снова...","...Chamando‐a novamente, ele a fez se sentir oprimida pela tristeza novamente...",[=UP],…都是因為自己出聲將她喚了回來，才又使得她重新被悲傷所囚…。,…都是因为自己出声将她唤了回来，才又使得她重新被悲伤所囚…。,[=UP],[=UP],[=UP]
