Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,"News of the drifter, Furudo Erika, quickly spread across Rokkenjima. ","The news about the drifter, Furudo Erika, quickly spread across Rokkenjima.",[=UP],漂着者、古戸ヱリカの一報は、すぐに六軒島を駆け巡った。,[=JP],По Роккенджиме быстро разошлась новость о сошедшей на берег Фурудо Эрике.,"As notícias sobre a náufraga, Furudo Erika, rapidamente se espalharam por Rokkenjima.",漂流至島者——古戶繪梨花一事，馬上傳遍了整個六軒島。,漂流至岛者——古户绘梨花一事，马上传遍了整个六轩岛。,"Le notizie sulla naufraga, Furudo Erika, si sparsero velocemente attraverso Rokkenjima."
,"Erika had been welcomed in politely, and it was decided that she would be treated as a guest until the typhoon passed. ","Erika was politely entertained, and it was decided that she would be treated as a guest until the typhoon passed."," Erika had been politely entertained, and it was decided that she would be treated as a guest until the typhoon passed.",ヱリカは丁重にもてなされ、台風が過ぎ去るまでの間、客人として迎えられることになるのだった。,[=JP],"Эрику приняли вежливо, и было решено до окончания тайфуна отнестись к ней как к гостье.","Erika foi recebida com muita hospitalidade, e ficou decidido que ela deveria ser tratada como uma convidada até que o tufão passasse.",繪梨花受到了鄭重的招待，被歡迎為了台風離去前的那段時間裡的客人。,绘梨花受到了郑重的招待，被欢迎为了台风离去前的那段时间里的客人。,"Erika era stata gentilmente intrattenuta, e fu deciso che sarebbe stata trattata come un'ospite finché il tifone non sarebbe passato."
,"In the dining hall, Gohda's wonderful dinner had ended, and everyone was relaxing and enjoying some after-dinner coffee and cheese... ","In the dining hall, Gohda's wonderful dinner had ended, and everyone was relaxing and enjoying some after‐dinner coffee and cheese......"," In the dining hall, Gohda's wonderful dinner had ended, and everyone was relaxing and enjoying some after-dinner coffee and cheese......",食堂は、郷田による素晴らしい晩餐も終わり、コーヒーとチーズが並ぶ、和やかな食後のひと時になっていた……。,[=JP],"В столовой чудесный ужин Годы подошёл к концу, и все отдыхали, наслаждаясь послеобеденным кофе и сыром......","Na sala de jantar, o deslumbrante jantar de Gohda havia chegado ao fim, e todos estavam descansando e aproveitando uma xícara de café junto a um bom queijo......",餐廳中，出自鄉田之手的精美晚餐已經結束，擺上了咖啡與奶酪，正在進行和樂融融的飯後小憩……。,餐厅中，出自乡田之手的精美晚餐已经结束，摆上了咖啡与奶酪，正在进行和乐融融的饭后小憩……。,"Nella sala da pranzo, la stupenda cena di Gohda era finita, e tutti si stavano rilassando e godendosi del caffè e del formaggio per il dopocena..."
,"Apparently, Battler was a bit relieved that Erika had come and turned into a good scapegoat. It drove away some of the attention he'd been getting piled on him for finally coming back after six years. ","Apparently, Battler was a bit relieved that Erika had come and turned into a good scapegoat. It drove away some of the attention he'd been getting piled on him for finally coming back after six years."," Apparently, Battler was a bit relieved that Erika had come and turned into a good scapegoat. It drove away some of the attention he'd been getting piled on him for finally coming back after six years.",６年ぶりということで注目を浴びて照れ臭かった戦人にとっては、ヱリカというちょうどいいスケープゴートが現れてくれて安心、という感じだった。,[=JP],"Баттлер даже обрадовался появлению Эрики — нового козла отпущения. Всеобщее внимание было приковано к ней, и на него перестали вешаться за то, что он спустя шесть лет наконец вернулся.",Battler parecia aliviado que a chegada de Erika havia se tornado um bode expiatório. Ela atraiu para si toda a atenção que estaria depositada sobre ele devido ao seu retorno após seis anos.,對於因 6 年沒來而飽受注目到人都難為情了的戰人來說，繪梨花這只來得正好的“替罪羊”的出現，乃是讓他鬆了口氣。,对于因 6 年没来而饱受注目到人都难为情了的战人来说，绘梨花这只来得正好的“替罪羊”的出现，乃是让他松了口气。,"A quanto pare, Battler era alquanto sollevato del fatto che Erika fosse venuta e fosse diventata un capro espiatorio. Ciò portò via l'attenzione che si stava accumulando su di lui per essere finalmente venuto dopo sei anni."
,"In fact, she turned out to be very talkative. ","In fact, she turned out to be very talkative."," In fact, she turned out to be very talkative.",それどころか、むしろ彼女は饒舌。,[=JP],На деле она оказалась весьма разговорчивой.,"Ao contrário do que se esperava, ela era realmente conversadora.",豈止如此，莫如說反倒是她在口若懸河。,岂止如此，莫如说反倒是她在口若悬河。,"Anzi, l'ospite si rivelò essere molto loquace."
,"When the conversation turned to a sophisticated discussion of the mystery genre, even the adults were drawn in. ","When the conversation turned to a sophisticated discussion of the mystery genre, even the adults were drawn in."," When the conversation turned to a sophisticated discussion of the mystery genre, even the adults were drawn in.",高尚なミステリー談義を始め、すっかり大人たちも巻き込まれてしまった。,[=JP],"Когда разговор перешёл к сложному обсуждению детективного жанра, даже взрослые присоединились.","Quando a conversa mudou de rumos e transformou‐se em uma sofisticada discussão sobre romances policiais, até mesmo os adultos foram atraídos por ela.",一開始高尚的推理劇講座，大人們是徹底地被她的步調牽著走了。,一开始高尚的推理剧讲座，大人们是彻底地被她的步调牵着走了。,"Quando la conversazione si trasformò in una sofisticata discussione circa il genere giallo, persino gli adulti ne furono coinvolti."
,"She was apparently so well-versed that even Nanjo, who had a vast knowledge of the subject, was impressed. ","She was apparently so well versed that even Nanjo, who had a vast knowledge of the subject, was impressed."," She was apparently so well versed that even Nanjo, who had a vast knowledge of the subject, was impressed.",ミステリーに造詣のある南條も舌を巻くほどの知識の深さだという。,[=JP],"Она была так хорошо осведомлена, что поразился даже Нанджо с его обширными знаниями в этой области.","Erika demonstrava‐se ser tão versada quanto Nanjo, que detinha de um grande conhecimento do assunto, ao ponto de deixá‐lo impressionado.",其知識貌似是深到了，連對推理劇頗有造詣的南條都為之咋舌。,其知识貌似是深到了，连对推理剧颇有造诣的南条都为之咋舌。,"Apparentemente, era talmente esperta sull'argomento che persino Nanjo, che ne aveva una vasta conoscenza, era impressionato."
Ushiromiya Battler,"""Wahahaha, good point. A strange family in a western mansion on an isolated island during a storm. Now that we have a detective stopping by to take shelter from the rain, we've got all the major factors lined up."" ","""Wahahaha, good point. A strange family in a Western mansion on an isolated island during a storm. Now that we have a detective stopping by to take shelter from the rain, we've got all the major factors lined up.""","""Wahahaha, good point. A strange family in a western mansion on an isolated island during a storm. Now that we have a detective stopping by to take shelter from the rain, we've got all the major factors lined up.""",「わっはっはっは、確かにな。嵐の孤島に洋館に不気味な一族。そこに雨宿りの探偵と来りゃ、もうお膳立てが揃ったも同然だぜ。」,「わっはっはっは、確かにな。嵐の孤島に洋館に不気味な一族。そこに雨宿りの探偵と来りゃ、もうお膳立てが揃ったも同然だぜ」,"""Ва‐ха‐ха, точно. Странная семья в западном особняке на уединённом острове во время шторма. Когда у нас остановился детектив, чтобы укрыться от дождя, выстроились в ряд все основные факторы.""","""Wahahaha, realmente. Uma estranha família em uma mansão estilo ocidental localizada em uma ilha isolada pela tempestade. Agora que uma detetive fez uma parada aqui para se abrigar da chuva, os principais fatores foram alinhados.""",「哇哈哈哈，的確啊。暴風雨孤島、洋館、陰森的家族。這時候再來個避雨的偵探，那就已是等於萬事具備了啊。」,「哇哈哈哈，的确啊。暴风雨孤岛、洋馆、阴森的家族。这时候再来个避雨的侦探，那就已是等于万事具备了啊。」,"""Wahahaha, verissimo. Una strana famiglia in una residenza occidentale su un'isola separata dal resto del mondo durante una tempesta. Ora che abbiamo un detective che si ferma qui per rifugiarsi dalla pioggia, abbiamo tutti gli elementi principali allineati."""
Furudo Erika,"""Have no fear. No matter how difficult the crime, I will solve it. That's a detective's job."" ","""Have no fear. No matter how difficult the crime, I will solve it. That's a detective's job.""",[=UP],「ご安心を。どんな難事件であっても解決してお見せしますので。それが探偵の務めです。」,「ご安心を。どんな難事件であっても解決してお見せしますので。それが探偵の務めです」,"""Не бойтесь. Каким бы сложным преступление ни оказалось, я разгадаю его. Такова работа детектива.""","""Não temam. Não importa o quão complexo seja o caso, eu irei resolvê‐lo. Esse é o trabalho de um detetive.""",「請放心。不論發生怎樣的難解案件，我皆會破給大家看。這即是偵探的義務。」,「请放心。不论发生怎样的难解案件，我皆会破给大家看。这即是侦探的义务。」,"""Non abbiate paura. Per quanto complicato sia il crimine, io lo risolverò. {n}È questo il lavoro di un detective."""
Ushiromiya Krauss,"""How reassuring. It almost sounds as though you want a bizarre crime to occur. I hope I don't have to play the part of the victim."" ","""How reassuring. In fact, I would quite enjoy it if some kind of bizarre incident were to occur now. I just hope I don't have to play the part of the victim.""","""How reassuring. It almost sounds as though you want a bizarre crime to occur. I hope I don't have to play the part of the victim.""",「頼もしいじゃないか。むしろ何か、怪事件が起こって欲しいものだね。犠牲者役は御免被るが。」,「頼もしいじゃないか。むしろ何か、怪事件が起こって欲しいものだね。犠牲者役は御免蒙るが」,"""Как обнадёживает. Почти звучит так, словно ты хочешь, чтобы произошло преступление. Надеюсь, мне не придётся играть роль жертвы.""","""É mesmo reconfortante. Na verdade, eu até que aproveitaria se algum tipo de incidente bizarro acontecesse agora. Só espero que eu não tenha que fazer o papel de vítima.""",「真靠得住呢。這反倒叫人，不由得希望發生奇案了呢。不過，犧牲者一職就免了。」,「真靠得住呢。这反倒叫人，不由得希望发生奇案了呢。不过，牺牲者一职就免了。」,"""Come sei rassicurante. Sembra quasi che tu voglia che accada un crimine bizzarro. Spero di non dover fare la parte della vittima."""
