Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,"The marriage ceremony ended without any problems, and the reception was held inside the cathedral... ","The marriage ceremony ended without any problems, and the reception was held inside the cathedral...",[=UP],婚儀は滞りなく終了し、大聖堂では披露宴が執り行われていた…。,[=JP],"Церемония бракосочетания закончилась гладко, и в соборе проводился приём...",A cerimônia de casamento terminou sem maiores problemas e os festejos estavam ocorrendo dentro da catedral...,婚禮順利結束之後，婚宴在大聖堂內舉行…。,婚礼顺利结束之后，婚宴在大圣堂内举行…。,"La cerimonia di matrimonio terminò senza alcun problema, e il ricevimento fu tenuto all'interno della cattedrale..."
,"As the goat demons partied raucously, Dlanor could be seen leaning against a pillar, trying to escape from the noise. ","As the goat demons partied raucously, Dlanor could be seen leaning against a pillar, trying to escape from the noise."," As the goat demons partied raucously, Dlanor could be seen leaning against a pillar, trying to escape from the noise.",山羊の悪魔たちが無礼講に騒ぐ中、その喧騒から逃げ、柱に寄りかかるドラノールの姿があった。,[=JP],"Пока козлоголовые демоны оглушительно праздновали, Дланор прислонилась к колонне, пытаясь скрыться от шума.","Enquanto as cabras demoníacas festejavam sem compromisso, Dlanor podia ser vista encostada contra um pilar, tentando escapar do barulho.",山羊惡魔們混在一起喧鬧不已時，在遠離喧囂的地方，德拉諾爾正靠在柱子上。,山羊恶魔们混在一起喧闹不已时，在远离喧嚣的地方，德拉诺尔正靠在柱子上。,"Mentre i demoni caproni facevano festa raucamente, si poteva scorgere Dlanor appoggiata contro una colonna, che cercava di sfuggire al chiasso."
,"Then, Gertrude appeared and whispered some kind of report to her. ","Then, Gertrude appeared and whispered some kind of report to her."," Then, Gertrude appeared and whispered some kind of report to her.",そこへ、ガートルードが現れ、小耳に何かを注進する。,[=JP],Затем появилась Гертруда и прошептала ей доклад.,"Então, Gertrude apareceu e sussurrou algum relatório em seu ouvido.",格德魯特突然出現，向著她走去，附在耳邊向她報告了些什麼。,格德鲁特突然出现，向着她走去，附在耳边向她报告了些什么。,"Poi, Gertrude apparve e le sussurrò un qualche tipo di rapporto."
Dlanor,"""......Is that {f:5:true}?"" ",""".........Is that {f:5:true}?""",""".........Is that TRUE?""",「………それは本当デスカ。」,「………それは本当デスカ」,""".........Это {f:5:точно}?""",""".........Isso é {f:5:verdade}?""",「………這是真的嗎？」,「………这是真的吗？」,"""... Ciò corrisponde al VERO?"""
Gertrude,"""Allow me to speak. Aide Cornelia is currently heading towards the scene. ...I suggest that Lady {f:5:Erika} be contacted as well."" ","""For your attention: Assistant Inquisitor Cornelia is currently heading towards the scene. ......I suggest that Lady {f:5:Erika} be contacted as well.""","""Allow me to speak. Aide Cornelia is currently heading towards the scene. ......I suggest that Lady Erika be contacted as well.""",「謹啓。現在、コーネリア補佐官が現場保全に向かいたるものなりや。……ヱリカ卿にも注進すべきかと存じ上げ奉る。」,「謹啓。現在、コーネリア補佐官が現場保全に向かいたるものなりや。……ヱリカ卿にも注進すべきかと存じ上げ奉る」,"""Уважаемые присутствующие, я смиренно прошу слова. В настоящее время помощник Корнелия направляется на место. ......Полагаю, стоит связаться с леди {f:5:Эрикой}.""","""Senhoris, a Inquisidora Assessora Cornelia está agora dirigindo‐se à cena. ......Sugiro que a Lady {f:5:Erika} também seja contactada.""",「謹啟。現在，柯內莉亞輔佐官現在前往保衛現場安全是也。……須知，亦理應向艾莉卡卿報告此事。」,「谨启。现在，柯内莉亚辅佐官现在前往保卫现场安全是也。……须知，亦理应向艾莉卡卿报告此事。」,"""Consentitemi di parlare. L'Assistente Cornelia si sta attualmente dirigendo verso la scena. ... Suggerisco che anche Lady Erika venga contattata."""
Dlanor,"""{f:5:Understood}. I will tell {f:5:her}. ...Gertrude, contact the head of ceremony {f:5:security}. ...Prepare for {f:5:battle}."" ","""{f:5:Understood}. I will tell {f:5:her}. ......Gertrude, contact the head of ceremony {f:5:security}. ......Prepare for {f:5:battle}.""","""UNDERSTOOD. I will tell HER. ......Gertrude, contact the head of ceremony SECURITY. ......Prepare for BATTLE.""",「わかりマシタ。ご注進申し上げマス。……ガートルードは、式典警備長に連絡デス。……準戦闘配備。」,「わかりマシタ。ご注進申し上げマス。……ガートルードは、式典警備長に連絡デス。……準戦闘配備」,"""{f:5:Поняла}. Я скажу {f:5:ей}. ......Гертрудаа, свяжись с ответственным за {f:5:безопасность} на церемонии. ......Готовьтесь к {f:5:битве}.""","""{f:5:Entendido}. Irei {f:5:informá‐la}. ......Gertrude, contacte o chefe encarregado da segurança do {f:5:casamento}. ......Prepare‐se para {f:5:batalha}.""",「知道了。我會向她報告的。……格德魯特，你去聯絡儀式警備長。……准戰鬥部署。」,「知道了。我会向她报告的。……格德鲁特，你去连络仪式警备长。……准战斗部署。」,"""Ho CAPITO. Lo dirò io a LEI. ... Gertrude, contatta il capo della sicurezza della CERIMONIA. ... Preparatevi per la BATTAGLIA."""
Gertrude,"""As you wish."" ","""As you wish.""",[=UP],「御意。」,「御意」,"""Как прикажете.""","""Às ordens.""",「遵命。」,[=CHT],"""Come desidera."""
Chiester00,"""I apologize for interrupting your chat. I am in charge of security for this ceremony."" ","""I apologize for interrupting your chat. I am in charge of security for this ceremony.""",[=UP],「ご歓談中、失礼いたしますっ。本式典警備長であります。」,「ご歓談中、失礼いたしますっ。本式典警備長であります」,"""Прошу прощения, что прерываю вашу беседу. Я отвечаю за безопасность на церемонии.""","""Sinto muito interromper sua conversa. Estou encarregada da segurança desta cerimônia.""",「抱歉打擾了兩位的談話。我是本次儀式的警備長。」,「抱歉打扰了两位的谈话。我是本次仪式的警备长。」,"""Mi scuso per aver interrotto il vostro discorso. Io sono incaricata della sicurezza per questa cerimonia."""
{f:5:Lambdadelta},"""Huh? Is it me?! Do you want something?"" ","""Huh? For me?! Oh, what's going on?""",[=UP],「え？　私？！　なぁにー、何か用？」,[=JP],"""Э? Меня?! О, что?""","""Hã? Eu?! Quê?! O que tá acontecendo?""",「誒？我？！什麼，有什麼事？」,「诶？我？！什么，有什么事？」,"""Huh? Per me?! Oh, cosa sta succedendo?"""
{f:5:Bernkastel},"""...I told you you were going too far. Champagne Tower Bowling was always a bad idea. Looks like it's time for a scolding. *giggle*giggle*..."" ","""......I told you that you were going too far. Champagne Tower Bowling was always a bad idea. Time for a scolding. *giggle*giggle*......""","""......I already said you were going too far. Champagne Tower Bowling was always a bad idea. Time for a scolding. *giggle*giggle*......""",「……だからはしゃぎ過ぎだって言ったのよ。さすがにシャンパンタワーでボーリングはやり過ぎだわ。少し油を絞られてきなさい。くすくすくす……。」,「……だからはしゃぎ過ぎだって言ったのよ。さすがにシャンパンタワーでボーリングはやり過ぎだわ。少し油を絞られてきなさい。くすくすくす……」,"""......Я уже говорила, что ты зашла слишком далеко. Кегли для боулинга из шампанского всегда были плохой идеей. Пора получить нагоняй. *хи‐хи*хи‐хи*......""","""......Eu disse que já estava indo longe demais. Boliche com torres de champagne é sempre uma péssima ideia. Hora da repreensão. *risos*risos*......""",「……所以我說你太吵了吧。果然拿香檳塔打保齡球聲音還是太過頭了。去被好好教訓一頓再回來吧。嘻嘻嘻……」,「……所以我说你太吵了吧。果然拿香槟塔打保龄球声音还是太过头了。去被好好教训一顿再回来吧。嘻嘻嘻……」,"""... Te l'avevo detto che stavi esagerando. Lo Champagne Tower Bowling è sempre stata una cattiva idea. Tempo di rimproveri. *giggle*giggle*..."""
