Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
{f:5:Bernkastel},"""............Lambda, ......where are you......?""","""......Lambda, ...where are you...?"" ",""".........Lambda......where are you......?""",「…………ラムダ、……どこ……？」,[=JP],""".........Лямбда...... где ты?..""","""............Lambda, ......cadê você......?""",[=UP],「…………拉姆達，……在哪裡……？」,「…………拉姆达，……在哪里……？」,[=UP],[=UP],[=UP]
,Just having to say that felt like admitting defeat......and I didn't like it.,"Just having to say that felt like admitting defeat, ...and I didn't like it. ",[=UP],それを口に出すこと自体が、ある種の敗北を認めたようで、……ちょっぴり悔しい。,[=JP],"Просто должна сказать, что признавать поражение...... было неприятно.",Simplesmente ter que dizer isso faz parecer que estou admitindo a derrota......eu não gosto disso.,[=UP],說出這句話這件事本身，就像是承認了某種失敗一樣，……於是感到有點後悔。,说出这句话这件事本身，就像是承认了某种失败一样，……于是感到有点后悔。,[=UP],[=UP],[=UP]
,"Why is it that she's always so obnoxious and clingy when I don't need her, ......and then won't answer when I call her name?","Why is it that she's always so obnoxious and clingy when I don't need her, ...and then won't answer when I call her name? "," Why is it that she's always so obnoxious and clingy when I don't need her, ......and then won't answer when I call her name.",頼みもしない時にばかり、うるさく纏わり付いてくるくせに、……珍しく名前を呼んでやったら返事もしないなんて、………馬鹿にしてる。,[=JP],"Почему она всегда так несносна и надоедлива, когда не нужна...... но не отвечает, когда я зову её?","Por que ela é sempre tão obnóxia e sempre grudenta quando eu não preciso dela, ......mas nunca responde quando eu chamo pelo nome dela?",[=UP],明明總是在不需要的時候，糾纏不休死纏不放，……難得叫聲名字卻連回都不回一下，………把我當白痴一樣。,明明总是在不需要的时候，纠缠不休死缠不放，……难得叫声名字却连回都不回一下，………把我当白痴一样。,[=UP],[=UP],[=UP]
,Where.........am I......?,Where...am I...? , Where......am I......? ,ここは、………どこなの……？,[=JP],Где...... я?..,Onde.........eu estou......?,[=UP],這裡是，………哪裡……？,这里是，………哪里……？,[=UP],[=UP],[=UP]
,"Annoyed by the completely predictable ending, I had left the cathedral.","Annoyed by the completely predictable ending, I'd left the cathedral. ",[=UP],完全にオチの見えた展開で馬鹿らしくなり、私は大聖堂を出たはずなのだ。,[=JP],"Раздражённая предсказуемым концом, я покинула собор.","Incomodada com o final extremamente previsível, eu deixei a catedral.",[=UP],由於完全看得到結局的展開真是無聊，我應該是離開了大聖堂。,由于完全看得到结局的展开真是无聊，我应该是离开了大圣堂。,[=UP],[=UP],[=UP]
,......I had planned on finding some terrace with a cool night's breeze...where I could kill time until the end of that farcical reception.,...I'd planned on finding some terrace with a cool night's breeze to kill time on until the end of that farcical reception. ,......I had planned on finding some terrace with a cool night's breeze to kill time on until the end of that farcical reception.,……どこか、涼しい夜風の当たるテラスでも見つけたら、そこで茶番の披露宴が終わるまで時間でも潰してるつもりだった。,[=JP],"......Я хотела найти террасу с прохладным ночным ветерком, чтобы убить время до конца этого фарсового приёма.",......Eu pretendia encontrar algum terraço com uma agradável brisa noturna...onde eu pudesse matar tempo até o fim daquela recepção ardil.,[=UP],……打算在哪，找著個吹著涼爽夜風的陽台的話，就在那消磨時間直到那個滑稽的婚宴結束為止。,……打算在哪，找着个吹着凉爽夜风的阳台的话，就在那消磨时间直到那个滑稽的婚宴结束为止。,[=UP],[=UP],[=UP]
{f:5:Bernkastel},"""......It's true that I tried to find somewhere desolate so that I didn't have to look at people, .........but this is a bit ridiculous.""","""...It's true that I tried to find somewhere desolate so that I wouldn't have to look at people, ...but this is a bit ridiculous."" ","""......It's true that I tried to find somewhere desolate so that I didn't have to look at people, ......but this is a bit ridiculous.""",「……確かに、人の顔を見たくなかったから、ひと気のない方へばかり進んだけど。………さすがに、これはいないにも程があるわ。」,「……確かに、人の顔を見たくなかったから、ひと気のない方へばかり進んだけど。………さすがに、これはいないにも程があるわ」,"""......Да, я хотела найти уединённое местечко, чтобы не видеть их всех...... но это уже слишком.""","""......É verdade que eu tentei encontrar um lugar desolado para que eu não precisasse olhar para as pessoas, .........mas isso é um pouco ridículo.""",[=UP],「……雖然，確實是因為不想看見人臉，所以一直朝著沒人的地方前進。………不過再怎麼說，這沒人也要有個限度。」,「……虽然，确实是因为不想看见人脸，所以一直朝着没人的地方前进。………不过再怎么说，这没人也要有个限度。」,[=UP],[=UP],[=UP]
,"I, the great {f:5:Bernkastel}, ......am lost?","I, the great {f:5:Bernkastel}, ...am lost? ","I, the great Bernkastel, ......am lost? ",この、大ベルンカステルが、……迷子？,[=JP],"Я, великая {f:5:Бернкастель}...... потерялась?","Eu, a Grande {f:5:Bernkastel}, ......perdi?",[=UP],我，大貝倫卡斯泰露，……竟然迷路了？,我，大贝伦卡斯泰露，……竟然迷路了？,[=UP],[=UP],[=UP]
,A miracle like that certainly couldn't happen.,A miracle like that certainly wouldn't happen. ,[=UP],そんな奇跡、絶対に起こるものか。,[=JP],Такое чудо невозможно.,Um milagre que certamente não poderia existir.,[=UP],這樣的奇跡，怎麼可能出現？,这样的奇迹，怎么可能出现？,[=UP],[=UP],[=UP]
,Yes...miracles don't exist in this world.,"Yes, ...miracles don't exist in this world. ", Yes...miracles don't exist in this world.,そう、この世に奇跡なんて、存在しない。,[=JP],"Да, в этом мире не бывает чудес.",Sim...milagres não existem neste mundo.,[=UP],對，這個世界的奇跡什麼的，是不存在的。,对，这个世界的奇迹什么的，是不存在的。,[=UP],[=UP],[=UP]
,"To create a miracle, you need ""an amount of time that can never be reached"", a period that is no different from infinity.","To create a miracle, you need ""an amount of time that can never be reached"", a period that's no different from infinity. "," To create a miracle, you need 'an amount of time that can never be reached', a period that is no different from infinity.",奇跡を生み出すには、無限に等しい時間という、“決して訪れぬ時間”が必要になのだから。,奇跡を生み出すには、無限に等しい時間という、“決して訪れぬ時間”が必要なのだから。,"На сотворение чуда нужно 'время, которого никогда не хватает', период, неотличимый от бесконечности.","Para criar um milagre, você precisa de ""uma quantia de tempo que nunca poderá ser alcançada"", um período de tempo que não se difere do infinito.",[=UP],因為要生出奇跡，是需要“等同於無限的時間”這種，“絕對不會來臨的時間”的。,因为要生出奇迹，是需要“等同于无限的时间”这种，“绝对不会来临的时间”的。,[=UP],[=UP],[=UP]
,"So, when something that appears to be a miracle happens in a shorter span of time than that, .....it is not a miracle...but due to someone's......design.","So, when something that appears to be a miracle happens in a shorter span of time than that, ...it is not a miracle, but the product of someone's...design. "," So, when something that appears to be a miracle happens in a shorter span of time than that, .....it is not a miracle... but due to someone's......design.",だから、それに満たない時間で、奇跡らしきものが生まれた時は、……それは奇跡ではなく。……誰かの、……意図によるものだ。,[=JP],"Поэтому, когда нечто напоминающее чудо происходит за более короткое время..... это не чудо...... а чья‐то...... схема.","Por isso, quando algo que aparente ser um milagre, ocorre em um pequeno período de tempo inferior a esse, .....não é um milagre...é porque alguém......planejou.",[=UP],所以，在不滿於此的時間中，卻出現的類似奇跡的東西，……這絕不是奇跡。……這是，……出於某人的意圖。,所以，在不满于此的时间中，却出现的类似奇迹的东西，……这绝不是奇迹。……这是，……出于某人的意图。,[=UP],[=UP],[=UP]
,"In other words, ......the reason I'm walking down this bizarre corridor......is because someone's design has forced me here......","""In other words, ...the reason I'm walking down this corridor... is because someone's design has forced me here... ","""In other words, ......the reason I'm walking down this corridor......is because someone's design has forced me here......",つまり、……私は今、誰かの意図に飲まれて、……こんなおかしな廊下を歩かされていることになる……。,[=JP],Значит...... я иду по этому коридору...... потому что меня заманили сюда......,"Em outras palavras, ......o motivo pelo qual eu estou andando por este bizarro corredor......é porque o plano de alguém me forçou a vir aqui......",[=UP],也就是說，……我現在，正迎合著某人的意圖，……走在這條奇怪的走廊下……,也就是说，……我现在，正迎合着某人的意图，……走在这条奇怪的走廊下……,[=UP],[=UP],[=UP]
{f:5:Bernkastel},""".........Who did this? Who pulled this elaborate prank on me? .........You must be quite the shy one, ......calling me out to a desolate place like this.""","""...Who? Who would have pulled such a complicated prank on me? ......It looks like you're quite the shy one, ...calling me out to a desolate place like this."" ","""......Who? Who would have pulled such a complicated prank on me? .........It looks like you're quite the shy one, ......calling me out to a desolate place like this.""",「………誰？　こんな、手の込んだ真似で私を呼ぶのは。………よっぽどの恥ずかしがり屋みたいね。……こんなひと気のないところに呼び出すんだから。」,「………誰？　こんな、手の込んだ真似で私を呼ぶのは。………よっぽどの恥ずかしがり屋みたいね。……こんなひと気のないところに呼び出すんだから」,"""......Кто? Кто решил сыграть со мной такую сложную шутку?.........Вижу, ты очень застенчив...... раз позвал меня в такое безлюдное место.""",""".........Quem fez isso? Quem articulou esta elaborada pegadinha? .........Você deve mesmo ser tímida, ......ao ponto de me chamar para um lugar isolado desses.""",[=UP],「………誰？用這種，精心複雜的模仿喚我來。………你還真是個羞澀的人呢。……把我引到這樣沒人的地方。」,「………谁？用这种，精心复杂的模仿唤我来。………你还真是个羞涩的人呢。……把我引到这样没人的地方。」,[=UP],[=UP],[=UP]
,"......Then, ......from the other end of the dark corridor, ......I heard a sound.","...Then, ...from the other end of the dark corridor, ...I heard a sound. ",......Then......from the other end of the dark corridor......I heard a sound.,……その時、……向こうへ伸びる薄暗い廊下から、……音が聞こえた。,[=JP],......И вдруг...... на другом конце тёмного коридора...... я услышала звук.,"......Então, ......ao final do lado oposto do corredor escuro, ......eu ouvi um som.",[=UP],……這時，……從向前延伸的昏暗走廊裡，……傳來了聲音。,……这时，……从向前延伸的昏暗走廊里，……传来了声音。,[=UP],[=UP],[=UP]
,"{a:c:*patter*, *patter*patter*patter*.........}","*patter*, *patter*patter*patter*... ","*patter*, *patter*patter*patter*......",{a:c:とっ、とてとてとてとてとて………。},[=JP],"{a:c:*топ*, *топ*топ*топ*......}","{a:c:*paft*, *paft*paft*paft*.........}",[=UP],{a:c:噠，啪嗒啪嗒啪嗒啪嗒………},{a:c:哒，啪嗒啪嗒啪嗒啪嗒………},[=UP],[=UP],[=UP]
,"It sounded as though some small animal, like a dog or a cat, was walking at a quick pace.","It sounded as though some small animal, like a dog or a cat, was walking at a quick pace. "," It sounded as though some small animal, like a dog or a cat, was walking at a quick pace.",それは、犬か猫などの小動物が、足早に駆けて行く音に、よく似ていた。,[=JP],"Звучало так, будто в быстром темпе шло небольшое животное — кошка или собака.","Um som tamborilante, como se fosse um pequeno animal, talvez um cão ou um gato, caminhando em um ritmo acelerado.",[=UP],這和，狗或者貓那樣的小動物快速跑動的聲音，非常相似。,这和，狗或者猫那样的小动物快速跑动的声音，非常相似。,[=UP],[=UP],[=UP]
,"No miracle could cause a dog or cat to be in a place like this.{n}Such a miracle would not be ""allowed"".","No miracle could cause a dog or cat to be in a place like this. Such a miracle would not be ""allowed"". ", No miracle could cause a dog or cat to be in a place like this. Such a miracle would not be 'allowed'.,こんなところに、犬や猫がいる奇跡はない。そんな奇跡は“許さない”。,こんなところに、犬や猫がいる奇跡はない。{n}そんな奇跡は“許さない”。,Никакое чудо не привело бы сюда собаку или кошку.{n}Такое чудо *недопустимо*.,"Milagre algum poderia fazer com que um cão ou um gato estivesse em um lugar como este.{n}Tal milagre não seria ""permitido"".",[=UP],在這種地方，不會有存在狗和貓的奇跡。{n}這種奇跡是“不允許的”。,在这种地方，不会有存在狗和猫的奇迹。{n}这种奇迹是“不允许的”。,[=UP],[=UP],[=UP]
,"Since it isn't a miracle, that means I am being guided in that direction.","Since it isn't a miracle, that means I'm being guided in that direction. "," Since it isn't a miracle, that means I am being guided in that direction.",奇跡でないならそれはつまり、そちらが導かれる方向ということだ。,[=JP],"А раз это не чудо, значит, меня ведут в том направлении.","Visto que não é um milagre, isso significa que estou sendo guiada em sua direção.",[=UP],這不是奇跡也就是說，是引導著我往那個方向前進。,这不是奇迹也就是说，是引导着我往那个方向前进。,[=UP],[=UP],[=UP]
,.........Alright then. This might be some new idea to keep me entertained.,...Very well. This might be some new theme to keep me entertained. ,......Very well. This might be some new idea to keep me entertained.,………いいわ。私を退屈させない、何かの新しい趣向かもしれない。,[=JP],"......Ладно. Может, это нужно, чтобы развлечь меня.",.........Muito bem. Esta pode ser alguma nova ideia para me manter entretida.,[=UP],………好吧。也許有能讓我不無聊的，有新意的遊戲也說不定。,………好吧。也许有能让我不无聊的，有新意的游戏也说不定。,[=UP],[=UP],[=UP]
,"If this is some new joke of Lambda's, I'll cover her whole body with honey using my tongue as a reward.","If this is some new joke of Lambda's, I'll cover her whole body with honey using my tongue as a reward. "," If this is some new joke of Lambda's, I'll cover her whole body with honey using my tongue as a reward.",もしこれがラムダの新しい遊びだったら、ご褒美に舌で全身にハチミツを塗ってやるわ。,[=JP],"Если это новая шутка Лямбды, в награду я языком обмажу всё её тело мёдом.","Se isso for alguma piada nova da Lambda, eu vou recompensá‐la cobrindo seu corpo com mel usando a minha língua.",[=UP],要是這是拉姆達設置的新的遊戲的話，就用我的舌頭在她全身塗滿蜂蜜當作獎勵吧。,要是这是拉姆达设置的新的游戏的话，就用我的舌头在她全身涂满蜂蜜当作奖励吧。,[=UP],[=UP],[=UP]
,"...And then, I'll stick parasol chocolates into her eyes and tell her to never do it again.","...And then, I'll stick parasol chocolates into her eyes and tell her to never do it again. ",[=UP],…そして二度とするなと、両目にパラソルチョコを捻じ込んでやる。,[=JP],...А потом воткну ей в глаза шоколадные зонтики и скажу никогда так больше не делать.,"...E então, eu vou enfiar um guarda‐chuva de chocolate nos olhos dela e dizer a ela para nunca mais fazer isso.",[=UP],…然後把雨傘巧克力塞入她的雙眼裡，以此告訴她別再做這種事。,…然后把雨伞巧克力塞入她的双眼里，以此告诉她别再做这种事。,[=UP],[=UP],[=UP]
,"In the direction that the noise had come from, ......it was not only dim, but shrouded in complete darkness.","In the direction the noise had come from, ...it was not only dim, but shrouded in complete darkness. "," In the direction that the noise had come from, ......it was not only dim, but shrouded in complete darkness.",音の聞こえた廊下の向こうは、……薄暗いどころか、……本当の闇だった。,[=JP],По направлению к источнику шума...... тусклый свет сменялся кромешной тьмой.,"Na direção de onde vinha o ruído, ......não estava apenas mal‐iluminado, estava envolto pela completa escuridão.",[=UP],傳來聲音的走廊的另一邊，……何止昏暗，……已經是黑暗了。,传来声音的走廊的另一边，……何止昏暗，……已经是黑暗了。,[=UP],[=UP],[=UP]
