Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
Ushiromiya Jessica,"""So...heheh...about earlier, sorry you had to see me acting like that... I blame the {i:future heir}......""","""Ah...heheh. I apologize for our Successor-sama's lack of courtesy back there..."" ","""Ah...heheh. I apologize for our Successor-sama's lack of courtesy back there......""",「あ、えへへ、さっきはその、次期当主サマのせいでお見苦しいとこを見せちゃって……。」,「あ、えへへ、さっきはその、次期当主サマのせいでお見苦しいとこを見せちゃって……」,"""А... хе‐хех. Извините за ту неприглядную сцену со сменой главе семьи......""","""Então...heheh...sobre antes, desculpe por me ver agindo daquela maneira... Eu culpo a {i:futura sucessão}......""",[=UP],「啊，哎嘿嘿，剛才那個，都怪下任當主大人不好，讓您看到丟人之處了……」,「啊，哎嘿嘿，刚才那个，都怪下任当主大人不好，让您看到丢人之处了……」,[=UP],[=UP],[=UP]
Willard H. Wright,"""It's not going to leave a mark, is it? Talk about merciless.""","""It's not going to leave a mark, is it? Talk about merciless."" ",[=UP],「痣になってねぇか。あいつマジで容赦ねェ。」,「痣になってねぇか。あいつマジで容赦ねェ」,"""Это же не оставит следов? Такая беспощадность.""","""Não vai deixar marca, né? Sem perdão algum.""",[=UP],「有沒有淤青？那傢伙，可真的手下一點都不留情。」,「有没有淤青？那家伙，可真的手下一点都不留情。」,[=UP],[=UP],[=UP]
Ushiromiya Lion,""".........Did you say something, Jessica?""","""...Did you say something, Jessica?"" ","""......Did you say something, Jessica?""",「………朱志香、何か言ったかい？」,[=JP],"""......Ты что‐то сказала, Джессика?""",""".........Disse alguma coisa, Jessica?""",[=UP],「………朱志香，你在說什麼呢？」,「………朱志香，你在说什么呢？」,[=UP],[=UP],[=UP]
Ushiromiya Jessica,"""O‐of course not...! I've already, uh, learned my lesson, okay?!""","""O-Of course not...! I've already, uh, learned my lesson, okay?!"" ","""O, of course not...! I've already, uh, learned my lesson, okay?!""",「な、何も何も…！　もう充分、懲りたって！」,[=JP],"""Ко... конечно нет!.. Я уже, э‐э, усвоила урок!""","""N‐Não disse nada...! Eu já aprendi a minha lição, tá?!""",[=UP],「什、什麼都沒說什麼都沒說…！我已經，受夠教訓了啦！」,「什、什么都没说什么都没说…！我已经，受够教训了啦！」,[=UP],[=UP],[=UP]
,"Lion, who had apparently been chatting with the adult siblings, spun around with a smile and stared at Jessica. ......Looks like the older sibling's firmly in control around here.","Lion, who had apparently been chatting with the adult siblings, spun around with a smile and stared at Jessica. ...Looks like the older sibling's firmly in control around here. ",[=UP],親族兄弟たちと談笑していたはずの理御が、笑顔でぎょろりと振り向き、朱志香をさらりと威圧する。……妹への威厳は、がっちり保ててるらしい。,[=JP],"Прервав разговор со взрослыми родственниками, Лион оборачивается и с улыбкой смотрит на Джессику. ......Похоже, старший ребёнок строго контролирует ситуацию.","Lion, que aparentemente estava conversando com os adultos, virou‐se com um sorriso e olhou para Jessica. ......Parece que são os mais velhos que controlam tudo firmemente aqui.",[=UP],正在跟親族四兄妹們有說有笑的理御，突然滿臉笑容地扭過頭來，不動聲色地威懾朱志香。……看來理御是有好好地保持著對妹妹的威嚴。,正在跟亲族四兄妹们有说有笑的理御，突然满脸笑容地扭过头来，不动声色地威慑朱志香。……看来理御是有好好地保持着对妹妹的威严。,[=UP],[=UP],[=UP]
Willard H. Wright,"""......Those are some sharp ears. I think I finally get this Lion person.""","""...Those are some sharp ears. I think I'm finally getting this Lion person."" ",[=UP],「……あいつ、その上、地獄耳だな。ようやく、理御ってヤツが理解できてきた。」,「……あいつ、その上、地獄耳だな。ようやく、理御ってヤツが理解できてきた」,"""......Какой тонкий слух. Мне наконец ясно, что Лион из себя представляет.""","""......Que ouvidos mais afiados. Acho que finalmente estou entendendo Lion.""",[=UP],「……那傢伙，不只如此，還耳聽八方呢。我終於算是搞懂理御這個人了。」,「……那家伙，不只如此，还耳听八方呢。我终于算是搞懂理御这个人了。」,[=UP],[=UP],[=UP]
Ushiromiya Jessica,"""Yeah, yeah, yeah! The future heir's always been annoyingly sharp! Not to mention the favorite of all the adults! I'm always compared against this kid, at home and at school!""","""Yeah, yeah, yeah! Our Successor-sama's always been weirdly sharp! And the adults are always gushing about that kid! And I'm always getting compared to that, both at home and at school!"" ","""Yeah, yeah, yeah! Those strangely keen instincts have always been there! And on top of that, adults always seem to love our Successor-sama! I'm always compared against this kid, at home and at school!""",「そうそうそうそう。昔っから妙に勘が良くって！　その上ほら、大人受けが妙にいいし！　私は家でも学校でも比べられてる！」,[=JP],"""Вот‐вот! До чего по‐странному острые инстинкты! И взрослые прямо обожают смену главе семьи! Нас вечно сравнивают и дома, и в школе!""","""Sim, sim, sim! A {i:futura sucessão} sempre é afiadamente irritante! Sem mencionar que os adultos adoram puxar seu saco! Sou sempre comparada, seja em casa ou na escola!""",[=UP],「對對，對對。那傢伙，從以前起就出奇的直覺敏銳！而且，還出奇的討大人喜歡！我是在家在學校，都被別人拿來跟理御比啊！」,「对对，对对。那家伙，从以前起就出奇的直觉敏锐！而且，还出奇的讨大人喜欢！我是在家在学校，都被别人拿来跟理御比啊！」,[=UP],[=UP],[=UP]
Ushiromiya George,"""Come to think of it, Lion was the student council president for both middle school and high school. And the head of the badminton team too.""","""Come to think of it, Lion was the student council president during both middle school and high school. And the head of the badminton team too."" ",[=UP],「そういえば、理御は中学も高校も生徒会長だったね。バドミントンの部長もやってたよね。」,「そういえば、理御は中学も高校も生徒会長だったね。バドミントンの部長もやってたよね」,"""Кстати, Лион занимает в старшей школе должность председателя студсовета — так же, как было в средней. А ещё Лион возглавляет бадминтонную команду.""","""Pensando nisso, Lion foi presidente do conselho estudantil, tanto no fundamental quanto no ensino médio. E ainda comandava o time de badminton.""",[=UP],「說起來，理御在初、高中都是學生會會長呢。羽毛球部部長也有當過。」,「说起来，理御在初、高中都是学生会会长呢。羽毛球部部长也有当过。」,[=UP],[=UP],[=UP]
Willard H. Wright,"""So everywhere you go, you get compared to Lion, and it doesn't work out too well for you.""","""So everywhere you go, you get compared to Lion, and it doesn't match up too well for you."" ","""So everywhere you go, you get compared to Lion, and it doesn't match up too well for you.""",「行く先々で、理御と比較されて酷ぇ目に遭ったというわけだ。」,「行く先々で、理御と比較されて酷ぇ目に遭ったというわけだ」,"""В общем, вас всюду сравнивают, и тебя это не устраивает.""","""Então não importa o que você faça, sempre é comparada com Lion e isso nunca é bom para o seu lado.""",[=UP],「你是走到哪就在哪被人拿來跟理御比較，倒足了霉麼？」,「你是走到哪就在哪被人拿来跟理御比较，倒足了霉么？」,[=UP],[=UP],[=UP]
Ushiromiya Jessica,"""I said it as soon as I got into middle school. The future heir was already the vice‐president of the student council. I said ""if you're planning to become council president next year, that'll just put more pressure on me, so stop it!""""","""I said it as soon as I got into middle school. Our Successor-sama was already the vice-president of the student council. I said ""if you're planning to become council president next year, that'll just put more pressure on me, so stop it!"" ","""I said it as soon as I got into middle school. Our Successor-sama was already the vice-president of the student council. I said 'if you're planning to become council president next year, that'll just put more pressure on me, so stop it!' ",「私は中学に入って言ったぜ？　その時はもう副会長やってた。来年は生徒会長になる気だろう、私の肩身が狭くなるからやめてくれって！,「私は中学に入って言ったぜ？　その時はもう副会長やってた。来年は生徒会長になる気だろう、私の肩身が狭くなるからやめてくれって！」,"""Я говорила, когда перешла в среднюю школу. Тогда смену главе семьи уже назначили заместителем председателя студсовета. Я сказала 'Если ты в следующем году возглавишь студсовет, я буду чувствовать себя клопом, так что не вздумай!'""","""Eu disse isso logo que entrei no fundamental II. A {i:futura sucessão} já era vice‐presidente do conselho estudantil. E disse ""se planeja se tornar presidente no próximo ano, pode esquecer, isso só vai colocar mais pressão em mim!""""",[=UP],「我在進初中時，跟理御說過哦？那時，理御已經是副會長了。我說了，你是準備在明年當學生會會長吧，這樣是會讓我難做人的，打消主意吧！」,「我在进初中时，跟理御说过哦？那时，理御已经是副会长了。我说了，你是准备在明年当学生会会长吧，这样是会让我难做人的，打消主意吧！」,[=UP],[=UP],[=UP]
