Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,"""......Listen. I am one yet many. What I speak is our tale. However, this is a small world, sealed by glass and cork, with no one to hear. None shall lay eyes upon it, and my entire tale shall be sealed away, set adrift in the sea of my heart until it disappears amongst the seaweed..."" ",""".........Let it be heard. I am one yet many. What I speak is our tale. However, this is a small world, sealed by glass and cork, with no one to hear. None shall lay eyes upon it, and my entire tale shall be sealed away, set adrift in the sea of my heart until it disappears along with the seaweed......""",[=UP],「………聞け。我こそは我にして我等なり。我が語るは我等の物語。されど此処は聞く者なき硝子とコルクに封ぜられし小さな世界。それは誰の目にも触れることなく、我が物語の全てを封じて、我が心の海を揺蕩いて海の藻屑と消えていく……。」,「………聞け。我こそは我にして我等なり。我が語るは我等の物語。されど此処は聞く者なき硝子とコルクに封ぜられし小さな世界。それは誰の目にも触れることなく、我が物語の全てを封じて、我が心の海を揺蕩いて海の藻屑と消えていく……」,""".........Выслушайте. Я одна, но всё же нас много. Я рассказываю нашу историю. Однако это крошечный мир за стеклом и пробкой, и никто о нём не слышал. В нём вся моя история, на которую никто не положит глаз, пока она плывёт по течению моря моего сердца, исчезая вместе с морскими водорослями......""",""".........Ouçam‐me. Eu sou uma e também muitas. O que eu falo é nosso conto. Contudo, neste pequeno mundo selado por vidro e cortiça, não há ninguém para ouvir. Ninguém deve passar seus olhos por ele, a integra do meu conto deve ser selada, posta à deriva no mar do meu coração até que desapareça junto às algas marinhas......""",「………聽好了。我既是我，也是我們。我所講述的，是我們的故事。然而，此處乃是沒有聽眾，被玻璃與軟木塞封住的小小世界。它不會被任何人目睹，封住我故事的一切，漂蕩于我的心之海，慢慢化為大海的碎藻消逝而去……」,「………听好了。我既是我，也是我们。我所讲述的，是我们的故事。然而，此处乃是没有听众，被玻璃与软木塞封住的小小世界。它不会被任何人目睹，封住我故事的一切，漂荡于我的心之海，慢慢化为大海的碎藻消逝而去……」,"""... Lasciate che venga ascoltata. Io sono una, eppure molti. Ciò di cui parlo è la nostra storia. Tuttavia, questo è un piccolo mondo, sigillato da vetro e sughero, con nessuno ad ascoltarlo. Nessuno vi porrà lo sguardo, e la mia intera storia verrà sigillata, andrà alla deriva nel mare del mio cuore finché non scomparirà insieme alle alghe..."""
Furfur,"""Ah, where is this place?! And who am I?!"" ","""Ah, where is this place?! And who am I?!""",[=UP],「あぁ、ここは何処なの？！　そして私は誰なの？！」,[=JP],"""А‐а, где я?! И кто я?!""","""Ah, que lugar é este?! E quem sou eu?!""",「啊——，這裡是哪呀？！還有，我是誰呀？！」,「啊——，这里是哪呀？！还有，我是谁呀？！」,"""Ah, dov'è questo luogo?! E chi sono io?!"""
Zepar,"""Then let me ask! Where do you want it to be? Who do you want to be?!"" ","""Then let me ask! Where would you like it to be? Who do you want to be?!""","""Then let me ask! Where do you want it to be? Who do you want to be?!""",「ならば聞こう！　どこがいい？　誰がいい？！」,[=JP],"""Тогда ответь! Где ты хочешь быть? Кем ты хочешь быть?!""","""Permitam‐me que vos fale! Onde gostariam que fosse? Quem gostariam de ser?!""",「那麼，我問你！你希望這是哪？你希望自己是誰？！」,「那么，我问你！你希望这是哪？你希望自己是谁？！」,"""Allora lasciami chiedere! Dove vorresti essere? Chi vorresti essere?!"""
Furfur,"""Any place, so long as it will wrap itself around me gently! Anyone, so long as I am treated kindly!"" ","""Any place, so long as it will blanket me gently! Anyone, so long as I am treated kindly!""","""Any place, so long as it will wrap itself around me gently! Anyone, so long as I am treated kindly!""",「私をやさしく包んでくれる場所ならば何処だっていいわ！　やさしくしてくれるなら、自分が誰だっていいわ！」,[=JP],"""Где угодно, пока меня тепло встречают! Кем угодно, пока ко мне добры!""","""Pode ser qualquer lugar, contanto que me cubra gentilmente! Qualquer um, contanto que me trate gentilmente!""",「只要是個能溫柔包容我的地方，哪都行！只要能對我好，我是誰都行！」,「只要是个能温柔包容我的地方，哪都行！只要能对我好，我是谁都行！」,"""Ovunque, purché mi si avvolga in modo gentile! Chiunque, purché mi si tratti in modo gentile!"""
Zepar,"""Yes, for us...!"" ","""Yes, for us—""","""Yes, for us...!""",「そうさ、僕たちには！」,[=JP],"""Да, для нас!..""","""Sim, para nós—""",「對，畢竟，對我們來說！」,「对，毕竟，对我们来说！」,"""Sì, per noi...!"""
Furfur,"""For us...!"" ","""For us—""","""For us...!""",「私たちには！」,[=JP],"""Для нас!..""","""Para nós—""",「對我們來說！」,「对我们来说！」,"""Per noi...!"""
,"""""Where and who we are hardly matter!!"""" ","""""Where and who we are hardly matters!!""""",[=UP],「「何処で誰かなんて、些細なことなのだから！！」」,[=JP],"""""Где и кто мы едва ли имеет значение!""""","""""Quantos e quem somos pouco importa!!""""",「「自己是哪的誰，只是件微不足道的小事！！」」,「「自己是哪的谁，只是件微不足道的小事！！」」,"""""Dove e chi siamo difficilmente importa!!"""""
Clair,"""Correct. For us, it's such a trivial matter. At least until that day comes to pass. Why must we be thrown in the path of a new fate? Fate's pronouncement was sudden and abrupt."" ","""Indeed, to us, that is a very insignificant thing. At least, until that day comes to pass. Why must we be cast into a new fate? The pronouncement of Fate arrives sudden and abrupt.""","""Correct. That is a very trivial thing to us. At least, until that day comes to pass. Why must we be thrown in the path of a new fate? Fate's pronouncement was sudden and abrupt.""",「そう。我等にとってそれは、とてもとても些細なこと。少なくとも、その日を迎えるまでは。なぜに我等は新しき運命に投ぜられねばならぬのか？　それは突然にして唐突なる運命の宣告。」,「そう。我等にとってそれは、とてもとても些細なこと。少なくとも、その日を迎えるまでは。なぜに我等は新しき運命に投ぜられねばならぬのか？　それは突然にして唐突なる運命の宣告」,"""Верно. Для нас это очень незначительный вопрос. По крайней мере, так было, пока не наступил тот день. Почему нам приходится подстраиваться под новую судьбу? Такой поворот был неожиданным и резким.""","""De fato, para nós, isto é algo deveras insignificante. Ao menos, até que aquele dia passe. Por que devemos ser relacionados a um novo destino?{n}O pronunciamento do Destino chegou, repentino e abrupto.""",「對。對我們來說，這些是非常非常微不足道的小事。至少在迎來那天前，一直是這樣。為什麼，我們非得投身於新的命運？那是個，突然且唐突的，命運的宣告。」,「对。对我们来说，这些是非常非常微不足道的小事。至少在迎来那天前，一直是这样。为什么，我们非得投身于新的命运？那是个，突然且唐突的，命运的宣告。」,"""Corretto. Ciò è qualcosa di molto insignificante per noi. Almeno, finché quel giorno ha luogo. Perché dobbiamo essere gettati nel sentiero di un nuovo destino? Il verdetto del fato è stato improvviso e inaspettato."""
Zepar,"""It wasn't the fate I'd wished for."" ","""It is not the fate I wished for.""","""That wasn't the fate I'd wished for.""",「それは僕が望んだ運命じゃない。」,「それは僕が望んだ運命じゃない」,"""Мне не была нужна такая судьба.""","""Não é o destino pelo qual desejei.""",「那不是我想要的命運。」,「那不是我想要的命运。」,"""Quello non era il destino che desideravo."""
Furfur,"""But it did make your heart pound...!"" ","""But it did make the heart pound...!""","""But it did make your heart pound...!""",「でも躍らせたわ、自分の胸を…！」,[=JP],"""Но так твоё сердце заколотилось!..""","""Mas fez com que meu coração palpitasse...!""",「但是，自己的胸膛卻怦怦亂跳…！」,「但是，自己的胸膛却怦怦乱跳…！」,"""Ma ha fatto battere il tuo cuore...!"""
