Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,"""Yasu, what'd you do with the small broom?"" ","""Yasu. What'd you do with the small broom?""",[=UP],「ヤス。あんた、チビ箒どうしたの。」,「ヤス。あんた、チビ箒どうしたの」,"""Ясу. Куда ты дела маленький веник?""","""Yasu. O que fez com a vassourinha?""",「小安。我說你，那把小笤帚哪去了？」,「小安。我说你，那把小笤帚哪去了？」,"""Yasu. Cos'hai fatto con lo spolverino?"""
Shannon,"""...Didn't you use it to clean the window frames?"" ","""......Didn't you use it to clean the window frames?""",[=UP],「……窓枠掃除用に使ってなかったっけ？」,[=JP],"""......Разве ты не чистила им оконные рамы?""","""......Não estava usando ela para limpar as molduras da janela?""",「……是不是在掃窗框時，用過來著？」,「……是不是在扫窗框时，用过来着？」,"""... Non l'hai usato per pulire gli infissi delle finestre?"""
,"Ah, ...... ","Ah, ............",[=UP],あ、…………。,[=JP],А............,[=UP],啊，…………。,[=CHT],Ah...
,"The small broom is a little, thin broom that looks like a large paintbrush. ","The small broom is a small, thin broom that looks like a large paintbrush."," The small broom is a small, thin broom that looks like a large paintbrush.",チビ箒というのは、大きめの絵筆のような小さな細い箒のこと。,[=JP],"Маленький веник — это маленькая, тонкая метла, похожая на большую кисть.","A vassourinha, que era realmente uma pequena e fina vassoura, como um grande pincel.",所謂小笤帚，就是有點像大大的畫筆般的又小又細的笤帚。,所谓小笤帚，就是有点像大大的画笔般的又小又细的笤帚。,Lo spolverino è una piccola scopa sottile che sembra come un largo pennello.
,"We use it to clear out the dust in small corners, like window frames. ","We use it to clear out the dust in small corners, like window frames."," We use it to clear out the dust in small corners, like window frames.",これを使い、窓枠などの細かいところの塵を掃き取るのだ。,[=JP],"С её помощью мы избавляемся от пыли в малых углах, например, в оконных рамах.","Nós a usamos para tirar o pó de cantos pequenos, como molduras das janelas.",用它可以掃出窗框等邊邊縫縫處的灰塵。,用它可以扫出窗框等边边缝缝处的灰尘。,"Lo usiamo per pulire la polvere negli angoli piccoli, come gli infissi delle finestre."
,It's one of the cleaning tools I was put in charge of... ,It's one of the cleaning tools I was put in charge of..., It's one of the cleaning tools I was put in charge of...,私が担当していた掃除道具のひとつ…。,[=JP],"Это один из тех предметов для уборки, за которые я ответственна...",Era um dos utensílios de limpeza na qual me encarregaram...,是我負責管理的掃除用具之一…。,是我负责管理的扫除用具之一…。,È uno degli strumenti di pulizia di cui ero in carica...
,"""Come on, that's your responsibility! What have you been doing, idiot?!"" ","""Come on, that was your responsibility, right?! What're you doing, stupid?!""","""Come on, that's your responsibility, right?! What're you doing, idiot?!""",「しっかりしなさいよ、あんたに任せたでしょ？！　何やってんのよ、鈍臭い！」,[=JP],"""Ну и, за него ведь ты отвечаешь?! Что ты творишь, тупица?!""","""Vamos, ela é sua responsabilidade, não é?! O que está fazendo, imbecil?!""",「你給我像樣點呀，這是交給你管的吧？！都在幹什麼呢，愚鈍死了！」,「你给我像样点呀，这是交给你管的吧？！都在干什么呢，愚钝死了！」,"""Dai, è tua responsabilità, giusto?! Cosa stai facendo, idiota?!"""
Shannon,"""Quickly, go and find it... You have to do it before Madam finds out..."" ","""Quickly, go and find it... You have to do it before Madam finds out...""",[=UP],「ほら、急いで探しておいで…。奥様に見つかる前に、急いで急いで…。」,「ほら、急いで探しておいで…。奥様に見つかる前に、急いで急いで…」,"""Скорее найди его... Пока мадам не узнала...""","""Vamos, encontra ela logo... Precisa achar antes que a madame descubra...""",「來，趕緊去找吧…。在被太太發現前，趕緊趕緊…」,「来，赶紧去找吧…。在被太太发现前，赶紧赶紧…」,"""Presto, vai e trovalo... devi farlo prima che lo scopra Madame..."""
,"""What's up?"" ","""What's up?""",[=UP],「どしたー？」,[=JP],"""В чём дело?""","""Qual foi?""",「怎麼了——？」,「怎么了——？」,"""Che succede?"""
,"""Yasu lost the small broom again. The kid must be some sort of genius at losing things!"" ","""Yasu lost the small broom again. Is this kid some sort of genius at losing things?!""","""Yasu lost the small broom again. Are you some sort of genius at losing things?!""",「ヤスがチビ箒、またどこかで無くして来たのよ。こいつ、物をなくす天才？！」,[=JP],"""Ясу опять потеряла маленький веник. Ты гений в потере вещей?!""","""Yasu perdeu a vassourinha de novo. Por acaso essa criança é uma espécie de gênio em perder as coisas?!""",「小安又把小笤帚丟在哪，找不著了。這傢伙是丟東西的天才嗎？！」,「小安又把小笤帚丢在哪，找不着了。这家伙是丢东西的天才吗？！」,"""Yasu ha perso ancora lo spolverino. Sei per caso qualche tipo di genio nel perdere le cose?!"""
,"""That's why I'm always telling you, never give things to Yasu. Yasu's always careless and losing things."" ","""That's why I'm always telling you, never give things to Yasu. Yasu's always careless and losing things.""",[=UP],「だからヤスに物を持たすなといつも言っている。そいつはそそっかしいから、いつも物をなくす。」,「だからヤスに物を持たすなといつも言っている。そいつはそそっかしいから、いつも物をなくす」,"""Вот почему я постоянно говорю вам никогда ничего не давать ей. Ясу всегда беспечна и всё теряет.""","""É por isso que estou sempre repetindo, nunca dê nada para Yasu. Essa criança é sempre negligente e fica perdendo as coisas.""",「所以都說了，別給小安東西。這傢伙是個馬虎鬼，老把東西搞丟。」,「所以都说了，别给小安东西。这家伙是个马虎鬼，老把东西搞丢。」,"""È per questo che vi dico sempre di non dare mai le cose a Yasu. Ha sempre la testa per aria e perde le cose."""
Shannon,"""Don't say that. Can't you see that this kid's working hard...? Go on, hurry and find it. I'll wait for you."" ","""Don't say that, can't you see this kid's working hard...? Come on, quickly. I'll wait for you.""","""Don't say that. Can't you see this kid's working hard...? Come on, quickly. I'll wait for you.""",「一生懸命やってるんだから、そんなこと言っちゃいけません…。ほら、急いで探してらっしゃい。待ってるから。」,「一生懸命やってるんだから、そんなこと言っちゃいけません…。ほら、急いで探してらっしゃい。待ってるから」,"""Не говори так. Неужели не видишь, как она старается?.. Ну же, скорее. Я подожду.""","""Não diga isso, não consegue ver como esta criança se esforça...? Vamos, rápido. Vou esperar por você.""",「這孩子有在拚命努力地做事，不可以說這種話…。來，趕緊去找吧。等你。」,「这孩子有在拼命努力地做事，不可以说这种话…。来，赶紧去找吧。等你。」,"""Non dite così. Non vedete quanto sta lavorando duramente...? Dai, presto. {n}Io ti aspetterò."""
,O-Okay... ,O‐okay......,"O, okay......",う、うん……。,[=JP],Ла... ладно......,T‐Tá......,嗯，嗯……。,[=CHT],O-Ok...
,"Not wanting to hear my fellow servants complain even more, I spun around and headed off. ","Not wanting to hear the servants complain even more, I spun around and headed off."," Not wanting to hear the servants complain even more, I spun around and headed off.",私は使用人仲間の陰口をそれ以上聞きたくなくて、慌てて踵を返す。,[=JP],"Не желая больше слушать жалобы слуг, я развернулась и ушла.","Eu não queria ficar ouvindo as serviçais reclamarem ainda mais, por isso me virei e saí andando.",我可不想再聽傭人同事的傷人惡言了，慌忙轉過了身去。,我可不想再听佣人同事的伤人恶言了，慌忙转过了身去。,"Non volendo sentire le domestiche lamentarsi ancora di più, mi girai e me ne andai."
