Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,Men in work clothes were spreading a tarp over a section of the hall.,Men in work clothes were spreading a tarp over a section of the hall. ,[=UP],作業着を着た業者たちが、ホールの一角にブルーシートを敷いていた。,[=JP],Мужчины в рабочей одежде покрывали часть зала брезентом.,Homens com roupas de trabalho estavam cercando uma parte do hall de uma ponta a outra.,[=UP],穿著工作服的工人們，給門廳的一角鋪上了藍色的防水布。,穿着工作服的工人们，给门厅的一角铺上了蓝色的防水布。,[=UP],[=UP],[=UP]
,"From the way they measured the wall and set out tools, it could be seen that they were preparing to do some sort of construction work.","From the way they measured the wall and set out tools, it could be seen that they were planning some sort of construction project. "," From the way they measured the wall and set out tools, it could be seen that they were planning some sort of construction project.",壁を採寸したり、工具を並べる様子から、何かの工事の準備であることが見て取れた。,[=JP],"По тому, как они измерили стены и разложили инструменты, было видно, что планировался строительный проект.","Pela forma que eles mediram a parede e espalharam as ferramentas, era possível perceber que eles estavam se preparando para fazer algum trabalho de construção.",[=UP],從在牆上量尺寸，與擺放工具的樣子上可以看出，他們在準備進行什麼施工。,从在墙上量尺寸，与摆放工具的样子上可以看出，他们在准备进行什么施工。,[=UP],[=UP],[=UP]
Ronoue Genji,"""This is of the utmost importance to the Master. Be sure that you do not damage it.""","""This is of the utmost importance to the Master. Be sure that you do not damage it."" ",[=UP],「お館様が、とても大切にされております。くれぐれも、傷つけることがないように。」,「お館様が、とても大切にされております。くれぐれも、傷つけることがないように」,"""Для Господина он крайне важен. Не повредите.""","""Isto é de suma importância para o Mestre. Tratem de não danificá‐lo.""",[=UP],「此乃老爺視為珍寶之物。萬不可使之有任何損傷。」,「此乃老爷视为珍宝之物。万不可使之有任何损伤。」,[=UP],[=UP],[=UP]
,The president of the construction company nodded his head several times to show that he understood.,The president of the construction company nodded his head several times to show that he understood. ,[=UP],施工業者の社長が、わかってますわかってますと何度も頷く。,[=JP],Председатель строительной компании несколько раз кивнул в знак понимания.,"O presidente da empresa de construção balançou a cabeça várias vezes, indicando que havia entendido tudo.",[=UP],施工人員的社長“明白明白”地不斷點頭。,施工人员的社长“明白明白”地不断点头。,[=UP],[=UP],[=UP]
,"Then, six young workers carried in a large rectangular object wrapped in a white sheet...","Then, six young workers carried in a large rectangular object wrapped in a white sheet... "," Then, six young workers carried in a large rectangular object wrapped in a white sheet...",そこへ、若い作業員たちが６人掛りで、白いシーツのようなものに包まれた、大きな長方形を運び込む…。,[=JP],Затем шестеро молодых рабочих взяли большой прямоугольный предмет в белом покрывале...,"Então, seis jovens trabalhadores carregaram um grande objeto retangular que estava enrolado por um lençol branco...",[=UP],6 名年輕工人正在齊心協力地把被白床單似的東西包住的巨大長方體搬向那邊…。,6 名年轻工人正在齐心协力地把被白床单似的东西包住的巨大长方体搬向那边…。,[=UP],[=UP],[=UP]
,"""Ookay, careful there! Set 'er down gently... Gently, I say.""","""Oookay, careful there! Set 'er down gently... I said gently."" ",[=UP],「よーし、気をつけろー！　そっとだぞ、そっと置け。」,「よーし、気をつけろー！　そっとだぞ、そっと置け」,"""Ита‐ак, осторожно там! Осторожнее ставьте... Осторожнее, говорю.""","""Certo, tomem cuidado! Coloquem gentilmente... Eu disse gentilmente!""",[=UP],「很——好，小心點——！輕點、輕輕地放下去。」,「很——好，小心点——！轻点、轻轻地放下去。」,[=UP],[=UP],[=UP]
,"""Is this spot good?""","""Is this the spot?"" ",[=UP],「じゃあ、この場所でいいすかー。」,「じゃあ、この場所でいいすかー」,"""Это место подходит?""","""Este é um bom lugar?""",[=UP],「是不是，裝這就行了？」,「是不是，装这就行了？」,[=UP],[=UP],[=UP]
,"""Great, let's get started.""","""Great, let's get started."" ",[=UP],「おーし、始めるぞー。」,「おーし、始めるぞー」,"""Отлично, начинаем.""","""Ótimo, vamos começar.""",[=UP],「好——，開工。」,「好——，开工。」,[=UP],[=UP],[=UP]
,"Apparently, they were putting something large onto the wall of the hall...","Apparently, they were putting something large onto the wall of the hall... ",[=UP],どうやら、その大きな何かを、ホールの壁に取り付ける工事のようだった…。,[=JP],"По‐видимому, они прикрепляли к стене зала нечто большое...","Aparentemente, eles estavam colocando algo grande na parede do hall...",[=UP],看來，他們好像是要把這巨大的不知何物裝到門廳的牆上…。,看来，他们好像是要把这巨大的不知何物装到门厅的墙上…。,[=UP],[=UP],[=UP]
Ushiromiya Natsuhi,""".........Is that where he wants to hang it?""","""...He plans to hang that thing there?"" ","""......Is that where he wants to hang it?""",「………あれを、あそこに飾るというのですか。」,「………あれを、あそこに飾るというのですか」,"""......Так вот куда он хочет его повесить?""",""".........É isso que ele quer pendurar?""",[=UP],「………難道是要把那個，裝飾在那裡嗎？」,「………难道是要把那个，装饰在那里吗？」,[=UP],[=UP],[=UP]
Ushiromiya Krauss,"""That's what he wants. After all, this mansion is little more than one of Father's toys.""","""That's what he wants. After all, this mansion is little more than one of Father's toys."" ",[=UP],「そうご希望だ。この屋敷とて、親父殿の玩具に過ぎんよ。」,「そうご希望だ。この屋敷とて、親父殿の玩具に過ぎんよ」,"""Он так хочет. Сам этот особняк не более чем игрушка отца.""","""Foi o que ele pediu. Afinal, esta mansão não é mais do que um brinquedo do pai.""",[=UP],「他老人家，就是這麼打算的。就連這間大屋，都只不過是父親大人的玩具。」,「他老人家，就是这么打算的。就连这间大屋，都只不过是父亲大人的玩具。」,[=UP],[=UP],[=UP]
,Natsuhi took a deep breath.,Natsuhi took a deep breath. ,[=UP],夏妃は深くため息をつく。,[=JP],Нацухи глубоко вздохнула.,Natsuhi respirou fundo.,[=UP],夏妃深深嘆了一口氣。,夏妃深深叹了一口气。,[=UP],[=UP],[=UP]
,"Though this was a whim of Kinzo's, a man she greatly respected, ......she seemed to resist the idea of hanging it right here in the entrance hall, the face of the mansion.","Though this was a whim of Kinzo's, a man she greatly respected, ...she seemed to resist the idea of hanging it right here in the entrance hall, the face of the mansion. "," Though this was a whim of Kinzo's, a man she greatly respected, ......she seemed to resist the idea of hanging it right here in the entrance hall, the face of the mansion.",敬愛する金蔵の気紛れとはいえ、……屋敷の顔である玄関ホールに、それが飾られることには、強い抵抗があるようだった。,[=JP],"Хотя это была прихоть Кинзо, которого она так уважала...... ей не нравилась идея повесить его прямо в зале — в лице особняка.","Embora fosse um capricho de Kinzo, um homem que ela respeitava imensamente, ......ela parecia ser contra a ideia de pendurar aquilo bem no hall de entrada, na entrada da mansão.",[=UP],雖說是她敬愛的金藏的隨性之舉，……可即便如此，她好像還是對，把這東西裝飾在作為大屋臉面的門廳裡，感到了強烈的抵觸。,虽说是她敬爱的金藏的随性之举，……可即便如此，她好像还是对，把这东西装饰在作为大屋脸面的门厅里，感到了强烈的抵触。,[=UP],[=UP],[=UP]
,"When the white sheet was pulled off, a Western woman wearing a beautiful dress came into view...","When the white sheet was pulled off, a Western woman wearing a beautiful dress came into view... "," When the white sheet was pulled off, a Western woman wearing a beautiful dress came into view...",白いシーツが取り払われると、そこには、ドレス姿の美しい西洋女性の姿が現れる…。,[=JP],"Когда белое покрывало сняли, показалась западная женщина в красивом платье...","Quando o lençol branco foi removido, foi possível avistar uma mulher ocidental trajada em um maravilhoso vestido...",[=UP],拉下白床單，在那出現了一位，身著禮服的美麗的西洋女子…。,拉下白床单，在那出现了一位，身着礼服的美丽的西洋女子…。,[=UP],[=UP],[=UP]
,It was a massive portrait of a woman......,It was a massive portrait of a woman... , It was a massive portrait of a woman......,それは、女性の姿を描いた、巨大な肖像画だった……。,[=JP],Это был громадный женский портрет......,Era o retrato gigante de uma mulher......,[=UP],這是一幅，畫著一位女子的，巨大的肖像畫……。,这是一幅，画着一位女子的，巨大的肖像画……。,[=UP],[=UP],[=UP]
Ushiromiya Kinzo,"""Is it proceeding well?""","""Is it proceeding well?"" ",[=UP],「順調であるか。」,「順調であるか」,"""Всё продвигается гладко?""","""Está indo tudo bem?""",[=UP],「進行得順利嗎？」,「进行得顺利吗？」,[=UP],[=UP],[=UP]
Ronoue Genji,"""Yes. They will be finished by this evening.""","""Yes. They will be finished by this evening."" ",[=UP],「はい。夕方までには完了します。」,「はい。夕方までには完了します」,"""Да. Они закончат к вечеру.""","""Sim. Eles vão terminar esta tarde.""",[=UP],「很順利。在黃昏前能完工。」,「很顺利。在黄昏前能完工。」,[=UP],[=UP],[=UP]
Ushiromiya Kinzo,"""I would like to see it hanging there for all to see as soon as possible. I want you overseeing this, my friend.""","""I would like to see it hanging there for all to see as soon as possible. I want you overseeing this, my friend."" ",[=UP],「早く、堂々と掲げられたところが見たい。監督を頼むぞ、我が友よ。」,「早く、堂々と掲げられたところが見たい。監督を頼むぞ、我が友よ」,"""Скорее бы увидеть его здесь, у всех на виду. Проследи за этим, друг мой.""","""Eu gostaria de ter isso pendurado aqui o mais cedo possível, para que todos possam vê‐la. Peço que supervisione isto, meu amigo.""",[=UP],「真想快點看到，它氣派地掛在那裡的樣子呢。監督工作就拜託給你了，吾友喲。」,「真想快点看到，它气派地挂在那里的样子呢。监督工作就拜托给你了，吾友哟。」,[=UP],[=UP],[=UP]
Ronoue Genji,"""Leave it to me.""","""Leave it to me."" ",[=UP],「お任せを。」,「お任せを」,"""Положитесь на меня.""","""Deixe tudo comigo.""",[=UP],「請包在我身上。」,「请包在我身上。」,[=UP],[=UP],[=UP]
Ushiromiya Krauss,"""......Father. It seems to be a splendid portrait.""","""...Father, it seems a splendid portrait."" ",[=UP],「……お父さん。立派な絵が出来たようですね。」,「……お父さん。立派な絵が出来たようですね」,"""......Отец. Великолепный портрет.""","""......Pai. Me parece um retrato esplêndido.""",[=UP],「……爸。這畫看起來，畫得很好呢。」,「……爸。这画看起来，画得很好呢。」,[=UP],[=UP],[=UP]
Ushiromiya Kinzo,"""Mm. The artist has done excellent work. I am satisfied.""","""Indeed. Quite exceptional quality. I am satisfied."" ","""Yes. An excellent effect. I am satisfied.""",「うむ。素晴らしい出来栄えだ。満足しておる。」,「うむ。素晴らしい出来栄えだ。満足しておる」,"""Да. Работа мастера. Я доволен.""","""Mm. O artista fez um trabalho excelente. Deixou‐me satisfeito.""",[=UP],「嗯。非常非常棒。我很滿意。」,「嗯。非常非常棒。我很满意。」,[=UP],[=UP],[=UP]
Ushiromiya Natsuhi,"""......This is your benefactor, the woman who gave you the gold?""","""...This is your benefactor, the woman who gave you the gold, right?"" ","""......This is your benefactor, the woman who gave you the gold, right?""",「……お父様に黄金を授けられたという、恩人の女性ですね。」,「……お父様に黄金を授けられたという、恩人の女性ですね」,"""......Это ваша благодетельница, давшая вам золото, да?""","""......Esta é a sua benfeitora, a mulher que lhe deu o ouro?""",[=UP],「……這位就是，把黃金授予父親大人的，女恩人吧？」,「……这位就是，把黄金授予父亲大人的，女恩人吧？」,[=UP],[=UP],[=UP]
Ushiromiya Kinzo,"""Indeed. ......If I had not met {f:5:Beatrice}, I would not be here, nor would the Ushiromiya family, nor would, of course, this mansion. It's only natural that her portrait be displayed in the best possible location.""","""Indeed. ...If I had not met {f:5:Beatrice}, I would not be here, nor would the Ushiromiya family, nor would, of course, this mansion. It's only natural that her portrait be displayed in the best possible location."" ","""Indeed. ......If I had not met Beatrice, I would not be here, nor would the Ushiromiya family, nor would, of course, this mansion. It's only natural that her portrait be displayed in the best possible location.""",「そうだ。……ベアトリーチェとの出会いがなければ、今の私はなく、右代宮家もなく、無論、この屋敷もなかったであろう。彼女の肖像画を、もっとも良い場所に飾るのは当然のことである。」,「そうだ。……ベアトリーチェとの出会いがなければ、今の私はなく、右代宮家もなく、無論、この屋敷もなかったであろう。彼女の肖像画を、もっとも良い場所に飾るのは当然のことである」,"""Верно. ......Не встреть я {f:5:Беатриче}, меня бы здесь не было, как не было бы семьи Уширомия и, разумеется, этого особняка. Вполне естественно, что её портрет будет висеть в лучшем возможном месте.""","""Sim. ......Se eu não tivesse encontrado com {f:5:Beatrice}, eu não estaria aqui, nem a família Ushiromiya, e, é claro, esta mansão. É natural que seu retrato seja exibido no melhor lugar possível.""",[=UP],「是的。……要是沒遇見貝阿朵莉切，那就不會有現在的我與右代宮家，當然，這幢大屋也是不會存在的吧。她的肖像畫，當然要裝飾在最好的地方。」,「是的。……要是没遇见贝阿朵莉切，那就不会有现在的我与右代宫家，当然，这幢大屋也是不会存在的吧。她的肖像画，当然要装饰在最好的地方。」,[=UP],[=UP],[=UP]
,"Now that he had said so this bluntly, there would be no contradicting him.","Now that he had said it this bluntly, there would be no contradicting him. ",[=UP],そこまで言い切られてしまっては、もう今さら、何も言い返せない。,[=JP],После таких прямых слов ему было не возразить.,"Agora que ele disse isso tão francamente, não há como contradizê‐lo.",[=UP],把話說死到了這個地步，事到如今，已經再也沒有任何能勸他的話了。,把话说死到了这个地步，事到如今，已经再也没有任何能劝他的话了。,[=UP],[=UP],[=UP]
,Krauss and Natsuhi could only shrug.,Krauss and Natsuhi could only shrug. , Krauss and Natsuhi could only shrug.,蔵臼と夏妃は、肩を竦める他なかった。,[=JP],Краусс и Нацухи могли только пожать плечами.,Krauss e Natsuhi só podiam exasperar.,[=UP],藏臼與夏妃除了垂下肩膀，什麼都做不了。,藏臼与夏妃除了垂下肩膀，什么都做不了。,[=UP],[=UP],[=UP]
Ronoue Genji,"""......My lord. The epitaph plate is here. Would you please check to see that all is in order?""","""...Master, the epitaph plate is here. Would you please check to see that all is in order?"" ","""......Master. The epitaph plate is here. Would you please check to see that all is in order?""",「……お館様。碑文のプレートです。内容のご確認をお願い致します。」,「……お館様。碑文のプレートです。内容のご確認をお願い致します」,"""......Господин. Вот плита с эпитафией. Вы не могли бы проверить, всё ли в порядке?""","""......Mestre. A placa do epitáfio está aqui. Poderia verificar para garantir que tudo está de acordo com os conformes?""",[=UP],「……老爺。這是碑文台。還請您檢查下內容。」,「……老爷。这是碑文台。还请您检查下内容。」,[=UP],[=UP],[=UP]
Ushiromiya Kinzo,"""Mm. Each and every word must be correct...""","""Indeed. Each and every word must be correct..."" ","""Good point. Each and every word must be correct...""",「うむ。一言一句、間違っていてはならんからな…。」,「うむ。一言一句、間違っていてはならんからな…」,"""Да. Каждое слово должно быть верным...""","""Mm. Toda e cada uma das palavras precisa estar correta...""",[=UP],「嗯。畢竟，一字一句都不能有錯呢…」,「嗯。毕竟，一字一句都不能有错呢…」,[=UP],[=UP],[=UP]
