Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,Quadrillion. ,Quadrillion.,[=UP],Ｑｕａｄｒｉｌｌｉｏｎ。,[=JP],[=UP],[=UP],Quadrillion。,[=CHT],[=UP]
,There's only one place you'll find that word on Rokkenjima. ,There's only one place you'll find that word on Rokkenjima., There's only one place you'll find that word on Rokkenjima.,それが刻まれた場所が、六軒島に一ヶ所だけある。,[=JP],На Роккенджиме это слово есть только в одном месте.,Tem apenas um lugar em Rokkenjima onde você vai encontrar essa palavra.,在六軒島上，只有一處有著這行字。,在六轩岛上，只有一处有着这行字。,C'è un solo posto dove si può trovare quella parola su Rokkenjima.
,"Gold butterflies flitted from shadow to shadow, dodging raindrops. ","Gold butterflies flitted from shadow to shadow, dodging raindrops."," Gold butterflies flitted from shadow to shadow, dodging raindrops.",黄金蝶が梢の陰から陰へ、小雨を避けながら、ひらりと飛ぶ。,[=JP],"Золотые бабочки пролетели от тени до тени, избегая капель дождя.","Borboletas douradas esvoaçavam de sombra em sombra, esquivando‐se dos pingos de chuva.",黃金蝶在樹梢下穿梭，邊躲避小雨，邊輕快飛舞。,黄金蝶在树梢下穿梭，边躲避小雨，边轻快飞舞。,"Farfalle dorate aleggiarono di ombra in ombra, schivando le gocce di pioggia."
{f:5:Beatrice},"""...Unless my memory is mistaken, this is probably the place."" ","""......Unless my memory is mistaken, this is probably the place.""",[=UP],「……妾の記憶が間違っていなければ、確かここで見た覚えがある。」,「……妾の記憶が間違っていなければ、確かここで見た覚えがある」,"""......Если не ошибаюсь, наверное, здесь.""","""......A não ser que a minha memória esteja enganada, provavelmente é neste lugar.""",「……妾身的記憶要是沒出錯的話，那妾身記得，確實就是在這兒看到過。」,「……妾身的记忆要是没出错的话，那妾身记得，确实就是在这儿看到过。」,"""... A meno che la memoria non mi inganni, probabilmente il posto è questo."""
,"It was...the chapel. That mysterious building, one of the oldest on Rokkenjima, which had been built at the same time as the mansion. ","It was......the chapel.{n}That mysterious building, one of the oldest on Rokkenjima, which had been built at the same time as the mansion.","It was......the chapel. That mysterious building, one of the oldest on Rokkenjima, which had been built at the same time as the mansion.",そこは、……礼拝堂だった。六軒島に屋敷と同時に最も古く建てられた、謎多き建物だ。,そこは、……礼拝堂だった。{n}六軒島に屋敷と同時に最も古く建てられた、謎多き建物だ。,"......Часовня.{n}Таинственная постройка — одна из старейших на Роккенджиме, — которую построили одновременно с особняком.","Era......a capela.{n}A misteriosa edificação, uma das mais antigas de Rokkenjima, que foi construída ao mesmo tempo que a mansão.",這裡是，……禮拜堂。{n}是與六軒島大屋同時最早在島上建造的，有著許多謎的建築物。,这里是，……礼拜堂。{n}是与六轩岛大屋同时最早在岛上建造的，有着许多谜的建筑物。,"Era... la cappella. Quella misteriosa costruzione, una delle più vecchie su Rokkenjima, che era stata costruita insieme alla villa."
,"It was called the chapel, but not once had Kinzo used it for worship, and the members of the family had never been allowed inside. ","It was called the chapel, but not once had Kinzo used it for worship, and the members of the family had never been allowed inside."," It was called the chapel, but not once had Kinzo used it for worship, and the members of the family had never been allowed inside.",礼拝堂と名は付いているが、金蔵が礼拝に使った試しは一度もなく、親族たちに立ち入らせたことも一度も無い。,礼拝堂と名は付いているが、金蔵が礼拝に使ったためしは一度もなく、親族たちに立ち入らせたことも一度も無い。,"Она называлась часовней, но Кинзо ни разу не молился в ней, а членам семьи не разрешалось туда входить.","Era chamada de capela, mas nunca foi usada por Kinzo para orações, bem como os membros da família não tinham permissão para entrar.",雖有個禮拜堂的名字，但金藏從未去做過禮拜，並且一次都未允許過親族們踏入。,虽有个礼拜堂的名字，但金藏从未去做过礼拜，并且一次都未允许过亲族们踏入。,"Era chiamata cappella, ma nemmeno una volta Kinzo l'aveva usata per culto, e ai membri della famiglia non era permesso entrare dentro."
,"There were strict orders that none approach it without reason, and its purpose has always been a mystery. ","There were strict orders that none approach it without reason, and its purpose was always a mystery."," There were strict orders that none approach it without reason, and its purpose has always been a mystery.",濫りに近付くべからずと厳命され、何のために建てられたのか、ずっと謎に思われてきた。,[=JP],"Был строгий приказ не приближаться к ней без причины, и её назначение всегда оставалось загадкой.",Haviam ordens estritas para que ninguém se aproximasse dela sem um motivo e seu propósito sempre foi um mistério.,被過度嚴命“不准靠近”後，“都是為了什麼才建它的”，一直都被人當成了一個謎。,被过度严命“不准靠近”后，“都是为了什么才建它的”，一直都被人当成了一个谜。,"C'era l'ordine severo che nessuno vi ci avvicinasse senza ragione, e il suo scopo era sempre stato un mistero."
,"However, all of these mysteries got boring after several decades. ","However, any mystery will lose its luster after several decades."," However, all of these mysteries got boring after several decades.",しかし、どんな謎も、数十年という長い時間の間には色褪せる。,[=JP],Но все эти тайны спустя несколько десятилетий наскучили.,"Entretanto, todo e qualquer mistério perde seu esplendor após algumas décadas.",不過，不論怎樣的謎，都是會在長達幾十年的漫長時間中慢慢褪色的。,不过，不论怎样的谜，都是会在长达几十年的漫长时间中慢慢褪色的。,"Tuttavia, tutti questi misteri vennero a noia, dopo diversi decenni."
,"At some point, everyone forgot the chapel even existed, and that splendid building passed from the thoughts of Rokkenjima's residents... ","At some point, everyone forgot the chapel even existed, and that splendid building passed from the thoughts of Rokkenjima's residents......"," At some point, everyone forgot the chapel even existed, and that splendid building passed from the thoughts of Rokkenjima's residents......",いつしか、礼拝堂という存在も忘れられ、これほどに立派な建物なのに、六軒島の住人たちからは忘れ去られていた……。,[=JP],"В какой‐то момент все забыли о том, что вообще есть такая часовня, и больше никто на Роккенджиме не думал об этом здании......","Em determinado momento, todos esqueceram da existência da capela, e esta edificação maravilhosa desapareceu dos pensamentos dos residentes de Rokkenjima......",不知不覺，就連禮拜堂的存在都被遺忘了，明明是幢如此雄偉的建築物，可它卻被六軒島上的居民們給忘了……。,不知不觉，就连礼拜堂的存在都被遗忘了，明明是幢如此雄伟的建筑物，可它却被六轩岛上的居民们给忘了……。,"Ad un certo punto, tutti si dimenticarono persino della sua esistenza, e quella splendida costruzione passò di mente agli abitanti di Rokkenjima..."
,"Of course, this had been true for Beato as well. ","Of course, this had been true for Beato as well."," Of course, this had been true for Beato as well.",無論、それはベアトもだった。,[=JP],"Разумеется, Беато тоже.","É claro, isso também valia para Beato.",當然，這點對於貝阿朵也是一樣。,当然，这点对于贝阿朵也是一样。,"Ovviamente, questo valeva anche per Beato."
,"Beato, who hated boredom, had no desire to approach places that humans never went. ","Beato, who hated boredom, had no desire to approach places that humans never went."," Beato, who hated boredom, had no desire to approach places that humans never went.",退屈を嫌うベアトは、人の立ち入らない場所には好んで近寄らない。,[=JP],"Она ненавидела скуку и не желала приближаться к тем местам, в которые люди никогда не ходят.","Ela, aquela que odiava o tédio e não tinha desejo algum de aproximar‐se de locais frequentados por humanos.",怕悶的貝阿朵，可不會自己跑去沒人進得去的地方。,怕闷的贝阿朵，可不会自己跑去没人进得去的地方。,"Beato, che odiava la noia, non aveva desiderio nell'avvicinarsi a posti in cui gli umani non andavano mai."
,Her last memory was of the time she went in there to taunt Shannon as she tried to clean. ,Her last memory of the place was of the time she went in there to taunt Shannon as she tried to clean., Her last memory was of the time she went in there to taunt Shannon as she tried to clean.,以前、礼拝堂の掃除をする紗音をからかった時に出入りをしたのが、最後の記憶だった。,[=JP],"Её последним воспоминанием было время, когда она пошла туда посмеяться над Шаннон, когда та убиралась.",Sua última memória do local era da época que ela foi lá para provocar Shannon enquanto ela fazia a limpeza.,以前戲耍打掃禮拜堂的紗音的那一次，是她記憶中的最後一次。,以前戏耍打扫礼拜堂的纱音的那一次，是她记忆中的最后一次。,Il suo ultimo ricordo era il momento in cui era andata lì per prendere in giro Shannon mentre lei provava a pulire.
{f:5:Beatrice},"""...There can be no doubt. That is it. ...Quadrillion."" ","""......There can be no doubt. That is it. ......Quadrillion.""",[=UP],「……間違いない。あれであるな。……Ｑｕａｄｒｉｌｌｉｏｎ。」,「……間違いない。あれであるな。……Ｑｕａｄｒｉｌｌｉｏｎ」,"""......Никаких сомнений. Вот оно. ......Quadrillion.""","""......Não há dúvidas. É aqui. ......Quadrillion.""",「……不會錯的。就是那個。……Quadrillion。」,「……不会错的。就是那个。……Quadrillion。」,"""... Non c'è dubbio. Ecco. ... Quadrillion."""
,Beato looked up...above the door of the chapel. There was a relief displayed over an arch. ,Beato looked up......above the door of the chapel.{n}There was a relief displayed over an arch.,Beato looked up...above the door of the chapel. There was a relief displayed over an arch.,ベアトが見上げるのは、……礼拝堂の扉の上。アーチ上に掲げられている、レリーフだった。,ベアトが見上げるのは、……礼拝堂の扉の上。{n}アーチ上に掲げられている、レリーフだった。,Беато посмотрела...... на верхнюю часть двери часовни.{n}Над аркой виднелся рельеф.,Beato olhou para cima......acima da porta da capela.{n}Havia um relevo exibido sobre um arco.,貝阿朵抬頭仰望的是，……禮拜堂的門的上方。{n}位於拱門之上的，浮雕。,贝阿朵抬头仰望的是，……礼拜堂的门的上方。{n}位于拱门之上的，浮雕。,Beato guardò su... sopra la porta della cappella. C'era un rilievo mostrato sopra un arco.
,English words were written there. ,English words were written there., English words were written there.,そこには英文が記されている。,[=JP],Там были написаны английские слова.,Palavras em inglês estavam escritas nele.,在那雕著英語。,在那雕着英语。,Lì c'erano scritte parole in inglese.
{f:5:Beatrice},"""""You will be blessed only at a probability of a quadrillion to one"". ...Heheh. So, you thought that was the probability of someone solving this riddle...?"" ","""‘You will be blessed only at a probability of a Quadrillion to one’. .........Heheh. So, you thought that was the probability of someone solving this riddle...?""","""'You will be blessed only at a probability of a quadrillion to one'. ......Heheh. So, you thought that was the probability of someone solving this riddle...?""",「“お前は千兆分の一の確率でしか、祝福されない”、か。………ふふん。あの謎を解ける者が現れる確率を、そなたは、千兆という名の奇跡に見立てたのか…。」,「“お前は千兆分の一の確率でしか、祝福されない”、か。………ふふん。あの謎を解ける者が現れる確率を、そなたは、千兆という名の奇跡に見立てたのか…」,"""'Благословлён ты будешь лишь в вероятности один к квадриллиону'. ......Хе‐хех. Так вот какова, по‐твоему, вероятность того, что эту загадку разгадают?..""","""‘Você será abençoado apenas na probabilidade de um em um Quatrilião’. .........Heheh. Então, você pensou que essa era a probabilidade de alguém resolver este enigma...?""",「“你只有千兆分之一的概率，獲得祝福”，麼？………哼哼。汝是把出現解開此謎者的概率，比作了名為千兆的奇跡麼…？」,「“你只有千兆分之一的概率，获得祝福”，么？………哼哼。汝是把出现解开此谜者的概率，比作了名为千兆的奇迹么…？」,"""‘You will be blessed only at a probability of a quadrillion to one’. ‘Sarai benedetto soltanto con la probabilità di uno su un milione di miliardi’. ... Heheh. Quindi pensavi che quella fosse la probabilità che qualcuno risolvesse quest'enigma...?"""
,This chapel was built long ago. ,This chapel was built long ago.,[=UP],この礼拝堂が建てられたのは、ずいぶん昔のことだ。,[=JP],Эту часовню построили давным‐давно.,Esta capela foi construída muito tempo atrás.,這座禮拜堂，是在很久以前所建。,这座礼拜堂，是在很久以前所建。,Questa cappella fu costruita molto tempo fa.
,"If there is a device like the one I imagine, ...Kinzo must have prepared that epitaph riddle many decades ago. ","If there is a mechanism like the one I imagine, ......Kinzo must have prepared that epitaph riddle many decades ago."," If there is a device like the one I imagine, ......Kinzo must have prepared that epitaph riddle many decades ago.",もし、妾の想像する通りの仕掛けがあるとしたら、……金蔵は、数十年の昔から、あの碑文の謎を用意していたことになる。,[=JP],"Если здесь есть такой механизм, как я представляю...... Кинзо, должно быть, подготовил загадку эпитафии много десятилетий назад.","Se tem um mecanismo parecido com o que imaginei, ......o Kinzo deve ter preparado o enigma do epitáfio há muitas décadas atrás.",如果，那機關和妾身想像的一樣，……那金藏即是從幾十年前，就已經準備好了那個碑文之謎。,如果，那机关和妾身想象的一样，……那金藏即是从几十年前，就已经准备好了那个碑文之谜。,Se c'è un congegno come quello che immagino... Kinzo deve aver preparato questo enigma dell'epigrafe molti decenni fa.
,He must have been planning to use it as a ceremony for choosing a fitting successor all that time. ,He must have been planning to use it as a ritual for choosing a fitting successor all this time., He must have been planning to use it as a ceremony for choosing a fitting successor all that time.,いつの日にか、自分の後を継ぐに相応しい者を選ぶ儀式に使おうと、ずっと寝かし続けていた仕掛けに違いあるまい。,[=JP],Он наверняка всё то время планировал использовать её как ритуал для выбора достойного преемника.,Ele deveria ter passado todo esse tempo planejando usá‐lo como ritual para escolher um sucessor adequado.,毫無疑問，這是一個，為在將來某天選出配當自己後繼者之人所用的，一直留至今日的機關。,毫无疑问，这是一个，为在将来某天选出配当自己后继者之人所用的，一直留至今日的机关。,Deve aver avuto da sempre l'idea di usarlo come cerimonia per scegliere un successore adatto.
,"...However, that ceremony is now a ceremony to open the door to the Golden Land and to my resurrection. ","......However, that ritual is now a ritual to open the door to the Golden Land and to my resurrection.","......However, that ceremony is now a ceremony to open the door to the Golden Land and to my resurrection.",……もっとも、その儀式は今や、黄金郷への扉を開く、復活の儀式であるが。,[=JP],......Однако сейчас это ритуал открытия дверей в Золотую Землю и моего возрождения.,"......Mas esse ritual é agora um ritual para abrir as portas da Terra Dourada, bem como a minha ressurreição.",……不過說到底，這個儀式，現在乃是成了打開通往黃金鄉的大門的，復活的儀式。,……不过说到底，这个仪式，现在乃是成了打开通往黄金乡的大门的，复活的仪式。,"... Tuttavia, quella cerimonia è ora una cerimonia per aprire la porta della Terra Dorata e per la mia resurrezione."
,"When I snapped my fingers, the ground bulged, and several snake-like dead trees sprouted up. ","When I snapped my fingers, the ground bulged, and several dead trees sprouted out of it, curving and twisting like snakes."," When I snapped my fingers, the ground bulged, and several snake-like dead trees sprouted up.",パチリと指を鳴らすと、目の前の地面が膨れ上がり、そこから朽木が大蛇のように何本も生えてくる。,[=JP],"Когда я щёлкнула пальцами, земля вздулась, и выросло несколько змееподобных мёртвых деревьев.","Quando estalei meus dedos, o chão abaloou‐se e diversas árvores mortas brotaram dele, curvando‐se e torcendo‐se como cobras.",“啪”地打了個響指，眼前地面鼓起，從那長出了如大蛇般的好幾條枯朽樹幹。,“啪”地打了个响指，眼前地面鼓起，从那长出了如大蛇般的好几条枯朽树干。,"Quando schioccai le dita, la terra si gonfiò e spuntarono secchi alberi come serpenti."
,"They twisted around each other to form a ladder, which leaned itself against the door. ","They twisted around each other to form a ladder, which leaned itself against the door."," They twisted around each other to form a ladder, which leaned itself against the door.",それは絡まり合い、はしごの形となって、扉に立てかかった。,[=JP],"Они скрутились вокруг друг друга, образовав лестницу, опирающуюся на дверь.","Elas se torceram ao redor uma da outra para formar uma escada, a qual inclinou‐se contra a porta.",它們盤繞在一起，變成了梯子，搭在了門上。,它们盘绕在一起，变成了梯子，搭在了门上。,"Si intrecciarono uno con l'altro per formare una scala, che si appoggiò contro la porta."
{f:5:Beatrice},"""If my guess is right, ...there's some sort of device in that relief."" ","""If my guess is right, ......there's some sort of mechanism in that relief.""","""If my guess is right, ......there's some sort of device in that relief.""",「妾の想像通りならば、……あのレリーフが仕掛けだ。」,「妾の想像通りならば、……あのレリーフが仕掛けだ」,"""Если моя догадка верна...... в этом рельефе есть некий механизм.""","""Se minhas suspeitas estiverem certas, ......tem algum tipo de mecanismo nesse relevo.""",「如果跟妾身想像的一樣，……那麼，那個浮雕便是機關。」,「如果跟妾身想象的一样，……那么，那个浮雕便是机关。」,"""Se la mia ipotesi è giusta... c'è qualche tipo di congegno in quel rilievo."""
,I slowly climbed the ladder. ,I slowly climbed the ladder.,[=UP],ゆっくりとはしごを上る。,[=JP],Я медленно поднялась по лестнице.,Eu lentamente subi a escada.,妾身慢慢地沿著梯子往上爬。,妾身慢慢地沿着梯子往上爬。,Mi arrampicai lentamente sulla scala.
,"Because of the size of the door, the relief was very high up. ","Because of the size of the door, the relief was very high up."," Because of the size of the door, the relief was very high up.",扉が大きいこともあり、レリーフの位置は高かった。,[=JP],Из‐за размера двери рельеф был очень высоко.,"Devido ao tamanho da porta, o relevo estava bem no alto.",也是有門很大的原因吧，浮雕的位置很高。,也是有门很大的原因吧，浮雕的位置很高。,"Per via della grandezza della porta, il rilievo era molto in alto."
,"This close up, it looks much bigger than it did from the ground. ","This close up, it looks much bigger than it did from the ground."," This close up, it looks much bigger than it did from the ground.",こうして間近でレリーフを見ると、下で見るより遥かに大きく見えた。,[=JP],"Вблизи он выглядел гораздо крупнее, чем с земли.","Ao me aproximar dele, o mesmo aparentou se tornar ainda maior do que quando visto do chão.",像這樣近在咫尺地看下浮雕，就會發現，它比在地面上看時要大得多。,像这样近在咫尺地看下浮雕，就会发现，它比在地面上看时要大得多。,"Da questa distanza, sembra molto più grande rispetto a quanto sembrava da terra."
{f:5:Beatrice},"""......Come to think of it, whenever we cleaned the chapel, ...this relief was the only thing that Genji always made sure he polished himself. ...I always wondered why he didn't leave something so trivial to the younger servants."" ","""............Come to think of it, whenever we cleaned the chapel, ......this relief was the only thing that Genji always made sure he polished himself. ......I always wondered why he didn't leave something so trivial to the younger servants.""",""".........Come to think of it, whenever we cleaned the chapel, ...this relief was the only thing that Genji always made sure he polished himself. ......I always wondered why he didn't leave something so trivial to the younger servants.""",「…………そう言えば、礼拝堂を大掃除する時。……あの源次が、わざわざこのレリーフだけは、自らの手で磨いていたな。……その程度のこと、なぜ若い使用人に任せぬのかと不思議に思っていたものだが。」,「…………そう言えば、礼拝堂を大掃除する時。……あの源次が、わざわざこのレリーフだけは、自らの手で磨いていたな。……その程度のこと、なぜ若い使用人に任せぬのかと不思議に思っていたものだが」,""".........Кстати, когда бы мы ни убирали часовню... один только этот рельеф Генджи всегда чистил самостоятельно. ......Я постоянно задавалась вопросом, почему он не оставлял нечто столь незначительное младшим служащим.""","""............Pensando nisso, sempre que limpávamos a capela, ......esse relevo era a única coisa que o Genji sempre se encarregava de polir. ......Eu sempre me perguntei o motivo pelo qual ele não deixava uma tarefa tão banal para um dos serviçais mais jovens.""",「…………話說，在給禮拜堂做大掃除時。……那位源次，曾唯獨只親手擦洗這浮雕。……妾身曾對這點小事，為什麼不交給年輕傭人做，而深感奇怪。」,「…………话说，在给礼拜堂做大扫除时。……那位源次，曾唯独只亲手擦洗这浮雕。……妾身曾对这点小事，为什么不交给年轻佣人做，而深感奇怪。」,"""... Ora che ci penso, ogni volta che pulivamo la cappella... questo rilievo era l'unica cosa che Genji si assicurava sempre di pulire lui stesso. ... Mi chiedevo sempre perché non lasciasse qualcosa di così triviale ai domestici più giovani."""
,"I thought it strange, but nothing more. ","I thought it strange, but nothing more.",[=UP],不思議には思っても、それ以上のことは何も考えなかった。,[=JP],"Мне казалось это странным, но не более.","Eu pensei que fosse estranho, mas nunca me incomodei com isso.",儘管覺得奇怪，但那時，妾身沒再多想。,尽管觉得奇怪，但那时，妾身没再多想。,"Pensavo fosse strano, ma nulla più."
,"The Master treasured this relief, so the head servant cared for it himself. ...I always accepted that excuse. ","The Master treasured this relief, so the head servant cared for it himself. ......I always accepted that excuse."," The Master treasured this relief, so the head servant cared for it himself. ......I always accepted that excuse.",お館様の大事なレリーフだから、使用人頭の源次が自ら。……それで納得してしまっていた。,[=JP],"Господин дорожил этим рельефом, поэтому за ним ухаживал сам глава слуг. ......Я всегда принимала такой предлог.","O Mestre valorizava esse relevo, por isso o encarregado dele era sempre o serviçal chefe. ......Eu sempre aceitei essa desculpa.",因為是老爺重要的浮雕，所以傭人長源次自己擦。……當時，妾身是以此說服了自己。,因为是老爷重要的浮雕，所以佣人长源次自己擦。……当时，妾身是以此说服了自己。,"Il Padrone faceva tesoro di questo rilievo, così il capo-domestico se ne occupava personalmente. ... Ho sempre accettato quella scusa."
,"But now, I understand. There must be something in this relief. ","But now, I understand.{n}There must be a trick to this relief."," But now, I understand. There must be something in this relief.",しかし、今になれば納得できる。やはり、このレリーフには仕掛けがあったのだ。,しかし、今になれば納得できる。{n}やはり、このレリーフには仕掛けがあったのだ。,Но теперь я понимаю.{n}В этом рельефе что‐то есть.,Mas agora eu entendo.{n}Deve haver algum truque neste relevo.,不過，到了現在，妾身是徹底明白了。{n}果然，那浮雕就是機關。,不过，到了现在，妾身是彻底明白了。{n}果然，那浮雕就是机关。,Ma ora capisco. Deve esserci qualcosa in questo rilievo.
