Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,Two white pieces were set on the chessboard. ,Two white pieces were set on the chessboard.,[=UP],チェス盤の上に置かれた白い駒が２つ。,[=JP],На шахматной доске стояли две белые фигуры.,Duas peças brancas estavam dispostas sobre o tabuleiro de xadrez.,國際棋盤上，擺著 2 枚白棋子。,国际棋盘上，摆着 2 枚白棋子。,Due pedine bianche erano posizionate sulla scacchiera.
,"...The countless black pieces surrounding them were now just packed together, not even placed on the squares. ","......The countless black pieces surrounding them were packed tightly together, not even placed on the squares anymore.","......The countless black pieces surrounding them were now just packed together, not even placed on the squares.",……それを取り囲む無数の黒い駒は、もはやマスの上にさえ収まらずに、ぎっしりと取り囲んでいる。,[=JP],"......Бесчисленные чёрные, окружавшие их, были собраны в кучу, даже не поставленные на клетки.","......As incontáveis peças pretas que as cercavam estavam todas amarradas fortemente, nem uma única delas estava colocada sobre as casas.",……包圍住它們的無數的黑棋子，多到站得超出格子了地將之圍得水泄不通。,……包围住它们的无数的黑棋子，多到站得超出格子了地将之围得水泄不通。,"... Gli innumerevoli pezzi neri che li circondavano erano ammassati insieme, nemmeno posizionati sulle caselle."
,{f:5:Bernkastel} tipped the two white pieces over... and took them off the board. ,"Then, {f:5:Bernkastel} tipped the two white pieces over......and took them off the board."," Then, Bernkastel tipped the two white pieces over......and took them off the board.",そしてその白い駒２つを、ベルンカステルは指で突いてパタリと倒し、……盤の外へ取り除く。,[=JP],Затем {f:5:Бернкастель} опрокинула две белые фигуры...... и убрала их с доски.,"Então, {f:5:Bernkastel} bateu nas duas peças brancas com seu dedo......e as tirou do tabuleiro.",接著，貝倫卡斯泰露用手指“啪嗒”一聲，戳倒了這兩枚白棋子，……把它們拿到了棋盤之外。,接着，贝伦卡斯泰露用手指“啪嗒”一声，戳倒了这两枚白棋子，……把它们拿到了棋盘之外。,"Poi, Bernkastel rovesciò le due pedine bianche... e le tolse dalla scacchiera."
{f:5:Bernkastel},"""Is it really okay to end it like this?"" ","""May I end it there?""","""Is it really okay to end it in a place like this?""",「こんなところで、おしまいでいいかしら。」,「こんなところで、おしまいでいいかしら」,"""Ничего, что мы заканчиваем на таком месте?""","""Eu devo terminar aqui?""",「到這兒，就可以結束了吧？」,「到这儿，就可以结束了吧？」,"""Va davvero bene terminarla in un posto del genere?"""
{f:5:Featherine},"""...Yes. Yes, as usual, your reading truly does fall comfortably on my ears, my miko."" ",""".........Yes. Your reading truly does fit my ears well, my miko.""","""......Yes. It seems I'm really most used to hearing you read aloud, my miko.""",「………うむ。やはりそなたの朗読は耳に馴染むぞ、我が巫女よ。」,「………うむ。やはりそなたの朗読は耳に馴染むぞ、我が巫女よ」,"""......Нет. Всё‐таки я больше привыкла слушать твоё чтение, моя мико.""",""".........Sim. Sua leitura realmente combina com meus ouvidos, minha miko.""",「………嗯。果然，汝的朗讀聽起來就是倍感親切呢，吾的巫女喲。」,「………嗯。果然，汝的朗读听起来就是倍感亲切呢，吾的巫女哟。」,"""... Sì. Sembra che, tra tutti, io sia davvero abituata a sentire leggere te, mia miko."""
{f:5:Bernkastel},"""As you wished, I've scraped out even the inner parts of the guts. Was that enough of an answer check for you?"" ","""As you wished, I've scraped out even the inner parts of the guts. Was this enough to check your answers with?""",[=UP],「あんたのお望み通り、ハラワタの内側まで掻き出してやった。答え合わせには、これで充分でしょう？」,[=JP],"""Как ты и пожелала, я выскребла даже внутренности кишок. Этого хватило, чтобы ты проверила свои ответы?""","""Bem como desejou, eu raspei a parte oculta das entranhas. Foi o suficiente para conferir as suas respostas?""",「如你所願，我把腸子的內側都給翻出來了。足以對答案了吧？」,「如你所愿，我把肠子的内侧都给翻出来了。足以对答案了吧？」,"""Come desideri, ho raschiato perfino le parti più interne delle interiora. {n}È sufficiente per farti controllare le tue risposte?"""
{f:5:Featherine},"""Indeed. ...I am quite satisfied. Using the answer you have revealed as a key, I will go back through all the tales so far, opening the closed rooms like treasure boxes, one by one."" ","""Yes. ......I am very satisfied. Using the answer you have revealed as a key, I will go back through all the tales so far, opening the locked rooms like treasure boxes, one by one.""","""Yes. ......I am very satisfied. Using the answer you have revealed as a key, I will go back through all the tales so far, opening the closed rooms like treasure boxes, one by one.""",「うむ。……実に満足しているぞ。そなたが明かした答えを鍵に、これまでの物語を遡り、まるで宝石箱のような密室の数々を、一つずつ開いていこう。」,「うむ。……実に満足しているぞ。そなたが明かした答えを鍵に、これまでの物語を遡り、まるで宝石箱のような密室の数々を、一つずつ開いていこう」,"""Да. ......Я довольна. Воспользовавшись раскрытым тобой ответом как ключом, я пройду сквозь все предыдущие истории, открывая закрытые комнаты как сундуки.""","""Sim. ......Eu fiquei muito satisfeita. Usando como chave a resposta que você revelou, eu retomarei os contos anteriores até então, abrindo os quartos fechados como se fossem porta‐joias, um por um.""",「嗯。……著實讓我滿意。就以汝所道破的答案，回顧之前的故事，一個一個地去打開，那許許多多的寶石盒般的密室吧。」,「嗯。……着实让我满意。就以汝所道破的答案，回顾之前的故事，一个一个地去打开，那许许多多的宝石盒般的密室吧。」,"""Sì. ... Sono molto soddisfatta. Usando come chiave la risposta che hai rivelato, tornerò indietro attraverso tutte le storie create finora, aprendo le stanze chiuse come scrigni di tesori, una dopo l'altra."""
{f:5:Featherine},"""...It's fun finding the key. And it's even more fun to stick it into all the locks. You have done very well, my miko. From now on, let me enjoy my thoughts alone. This has been enough..."" ",""".........It's fun finding the key. And it's even more fun to stick it into all the locks. You have done well, my miko. From this point on, I would like to enjoy my thoughts alone. This has been enough......""","""......It's fun finding the key. And it's even more fun to stick it into all the locks. You have done well, my miko. From now on, let me enjoy my thoughts alone. This has been enough......""",「………鍵を得ることは楽しい。そして、その鍵で個々を開いていくことは、もっと楽しい。ご苦労であった、我が巫女よ。これより先は、私ひとりでゆっくりと思考を楽しみたい。もう充分であるぞ……。」,「………鍵を得ることは楽しい。そして、その鍵で個々を開いていくことは、もっと楽しい。ご苦労であった、我が巫女よ。これより先は、私ひとりでゆっくりと思考を楽しみたい。もう充分であるぞ……」,"""......Искать ключ интересно. Но ещё интереснее вставлять его во все замки. Ты хорошо справилась, моя мико. Теперь я буду наслаждаться мышлением в одиночку. Этого достаточно......""",""".........É divertido encontrar a chave. E é ainda mais divertido enfiá‐la em cada uma das fechaduras. Você foi muito bem, minha miko. A partir daqui, eu gostaria de aproveitar meus pensamentos a sós. Isto foi o suficiente......""",「………得到鑰匙是件快事。而以這鑰匙打開一個又一個疑問，是件更加開心的快事。辛苦了，吾的巫女喲。接下來，我想一個人慢慢享受思考的樂趣。已經夠了哦……」,「………得到钥匙是件快事。而以这钥匙打开一个又一个疑问，是件更加开心的快事。辛苦了，吾的巫女哟。接下来，我想一个人慢慢享受思考的乐趣。已经够了哦……」,"""... È divertente trovare la chiave. Ed è persino più divertente infilarla dentro tutte le serrature. Ben fatto, mia miko. Da adesso, fammi godere i miei pensieri da sola. Questo è stato abbastanza..."""
,"The Witch of Theatergoing sat back in her rocking chair, a satisfied smile on her face, as though enjoying a pleasant aftertaste. ","The Witch of Theatergoing sat back in her rocking chair, a satisfied smile on her face, as though enjoying a pleasant aftertaste.",[=UP],観劇の魔女は、余韻を楽しむかのような満足な笑みを浮かべ、揺り椅子に深々と身を預ける。,[=JP],"Ведьма театра с довольной улыбкой села обратно в кресло‐качалку, будто наслаждаясь приятным послевкусием.","A Bruxa do Teatro recostou‐se em sua cadeira de balanço, com um sorriso de satisfação em seu rosto, como se estivesse saboreando um sabor residual.",觀劇的魔女，露出如在品味餘韻般的滿意的笑容，把身子深深地躺在了搖椅上。,观剧的魔女，露出如在品味余韵般的满意的笑容，把身子深深地躺在了摇椅上。,"La Strega dello Spettacolo si sedette sulla sua sedia a dondolo, con un sorriso soddisfatto sul suo volto, come se si stesse godendo un piacevole retrogusto."
,There was no need for a game board anymore. ,There was no need for a game board anymore., There was no need for a game board anymore.,もはや、ゲーム盤は必要ない。,[=JP],В игровой доске больше не было нужды.,Não há mais razões para se precisar do tabuleiro.,已經，不需要棋盤了。,已经，不需要棋盘了。,Non c'era più bisogno di un piano di gioco.
,"She just had to go back in her mind, through the whole set of tales, to check whether her theory was right or not. ","She just had to go back in her mind, through the whole set of tales, to check whether her theory was right or not."," She just had to go back in her mind, through the whole set of tales, to check whether her theory was right or not.",これまでの物語を、自分の頭の中で遡り、自分の推理が正しかったかどうか、検証するだけだ。,[=JP],"Ей просто нужно было вернуться в свой разум, сквозь весь набор историй, чтобы проверить, верна ли её теория.","Ela só precisa retroceder em sua mente, através de todo conjunto de contos, para verificar se sua teoria estava correta ou não.",接下來只需，在自己的腦海中回顧之前的故事，驗證自己的推理是否正確。,接下来只需，在自己的脑海中回顾之前的故事，验证自己的推理是否正确。,"Doveva solo tornare indietro mentalmente, attraverso l'intero insieme di storie, per controllare se la sua teoria era giusta oppure no."
,"It seemed to leave her pleasantly drunk, even better than the most expensive wine... ","It seemed to leave her pleasantly drunk, even better than the most expensive wine......"," It seemed to leave her pleasantly drunk, even better than the most expensive wine......",それは上等な酒にも負けぬ、心地良き酩酊を与えてくれているようだった……。,[=JP],"Казалось, это оставило её в приятном опьянении ещё лучше самого дорогого вина......","Pareceu deixá‐la confortavelmente embriagada, sendo muito melhor do que o mais caro vinho......",這將不遜於名貴美酒，將給人帶來醉心舒心的酩酊大醉……。,这将不逊于名贵美酒，将给人带来醉心舒心的酩酊大醉……。,"Sembrava che la lasciasse piacevolmente euforica, in un modo migliore persino del vino più costoso..."
{f:5:Bernkastel},"""...Are you done with me now?"" ",""".........Are you done with me now?""","""......Are you done with me now?""",「………私はこれで用済みかしら？」,[=JP],"""......Ты со мной закончила?""",""".........Terminou comigo agora?""",「………這下，沒我的事了吧？」,「………这下，没我的事了吧？」,"""... Ora hai finito con me?"""
{f:5:Featherine},"""You have done well, my miko. I absolve you of your duty. ...I will return to my slumber. I'd like to enjoy this pleasant dream for a few more centuries."" ","""You have done well, my miko. I absolve you of your duty. ......I will return to my slumber. I'd like to enjoy this pleasant dream for a few more centuries.""",[=UP],「ご苦労であった、我が巫女よ。その任を解く。……私は再び眠りに就く。この心地良きまどろみを、数百年にわたって楽しみたい。」,「ご苦労であった、我が巫女よ。その任を解く。……私は再び眠りに就く。この心地良きまどろみを、数百年にわたって楽しみたい」,"""Ты хорошо постаралась, моя мико. Я освобождаю тебя от твоей обязанности. ......Я вернусь к дремоте. Хотелось бы насладиться этим приятным сном ещё несколько веков.""","""Você foi muito bem, minha miko. Eu a absolvo de seu dever. ......Irei retornar para o meu sono. Eu gostaria de aproveitar este deleitável sonho por mais alguns séculos.""",「辛苦了，吾的巫女喲。我卸去汝的職務。……我將再次入睡。睡上幾百年地享受下，這舒心的小睡。」,「辛苦了，吾的巫女哟。我卸去汝的职务。……我将再次入睡。睡上几百年地享受下，这舒心的小睡。」,"""Ben fatto, mia miko. Ti assolvo dal tuo compito. ... Ritornerò al mio sonno. Vorrei godermi questo piacevole sogno per un altro po' di secoli."""
{f:5:Featherine},"""And when I grow tired of that, ...you will find yet another tale to keep me entertained. ...For those centuries, which will pass in the blink of an eye, I grant you your freedom."" ","""And when I grow tired of that, ......you will find yet another tale to keep me entertained. ......For those centuries, which will pass in the blink of an eye, I grant you your freedom.""",[=UP],「そして私が再び飽きる時。……そなたは私を楽しませるために、また新しい物語を見つけてくるのだ。……それまでの数百年のひと時。そなたの自由を許す。」,「そして私が再び飽きる時。……そなたは私を楽しませるために、また新しい物語を見つけてくるのだ。……それまでの数百年のひと時。そなたの自由を許す」,"""А когда мне надоест...... ты найдёшь ещё одну историю, чтобы развлечь меня. ......На эти века, которые пройдут в мгновение ока, я дарую тебе свободу.""","""E, quando eu me cansar dele, ......você irá encontrar outro conto para me manter entretida. ......Durante esses séculos, os quais passarão em um piscar de olhos, eu garanto a você a sua liberdade.""",「然後，當我感到膩了的時候。……汝就去為了給我取樂，再去拿來新的故事給我觀賞。……在那之前的數百年的彈指一揮間。給汝自由。」,「然后，当我感到腻了的时候。……汝就去为了给我取乐，再去拿来新的故事给我观赏。……在那之前的数百年的弹指一挥间。给汝自由。」,"""E quando me ne stancherò... tu troverai ancora un'altra storia per farmi divertire. ... Per questi secoli, che passeranno in un batter d'occhio, ti concederò la tua libertà."""
{f:5:Featherine},"""Heheheheheh... Splendidly done, {f:5:Bernkastel}, my cute, cute miko..."" ","""Heheheheheh...... Splendidly done, {f:5:Bernkastel}, my darling, darling miko......""","""Heheheheheh...... Splendidly done, Bernkastel, my cute, cute miko......""",「ふっふふふふ………。天晴れであったぞ、ベルンカステル、可愛い可愛い、我が巫女よ……。」,「ふっふふふふ………。天晴れであったぞ、ベルンカステル、可愛い可愛い、我が巫女よ……」,"""Хе‐хе‐хе‐хех...... Великолепно, {f:5:Бернкастель}, моя милая, милая мико......""","""Heheheheheh...... Você foi esplêndida, {f:5:Bernkastel}, querida, minha querida miko......""",「哼、哼哼哼哼………。做得好啊，貝倫卡斯泰露，好可愛好可愛的，吾的巫女喲……」,「哼、哼哼哼哼………。做得好啊，贝伦卡斯泰露，好可爱好可爱的，吾的巫女哟……」,"""Heheheheheh... splendido lavoro, Bernkastel. Mia dolce, dolce miko..."""
{f:5:Bernkastel},"""...It's not like I care. Go ahead, dry up and die. So long, for the rest of time."" ",""".........That's not my concern. Just shrivel up and die, won't you. So long, for the rest of time.""","""......It's not like I care. Just dry up and die, won't you. So long, for the rest of time.""",「………知ったことじゃないわ。勝手に干からびて死になさいよ。じゃあね、未来永劫さようなら。」,「………知ったことじゃないわ。勝手に干からびて死になさいよ。じゃあね、未来永劫さようなら」,"""......Не скажу, что мне не всё равно. Иссохни и умри наконец. Пока на всё остальное время.""",""".........Isso não é da minha conta. Poderia secar completamente e morrer. Tchau, para todo sempre, adeus.""",「………我才不管你呢。你就去風乾死掉吧。再見，永遠地再見了。」,「………我才不管你呢。你就去风干死掉吧。再见，永远地再见了。」,"""... Non che me ne importi qualcosa. Essiccati e muori, basta questo. {n}Addio, per il resto dell'eternità."""
{f:5:Featherine},"""You call a few mere centuries ""for the rest of time""? *cackle*cackle*... ......"" ","""You call a few mere centuries ""for the rest of time""? *cackle*cackle*............... .......................................""","""You call a few mere centuries 'for the rest of time'? *cackle*cackle*..................""",「数百年如きを、そなたは未来永劫と呼ぶというのか？くっくくくくく……………。…………………………………。」,「数百年如きを、そなたは未来永劫と呼ぶというのか？　くっくくくくく……………。…………………………………」,"""Ты называешь несколько простых веков 'всем остальным временем'? *хи‐хи*хи‐хи*...... ............""","""Você chama alguns meros séculos de ""para todo sempre""? *gargalhada*gargalhada*............... .......................................""",「汝要把，短短數百年稱為永遠麼？呵、呵呵呵呵呵……………。…………………………………」,「汝要把，短短数百年称为永远么？呵、呵呵呵呵呵……………。…………………………………」,"""Tu chiami un po' di semplici secoli ‘per il resto dell'eternità’? *cackle*cackle*... ..."""
,{f:5:Featherine}'s consciousness slowly faded away. ,{f:5:Featherine}'s consciousness slowly faded away.,Featherine's consciousness slowly faded away.,フェザリーヌの意識は、ゆっくりと薄れていく。,[=JP],Сознание {f:5:Фезарин} медленно померкло.,A consciência de {f:5:Featherine} foi apagando lentamente.,菲澤莉努的意識，緩緩變得稀薄。,菲泽莉努的意识，缓缓变得稀薄。,La coscienza di Featherine lentamente svanì.
,"As the owner of the study's slumber grew deeper, ...the lights about the room slowly darkened. ","As the owner of the study's slumber grew deeper, ......the lights about the room slowly darkened."," As the owner of the study's slumber grew deeper, ......the lights about the room slowly darkened.",主がゆっくりと眠りを深めていくのに応えるように、……彼女の書斎の灯りたちも、ゆっくりと暗くなっていく。,[=JP],Как только владелица кабинета погрузилась в ещё более глубокую дремоту...... свет в комнате медленно потемнел.,"Conforme a dona do escritório foi entrando em um sonho cada vez mais profundo, ......as luzes do cômodo foram lentamente se apagando.",就像在回應，緩緩墜入夢鄉的主人般，……她書房中的燈光，也慢慢地變暗了。,就像在回应，缓缓坠入梦乡的主人般，……她书房中的灯光，也慢慢地变暗了。,Come il sonno della proprietaria dello studio crebbe... le luci della stanza lentamente si rabbuiarono.
{f:5:Bernkastel},"""Good night forever, Auaurora. ......You don't need this game board anymore. I'll take it."" ","""Good night forever, Auaurora. ............You don't need this game board anymore. I'll take it.""","""Good night forever, Auaurora. .........You don't need this game board anymore. I'll take it.""",「永遠にお休み、アウアウローラ。…………このゲーム盤はあんたにはもう不要よね。私がもらっていくわ。」,「永遠にお休み、アウアウローラ。…………このゲーム盤はあんたにはもう不要よね。私がもらっていくわ」,"""Спокойной ночи навсегда, Ауаурора. .........Тебе больше не нужна эта игровая доска. Я забираю её.""","""Um boa‐noite eterno para você, Auaurora. ............Você não precisa mais deste tabuleiro. Eu ficarei com ele.""",「永遠地晚安了，阿烏阿烏羅拉。…………你已經不需要這棋盤了吧？我拿走了哦。」,「永远地晚安了，阿乌阿乌罗拉。…………你已经不需要这棋盘了吧？我拿走了哦。」,"""Buonanotte per sempre, Auaurora. ... Tu non hai più bisogno di questa scacchiera. La prenderò io."""
,"{f:5:Bernkastel} reached out towards Beato's game board, which lay on the table in front of {f:5:Featherine}'s rocking chair, and tapped it twice. ","{f:5:Bernkastel} reached out towards Beato's game board, which lay on the table in front of {f:5:Featherine}'s rocking chair, and tapped it twice.","Bernkastel reached out towards Beato's game board, which lay on the table in front of Featherine's rocking chair, and tapped it twice.",ベルンカステルは、フェザリーヌの揺り椅子の前の、テーブルに置かれたベアトのゲーム盤を、こつこつと二度叩く。,[=JP],"{f:5:Бернкастель} потянулась к игровой доске Беато, лежащей на столе перед креслом‐качалкой {f:5:Фезарин}, и дважды постучала по ней.","{f:5:Bernkastel} esticou suas mãos na direção do tabuleiro de Beato, que estava sobre uma mesa em frente à cadeira de balanço de {f:5:Featherine}, e bateu nele duas vezes.",貝倫卡斯泰露“嗵嗵”敲了兩下，擺在菲澤莉努搖椅前的桌子上的，貝阿朵的棋盤。,贝伦卡斯泰露“嗵嗵”敲了两下，摆在菲泽莉努摇椅前的桌子上的，贝阿朵的棋盘。,"Bernkastel tese la mano verso il piano di gioco di Beato, che giaceva sul tavolo di fronte alla sedia a dondolo di Featherine, e ci picchiettò sopra due volte."
,"The game board and the pieces flew into the air, folded up and put themselves away, then landed on {f:5:Bernkastel}'s outstretched right hand. ","The game board and the pieces flew into the air, folded up and put themselves away, then landed on {f:5:Bernkastel}'s outstretched right hand."," The game board and the pieces flew into the air, folded up and put themselves away, then landed on Bernkastel's outstretched right hand.",すると、ゲーム盤と駒は宙に浮き上がり、ぱたぱたと、一人で仕舞われて畳み、突き出したベルンカステルの右手に、そっと乗った。,[=JP],"Доска и фигуры взмыли в воздух, сложились и скрылись, а затем приземлились на вытянутую правую руку {f:5:Бернкастель}.","O tabuleiro e suas peças voaram no ar, dobrando‐se e se livrando delas, assim pousando sobre a mão direita que {f:5:Bernkastel} havia esticado.",接著，棋盤上的棋子浮到了半空之中，“啪嗒啪嗒”地自行收好，棋盤合起，自行輕輕掉到了貝倫卡斯泰露伸出的右手上。,接着，棋盘上的棋子浮到了半空之中，“啪嗒啪嗒”地自行收好，棋盘合起，自行轻轻掉到了贝伦卡斯泰露伸出的右手上。,"La scacchiera e le pedine volarono in aria, si misero da parte e si richiusero, per poi atterrare nella mano destra tesa di Bernkastel."
{f:5:Bernkastel},"""...I still haven't had a chance to do any real Game Mastering. ...I just did Beato's funeral. That, and tearing out the guts. ...I still haven't done anything."" ","""......I still haven't had a chance to do any real Game Mastering. ......I just did Beato's funeral. That, and tearing out the guts. ............I still haven't done anything.""","""......I still haven't had a chance to do any real Game Mastering. ......I just did Beato's funeral. That, and tearing out the guts. ......I still haven't done anything.""",「……私、まだ全然ゲームマスターをやっていないのよ？　……私はベアトの葬儀をやっただけ。そしてハラワタを引き摺り出しただけ。…………まだ、何にもやっちゃいない。」,「……私、まだ全然ゲームマスターをやっていないのよ？　……私はベアトの葬儀をやっただけ。そしてハラワタを引き摺り出しただけ。…………まだ、何にもやっちゃいない」,"""......Мне так и не представился шанс побыть Владельцем игры. ......Я лишь провела похороны Беато. Ну и вырвала внутренности. ......Я ещё ничего не сделала.""","""......Eu ainda não tive a chance de fazer nada de verdade no papel de Game Master. ......Só fiz o funeral da Beato. Isso, e arrancar as entranhas.{n}............Eu ainda não fiz nada.""",「……我還完全沒幹過，GM 該做的事喲？……我就只是舉行了貝阿朵的葬禮。還有，掏出她腸子罷了。…………我還，什麼都沒幹呢。」,「……我还完全没干过，GM 该做的事哟？……我就只是举行了贝阿朵的葬礼。还有，掏出她肠子罢了。…………我还，什么都没干呢。」,"""... Non ho ancora avuto la possibilità di fare davvero da Game Master. {n}Ho compiuto solo il funerale di Beato. Quello, e strappar fuori le interiora. {n}Non ho ancora fatto niente."""
,{f:5:Bernkastel}'s smile twisted evilly. ,{f:5:Bernkastel}'s smile twisted evilly.,Bernkastel's smile twisted evilly.,ベルンカステルの笑みが、一際邪悪に歪む。,[=JP],Улыбка {f:5:Бернкастель} зло скривилась.,O sorriso de {f:5:Bernkastel} se distorceu de forma diabólica.,貝倫卡斯泰露的笑容，更添一份邪惡地醜惡扭曲。,贝伦卡斯泰露的笑容，更添一份邪恶地丑恶扭曲。,Il sorriso di Bernkastel si contorse malignamente.
,"Then, the game board floated up once again, ...and a world unfolded itself above {f:5:Bernkastel}'s palm... ","Then, the game board floated up once again, .........and a world unfolded itself above {f:5:Bernkastel}'s palm......"," Then, the game board floated up once again, ......and a world unfolded itself above Bernkastel's palm......",そしてゲーム盤は再びふわりと浮き上がり、………ベルンカステルの手の平の上に、世界を広げ出す……。,[=JP],Затем игровая доска взмыла ещё раз...... и над ладонью {f:5:Бернкастель} развернулся мир......,"Então, o tabuleiro flutuou no ar mais uma vez, .........e um novo mundo foi se desdobrando sobre a palma da mão de {f:5:Bernkastel}......",接著，棋盤再次輕輕飄起，………在貝倫卡斯泰露的手掌上，展開了世界……。,接着，棋盘再次轻轻飘起，………在贝伦卡斯泰露的手掌上，展开了世界……。,"Poi, la scacchiera si sollevò di nuovo ancora una volta... e un mondo si aprì sul palmo di Bernkastel..."
