Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,Two silhouettes could be seen in the chapel. A big brother...and a little sister. ,Two silhouettes could be seen in the chapel.{n}A big brother...and his little sister.,Two silhouettes could be seen in the chapel. A big brother...and his little sister.,礼拝堂の中には、……二人の人影。それは、兄と、妹の姿。,礼拝堂の中には、……二人の人影。{n}それは、兄と、妹の姿。,В часовне виднелись два силуэта.{n}Старший брат... и его младшая сестра.,Duas silhuetas podiam ser vistas na capela.{n}Um irmão mais velho...e sua irmãzinha.,在禮拜堂之中，……有兩個人影。{n}那是一對兄妹的身影。,在礼拜堂之中，……有两个人影。{n}那是一对兄妹的身影。,Si intravedevano due sagome nella cappella. Il Fratello maggiore... e sua Sorella minore.
,"The big brother who would never return from that day 12 years in the past, and the little sister who waited all alone 12 years in the future. ","The big brother who would never return from that day twelve years in the past, and the little sister who waited all alone twelve years in the future."," The big brother who would never return from that day 12 years in the past, and the little sister who waited all alone 12 years in the future.",１２年前の過去より戻らぬ兄と、それを孤独に待つ１２年の未来の妹。,[=JP],"Старший брат, который никогда не вернётся из того дня 12 лет назад, и младшая сестра, которая совсем одна 12 лет ждала его в будущем.","O irmão que nunca retornaria daquele dia, doze anos no passado, e sua irmãzinha, que esperou sozinha por seu retorno, doze anos no futuro.",無法從 12 年前的過去回來的哥哥，和在未來孤獨地等待了他 12 年的妹妹。,无法从 12 年前的过去回来的哥哥，和在未来孤独地等待了他 12 年的妹妹。,"Il Fratello maggiore che non sarebbe mai ritornato da quel giorno dodici anni nel passato, e la Sorella minore che attese tutta sola dodici anni nel futuro."
,"However, the big brother knew everything, ...understood everything. And the little sister knew nothing, ...understood nothing. ","However, the big brother knew everything, understood everything.{n}And the little sister knew nothing, understood nothing."," However, the big brother knew everything...understood everything. And the little sister knew nothing...understood nothing.",しかし、兄は全てを理解し、全てを知っている。そして、妹は全てを知らず、何も知っていない。,しかし、兄は全てを理解し、全てを知っている。{n}そして、妹は全てを知らず、何も知っていない。,"Однако старший брат знал всё, понимал всё.{n}А младшая сестра ничего не знала, ничего не понимала.","Porém, o irmão mais velho sabia tudo, entendia tudo.{n}Já a irmãzinha não sabia nada, não entendia nada.",但是，哥哥他已經理解、知曉了一切。{n}而妹妹卻什麼都不知道，什麼都不明白。,但是，哥哥他已经理解、知晓了一切。{n}而妹妹却什么都不知道，什么都不明白。,"Tuttavia, il Fratello maggiore sapeva tutto... aveva capito tutto. E la Sorella minore non sapeva niente... non aveva capito niente."
,"So, no matter how much time passed, the little sister remained as the girl she had been 12 years before. ","So, no matter how much time passed, the little sister remained as the girl she had been twelve years before."," So, no matter how much time passed, the little sister remained as the girl she had been 12 years before.",だから、妹はいつまでも経っても、１２年前の少女のまま。,だから、妹はいつまで経っても、１２年前の少女のまま。,"Поэтому, сколько бы времени ни проходило, младшая сестра оставалась такой же, какой была 12 лет назад.","Por isso, não importava quanto tempo se passasse, a irmãzinha permaneceria como a garota que era doze anos atrás.",所以，妹妹不管過了多久，都還是 12 年前的少女的樣子。,所以，妹妹不管过了多久，都还是 12 年前的少女的样子。,"Quindi, non importa quanto tempo fosse passato, la Sorella minore rimase uguale alla ragazzina che era dodici anni prima."
,She remained a six-year-old girl forever... ,She remained a six‐year‐old girl forever......, She remained a six-year-old girl forever......,いつまでも永遠に、６歳の少女のままだった……。,[=JP],Она навсегда осталась шестилетней девочкой......,Para sempre ela permaneceu uma garota de seis anos......,無論到何時，都永遠是 6 歲少女的樣子……。,无论到何时，都永远是 6 岁少女的样子……。,Rimase una ragazzina di sei anni per sempre...
,Her sobs into his chest finally subsided... ,Her sobs into her big brother's chest finally subsided......, Her sobs into her big brother's chest finally subsided......,兄の胸に顔を埋めていた妹の嗚咽が、ようやく収まる……。,[=JP],Её рыдания на груди старшего брата наконец стихли......,Seus soluços contra o peito de seu irmão finalmente diminuíram......,把臉埋進哥哥胸膛的妹妹的嗚咽聲，終於停了下來……。,把脸埋进哥哥胸膛的妹妹的呜咽声，终于停了下来……。,I suoi singhiozzi sul petto del Fratello maggiore finalmente cessarono...
,She quietly waited for his next words. ,She quietly waited for his next words., She quietly waited for his next words.,そして、兄の次の言葉を静かに待つ。,[=JP],Она тихо ждала его следующих слов.,Ela silenciosamente esperou pelas próximas palavras dele.,然後，靜靜地等著哥哥的下一句話。,然后，静静地等着哥哥的下一句话。,Attese in silenzio le sue prossime parole.
,"After patting her head gently, the big brother fished around inside his shirt pocket. ","After patting her head gently, the big brother fished around inside his shirt pocket."," After patting her head gently, the big brother fished around inside his shirt pocket.",兄はその頭をやさしく撫でてから、自分の懐をまさぐる。,[=JP],"Мягко погладив её по голове, старший брат порылся в кармане рубашки.","Após fazer carinho em sua cabeça, o irmão mais velho procurou dentro do bolso.",哥哥一邊溫柔地撫著她的頭，一邊在自己的懷中翻找。,哥哥一边温柔地抚着她的头，一边在自己的怀中翻找。,"Dopo aver accarezzato gentilmente la sua testa, il Fratello maggiore cercò nel taschino della sua camicia."
,"Then, ...he took ""that"" out. ","Then, ......he took something out."," Then, ......he took 'that' out.",そして、……それを取り出してみせた。,[=JP],Затем...... он кое‐что достал.,"Então, ......ele puxou algo para fora.",然後，……他拿出了某個東西。,然后，……他拿出了某个东西。,Quindi... ‘la’ tirò fuori.
Ushiromiya Battler,"""Are you listening, Ange? Take good care of this."" ","""Are you listening, Ange? Take good care of this.""",[=UP],「いいかい、縁寿。これを大事に持つんだ。」,「いいかい、縁寿。これを大事に持つんだ」,"""Слышишь, Энджи? Береги его.""","""Preste atenção, Ange? Cuide muito bem disto.""",「聽好了，緣壽。要好好保管這個東西。」,「听好了，缘寿。要好好保管这个东西。」,"""Stai ascoltando, Ange? Prenditi cura di questa."""
