Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,The VIP room was filled with the sweet smell of pumpkin tea...and packed with smiles and laughter.,The VIP room was filled with the sweet smell of pumpkin tea... and packed with smiles and laughter. ,The VIP room was filled with the sweet smell of pumpkin tea... and packed with smiles and laughter.,貴賓室には、パンプキンティーの甘い香りがいっぱいに広がり、笑顔と笑い声で満たされていた。,[=JP],Почётная комната была окутана сладким ароматом тыквенного чая... и полна улыбок и смеха.,O quarto VIP estava recheado pelo doce aroma do chá de abóbora...e repleto de sorrisos e risos.,[=UP],在貴賓室裡，南瓜茶的甘甜香味蔓延開來，屋內充滿了笑臉和笑聲。,在贵宾室里，南瓜茶的甘甜香味蔓延开来，屋内充满了笑脸和笑声。,[=UP],[=UP],[=UP]
Ushiromiya Kinzo,"""Ahha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha!! Simply splendid. I am glad to see you in such high spirits...!""","""Ahhahahahahahahahahaha!! Simply splendid. I am glad to see you in such high spirits...!"" ","""Ahhahahahahahahahahaha!! Simply splendid. I am glad to see you in such high spirits...!""",「うっははははははは！！　それは良い。元気そうで何よりだ…！」,[=JP],"""Аха‐ха‐ха‐ха‐ха‐ха‐ха‐ха! Великолепно. Рад видеть тебя такой бодрой!..""","""Ahha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha!! É simplesmente maravilhoso. Estou feliz em vê‐la tão animada...!""",[=UP],「唔、哈哈哈哈哈哈哈！！這就好。有精神比什麼都好…！」,「唔、哈哈哈哈哈哈哈！！这就好。有精神比什么都好…！」,[=UP],[=UP],[=UP]
{f:5:Beatrice},"""I could say the same for you. What idiot said you're reaching your last years?""","""I could say the same for you. What idiot said you're reaching your last years?"" ",[=UP],「そなたも元気そうで何よりだ。余命幾ばくとは片腹痛いわ。」,「そなたも元気そうで何よりだ。余命幾ばくとは片腹痛いわ」,"""Могу сказать о тебе то же самое. Какой идиот сказал, что твои дни почти сочтены?""","""Posso dizer o mesmo de você. Quem foi o idiota que disse você estava em seus últimos anos?""",[=UP],「汝也是，有精神就好啊。“余命沒剩幾年”這種話真是搞笑到讓人肚子都疼了。」,「汝也是，有精神就好啊。“余命没剩几年”这种话真是搞笑到让人肚子都疼了。」,[=UP],[=UP],[=UP]
Ushiromiya Kinzo,"""I just borrow a bit of cheer from you. Once I return to my study, I will be little more than a withering, senile old man.""","""I just borrow a bit of cheer from you. Once I return to my study, I will be little more than a withering, senile old man."" ",[=UP],「そなたに元気をわけてもらってるだけだ。書斎に戻れば、枯れ果てた年寄りが窓辺で呆けているだけよ。」,「そなたに元気をわけてもらってるだけだ。書斎に戻れば、枯れ果てた年寄りが窓辺で呆けているだけよ」,"""Я лишь одолжил у тебя чуть‐чуть бодрости. Вернувшись в свой кабинет, я буду не более чем увядающим, дряхлым стариком.""","""Só estou pegando um pouco da sua animação emprestada. Assim que eu retornar ao meu estúdio, eu não serei mais do que um velho senil nas últimas.""",[=UP],「這都是從你那裡分來的活力。回到書房的話，就變回只在窗邊發呆的乾枯老頭了。」,「这都是从你那里分来的活力。回到书房的话，就变回只在窗边发呆的干枯老头了。」,[=UP],[=UP],[=UP]
{f:5:Beatrice},"""Enough with your lies! Give it up and swear that you'll be living it large until you're a hundred.""","""Enough with your lies! Give it up and swear that you'll be living it large until you're a hundred."" ",[=UP],「そなたの死ぬ死ぬ詐欺にはもううんざりしている！　もう諦め、百まで元気に生きると誓ってしまえぃ。」,「そなたの死ぬ死ぬ詐欺にはもううんざりしている！　もう諦め、百まで元気に生きると誓ってしまえぃ」,"""Довольно лжи! Перестань и поклянись, что будешь жить на полную, пока тебе не стукнет сотня.""","""Chega dessas suas mentiras! Desiste logo e jure que você vai continuar vivendo assim até os cem.""",[=UP],「汝那快死了的欺詐已經聽煩了！趕緊放棄，來發誓會長命百歲吧。」,「汝那快死了的欺诈已经听烦了！赶紧放弃，来发誓会长命百岁吧。」,[=UP],[=UP],[=UP]
Ushiromiya Battler,"""Same here. I haven't seen you for six years, but I was surprised to see how little you'd changed.""","""Same here. I haven't seen you for six years, but I was surprised to see how little you'd changed."" ",[=UP],「俺も、祖父さまには６年ぶりに会ったけど、全然変わってねぇんで、驚いたもんな。」,「俺も、祖父さまには６年ぶりに会ったけど、全然変わってねぇんで、驚いたもんな」,"""Согласен. Я не видел тебя шесть лет, но удивился тому, что ты почти ничуть не изменился.""","""Digo o mesmo. Eu não o vejo há seis anos, mas fiquei surpreso em ver como não mudou praticamente nada.""",[=UP],「我也是，和爺爺 6 年不見，發現他完全都沒變，實在吃驚啊。」,「我也是，和爷爷 6 年不见，发现他完全都没变，实在吃惊啊。」,[=UP],[=UP],[=UP]
Ushiromiya Kinzo,"""Wahahahaha, you little brat. So, it seems you've learned flattery these past six years! Sorry to disappoint you, but you're hardly a fair judge in the matter. I have grown quite old indeed.""","""Wahahahaha, you little brat. So, it seems you've learned flattery during these past six years! Sorry to disappoint you, but you're hardly a fair judge in the matter. I have grown quite old indeed."" ",[=UP],「わはははは、戦人め。この６年で世辞まで学んだか！　残念だが、それは節穴というものよ。しっかりかっきり、老いぼれておるわ。」,「わはははは、戦人め。この６年で世辞まで学んだか！　残念だが、それは節穴というものよ。しっかりかっきり、老いぼれておるわ」,"""Ва‐ха‐ха‐ха‐ха, мелочь. Вижу, ты за последние шесть лет научился льстить! Жаль разочаровывать, но вряд ли ты справедливый судья в этом вопросе. Я и вправду сильно постарел.""","""Wahahahaha, seu pirralho. Parece que aprendeu a ser bajulador durante esses seis anos! Desculpe ter que dizer isso, mas está precisando de óculos.{n}Eu realmente envelheci bastante.""",[=UP],「哇哈哈哈哈，戰人你這小子。這 6 年連拍馬屁都學會了嗎？！但很遺憾，你這算是看走眼了。我可確確實實已經老得不行了啊。」,「哇哈哈哈哈，战人你这小子。这 6 年连拍马屁都学会了吗？！但很遗憾，你这算是看走眼了。我可确确实实已经老得不行了啊。」,[=UP],[=UP],[=UP]
{f:5:Beatrice},"""I'll bet a thousand yen that Kinzo's still doing great when he turns a hundred.""","""I'll bet a thousand yen that Kinzo's still doing great when he turns a hundred."" ",[=UP],「金蔵が百歳になってピンピンしているのに、千円賭けるぞ。」,「金蔵が百歳になってピンピンしているのに、千円賭けるぞ」,"""Ставлю тысячу иен на то, что Кинзо, когда ему стукнет сотня, по‐прежнему будет живее некуда.""","""Eu aposto mil iene que o Kinzo ainda vai estar no auge quando fizer cem anos.""",[=UP],「妾身賭一千塊，金藏到了百歲都還能精神抖擻。」,「妾身赌一千块，金藏到了百岁都还能精神抖擞。」,[=UP],[=UP],[=UP]
Ushiromiya Battler,"""Yeah, me too. Grandfather won't be any different when he's a hundred.""","""Yeah, me too. Grandfather won't be any different when he's a hundred."" ",[=UP],「あぁ、俺も。百歳になっても祖父さまは今と変わらないさ。」,「あぁ、俺も。百歳になっても祖父さまは今と変わらないさ」,"""Да, я тоже. Дед даже в сто лет не изменится.""","""Sim, eu também. Ele não vai estar nada diferente quando completar cem anos.""",[=UP],「啊，我也賭。到了百歲，爺爺也會和今天一樣毫無改變。」,「啊，我也赌。到了百岁，爷爷也会和今天一样毫无改变。」,[=UP],[=UP],[=UP]
Ushiromiya Kinzo,"""Wahhahahaha! Don't think you'll get any more presents for complimenting me!""","""Wahhahahaha! Don't think you'll get any more presents for complimenting me!"" ",[=UP],「わっははっはっは！　これ以上褒めても何も出ぬというのに！」,[=JP],"""Ва‐ха‐ха‐ха! Не думай, что получишь ещё подарки, осыпав меня комплиментами!""","""Wahhahahaha! Não fique achando que vai ganhar mais presentes só porque está me elogiando!""",[=UP],「哇、哈哈、哈、哈！你們再誇我，我也不會給你們什麼的！」,「哇、哈哈、哈、哈！你们再夸我，我也不会给你们什么的！」,[=UP],[=UP],[=UP]
