Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
Ushiromiya Eva,"""Who should we get a puzzle from next?""","""Who should we get a puzzle from next?"" ",[=UP],「今度は誰に問題を出してもらおうかしらね。」,「今度は誰に問題を出してもらおうかしらね」,"""Кто даст нам головоломку следующим?""","""Para quem devemos perguntar agora?""",[=UP],「下一個要找誰出題呢？」,「下一个要找谁出题呢？」,[=UP],[=UP],[=UP]
Ushiromiya Ange,"""What about those two?""","""What about those two?"" ",[=UP],「あの二人はどう？」,[=JP],"""Как насчёт тех двоих?""","""Que tal aqueles dois?""",[=UP],「那兩個人如何？」,「那两个人如何？」,[=UP],[=UP],[=UP]
Ushiromiya Eva,"""Shannon‐chan and Kanon‐kun? Sure, it looks like they'll put up a good fight.""","""Shannon-chan and Kanon-kun? Sure, it looks like they'll put up a good fight."" ","""Shannon-chan and Kanon-kun? Sure, it looks like they'll put up a good fight.""",「紗音ちゃんと嘉音くん？　いいわね、相手にとって不足はなさそう。」,「紗音ちゃんと嘉音くん？　いいわね、相手にとって不足はなさそう」,"""Шаннон и Канон? Да, должно быть здорово.""","""A Shannon‐chan e o Kanon‐kun? Claro, eles parecem ser bons adversários.""",[=UP],「紗音和嘉音君？好啊，就拿他們作對手吧。」,「纱音和嘉音君？好啊，就拿他们作对手吧。」,[=UP],[=UP],[=UP]
Shannon,"""Do you need something, Eva‐sama and Ange‐sama?""","""Do you need something, Eva-sama and Ange-sama?"" ","""Do you need something, Eva-sama and Ange-sama?""",「お呼びですか、絵羽さま、縁寿さま。」,「お呼びですか、絵羽さま、縁寿さま」,"""Госпожа Ева, госпожа Энджи, вам что‐нибудь нужно?""","""Precisam de alguma coisa, Eva‐sama, Ange‐sama?""",[=UP],「您叫我們嗎？繪羽夫人，緣壽小姐。」,「您叫我们吗？绘羽夫人，缘寿小姐。」,[=UP],[=UP],[=UP]
Kanon,"""......Don't be stupid, Nee‐san. They're asking us for puzzles.""","""...Don't be stupid, Nee-san. They're asking us for puzzles."" ","""......Don't be stupid, Nee-san. They're asking us for puzzles.""",「……姉さんは馬鹿だな。問題を出せって言ってるんだよ。」,「……姉さんは馬鹿だな。問題を出せって言ってるんだよ」,"""......Не глупи, сестра. Они спрашивают у нас загадки.""","""......Não seja burra, nee‐san. Elas querem as nossas perguntas.""",[=UP],「……姐姐你真是笨啊。是讓我們來出問題的。」,「……姐姐你真是笨啊。是让我们来出问题的。」,[=UP],[=UP],[=UP]
Shannon,"""Ah, m‐my apologies.""","""Ah, m-my apologies!"" ","""Ah, m, my apologies.""",「あ、し、失礼しましたっ。」,「あ、し、失礼しましたっ」,"""А, п‐прошу прощения.""","""Ah, e‐eu sinto muito.""",[=UP],「啊，真、真是失禮了。」,「啊，真、真是失礼了。」,[=UP],[=UP],[=UP]
,Shannon was as absentminded as ever.,Shannon was as absentminded as ever. ,[=UP],紗音は相変わらずそそっかしい。,[=JP],Шаннон была как никогда рассеянной.,Shannon estava mais distraída do que nunca.,[=UP],紗音還是那麼毛手毛腳的。,纱音还是那么毛手毛脚的。,[=UP],[=UP],[=UP]
,"However, Kanon looked extremely calm, and would probably have a well‐polished puzzle ready.","However, Kanon looked extremely calm, and would probably have a well-polished puzzle ready. "," However, Kanon looked extremely calm, and would probably have a well-polished puzzle ready.",でも嘉音はすごく落ち着いていて、練りに練った問題を出してきそうだ。,[=JP],"Но Канон выглядел чрезвычайно спокойным и, вероятно, уже приготовил безупречную загадку.","Contudo, Kanon parecia estar excepcionalmente calado e, provavelmente, já estava com um quiz, extremamente bem elaborado, preparado.",[=UP],不過嘉音則是很淡定，似乎是會出個很有水平的問題。,不过嘉音则是很淡定，似乎是会出个很有水平的问题。,[=UP],[=UP],[=UP]
Shannon,"""Ummm, uhhh...............""","""Ummm, uhhhhh......"" ","""Ummm, uhhh.........""",「えっと、うんっと、……………。」,「えっと、うんっと、……………」,"""Э‐э, ух‐х.........""","""Bem, hmm...............""",[=UP],「那個，嗯，……………」,「那个，嗯，……………」,[=UP],[=UP],[=UP]
Kanon,"""......Haah. Okay, I'll go first. While Nee‐san thinks up a puzzle.""","""...*sigh*. Okay, I'll go first. Use that time to think up a puzzle, Nee-san."" ","""......*sigh*. Okay, I'll go first. While Nee-san thinks up a puzzle.""",「……はぁ。じゃあ、僕から先に出すよ。姉さんはその間に考えて。」,「……はぁ。じゃあ、僕から先に出すよ。姉さんはその間に考えて」,"""......Эх. Хорошо, я начну первым. А сестра пока придумает головоломку.""","""......Haah. Certo, eu começo. Enquanto a nee‐san pensa na pergunta dela.""",[=UP],「……唉。那，我先來出題。姐姐趁現在好好想。」,「……唉。那，我先来出题。姐姐趁现在好好想。」,[=UP],[=UP],[=UP]
