Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Traditional (CHT),Chinese Simplified (CN),Italian (Ars Magica) (Old) (ITA)
,Shannon and Kanon stood guard in front of the door to the Golden Land. ,Shannon and Kanon stood guard in front of the door to the Golden Land.,[=UP],黄金郷の扉の前には、紗音と嘉音が門番として立っていた。,[=JP],Шаннон и Канон стояли на страже перед дверью в Золотую Землю.,Shannon e Kanon permaneceram de guarda em frente a porta que levava à Terra Dourada.,在黃金鄉的門前，紗音和嘉音作為守門人站在那裡。,在黄金乡的门前，纱音和嘉音作为守门人站在那里。,Shannon e Kanon facevano guardia davanti alla porta della Terra Dorata.
,They glared quietly and fearlessly at the eerie fleet of ships across the horizon. ,They glared quietly and fearlessly at the eerie fleet of ships across the horizon., They glared quietly and fearlessly at the eerie fleet of ships across the horizon.,水平線にて取り囲む不気味な大船団に臆すことなく、静かに睨み続けている。,[=JP],Они спокойно и бесстрашно смотрели на жуткий флот кораблей на горизонте.,Eles olharam silenciosamente e destemidamente para a ominosa frota de navios que vinha além do horizonte.,他們毫不畏懼從地平線上包圍過來的恐怖大船隊，靜靜地凝視著。,他们毫不畏惧从地平线上包围过来的恐怖大船队，静静地凝视着。,Fissavano silenziosamente e senza paura l'inquietante flotta di navi attraverso l'orizzonte.
,Shannon slowly lifted her hands. ,Shannon slowly lifted her hands., Shannon slowly lifted her hands.,紗音がゆっくりと両手を掲げる。,[=JP],Шаннон медленно подняла руки.,Shannon lentamente ergueu suas mãos.,紗音慢慢張開雙手。,纱音慢慢张开双手。,Shannon alzò lentamente le sue mani.
,"Kanon raised his right hand, and a red blade appeared there. ","Kanon also raised his right hand, and a blade that trailed red appeared there."," Kanon also raised his right hand, and a red blade appeared there.",嘉音もゆっくりと右腕を掲げ、赤き軌跡の剣を現す。,[=JP],"Канон тоже поднял правую руку, и там появилось красное лезвие.","Kanon também levantou sua mão direita, e uma lâmina traçando uma trilha vermelha apareceu.",嘉音也慢慢舉起右手，現出了紅色軌跡的劍。,嘉音也慢慢举起右手，现出了红色轨迹的剑。,"Anche Kanon alzò la sua mano destra, e lì vi apparve una lama rossa."
Shannon,"""Stop right there. I forbid you to come any closer."" ","""Stop right there. I forbid you to come any closer.""",[=UP],「そこで止まって下さい。それ以上の接近を拒否します。」,「そこで止まって下さい。それ以上の接近を拒否します」,"""Оставайтесь там. Я запрещаю вам приближаться.""","""Pare bem aí. Eu o proíbo de se aproximar mais.""",「請就此止步。禁止再繼續接近。」,「请就此止步。禁止再继续接近。」,"""Fermi dove siete. Vi proibisco di avvicinarvi ulteriormente."""
Kanon,"""...If you do, ...I'll kill you."" ","""......If you do, ......I'll kill you.""",[=UP],「……それ以上、近寄れば、……斬るっ。」,「……それ以上、近寄れば、……斬るっ」,"""......Если приблизитесь...... я убью вас.""","""......Se o fizer, ......eu o matarei.""",「……再接近過來的話，……我會動手的。」,「……再接近过来的话，……我会动手的。」,"""... Se lo fate... vi ucciderò."""
,They could see a single dinghy leaving the fleet and approaching them. They couldn't tell if it was a messenger or the first wave. ,They could see a single dinghy leave the fleet and approach them.{n}They couldn't tell if it was a messenger or the first wave.,They could see a single dinghy leave the fleet and approach them. They couldn't tell if it was a messenger or the first wave.,大船団より、一艘の小船が近付いてくるのが見える。使者か、尖兵か、わからない。,大船団より、一艘の小船が近付いてくるのが見える。{n}使者か、尖兵か、わからない。,"Они видели, как одна шлюпка покинула флот и направлялась к ним.{n}Нельзя было сказать, посланник это или же первая волна.",Eles podiam avistar um solitário bote deixando a frota e se aproximando.{n}Eles não sabiam dizer se era um mensageiro ou a primeira onda de ataque.,能夠看到從大船隊中，開過來一艘小船。{n}不知道是使者，還是尖兵。,能够看到从大船队中，开过来一艘小船。{n}不知道是使者，还是尖兵。,Potevano vedere una sola barca a remi che lasciava la flotta e si avvicinava. {n}Non sapevano dire se fosse un messaggero o la prima ondata.
,Shannon and Kanon watched it cautiously... ,Shannon and Kanon watched it cautiously..., Shannon and Kanon watched it cautiously...,紗音と嘉音は、用心深く様子を見守る…。,[=JP],Шаннон и Канон внимательно наблюдали за ней...,Shannon e Kanon observaram com atenção...,紗音和嘉音慎重地觀察著…。,纱音和嘉音慎重地观察着…。,Shannon e Kanon la guardarono con cautela...
,At the head of that dinghy rowed by goats...stood Erika. ,At the head of that dinghy rowed by goats......stood Erika., At the head of that dinghy rowed by goats......stood Erika.,山羊がオールを漕ぐその小船の先頭には、……ヱリカが堂々と立っていた。,[=JP],"Во главе шлюпки, на которой гребли козлоголовые...... стояла Эрика.",Na proa do bote remado por cabras......estava Erika.,在由山羊划槳的這小船的船頭，……繪梨花堂堂正正地站在那裡。,在由山羊划桨的这小船的船头，……绘梨花堂堂正正地站在那里。,A capo della barca piena di caproni... vi era Erika.
,"...Where the heck did she get that thing from? Maybe she's trying to act the part of the fleet's leader. ...Erika was glaring at them and smiling aggressively, with what appeared to be a pirate hat on her head. ","...Where had she gotten that headgear from? Maybe she was trying to act the part of the fleet's leader. ......The object on top of Erika's head, as she glared at them with an audacious smile, appeared to be a pirate hat.","...Where could she have gotten that from? Maybe she's trying to act the part of the fleet's leader. ......Erika was glaring at them and smiling aggressively, with what appeared to be a pirate hat on her head.",どこから持ってきたやら。この大船団の長を気取っているのだろうか。……海賊帽のようなものを被り、こちらを睨みながら不敵に笑っている。,[=JP],"...Откуда у неё это? Может, строит из себя лидера флота. ......Эрика смотрела на них и агрессивно улыбалась с пиратской шляпой на голове.","...De onde ela tirou aquele chapéu? Talvez ela estivesse tentando agir como se fosse a comandante da frota. ......O objeto sobre a cabeça de Erika, conforme ela olhava para eles com um sorriso audacioso, aparentava ser um chapéu pirata.",不知道是從哪裡拿來的。大概是打算體現自己是這大船隊的統領者吧。……她戴著海盜帽般的東西，盯著這邊無畏地笑著。,不知道是从哪里拿来的。大概是打算体现自己是这大船队的统领者吧。……她戴着海盗帽般的东西，盯着这边无畏地笑着。,"... Da dove l'aveva presa? Forse sta cercando di fare la parte del capo della flotta. ... Erika li osservava e sorrideva in modo aggressivo, con quello che sembrava essere un cappello da pirata sulla sua testa."
