Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
Nanjo Terumasa,"""............You've...been indulging in alcohol again, haven't you?""","""............Again. ...So, you still haven't overcome your love of alcohol?"" ","""............Again. ...So, you still haven't overcome your love of alcohol?""",「…………また。…お酒を嗜まれましたな？」,「…………また。…お酒を嗜まれましたな？」,"""............Вы...снова стали злоупотреблять алкоголем, не так ли?""","""............Você ainda...não superou o seu amor pelo álcool?""","""............Ngài...lại uống rượu nữa rồi, phải không?""",「…………你又，…犯酒癮了吧？」,「…………你又，…犯酒瘾了吧？」,"""............Kau... lagi minum-minum alkohol, ya?""","""...Non dirmelo... sei di nuovo tornato a bere?""","""............Yine...kendini alkole verdin, değil mi?"""
,The old physician let out a sigh as he removed the stethoscope.,The old physician let out a sigh as he removed the stethoscope. ,The old physician let out a sigh as he removed the stethoscope.,聴診器を外しながら、年輩の医師は溜め息を漏らす。,聴診器を外しながら、年輩の医師は溜め息を漏らす。,"Пожилой врач, вздохнув, убрал стетоскоп.",O velho médico suspirou enquanto removia o estetoscópio.,Vị bác sĩ già thở dài khi đưa ống nghe ra.,上了年紀的醫生邊取下聽診器，邊嘆了一口氣。,上了年纪的医生边取下听诊器，边叹了一口气。,Dokter tua itu menghela napas sambil melepas stetoskopnya.,"Toltosi lo stetoscopio, l'anziano dottore sospirò.",Yaşlı doktor stetoskobunu çıkarırken bir iç çekti.
,"Two elderly men could be seen in the dimly lit study, which was filled with dust and a sickly sweet stench.","Two elderly men could be seen in the dimly-lit study, which was filled with dust and a sickly-sweet stench. "," Two elderly men could be seen in the dimly-lit study, which was filled with dust and a sickly-sweet stench.",埃と甘ったるい異臭の入り混じった薄暗い書斎に、年輩の男たちの姿はあった。,埃と甘ったるい異臭の入り混じった薄暗い書斎に、年輩の男たちの姿はあった。,"В мрачном кабинете, в воздухе которого смешались пыль и тошнотворно‐приторный запах, можно было увидеть двух пожилых мужчин.","Dois homens velhos podiam ser vistos no estúdio mal‐iluminado, coberto de poeira e preenchido com um aroma adocicado e enjoativo.","Ở đây, có thể thấy hai người đàn ông lớn tuổi trong một thư phòng mờ tối, đầy bụi, và nồng nặc một mùi hương ngọt ngào.",昏暗的書房裡瀰漫著夾雜塵埃的甜膩異臭，三位年長的男人身處其中。,昏暗的书房里弥漫着夹杂尘埃的甜腻异臭，三位年长的男人身处其中。,"Dua pria tua terlihat di ruang belajar yang redup, dipenuhi debu dan bau manis yang tidak enak.","Nel cupo studio, dove aleggiavano sia polvere che un malsano odore dolciastro, erano presenti due anziani signori.","Loş ışıklı, tozlu ve tiksindirici derecede tatlı bir kokuyla dolu çalışma odasında iki yaşlı adam görülebiliyordu."
,"In the corner of this room, which was much larger than what most people would call a study, there was an expensive‐looking bed, a man undergoing a medical examination, and the physician conducting it.{n}There was also what appeared to be a servant watching over the whole scene.","In the corner of this room, which was much larger than what most people would call a study, was an expensive-looking bed, a man undergoing a medical examination, and the physician conducting it. There was also what appeared to be a servant watching over the whole scene. "," In the corner of this room, which was much larger than what most people would call a study, there was an expensive-looking bed, a man undergoing a medical examination, and the physician conducting it. There was also what appeared to be a servant watching over the whole scene.",書斎と呼ぶにはとても広い部屋の一角には高級そうなベッドがあり、診察を受ける男と、それを診察する医師。そしてそれを見守る使用人のように見えた。,書斎と呼ぶにはとても広い部屋の一角には高級そうなベッドがあり、診察を受ける男と、それを診察する医師。{n}そしてそれを見守る使用人のように見えた。,"В углу этой комнаты, намного более просторной, чем обычный кабинет, стояла дорогая кровать, на которой находился человек, проходящий медицинское обследование, а рядом — его врач.{n}Также в кабинете находился ещё один человек, походивший на слугу и молча наблюдавший за процессом.","No canto do cômodo, que era muito maior do que um simples escritório, em uma cama de aparência cara, um homem se submetia a um exame, enquanto um médico o conduzia. Havia também o que aparentava ser um serviçal que estava assistindo a cena.","Ở trong góc của căn phòng rộng lớn này – rộng hơn nhiều so với thứ mà người ta gọi là thư phòng – có một chiếc giường trông có vẻ đắt tiền; ở trên đó là một người đàn ông đang được khám bệnh, và cả vị bác sĩ đang khám cho ông ta.{n}Cũng có một người trông giống như gia nhân đang quan sát toàn bộ sự việc.",在這間以書房來說未免過大的房間一角，擺放著一張顯得很高級的寢床。床上躺著接受診察的男性，旁邊是診察他的醫生。{n}一旁還站著像是侍候他們的傭人。,在这间以书房来说未免过大的房间一角，摆放着一张显得很高级的寝床。床上躺着接受诊察的男性，旁边是诊察他的医生。{n}一旁还站着像是侍候他们的佣人。,"Di sudut ruangan yang jauh lebih besar dari yang biasa disebut sebagai ruang belajar ini, terdapat tempat tidur yang tampak mahal, seorang pria yang sedang diperiksa, dan dokter yang memeriksanya.{n}Ada juga yang tampaknya seorang pelayan yang mengawasi seluruh pemandangan ini.","Nell'angolo di quella stanza, troppo grande per poter essere definita uno studio, vi era un letto dall'aria lussuosa, un uomo sotto esame medico, e il dottore che lo stava visitando. E ad osservarli, sembrava esserci un domestico.","Çoğu insanın çalışma odası olarak adlandırabileceğinden çok daha büyük olan bu odanın köşesinde, pahalı görünümlü bir yatak, tıbbi muayeneden geçen bir adam ve muayeneyi yapan bir doktor vardı.{n}Ayrıca tüm bu sahneyi izleyen bir hizmetkâr da vardı."
Ushiromiya Kinzo,"""The bottle is my friend. It is no less of a friend than you, and it has stood by my side even longer than you have.""","""The bottle is my friend. It is no less of a friend than you, and it has stood by my side even longer than you have."" ","""The bottle is my friend. It is no less of a friend than you, and it has stood by my side even longer than you have.""",「酒は我が友だ。お前に負けぬ友人であり、そしてお前よりも付き合いが長い。」,「酒は我が友だ。お前に負けぬ友人であり、そしてお前よりも付き合いが長い」,"""Спиртное — мой друг. Для меня оно не меньший друг, чем ты, да и пробыло оно со мной гораздо дольше тебя.""","""O álcool é meu amigo. Ele não é menos amigo que você, sendo que ele até mesmo passou muito mais tempo ao meu lado.""","""Chai rượu này là bạn của ta. Xét về phương diện ""bạn bè"" – nó cũng không thua kém gì ngài – và thậm chí là, nó đã ở bên ta còn lâu hơn cả ngài đấy.""",「酒是我的朋友。它是毫不遜於你的友人，也比和你相處的時間更長。」,「酒是我的朋友。它是毫不逊于你的友人，也比和你相处的时间更长。」,"""Alkohol adalah temanku. Dia tak kalah baik darimu, dan telah mendampingiku lebih lama dari dirimu.""","""L'alcol è mio amico. È un amico tanto quanto te, ed è stato al mio fianco per più tempo.""","""Alkol benim dostum. Senin kadar iyi bir dostum, ve onu seni tanıdığımdan daha uzun süredir tanıyorum."""
,The man who had bared his chest for the stethoscope spoke unapologetically as he straightened out his clothes.,"As the man baring his chest for the stethoscope rearranged his clothes, he spoke unapologetically. ","As the man who had bared his chest for the stethoscope rearranged his clothes, he spoke unapologetically.",聴診器のために胸をはだけさせていた男は、着衣の乱れを直しながら、悪びれる様子もなくそう言う。,聴診器のために胸をはだけさせていた男は、着衣の乱れを直しながら、悪びれる様子もなくそう言う。,"Непоколебимым тоном заявил человек, на груди которого секунду назад был стетоскоп, поправляя одежду.","O homem, levando o estetoscópio ao seu peito e arrumando suas roupas, falou se desculpando.","Người đàn ông ấy nói như thể bản thân không hề hối hận về câu trả lời của mình, ngay khi đang chỉnh lại quần áo sau khi được bác sĩ khám bằng ống nghe.",男人整理著剛接受聽診時敞開的上衣，不動容地說著。,男人整理着刚接受听诊时敞开的上衣，不动容地说着。,Pria yang membuka bajunya untuk stetoskop itu berbicara tanpa penyesalan sambil merapikan pakaiannya.,"L'uomo, che aveva scoperto il proprio petto per il controllo con lo stetoscopio, disse ciò senza battere ciglio, mentre risistemava i suoi vestiti.","Stetoskop için göğsünü açan adam, kıyafetlerini düzeltirken hiç istifini bozmadan konuştu."
Nanjo Terumasa,"""............Kinzo‐{c:86EF9C:san}. ...Your body only appears to be well thanks to the effects of the medicine. However, if you continue to drink such strong spirits, the treatment will become meaningless. ...Trust my judgment. Temper your drinking.""","""............Kinzo‐{c:86EF9C:san}. ...your body only appears to be well thanks to the effects of the medicine. However, if you continue to drink such strong spirits, the treatment will become meaningless. ...Trust my judgement. Refrain from drinking."" ","""............Kinzo-san. ...Your body only appears to be well thanks to the effects of the medicine. However, if you continue to drink such strong spirits, the treatment will become meaningless. ...Trust my judgement. Refrain from drinking.""",「…………金蔵さん。…あんたの体が一見調子がいいのは薬が効いてるからだ。だが、そんな強い酒を飲み続けては薬の意味もなくなってしまう。…悪いことは言わん。酒は控えなさい。」,「…………金蔵さん。…あんたの体が一見調子がいいのは薬が効いてるからだ。だが、そんな強い酒を飲み続けては薬の意味もなくなってしまう。…悪いことは言わん。酒は控えなさい」,"""............Кинзо‐{c:86EF9C:сан}. ...Ваш организм пока ещё в порядке лишь благодаря действию лекарств. Однако если вы и дальше продолжите употреблять крепкие напитки, лечение потеряет всякий смысл. ...Поверьте моему опыту. Воздержитесь от алкоголя.""","""............Kinzo‐{c:86EF9C:san}. ... O seu corpo só aparenta estar bem graças aos efeitos dos medicamentos. Porém, se você continuar a beber desta forma, o tratamento não terá sentido. ...Confie em meu julgamento. Abstenha‐se de beber.""","""............{c:86EF9C:Ngài} Kinzo à. ...Cơ thể của ngài chỉ có vẻ ổn nhờ vào tác dụng của thuốc mà thôi. Tuy nhiên, nếu ngài tiếp tục uống những loại rượu mạnh như vậy, thì việc điều trị sẽ trở nên vô nghĩa. ...Hãy tin tưởng vào phán đoán của tôi. Hãy tiết chế việc uống rượu lại.""",「…………金藏先生，…你的身體之所以看起來無礙，實際上都是藥物起的效果。但你要是繼續飲用這樣的烈酒，吃藥就會變得毫無意義。…不吉利的話我就不說了，別再喝酒了。」,「…………金藏先生，…你的身体之所以看起来无碍，实际上都是药物起的效果。但你要是继续饮用这样的烈酒，吃药就会变得毫无意义。…不吉利的话我就不说了，别再喝酒了。」,"""............Kinzo-{c:86EF9C:san}. Tubuhmu hanya terlihat sehat karena efek obat. Namun jika kau terus minum alkohol kuat seperti ini, pengobatan akan menjadi sia-sia. Percayalah pada penilaianku. Kurangi minummu.""","""...Kinzo-{c:86EF9C:san}... è grazie ai farmaci che fanno effetto se il tuo corpo a prima vista è in buona salute. Tuttavia, se continui a bere liquori così forti, la medicina diventerà del tutto inutile... Lo dico per il tuo bene. Astieniti dall'alcol.""","""............Kinzo-{c:86EF9C:san}. ...Vücudun sadece ilacın etkileri sayesinde iyi görünüyor. Ancak, bu kadar güçlü içkiler içmeye devam edersen, tedavi anlamsız hale gelecektir. ...Benim kararıma güven. İçkini azalt."""
Ushiromiya Kinzo,"""I thank you, though only for the sentiment, my friend. .........Genji. Another glass. Water it down slightly. That way Nanjo can save face.""","""I thank you, though only for the sentiment , my friend. .........Genji, another glass. Water it down slightly. That way Nanjo can save face."" ","""I thank you, though only for the sentiment, my friend. .........Genji. Another glass. Water it down slightly. That way Nanjo can save face.""",「忠告の気持ちだけはありがたくいただいておく。我が友よ。………源次。もう一杯頼む。心持ち薄めでな。南條の顔も立ててやれ。」,「忠告の気持ちだけはありがたくいただいておく。我が友よ。………源次。もう一杯頼む。心持ち薄めでな。南條の顔も立ててやれ」,"""Благодарю тебя. Правда, только за заботу, друг мой. .........Генджи. Ещё бокал. Только слегка разбавь его. Так Нанджо сможет сохранить лицо.""","""Eu lhe agradeço, embora apenas pelos sentimentos, meu amigo.{n}.........Genji. Mais um copo, por favor... Dilua um pouco. Nanjo, é melhor você não olhar.""","""Ta cảm ơn ngài, nhưng là vì tấm lòng của ngài thôi, bạn hữu ạ. .........Genji. Thêm một ly nữa. Pha loãng một chút. Như vậy thì Nanjo vẫn giữ được thể diện.""",「你的好意我心領了。我的好友，………源次，再給我添一杯。稍微調淡些。多少也得給南條點面子。」,「你的好意我心领了。我的好友，………源次，再给我添一杯。稍微调淡些。多少也得给南条点面子。」,"""Aku berterima kasih, meski hanya untuk niatmu, temanku. .........Genji. Segelas lagi. Cairkan sedikit. Dengan begitu Nanjo bisa menyelamatkan mukanya.""","""Apprezzo le tue preoccupazioni, amico mio... Genji, un altro bicchiere. Diluiscilo con un po' d'acqua. Così Nanjo potrà salvarsi la faccia.""","""Duyguların için teşekkür ederim, arkadaşım. .........Genji, bir bardak daha. Biraz sulandır. Nanjo bu şekilde kendini iyi hissedebilir."""
Ronoue Genji,""".........Are you quite sure?""",""".........Are you quite sure?"" ",""".........Are you quite sure?""",「………よろしいのですか。」,「………よろしいのですか」,""".........Вы уверены?""",""".........Você tem certeza?""",""".........Ngài có chắc không ạ?""",「………請問確定要添嗎？」,「………请问确定要添吗？」,""".........Apakah Anda yakin?""","""...Ne è sicuro?""",""".........Emin misiniz?"""
,"After eyeing both the master who demanded the alcohol and his doctor who forbade it, Genji, the old butler, silently gave a slight nod and carried out his master's orders faithfully.","After eyeing both the master who demanded the alcohol and the family doctor who forbade it, Genji, the old butler, silently gave a slight nod and carried out his master's orders faithfully. ","After eyeing both the master who demanded the alcohol and the family doctor who forbade it, Genji, the old butler, silently gave a slight nod and carried out his master's orders faithfully.",源次と呼ばれた老齢の執事は、酒を求める主と、それを止める主治医の双方を見比べた後、無言で小さく頷き、己の主の命令に忠実に従うのだった。,源次と呼ばれた老齢の執事は、酒を求める主と、それを止める主治医の双方を見比べた後、無言で小さく頷き、己の主の命令に忠実に従うのだった。,"Взглянув на господина, требовавшего налить ему спиртного, и на его врача, возражавшего против этого, Генджи, старый дворецкий, молча кивнул и беспрекословно выполнил приказ господина.","Após olhar para ambos, o mestre que demandava álcool e o médico da família, que o proibia, Genji, o velho mordomo, deu um leve aceno com a cabeça, obedecendo às ordens de seu mestre fielmente.","Sau khi liếc nhìn cả ông chủ đòi rượu và bác sĩ cấm rượu, Genji, vị quản gia già, lặng lẽ gật đầu và tuân lệnh ông chủ theo một cách rất trung thành.",名叫源次的老管家，看了看要求添酒的主人，又看了看勸阻的主治醫生。最後無言地點了點頭，忠實地遵從了自己主人的命令。,名叫源次的老管家，看了看要求添酒的主人，又看了看劝阻的主治医生。最后无言地点了点头，忠实地遵从了自己主人的命令。,"Setelah memandangi tuan yang meminta alkohol dan dokternya yang melarang, Genji, sang pelayan tua, mengangguk sedikit diam-diam dan menjalankan perintah tuannya dengan setia.","Dopo aver guardato il padrone che aveva chiesto il liquore, e il dottore che lo aveva proibito, l'anziano maggiordomo di nome Genji annuì silenziosamente, e obbedì fedelmente agli ordini del suo padrone.","Hem alkolü isteyen efendisine hem de onu yasaklayan doktoruna baktıktan sonra, yaşlı uşak Genji sessizce hafifçe başını sallayarak onayladı ve efendisinin emirlerini sadakatle yerine getirdi."
