Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
Ushiromiya Eva,"""..............................zzzzz...""",""".........zzzzz..."" ","""..................zzzzz...""",「…………………………すぅ…。」,「…………………………すぅ…」,"""..................хррррр...""","""..............................zzzzz...""",「…………………………嗉——…」,「…………………………嗉——…」,"""... Zzzzz...""","""..............................zzzzz...""","""... Zzz...""","""..............................ﺁﺁﺯﺯ...""","""..............................zzzzz...""","""..............................zzzzz...""","""..............................zzzzz..."""
Ushiromiya Hideyoshi,"""..................Whew. ...Looks like she's finally calmed down...""",""".........Whew. ...Looks like she's finally calmed down..."" ","""...............Whew. ...Looks like she's finally calmed down...""",「………………ふぅ。…ようやく落ち着いてくれたようやな…。」,「………………ふぅ。…ようやく落ち着いてくれたようやな…」,"""...............Уфф. ...Похоже, она наконец‐то успокоилась..""","""..................Ufa. ...Parece que ela finalmente se acalmou...""",「………………呼——。…总算是平静下来了呐…」,「………………呼——。…總算是平靜下來了吶…」,"""... Fiuu. ... Sembra che finalmente si sia calmata...""","""..................Whew. ...Looks like she's finally calmed down...""","""... Uf... Parece que finalmente se calmó...""","""..................ﻓﻴﻮﻩ. ...ﻭﺃﺧﻴﺮًﺍ ﻫﺪﺃﺕ...""","""..................Whew. ...Looks like she's finally calmed down...""","""..................Whew. ...Looks like she's finally calmed down...""","""..................Whew. ...Looks like she's finally calmed down..."""
,"Hideyoshi wiped his own forehead. ...For a time, Eva had seemed to be having a very painful nightmare, but it appeared that she had finally fallen asleep.","Hideyoshi wiped his own forehead. ...For a time, Eva had seemed to be having a very painful nightmare, but it appeared she'd finally fallen asleep. ","Hideyoshi wiped his own forehead....For a time, Eva had seemed to be having a very painful nightmare, but it appeared that she had finally fallen asleep.",秀吉は自身の額を拭う。…一時期、絵羽はだいぶ辛くうなされていたが、ようやく寝付いたようだった。,秀吉は自身の額を拭う。…一時期、絵羽はだいぶ辛くうなされていたが、ようやく寝付いたようだった。,"Хидэёши вытер пот со лба. ...Еве, по‐видимому, какое‐то время снился очень болезненный кошмар, но сейчас она вроде в конце концов смогла заснуть.","Hideyoshi secou sua própria testa. ...Por algum tempo, aparentemente Eva estava tendo um pesadelo muito doloroso, mas parecia que ela finalmente tinha adormecido.",秀吉抹了抹自己的额头。…痛苦呻吟了好一阵的绘羽，总算是进入了梦乡。,秀吉抹了抹自己的額頭。…痛苦呻吟了好一陣的繪羽，總算是進入了夢鄉。,"Hideyoshi si asciugò il sudore sulla fronte. ... Per un po', sembrava che Eva stesse avendo un incubo davvero doloroso, ma finalmente si era addormentata.","Hideyoshi wiped his own forehead. ...For a time, Eva had seemed to be having a very painful nightmare, but it appeared that she had finally fallen asleep.","Hideyoshi se secó la frente... Por un tiempo, parecía que Eva había estado teniendo una desagradable pesadilla, pero tras un rato finalmente se había dormido.","ﻗﺎﻟﻬﺎ ""ﻫﻴﺪﻳﻮﺷﻲ"" ﻭﻫﻮ ﻳﻤﺴﺢ ﺟﺒﻴﻨﻪ ﺍﻟﻤﺘﻌﺮﻕ. ...ﺃﻣﺎ ﺇﻳﻔﺎ ﻓﻘﺪ ﺑﺪﺕ ﻭﻛﺄﻧﻬﺎ ﺗﺤﻠﻢ ﺑﻜﺎﺑﻮﺱٍ ﻣﺮﻭﻉٍ ﻟﻠﻐﺎﻳﺔ، ﻟﻜﻦ ﻳﺒﺪﻭ ﺃﻧّﻬﺎ ﺍﻵﻥ ﻗﺪ ﻧﺎﻣﺖ ﺃﺧﻴﺮًﺍ.","Hideyoshi wiped his own forehead. ...For a time, Eva had seemed to be having a very painful nightmare, but it appeared that she had finally fallen asleep.","Hideyoshi wiped his own forehead. ...For a time, Eva had seemed to be having a very painful nightmare, but it appeared that she had finally fallen asleep.","Hideyoshi wiped his own forehead. ...For a time, Eva had seemed to be having a very painful nightmare, but it appeared that she had finally fallen asleep."
,"As promised, he still gripped Eva's hand. ...He thought it would probably be alright to let go about now, but he faithfully continued to hold her hand.","As promised, he still gripped Eva's hand. ...He'd thought it might be time to let go pretty soon, but he faithfully continued to hold on. "," As promised, he still gripped Eva's hand....He had thought it might be alright to let go pretty soon, but he faithfully continued to hold her hand.",約束どおり、絵羽と手は握ったままだ。…そろそろ離してもいいかと思ったが、彼は律儀に手を握り続ける。,約束どおり、絵羽と手は握ったままだ。…そろそろ離してもいいかと思ったが、彼は律儀に手を握り続ける。,"Как он и обещал, он сжал её руку. ...Ему на ум пришла мысль, что ничего страшного не случится, если он вскорости отпустит её, но продолжал добросовестно держать её.","Como prometido, ele ainda segurava a mão de Eva. ...Ele pensou que provavelmente estaria tudo bem em soltar agora, mas continuou a segurar a mão dela fielmente.",遵照着约定，他握着绘羽的手。…尽管也想过“差不多可以放手了吧”，但他还是规规矩矩地继续握着手。,遵照著約定，他握著繪羽的手。…儘管也想過“差不多可以放手了吧”，但他還是規規矩矩地繼續握著手。,"Come promesso, stringeva ancora la sua mano. ... Aveva pensato che avrebbe potuto lasciarla, ma continuò fedelmente a tenerle la mano.","As promised, he still gripped Eva's hand. ...He thought it would probably be alright to let go about now, but he faithfully continued to hold her hand.","Como había prometido, él aún sostenía la mano de Eva... Había pensado que quizás no habría problema si la soltara, pero siguió tomando su mano fielmente.",ﻟﻢ ﻳُﻔﻠّﺖ ﺯﻭﺟﻬﺎ ﻳﺪﻫﺎ ﺃﺑﺪًﺍ ﻛﻤﺎ ﻭﻋﺪﻫﺎ. ...ﻓﻜﺮ ﻟﻠﺤﻈﺔ ﺃﻧﻪ ﻗﺪ ﻳﺘﺮﻙ ﻳﺪﻫﺎ ﺍﻵﻥ، ﻟﻜﻦ ﻭﻓﺎﺀﻩ ﺩﻓﻌﻪ ﻟﻼﺳﺘﻤﺮﺍﺭ.,"As promised, he still gripped Eva's hand. ...He thought it would probably be alright to let go about now, but he faithfully continued to hold her hand.","As promised, he still gripped Eva's hand. ...He thought it would probably be alright to let go about now, but he faithfully continued to hold her hand.","As promised, he still gripped Eva's hand. ...He thought it would probably be alright to let go about now, but he faithfully continued to hold her hand."
,"Every once in a while, his hand would get tired, and he would switch between his right and his left, but even so, as promised, he never let go of her hand...","Every once in a while, his hand would get tired, and he would switch between his right and his left, but even so, as promised, he didn't let go of her hand... "," Every once in a while, his hand would get tired, and he would switch between his right and his left, but even so, as promised, he didn't let go of her hand...",時折、手が疲れ、右手と左手を入れ替えたりはしたが、それでも約束通り、彼女の手を離しはしなかった…。,時折、手が疲れ、右手と左手を入れ替えたりはしたが、それでも約束通り、彼女の手を離しはしなかった…。,"Некоторое время спустя его рука уставала, и он менял правую руку на левую и наоборот, но, несмотря на это, он сдерживал своё обещание и не отпускал её руку...","De vez em quando, sua mão ficava cansada e ele trocava entre a direita e a esquerda, mesmo assim, como prometido, ele nunca soltou a mão dela...",虽然有时会因为累了而交换左右手，但即便如此，他也遵照着约定，从未放开过她的手…。,雖然有時會因為累了而交換左右手，但即便如此，他也遵照著約定，從未放開過她的手…。,"Ogni tanto la sua mano si addormentava, e alternava la destra con la sinistra, ma anche così, non la lasciava andare...","Every once in a while, his hand would get tired, and he would switch between his right and his left, but even so, as promised, he never let go of her hand...","Una que otra vez, su mano se cansaba, y debía cambiar entre su derecha e izquierda, pero aun así, como lo había prometido, no soltó su mano...",ﺑﻴﻦ ﺍﻟﺤﻴﻦ ﻭﺍﻵﺧﺮ، ﻛﺎﻥ ﻳﺒﺪّﻝ ﺑﻴﻦ ﻳﺪﻩ ﺍﻟﻴﻤﻨﻰ ﻭﺍﻟﻴﺴﺮﻯ ﺣﻴﻦ ﻳﺘﻌﺐ، ﻟﻜﻨّﻪ ﻟﻢ ﻳﺘﺮﻙ ﻳﺪﻫﺎ ﺃﺑﺪًﺍ، ﻛﻤﺎ ﻭﻋﺪ ﺗﻤﺎﻣًﺎ...,"Every once in a while, his hand would get tired, and he would switch between his right and his left, but even so, as promised, he never let go of her hand...","Every once in a while, his hand would get tired, and he would switch between his right and his left, but even so, as promised, he never let go of her hand...","Every once in a while, his hand would get tired, and he would switch between his right and his left, but even so, as promised, he never let go of her hand..."
,"At that time, there was a heavy knock. Eva had finally managed to fall asleep, so Hideyoshi grimaced for just an instant.","At that time, there was a heavy knock. Eva had finally been able to fall asleep, so Hideyoshi grimaced for just an instant. "," At that time, there was a heavy knock. Eva had finally been able to fall asleep, so Hideyoshi grimaced for just an instant.",その時、ドンドンとノック。やっと絵羽が寝付いてくれたのにと、秀吉は一瞬だけ眉をしかめた。,その時、ドンドンとノック。やっと絵羽が寝付いてくれたのにと、秀吉は一瞬だけ眉をしかめた。,"К тому времени уже наступило одиннадцать часов. Ева наконец‐то смогла заснуть, поэтому Хидэёши позволил себе слегка поморщиться.","Naquele momento, se ouviu uma batida pesada. Eva finalmente tinha caído no sono, então Hideyoshi fez uma careta por um instante.",此时，响起了“咚咚”的敲门声。绘羽好不容易才睡着的啊，秀吉皱了一下眉。,此時，響起了“咚咚”的敲門聲。繪羽好不容易才睡著的啊，秀吉皺了一下眉。,"In quel momento, ci fu una pesante bussata. Eva si era finalmente addormentata, per cui Hideyoshi fece una smorfia per un istante.","At that time, there was a heavy knock. Eva had finally managed to fall asleep, so Hideyoshi grimaced for just an instant.","En ese momento, se escuchó un fuerte golpe. Eva finalmente había podido conciliar el sueño, por lo que Hideyoshi hizo una mueca por un instante.",ﻋﻨﺪﺋﺬٍ، ﺗﺮّﺩﺩ ﺻﻮﺕ ﻃﺮﻕٍ ﺷﺪﻳﺪٍ ﻋﻠﻰ ﺍﻟﺒﺎﺏ. ﺷﻌﺮ ﻫﻴﺪﻳﻮﺷﻲ ﺑﺎﻟﻐﻀﺐ ﻗﻠﻴﻼً، ﺇﺫ ﺃﻥّ ﺫﻟﻚ ﻗﺪ ﻳُﻮﻗﻆ ﺇﻳﻔﺎ ﺍﻟﺘﻲ ﻫﺪﺃﺕ ﻭﻧﺎﻣﺖ ﻟﻠﺘﻮ.,"At that time, there was a heavy knock. Eva had finally managed to fall asleep, so Hideyoshi grimaced for just an instant.","At that time, there was a heavy knock. Eva had finally managed to fall asleep, so Hideyoshi grimaced for just an instant.","At that time, there was a heavy knock. Eva had finally managed to fall asleep, so Hideyoshi grimaced for just an instant."
Ushiromiya Rudolf,"""......Aneki, Hideyoshi‐san, sorry. Is Rosa there...?""","""...Aneki, Hideyoshi-san, sorry. Is Rosa there...?"" ","""......Aneki, Hideyoshi-san, sorry. Is Rosa there...?""",「……姉貴、秀吉さん、すまねぇ。楼座はそこにいるか…？」,「……姉貴、秀吉さん、すまねぇ。楼座はそこにいるか…？」,"""......Анеки, Хидэёши‐сан, прошу прощения. Роза с вами?""","""......Aneki, Hideyoshi‐san, me perdoem. A Rosa está aí...?""",「……大姐、秀吉姐夫，不好意思。楼座是不是在你们房间里…？」,「……大姐、秀吉姐夫，不好意思。樓座是不是在你們房間裡…？」,"""... Aneki, Hideyoshi-san, scusate il disturbo. C'è Rosa...?""","""......Aneki, Hideyoshi‐san, sorry. Is Rosa there...?""","""... Aneki, Hideyoshi-san, lo siento. ¿Se encuentra Rosa allí?...""","""......ﺃﺧﺘﻲ، ﻫﻴﺪﻳﻮﺷﻲ-ﺳﺎﻥ، ﺁﺳﻒ ﻋﻠﻰ ﺍﻹﺯﻋﺎﺝ. ﻫﻞ ﺭﻭﺯﺍ ﺑﺎﻟﺪﺍﺧﻞ...؟""","""......Aneki, Hideyoshi‐san, sorry. Is Rosa there...?""","""......Aneki, Hideyoshi‐san, sorry. Is Rosa there...?""","""......Aneki, Hideyoshi‐san, sorry. Is Rosa there...?"""
,It was Rudolf's voice. ...What could it be?,It was Rudolf's voice. ...What could it be? ,"It was Rudolf's voice. ...What could it be? ",留弗夫の声だった。…何事だろう？,留弗夫の声だった。…何事だろう？,Это был голос Рудольфа. ...Что же могло произойти?,Era a voz de Rudolf. ...O que poderia ser?,是留弗夫的声音。…出什么事了呢？,是留弗夫的聲音。…出什麼事了呢？,Era la voce di Rudolf. ... Cosa poteva essere successo?,It was Rudolf's voice. ...What could it be?,Era la voz de Rudolf... ¿Qué podrá ser?,ﺇﻧﻪ ﺭﻭﺩﻭﻟﻒ. ...ﻣﺎ ﺍﻟﺬﻱ ﻳﺮﻳﺪﻩ ﻳﺎ ﺗُﺮﻯ؟,It was Rudolf's voice. ...What could it be?,It was Rudolf's voice. ...What could it be?,It was Rudolf's voice. ...What could it be?
,"Hideyoshi headed for the door, hiding his footsteps so that he wouldn't wake Eva.","Hideyoshi headed for the door, hiding his footsteps so that he wouldn't wake Eva. ","Hideyoshi headed for the door, hiding his footsteps so that he wouldn't wake Eva.",秀吉は絵羽を起こさぬよう、そっと足音を殺しながら扉へ向かった。,秀吉は絵羽を起こさぬよう、そっと足音を殺しながら扉へ向かった。,"Хидэёши направился к двери, скрывая шаги, чтобы не разбудить Еву.","Hideyoshi seguiu até a porta, ocultando o som de seus passos para não acordar Eva.",秀吉为了不吵醒绘羽，压低脚步声，静悄悄地走到了门边。,秀吉為了不吵醒繪羽，壓低腳步聲，靜悄悄地走到了門邊。,"Hideyoshi si diresse verso la porta, con passi leggeri, così da non svegliare Eva.","Hideyoshi headed for the door, hiding his footsteps so that he wouldn't wake Eva.","Hideyoshi se dirigió a la puerta, caminando con cuidado para no despertar a Eva.","ﺗﻮﺟﻪ ""ﻫﻴﺪﻳﻮﺷﻲ"" ﺑﺨﻄﻮﺍﺕ ﻫﺎﺩﺋﺔ ﻧﺤﻮ ﺍﻟﺒﺎﺏ ﺣﺘﻰ ﻻ ﻳﻮﻗﻆ ﺇﻳﻔﺎ.","Hideyoshi headed for the door, hiding his footsteps so that he wouldn't wake Eva.","Hideyoshi headed for the door, hiding his footsteps so that he wouldn't wake Eva.","Hideyoshi headed for the door, hiding his footsteps so that he wouldn't wake Eva."
,"......It was definitely Rudolf's voice, but just in case, he opened the door without removing the chain.","...It was definitely Rudolf's voice, but just in case, he opened the door without removing the chain. ","......It was definitely Rudolf's voice, but just in case, he opened the door without removing the chain.",……留弗夫の声であることは間違いないが、念の為、チェーンをしたまま扉を開ける。,……留弗夫の声であることは間違いないが、念の為、チェーンをしたまま扉を開ける。,"......Это определённо был голос Рудольфа, но на всякий случай он открыл дверь не убирая цепочку.","......Definitivamente era a voz de Rudolf, mas, só por garantia, ele abriu a porta sem remover a corrente.",……虽说那毫无疑问是留弗夫的声音，但为了慎重起见，秀吉还是挂着链条锁，开了门。,……雖說那毫無疑問是留弗夫的聲音，但為了慎重起見，秀吉還是掛著鏈條鎖，開了門。,"... Era di certo la voce di Rudolf, ma per sicurezza aprì la porta senza rimuovere la catena.","......It was definitely Rudolf's voice, but just in case, he opened the door without removing the chain.","... Definitivamente era la voz de Rudolf, pero por si acaso, abrió la puerta sin quitar la cadena.",......ﻛﺎﻥ ﻣﺘﺄﻛﺪًﺍ ﻣﻦ ﺃﻥ ﺍﻟﻄﺎﺭﻕ ﻫﻮ ﺭﻭﺩﻭﻟﻒ، ﻭﺭﻏﻢ ﺫﻟﻚ، ﻓﺘﺢ ﺍﻟﺒﺎﺏ ﺩﻭﻥ ﺃﻥ ﻳﺰﻳﻞ ﺍﻟﺴﻠﺴﻠﺔ.,"......It was definitely Rudolf's voice, but just in case, he opened the door without removing the chain.","......It was definitely Rudolf's voice, but just in case, he opened the door without removing the chain.","......It was definitely Rudolf's voice, but just in case, he opened the door without removing the chain."
