Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
Ushiromiya Kinzo,"""......{f:5:Beatrice}. I have been calling to you for a while. Did you not hear me...?""","""...{f:5:Beatrice}, I have been calling to you for some time now. Did you not hear me...?"" ","""......Beatrice. I have been calling to you for a while. Did you not hear me...?""",「……ベアトリーチェ。先ほどから呼んでおる。聞こえなんだか…？」,「……ベアトリーチェ。先ほどから呼んでおる。聞こえなんだか…？」,"""......{f:5:Беатриче}. Я уже какое‐то время зову тебя. Ты меня не слышала?..""","""......{f:5:Beatrice}. Estou te chamando já faz um tempo. Você não me ouviu...?""","""......{f:5:Beatrice}. I have been calling to you for a while. Did you not hear me...?""",「……貝阿朵莉切。從方才起就在叫你了。沒有聽見嗎…？」,「……贝阿朵莉切。从方才起就在叫你了。没有听见吗…？」,"""......{f:5:Beatrice}. I have been calling to you for a while. Did you not hear me...?""","""......{f:5:Beatrice}. I have been calling to you for a while. Did you not hear me...?""","""......{f:5:Beatrice}. I have been calling to you for a while. Did you not hear me...?"""
{f:5:Beatrice},"""......Hmm. Were you? My apologies. I was lost in my thoughts. Forgive me.""","""...Mu. Were you? My apologies. I was lost in thought. Forgive me."" ","""......Hmm. Were you? My apologies. I was lost in my thoughts. Forgive me.""",「……む。そうであったか？　すまぬ。ぼんやり考え事をしていた。許せ。」,「……む。そうであったか？　すまぬ。ぼんやり考え事をしていた。許せ」,"""......Хм‐м. Звал? Извини. Я слишком глубоко задумалась. Прости меня.""","""......Hmm. Estava? Minhas desculpas. Eu estava perdida em meus pensamentos. Perdoe‐me.""","""......Hmm. Were you? My apologies. I was lost in my thoughts. Forgive me.""",「……嗯。是麼？抱歉。妾身方才在迷迷糊糊地想事情。請見諒。」,「……嗯。是么？抱歉。妾身方才在迷迷糊糊地想事情。请见谅。」,"""......Hmm. Were you? My apologies. I was lost in my thoughts. Forgive me.""","""......Hmm. Were you? My apologies. I was lost in my thoughts. Forgive me.""","""......Hmm. Were you? My apologies. I was lost in my thoughts. Forgive me."""
Ushiromiya Kinzo,"""The weather is pleasant. ...I see, I can understand how the weather has stolen your heart. Will you drink your black tea here...?""","""The weather is pleasant. ...Yes, I can understand how the weather has stolen your heart. Will you have your black tea here...?"" ","""The weather is pleasant. ...I see, I can understand how the weather has stolen your heart. Will you drink your black tea here...?""",「良い天気だな。…なるほど、陽気に心を奪われるのもわかるというもの。紅茶はここで飲むか…？」,「良い天気だな。…なるほど、陽気に心を奪われるのもわかるというもの。紅茶はここで飲むか…？」,"""На дворе прекрасная погода. ...Ясно, я могу понять, как она похитила твоё сердце. Не выпьешь здесь чёрного чаю?..""","""O clima está muito agradável. ...Entendo, eu posso entender como o clima roubou seu coração. Vai tomar seu chá preto aqui...?""","""The weather is pleasant. ...I see, I can understand how the weather has stolen your heart. Will you drink your black tea here...?""",「是個好天氣呢。…原來如此，被明媚的陽光奪走心靈，這也是人之常情。紅茶就在此處飲吧…？」,「是个好天气呢。…原来如此，被明媚的阳光夺走心灵，这也是人之常情。红茶就在此处饮吧…？」,"""The weather is pleasant. ...I see, I can understand how the weather has stolen your heart. Will you drink your black tea here...?""","""The weather is pleasant. ...I see, I can understand how the weather has stolen your heart. Will you drink your black tea here...?""","""The weather is pleasant. ...I see, I can understand how the weather has stolen your heart. Will you drink your black tea here...?"""
{f:5:Beatrice},"""...............Who...am I?""","""......Who...am I?"" ","""............Who...am I?""",「……………妾は、何者なのか。」,「……………妾は、何者なのか」,"""............Кто... я?""","""...............Quem...eu sou?""","""...............Who...am I?""",「……………妾身，是什麼人？」,「……………妾身，是什么人？」,"""...............Who...am I?""","""...............Who...am I?""","""...............Who...am I?"""
Ushiromiya Kinzo,"""................................. ......I will bring some black tea now. Wait here for a while.""","""............ ...I will bring some tea now. Wait here for a while."" ","""..............................I will bring some black tea now. Wait here for a while.""",「……………………………。……今、紅茶を持ってくる。しばし待て。」,「……………………………。……今、紅茶を持ってくる。しばし待て」,"""........................ ......Я сейчас принесу чёрный чай. Подожди здесь немного.""","""................................. ......Eu vou trazer o chá preto agora. Espere aqui um pouco.""","""................................. ......I will bring some black tea now. Wait here for a while.""",「……………………………。……我去把紅茶拿來。稍等片刻。」,「……………………………。……我去把红茶拿来。稍等片刻。」,"""................................. ......I will bring some black tea now. Wait here for a while.""","""................................. ......I will bring some black tea now. Wait here for a while.""","""................................. ......I will bring some black tea now. Wait here for a while."""
{f:5:Beatrice},"""Forget about the black tea. Talk with me.""","""Forget about the tea. Talk with me."" ","""Forget about the black tea. Talk with me.""",「紅茶は良い。妾の話に付き合え。」,「紅茶はよい。妾の話に付き合え」,"""Забудь о нём. Поговори со мной.""","""Esqueça sobre o chá preto. Quero que fale comigo.""","""Forget about the black tea. Talk with me.""",「不要紅茶。來陪妾身說話。」,「不要红茶。来陪妾身说话。」,"""Forget about the black tea. Talk with me.""","""Forget about the black tea. Talk with me.""","""Forget about the black tea. Talk with me."""
Ushiromiya Kinzo,"""......Very well.""","""...Very well."" ","""......Very well.""",「……良かろう。」,「……良かろう」,"""......Ладно.""","""......Muito bem.""","""......Very well.""",「……好吧。」,「……好吧。」,"""......Very well.""","""......Very well.""","""......Very well."""
,Kinzo had used the excuse of going to bring some black tea to try and interrupt the conversation for the time being. ...But his attempt had been very transparent.,Kinzo had used the excuse of getting black tea to try and interrupt the conversation for the time being. ...But his attempt had been very transparent. ,Kinzo had used the excuse of going to bring some black tea to try and interrupt the conversation for the time being....But his attempt had been very transparent.,金蔵は、紅茶を運ぶことを口実に、一度だけ話を切り上げようとした。…しかしそれはあまりに見え透いていた。,金蔵は、紅茶を運ぶことを口実に、一度だけ話を切り上げようとした。…しかしそれはあまりに見え透いていた。,"Кинзо попытался воспользоваться предлогом принести чёрного чая, чтобы на какое‐то время прервать разговор. ...Но его попытка была слишком очевидной.",Kinzo usou a desculpa de que iria servir um pouco de chá preto para tentar interromper a conversa por um momento. ...Mas sua tentativa foi muito transparente.,Kinzo had used the excuse of going to bring some black tea to try and interrupt the conversation for the time being. ...But his attempt had been very transparent.,金藏想以拿紅茶為藉口打斷話題。…不過，這實在是過於顯而易見了。,金藏想以拿红茶为借口打断话题。…不过，这实在是过于显而易见了。,Kinzo had used the excuse of going to bring some black tea to try and interrupt the conversation for the time being. ...But his attempt had been very transparent.,Kinzo had used the excuse of going to bring some black tea to try and interrupt the conversation for the time being. ...But his attempt had been very transparent.,Kinzo had used the excuse of going to bring some black tea to try and interrupt the conversation for the time being. ...But his attempt had been very transparent.
,"I sat in the garden chair, and beckoned Kinzo to do the same.{n}Kinzo sat down heavily, exaggerating his age.","I sat in a garden chair and beckoned Kinzo to do the same. Kinzo sat down heavily, exaggerating his age. "," I sat in the garden chair, and beckoned Kinzo to do the same. Kinzo sat down heavily, exaggerating his age.",妾はガーデンチェアに腰掛け、金蔵にも座るように勧める。金蔵は年齢相応のもったいぶった仕草で深々と腰を下ろした。,妾はガーデンチェアに腰掛け、金蔵にも座るように勧める。{n}金蔵は年齢相応のもったいぶった仕草で深々と腰を下ろした。,"Я сидела на стуле в саду и жестом предложила Кинзо поступить так же.{n}Кинзо опустился тяжело, преувеличивая свой возраст.","Eu sentei na cadeira do jardim, acenando para Kinzo fazer o mesmo.{n}Kinzo sentou de forma rígida, exagerando em sua idade.","I sat in the garden chair, and beckoned Kinzo to do the same.{n}Kinzo sat down heavily, exaggerating his age.",妾身在庭園椅上坐下，然後邀金藏也一同就坐。{n}金藏以與他年齡相稱的，頗有派頭的動作，重重地坐在了椅子上。,妾身在庭园椅上坐下，然后邀金藏也一同就坐。{n}金藏以与他年龄相称的，颇有派头的动作，重重地坐在了椅子上。,"I sat in the garden chair, and beckoned Kinzo to do the same.{n}Kinzo sat down heavily, exaggerating his age.","I sat in the garden chair, and beckoned Kinzo to do the same.{n}Kinzo sat down heavily, exaggerating his age.","I sat in the garden chair, and beckoned Kinzo to do the same.{n}Kinzo sat down heavily, exaggerating his age."
,"For a while, we sat, appreciating the silence...","For a while, we sat and appreciated the silence... "," For a while, we sat, appreciating the silence...",しばらくの間、妾たちは沈黙を尊ぶ…。,しばらくの間、妾たちは沈黙を尊ぶ…。,"Какое‐то время мы сидели, ценя тишину...","Por um momento, nós sentamos, apreciando o silêncio...","For a while, we sat, appreciating the silence...",片刻之間，妾身與他一起尊重著沉默…。,片刻之间，妾身与他一起尊重着沉默…。,"For a while, we sat, appreciating the silence...","For a while, we sat, appreciating the silence...","For a while, we sat, appreciating the silence..."
