Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,"There was no way to notice the coming of morning without opening a window and looking at the cloudy sky, which had become a tiny bit lighter.","There would've been no way to tell that morning had come without opening a window and looking up at the cloudy sky, which had become a tiny bit lighter. ","There was no way to notice the coming of morning without opening a window and looking at the cloudy sky, which had become a tiny bit lighter.",朝の訪れを知るには、カーテンを開けてわずかに明るくなった曇天を見上げるほかなかった。,朝の訪れを知るには、カーテンを開けてわずかに明るくなった曇天を見上げるほかなかった。,"Приближающееся утро нельзя было заметить, не открыв окно и не посмотрев на облачное небо, на котором наметился лёгкий просвет.","Não havia como notar a chegada da manhã sem abrir a janela e olhar para o céu nublado, que tinha ficado um pouco mais claro.","There was no way to notice the coming of morning without opening a window and looking at the cloudy sky, which had become a tiny bit lighter.",要獲知清晨的到訪，只能通過拉開窗簾，仰望下那僅略微明亮了點的，陰雲密布的天空。,要获知清晨的到访，只能通过拉开窗帘，仰望下那仅略微明亮了点的，阴云密布的天空。,"There was no way to notice the coming of morning without opening a window and looking at the cloudy sky, which had become a tiny bit lighter.","There was no way to notice the coming of morning without opening a window and looking at the cloudy sky, which had become a tiny bit lighter.","There was no way to notice the coming of morning without opening a window and looking at the cloudy sky, which had become a tiny bit lighter."
,"It wasn't a refreshing morning. All that could be heard was the sound of the rain, which had kept falling since last night, and the howl of the wind...","It wasn't a refreshing morning. All that could be heard was the sound of the rain, which hadn't stopped falling since last night, and the howl of the wind... "," It wasn't a refreshing morning. All that could be heard was the sound of the rain, which had kept falling since last night, and the howl of the wind...",清々しい朝ではない。昨夜からずっと降り続く雨と、唸る風の音が聞こえるだけだった…。,清々しい朝ではない。昨夜からずっと降り続く雨と、唸る風の音が聞こえるだけだった…。,"Данное утро нельзя было назвать освежающим. Всё, что можно было услышать, это звук дождя, продолжавшего лить с прошлого вечера, смешанного с завываниями ветра...","Não era uma manhã refrescante. Tudo o que podia ser ouvido era o som da chuva, que continuava a cair desde a noite passada, e o rugido do vento...","It wasn't a refreshing morning. All that could be heard was the sound of the rain, which had kept falling since last night, and the howl of the wind...",這並非是清爽的早晨。耳中只能聽到，從昨晚起就一直在下的雨聲，與呼呼的風聲…。,这并非是清爽的早晨。耳中只能听到，从昨晚起就一直在下的雨声，与呼呼的风声…。,"It wasn't a refreshing morning. All that could be heard was the sound of the rain, which had kept falling since last night, and the howl of the wind...","It wasn't a refreshing morning. All that could be heard was the sound of the rain, which had kept falling since last night, and the howl of the wind...","It wasn't a refreshing morning. All that could be heard was the sound of the rain, which had kept falling since last night, and the howl of the wind..."
Ushiromiya Kyrie,"""......It's hard to imagine that it's morning. This horrible weather reflects our hearts.""","""...It's hard to imagine that it's morning. This horrible weather speaks for our hearts."" ","""......It's hard to imagine that it's morning. This horrible weather reflects our hearts.""",「……とても朝とは思えないわね。私たちの心をそのまま示した、ひどい天気よ。」,「……とても朝とは思えないわね。私たちの心をそのまま示した、ひどい天気よ」,"""......Трудно представить, что на дворе утро. Эта ужасная погода отражает, что творится у нас на душе.""","""......É difícil acreditar que isso é uma manhã. Esse tempo horrível reflete bem nossos corações.""","""......It's hard to imagine that it's morning. This horrible weather reflects our hearts.""",「……怎麼都不覺得像早晨呢。是如實反映了我們內心的糟糕天氣哦。」,「……怎么都不觉得像早晨呢。是如实反映了我们内心的糟糕天气哦。」,"""......It's hard to imagine that it's morning. This horrible weather reflects our hearts.""","""......It's hard to imagine that it's morning. This horrible weather reflects our hearts.""","""......It's hard to imagine that it's morning. This horrible weather reflects our hearts."""
Ushiromiya Rudolf,"""Then I'd say it's pretty gentle, considering. We should count ourselves lucky it's rain that's falling and not spears.""","""Hey, it could be worse. At least it's just rain and not spears falling from the sky."" ","""Then isn't that pretty gentle? At least falling rain is better than falling spears.""",「ならずいぶん穏やかじゃねぇか。雨は降れど、槍が降らねぇだけマシだぜ。」,「ならずいぶん穏やかじゃねぇか。雨は降れど、槍が降らねぇだけマシだぜ」,"""Так не является ли такая погода мягкой? Дождь из воды всегда лучше, чем дождь из копий.""","""Então poderia estar muito pior. Precisamos nos considerar com sorte que o que está caindo é chuva, e não lanças.""","""Then I'd say it's pretty gentle, considering. We should count ourselves lucky it's rain that's falling and not spears.""",「那麼，這不挺和風細雨的嘛。光是下雨沒下長槍，就值得謝天謝地了。」,「那么，这不挺和风细雨的嘛。光是下雨没下长枪，就值得谢天谢地了。」,"""Then I'd say it's pretty gentle, considering. We should count ourselves lucky it's rain that's falling and not spears.""","""Then I'd say it's pretty gentle, considering. We should count ourselves lucky it's rain that's falling and not spears.""","""Then I'd say it's pretty gentle, considering. We should count ourselves lucky it's rain that's falling and not spears."""
Ushiromiya Hideyoshi,"""Wahaha. Whether it's rain or spears, bring it on, I say.""","""Wahhaha. Whether it's rain or spears, it's comin' down with a bang. ","""Wahhaha. Whether it's rain or spears, it's comin' down with a bang. ",「わっはっは。雨が降ろうと、槍が降ろうと、どんと来いっちゅうとこやな。,「わっはっは。雨が降ろうと、槍が降ろうと、どんと来いっちゅうとこやな」,"""Ва‐ха‐ха. Из воды или из копий, но он внушителен.""","""Wahaha. Seja chuva ou lanças, pode vir qualquer coisa.""","""Wahaha. Whether it's rain or spears, bring it on, I say.""",「哇哈哈。下雨也好，下長槍也好，通通放馬過來好了吶。」,「哇哈哈。下雨也好，下长枪也好，通通放马过来好了呐。」,"""Wahaha. Whether it's rain or spears, bring it on, I say.""","""Wahaha. Whether it's rain or spears, bring it on, I say.""","""Wahaha. Whether it's rain or spears, bring it on, I say."""
Ushiromiya Hideyoshi,""".........Is it already six o'clock? Fuaaaaaa... Isn't this enough? Can't do much else until the mystery 19th person, {f:5:Beatrice}, takes action.""","......Is it already 6:00? Fuaaaaaa... Isn't this enough? After this, we've got no measures we can take 'til the mystery 19th person, {f:5:Beatrice}, makes her move."" ",".........Is it already 6:00? Fuaaaaaa... Isn't this enough? After this, we've got no measures we can take until the mystery 19th person, Beatrice, takes action.""",………もう６時かいな。ふぁぁあぁ…。これで充分とちゃうか。あとは、謎の１９人目、ベアトリーチェが動いて来んことには、手を打ちようもないわ。」,「………もう６時かいな。ふぁぁあぁ…。これで充分とちゃうか。あとは、謎の１９人目、ベアトリーチェが動いて来んことには、手の打ちようもないわ」,""".........Уже шесть? Фуа‐а‐а‐а‐а... Не хватит ли с нас пока? В конце концов, мы не можем принять какие‐либо меры, пока таинственный 19‐й человек — {f:5:Беатриче}, не начнёт действовать.""",""".........Já são seis horas? Fuaaaaaa... Ainda não é o bastante? Não há muito o que se fazer até que a misteriosa 19ª pessoa, {f:5:Beatrice}, comece a agir.""",""".........Is it already six o'clock? Fuaaaaaa... Isn't this enough? Can't do much else until the mystery 19th person, {f:5:Beatrice}, takes action.""",「………都六點了吶。呼啊啊啊啊…。這就足夠了吧。接下來，在謎一樣的第十九人，貝阿朵莉切有動向之前，俺們是無計可施的吶。」,「………都六点了呐。呼啊啊啊啊…。这就足够了吧。接下来，在谜一样的第十九人，贝阿朵莉切有动向之前，俺们是无计可施的呐。」,""".........Is it already six o'clock? Fuaaaaaa... Isn't this enough? Can't do much else until the mystery 19th person, {f:5:Beatrice}, takes action.""",""".........Is it already six o'clock? Fuaaaaaa... Isn't this enough? Can't do much else until the mystery 19th person, {f:5:Beatrice}, takes action.""",""".........Is it already six o'clock? Fuaaaaaa... Isn't this enough? Can't do much else until the mystery 19th person, {f:5:Beatrice}, takes action."""
Ushiromiya Krauss,"""That is correct. ......However, I believe we have thought of almost every trick they could use against us.""","""True. ...However, I believe we have anticipated every trick they might use against us."" ","""That is correct. ......However, I believe we have thought of every trick they could use against us.""",「そういうことだ。……だが、向こうが打って来るだろうほとんどの手は想定できたはずだ。」,「そういうことだ。……だが、向こうが打って来るだろうほとんどの手は想定できたはずだ」,"""Это так. ......Однако я полагаю, что мы предусмотрели все уловки, которыми она могла бы воспользоваться против нас.""","""Está correto. ......Contudo, eu acredito que nós pensamos em quase todos os truques que ela poderia usar contra nós.""","""That is correct. ......However, I believe we have thought of almost every trick they could use against us.""",「正是如此。……但是，我們理應已預想到了對方會用的大部分招數。」,「正是如此。……但是，我们理应已预想到了对方会用的大部分招数。」,"""That is correct. ......However, I believe we have thought of almost every trick they could use against us.""","""That is correct. ......However, I believe we have thought of almost every trick they could use against us.""","""That is correct. ......However, I believe we have thought of almost every trick they could use against us."""
Ushiromiya Eva,"""Yes. As long as a traitor doesn't appear among us siblings, we should be able to deal with most situations.""","""That's right. As long as a traitor doesn't appear among the siblings, we should be able to deal with most situations."" ","""That's right. As long as a traitor doesn't appear amid the siblings, we should be able to deal with most situations.""",「そうね。兄弟の中に裏切り者さえ現れなければ、私たちは大抵の事態に対応できるはずよ。」,「そうね。兄弟の中に裏切り者さえ現れなければ、私たちは大抵の事態に対応できるはずよ」,"""Согласна. Пока в наших рядах не заведётся предатель, мы сможем справиться с большинством ситуаций.""","""Sim. Desde que um traidor não aparece em meio aos irmãos, nós devemos ser capazes de lidar com a maior parte das situações.""","""Yes. As long as a traitor doesn't appear among us siblings, we should be able to deal with most situations.""",「是呢。只要兄妹中不出現叛徒，我們就能應對絕大部分的事態喲。」,「是呢。只要兄妹中不出现叛徒，我们就能应对绝大部分的事态哟。」,"""Yes. As long as a traitor doesn't appear among us siblings, we should be able to deal with most situations.""","""Yes. As long as a traitor doesn't appear among us siblings, we should be able to deal with most situations.""","""Yes. As long as a traitor doesn't appear among us siblings, we should be able to deal with most situations."""
Ushiromiya Rosa,"""......Haven't we talked about this enough? We ended up staying up all night. ...I'm tired.""","""...Haven't we talked about this enough? We've stayed up all night. ...I'm tired."" ","""......Haven't we talked about this enough? We've stayed up all night. ...I'm tired.""",「……もうこの話は終わりにしましょ？　結局、徹夜しちゃったわね。…眠いわ。」,「……もうこの話は終わりにしましょ？　結局、徹夜しちゃったわね。…眠いわ」,"""......Разве мы не достаточно поговорили на эту тему? Всю ночь просидели. ...Я устала.""","""......Já não conversamos o suficiente sobre isso? Nós passamos a noite toda acordados. ...Eu estou cansada.""","""......Haven't we talked about this enough? We ended up staying up all night. ...I'm tired.""",「……這話題就到此為止吧？結果，搞了一整晚呢。…好困。」,「……这话题就到此为止吧？结果，搞了一整晚呢。…好困。」,"""......Haven't we talked about this enough? We ended up staying up all night. ...I'm tired.""","""......Haven't we talked about this enough? We ended up staying up all night. ...I'm tired.""","""......Haven't we talked about this enough? We ended up staying up all night. ...I'm tired."""
Ushiromiya Natsuhi,"""You're right. How about taking a little rest after eating breakfast?""","""You're right. How about taking a little rest after eating breakfast?"" ","""You're right. How about taking a little rest after eating breakfast?""",「そうですね。朝食を取ったら、一度お休みになられてはいかがですか？」,「そうですね。朝食を取ったら、一度お休みになられてはいかがですか？」,"""Ты права. Что скажете насчёт отдыха за завтраком?""","""Você está certa. Que tal descansarmos um pouco depois de tomarmos o café da manhã?""","""You're right. How about taking a little rest after eating breakfast?""",「是呢。吃完早餐後，就去睡一會兒如何？」,「是呢。吃完早餐后，就去睡一会儿如何？」,"""You're right. How about taking a little rest after eating breakfast?""","""You're right. How about taking a little rest after eating breakfast?""","""You're right. How about taking a little rest after eating breakfast?"""
