Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Ushiromiya Hideyoshi,"""Wahahahaha, you all right, Battler-kun...?! We're already on the ground, and you can't fall any further than that, wahahahaha...!"" ","""Wahahahaha, you alright, Battler‐kun...?! We're already on the ground, y'know, you can't fall any further than that, wahahahaha...!""","""Wahahahaha, you all right, Battler-kun...?! We're already on the ground, and you can't fall any further than that, wahahahaha...!"" ",「わっはっはっは、大丈夫か、戦人くん…！　もう地上やで、これ以上は落ちへんでぇ、わっはっはっは…！」,「わっはっはっは、大丈夫か、戦人くん…！　もう地上やで、これ以上は落ちへんでぇ、わっはっはっは…！」,"""Ва‐ха‐ха‐ха‐ха‐ха, ты в порядке, Баттлер‐кун?! Мы уже на твёрдой земле, так что дальше падать уже некуда, ва‐ха‐ха‐ха‐ха‐ха!..""","""Wahahahaha, você está bem, Battler‐kun...?! Nós já estamos no chão, sabia? Não vai conseguir cair mais do que isso, wahahahaha...!""","""Wahahahaha, you alright, Battler‐kun...?! We're already on the ground, y'know, you can't fall any further than that, wahahahaha...!""",「哇哈哈哈，沒事吧，戰人君……？！已經到地上了吶，不會掉下去了吶，哇哈哈哈…！」,「哇哈哈哈，没事吧，战人君……？！已经到地上了呐，不会掉下去了呐，哇哈哈哈…！」,"""Wahahahaha, you alright, Battler‐kun...?! We're already on the ground, y'know, you can't fall any further than that, wahahahaha...!""","""Wahahahaha, tutto a posto, Battler-kun...?! Abbiamo già toccato terra, più in basso di così non puoi cadere, wahahahaha...!""","""Wahahahaha, you alright, Battler‐kun...?! We're already on the ground, y'know, you can't fall any further than that, wahahahaha...!""","""Wahahahaha, you alright, Battler‐kun...?! We're already on the ground, y'know, you can't fall any further than that, wahahahaha...!"""
Ushiromiya Maria,"""Uu-, hahahahahaha! Faaall, faaall, hahahahaha!"" ","""Uu, *giggle*giggle*! Gonna faaall, gonna faaall, *giggle*giggle*!""","""Uu-, hahahahahaha! Faaall, faaall, hahahahaha!"" ",「うーっきゃっきゃっきゃ！落ちるー落ちるー、きゃっきゃっきゃ！」,「うーっきゃっきゃっきゃ！　落ちるー落ちるー、きゃっきゃっきゃ！」,"""У‐у, ха‐ха‐ха‐ха‐ха‐ха! Па‐а‐адаем, па‐а‐адаем, ха‐ха‐ха‐ха‐ха!""","""Uu, *risos*risos*! Vou caiiir, vou caiiir, *risos*risos*!""","""Uu, *giggle*giggle*! Gonna faaall, gonna faaall, *giggle*giggle*!""",「嗚——哈哈哈！要掉下去啦——要掉下去啦——，哈哈哈！」,「呜——哈哈哈！要掉下去啦——要掉下去啦——，哈哈哈！」,"""Uu, *giggle*giggle*! Gonna faaall, gonna faaall, *giggle*giggle*!""","""Uu- hahahahahaha! Caaado, caaaado, hahahahaha!""","""Uu, *giggle*giggle*! Gonna faaall, gonna faaall, *giggle*giggle*!""","""Uu, *giggle*giggle*! Gonna faaall, gonna faaall, *giggle*giggle*!"""
,"In the lobby of the Niijima airport, Maria dashed around in excitement. Battler's uproar on the plane must have been hilarious. ","In the lobby of the Niijima airport, Maria dashed around in excitement.{n}Battler's uproar in the plane must have been very funny to her.","In the lobby of the Niijima airport, Maria dashed around in excitement. Battler's uproar on the plane must have been hilarious. ",新島空港のロビーを、興奮した真里亞が駆け回る。機内での戦人の騒ぎがよっぽど面白かったのだろう。,新島空港のロビーを、興奮した真里亞が駆け回る。{n}機内での戦人の騒ぎがよっぽど面白かったのだろう。,"Мария возбуждённо носилась по фойе аэропорта Нииджимы.{n}Поднятый Баттлером в самолёте гам, должно быть, был крайне занимателен.",Maria corria empolgada de um lado ao outro pelo saguão do aeroporto de Niijima.{n}Ouvir Battler gritando dentro do avião deve ter sido muito divertido.,"In the lobby of the Niijima airport, Maria dashed around in excitement.{n}Battler's uproar in the plane must have been very funny to her.",頗為興奮的真里亞在新島機場的大廳中跑來跑去。{n}她是對戰人在飛機上的大吵大鬧感到很好玩吧。,颇为兴奋的真里亚在新岛机场的大厅中跑来跑去。{n}她是对战人在飞机上的大吵大闹感到很好玩吧。,"In the lobby of the Niijima airport, Maria dashed around in excitement.{n}Battler's uproar in the plane must have been very funny to her.","All'ingresso dell'aeroporto di Niijima, Maria correva su e giù piena d'energia. {n}Il fracasso che Battler aveva fatto sull'aereo doveva essere stato parecchio interessante.","In the lobby of the Niijima airport, Maria dashed around in excitement.{n}Battler's uproar in the plane must have been very funny to her.","In the lobby of the Niijima airport, Maria dashed around in excitement.{n}Battler's uproar in the plane must have been very funny to her."
Ushiromiya Rosa,"""Hey, Maria! Cut that out! ...I'm sorry, Battler-kun. Please don't take it badly."" ","""Hey, Maria! That's enough! ...Sorry, Battler‐kun. Don't take it badly.""","""Hey, Maria! Cut that out! ...I'm sorry, Battler-kun. Please don't take it badly."" ",「こら、真里亞！　いい加減にしなさい！…ごめんね、戦人くん。気を悪くしないでね。」,「こら、真里亞！　いい加減にしなさい！　…ごめんね、戦人くん。気を悪くしないでね」,"""Эй, Мария! Завязывай с этим! ...Прости, Баттлер‐кун. Не принимай это близко к сердцу.""","""Ei, Maria! Pare com isso! ...Desculpa, Battler‐kun. Não leve a mal.""","""Hey, Maria! That's enough! ...Sorry, Battler‐kun. Don't take it badly.""",「不乖，真里亞！不要鬧了！…對不起，戰人君。請別見怪。」,「不乖，真里亚！不要闹了！…对不起，战人君。请别见怪。」,"""Hey, Maria! That's enough! ...Sorry, Battler‐kun. Don't take it badly.""","""Ehi, Maria! Ora basta! ... Scusa, Battler-kun. Non prenderla a male.""","""Hey, Maria! That's enough! ...Sorry, Battler‐kun. Don't take it badly.""","""Hey, Maria! That's enough! ...Sorry, Battler‐kun. Don't take it badly."""
Ushiromiya Rudolf,"""What a pathetic guy you are. Even with that huge body, you still can't handle vehicles?"" ","""Man, you're {i:pathetic}. A grown‐ass man like you still can't handle vehicles?""","""What a pathetic guy you are. Even with that huge body, you still can't handle vehicles?"" ",「なっさけねぇ男だなぁ、お前はぁ。でけぇ図体して、相変わらず乗り物はダメなのかよ？」,「なっさけねぇ男だなぁ、お前はぁ。でけぇ図体して、相変わらず乗り物はダメなのかよ？」,"""Что за {i:жа‐алкий} ты парень. Даже с таким мо‐ощным телом ты не можешь выдержать поездку в транспорте?""","""Você é mesmo um homem {i:patético}. Um cara crescido como você não consegue lidar com veículos?""","""Man, you're {i:pathetic}. A grown‐ass man like you still can't handle vehicles?""",「有夠沒出息的啊，你這傢伙。長那麼大個，卻還怕坐交通工具啊？」,「有够没出息的啊，你这家伙。长那么大个，却还怕坐交通工具啊？」,"""Man, you're {i:pathetic}. A grown‐ass man like you still can't handle vehicles?""","""Certo che razza di uomo patetico che sei. Così grande e grosso, e ancora hai paura dei mezzi di trasporto?""","""Man, you're {i:pathetic}. A grown‐ass man like you still can't handle vehicles?""","""Man, you're {i:pathetic}. A grown‐ass man like you still can't handle vehicles?"""
Ushiromiya Battler,"""Ah, shut up... All humans have one or two things they can't handle..."" ","""Urgh, shut up... All humans have one or two things they can't handle...""","""Ah, shut up... All humans have one or two things they can't handle..."" ",「うるへー…。人間誰しも苦手なモンの一つや二つ、あるもんだぜ…。」,「うるへー…。人間誰しも苦手なモンの一つや二つ、あるもんだぜ…」,"""Ай, ну тебя... У каждого человека есть свои слабости...""","""Urgh, cala a boca... Todo mundo tem uma ou duas coisas na qual não se dão bem...""","""Urgh, shut up... All humans have one or two things they can't handle...""",「少煩——…。人麼，不管誰都會有一兩樣害怕的事物的…」,「少烦——…。人么，不管谁都会有一两样害怕的事物的…」,"""Urgh, shut up... All humans have one or two things they can't handle...""","""Ah, sta' zitto... tutti gli esseri umani hanno una cosa o due che non sanno gestire razionalmente...""","""Urgh, shut up... All humans have one or two things they can't handle...""","""Urgh, shut up... All humans have one or two things they can't handle..."""
Ushiromiya Eva,"""Battler-kun, why don't you come with your aunt on an overseas trip sometime soon? How about Europe? I'm sure you could manage a half-day trip on a plane. *giggle*giggle*giggle*!"" ","""Battler‐kun, why don't you come with your aunt on an overseas trip sometime soon? What about Europe? I'm sure you'd conquer your fears after the half‐day plane trip. *giggle*giggle*giggle*!""","""Battler-kun, why don't you come with your aunt on an overseas trip sometime soon? How about Europe? I'm sure you could manage a half-day trip on a plane. *giggle*giggle*giggle*!"" ",「戦人くん、今度伯母さんと一緒に海外旅行に行きましょうよ。ヨーロッパとか行かない？　半日も飛行機に乗ってればきっと克服できるわよぅ。くすくすくす！」,「戦人くん、今度伯母さんと一緒に海外旅行に行きましょうよ。ヨーロッパとか行かない？　半日も飛行機に乗ってればきっと克服できるわよぅ。くすくすくす！」,"""Баттлер‐кун, почему бы тебе в ближайшее время не поехать со своей тётей куда‐нибудь за границу? Как насчёт Европы? Я уверена, что ты выдержишь полдня полёта на самолёте. *хихикает*!""","""Battler‐kun, por que você não acompanha a sua tia em uma viagem ao exterior algum dia? Que tal a Europa? Tenho certeza que vai superar seu medo depois de passar metade de um dia dentro de um avião. *risos*risos*risos*!""","""Battler‐kun, why don't you come with your aunt on an overseas trip sometime soon? What about Europe? I'm sure you'd conquer your fears after the half‐day plane trip. *giggle*giggle*giggle*!""",「戰人君，改天與阿姨一起去國外旅遊吧。去歐洲怎麼樣？坐個半天飛機，就一定能克服喲。呵呵呵！」,「战人君，改天与阿姨一起去国外旅游吧。去欧洲怎么样？坐个半天飞机，就一定能克服哟。呵呵呵！」,"""Battler‐kun, why don't you come with your aunt on an overseas trip sometime soon? What about Europe? I'm sure you'd conquer your fears after the half‐day plane trip. *giggle*giggle*giggle*!""","""Battler-kun, perché una volta di queste non vieni a fare un viaggio all'estero con la zia? Che ne dici dell'Europa? Sono certa che sapresti affrontare una mezza giornata di viaggio su un aereo. *giggle*giggle*giggle*!""","""Battler‐kun, why don't you come with your aunt on an overseas trip sometime soon? What about Europe? I'm sure you'd conquer your fears after the half‐day plane trip. *giggle*giggle*giggle*!""","""Battler‐kun, why don't you come with your aunt on an overseas trip sometime soon? What about Europe? I'm sure you'd conquer your fears after the half‐day plane trip. *giggle*giggle*giggle*!"""
Ushiromiya George,"""...Stop it, Mother. Battler-kun's dislike for vehicles is probably genetic."" ","""...Stop it, Mother. I'm sure Battler‐kun's dislike for vehicles is inherited.""","""...Stop it, Mother. Battler-kun's dislike for vehicles is probably genetic."" ",「…お母さんもよしなよ。戦人くんの乗り物嫌いはきっと遺伝だよ。」,「…母さんもよしなよ。戦人くんの乗り物嫌いはきっと遺伝だよ」,"""...Хватит, мама. Я уверен, что неприязнь Баттлера к самолётам передалась по наследству.""","""...Mãe, pare com isso. Tenho certeza que o Battler‐kun não se dar bem com veículos é algo hereditário.""","""...Stop it, Mother. I'm sure Battler‐kun's dislike for vehicles is inherited.""",「…媽媽也別說了。戰人君害怕坐交通工具，一定是因為遺傳。」,「…妈妈也别说了。战人君害怕坐交通工具，一定是因为遗传。」,"""...Stop it, Mother. I'm sure Battler‐kun's dislike for vehicles is inherited.""","""... Smettila, Mamma. Sono certo che Battler-kun abbia ereditato l'antipatia che prova verso i mezzi di trasporto.""","""...Stop it, Mother. I'm sure Battler‐kun's dislike for vehicles is inherited.""","""...Stop it, Mother. I'm sure Battler‐kun's dislike for vehicles is inherited."""
Ushiromiya Kyrie,"""Oh, you mean Asumu-san?"" ","""Oh, from Asumu‐san?""","""Oh, you mean Asumu-san?"" ",「あぁ、明日夢さんの？」,「あぁ、明日夢さんの？」,"""О, от Асуму‐сан?""","""Oh, da Asumu‐san?""","""Oh, from Asumu‐san?""",「啊——，明日夢的？」,「啊——，明日梦的？」,"""Oh, from Asumu‐san?""","""Oh, da Asumu-san?""","""Oh, from Asumu‐san?""","""Oh, from Asumu‐san?"""
Ushiromiya Rudolf,"""...For some reason, she just couldn't handle vehicles. Pretty much anything other than a bicycle or a car. Whenever we tried to go far away, that woman was so annoying with the 'not this, not that, I'm scared, I'm scared, fall, fall, gyaah, gyaah'."" ","""......For some reason, she just couldn't handle vehicles. Pretty much anything other than a bicycle or a car. Whenever we tried to take a trip somewhere far away, that woman was so annoying with the ""no not this, no not that, I'm scared I'm scared, I'm going to fall I'm going to fall, scream scream"".""","""...For some reason, she just couldn't handle vehicles. Pretty much anything other than a bicycle or a car. Whenever we tried to go far away, that woman was so annoying with the 'not this, not that, I'm scared, I'm scared, fall, fall, gyaah, gyaah'."" ",「……あいつ、どーいうわけか乗り物系がダメでなぁ。自転車と車以外はほぼダメだったぜ。どこか遠出しようとすると、アレはダメだコレはダメだ、怖い怖い落ちる落ちるぎゃーぎゃーとうるせぇ女だったさ。」,「……あいつ、どーいうわけか乗り物系がダメでなぁ。自転車と車以外はほぼダメだったぜ。どこか遠出しようとすると、アレはダメだコレはダメだ、怖い怖い落ちる落ちるぎゃーぎゃーとうるせぇ女だったさ」,"""......По каким‐то причинам она не выносила транспорт. Кроме, конечно, велосипедов и машин. Всякий раз, когда мы пытались съездить куда‐нибудь далеко, эта женщина так раздражала со своим 'нет, только не это, нет, только не это, мне страшно, мне страшно, падаем, падаем, гья‐а‐а, гья‐а‐а'.""","""......Por algum motivo, ela não conseguia se dar bem com veículos. Praticamente qualquer coisa que não fosse uma bicicleta ou um carro. Sempre que tentávamos fazer uma viagem mais distante, ela era sempre chata e ficava dizendo ""não, não com isso, não com isso, estou com medo, estou com medo"", e ficava gritando ""eu vou cair, eu vou cair"".""","""......For some reason, she just couldn't handle vehicles. Pretty much anything other than a bicycle or a car. Whenever we tried to take a trip somewhere far away, that woman was so annoying with the ""no not this, no not that, I'm scared I'm scared, I'm going to fall I'm going to fall, scream scream"".""",「……那傢伙，不知怎地就是很怕坐交通工具。除了自行車與汽車以外，幾乎全都不行。每當要遠行時，就這也不行那也不行，好怕好怕要掉下去要掉下去哇～哇～地吵死個人。」,「……那家伙，不知怎地就是很怕坐交通工具。除了自行车与汽车以外，几乎全都不行。每当要远行时，就这也不行那也不行，好怕好怕要掉下去要掉下去哇～哇～地吵死个人。」,"""......For some reason, she just couldn't handle vehicles. Pretty much anything other than a bicycle or a car. Whenever we tried to take a trip somewhere far away, that woman was so annoying with the ""no not this, no not that, I'm scared I'm scared, I'm going to fall I'm going to fall, scream scream"".""","""... Chissà perché, proprio non riusciva a sopportare vetture e quant'altro. L'unica eccezione erano biciclette e auto. Ogni volta che provavamo ad andare lontano, quella donna si faceva proprio insopportabile e partiva a dire ‘no non questo, no nemmeno quello, ho paura ho paura, cado cado, gyaah gyaah’.""","""......For some reason, she just couldn't handle vehicles. Pretty much anything other than a bicycle or a car. Whenever we tried to take a trip somewhere far away, that woman was so annoying with the ""no not this, no not that, I'm scared I'm scared, I'm going to fall I'm going to fall, scream scream"".""","""......For some reason, she just couldn't handle vehicles. Pretty much anything other than a bicycle or a car. Whenever we tried to take a trip somewhere far away, that woman was so annoying with the ""no not this, no not that, I'm scared I'm scared, I'm going to fall I'm going to fall, scream scream""."""
