Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,"I had been trying to take a nap, ......but the boat really was shaking bad.","I had planned on taking a nap, ...but the boat really was shaking bad. ","I had planned on taking a nap, ...but the boat really was shaking bad. ",転寝しているつもりだったが、……やはり船の揺れが酷い。,転寝しているつもりだったが、……やはり船の揺れが酷い。,Я хотела вздремнуть... но катер действительно сильно трясло.,"Eu tentei tirar um cochilo, ......mas o barco estava balançando muito.","I had been trying to take a nap, ......but the boat really was shaking bad.",本想打個盹兒的，……但果然船的顛簸並不好受。,本想打个盹儿的，……但果然船的颠簸并不好受。,"I had been trying to take a nap, ......but the boat really was shaking bad.","I had been trying to take a nap, ......but the boat really was shaking bad.","I had been trying to take a nap, ......but the boat really was shaking bad."
,I gave up on sleeping and went up onto the deck.{n}I was welcomed by the shining sun and a strong sea breeze...,"I gave up on sleeping and went up onto the deck. There, I was welcomed by the shining sun and a strong sea breeze... ","I gave up on sleeping and went up onto the deck. There, I was welcomed by the shining sun and a strong sea breeze... ",私は寝ることを諦め、上の甲板に上がった。眩しい太陽と、強い潮風が私を迎える…。,私は寝ることを諦め、上の甲板に上がった。{n}眩しい太陽と、強い潮風が私を迎える…。,Я отказалась от сна и поднялась на палубу.{n}Меня встретили яркое солнце и сильный морской бриз...,Por isso desisti de dormir e subi para o deck.{n}Fui recebida pelos raios do sol e uma forte brisa marítima...,I gave up on sleeping and went up onto the deck.{n}I was welcomed by the shining sun and a strong sea breeze...,我放棄了睡會兒的打算，去了上面的甲板。{n}眩目的太陽，強勁的海風迎接了我…。,我放弃了睡会儿的打算，去了上面的甲板。{n}眩目的太阳，强劲的海风迎接了我…。,I gave up on sleeping and went up onto the deck.{n}I was welcomed by the shining sun and a strong sea breeze...,I gave up on sleeping and went up onto the deck.{n}I was welcomed by the shining sun and a strong sea breeze...,I gave up on sleeping and went up onto the deck.{n}I was welcomed by the shining sun and a strong sea breeze...
,"Up on the deck, Amakusa was doing some stretches.",Amakusa had been doing some stretches on the deck. ,Amakusa had been doing some stretches on the deck. ,甲板では、天草が柔軟運動をしていた。,甲板では、天草が柔軟運動をしていた。,Амакуса занимался растяжкой на палубе.,"No deck, o Amakusa estava fazendo alguns alongamentos.","Up on the deck, Amakusa was doing some stretches.",在甲板上，天草正在做柔軟運動。,在甲板上，天草正在做柔软运动。,"Up on the deck, Amakusa was doing some stretches.","Up on the deck, Amakusa was doing some stretches.","Up on the deck, Amakusa was doing some stretches."
,......He probably has a lot of time on his hands too.{n}It'll still take a while longer to reach Niijima.,"...He must have a lot of time on his hands too. After all, it'll be several more hours before we reach Niijima. ","...He must have a lot of time on his hands too. After all, it'll be several more hours before we reach Niijima. ",……彼も多分、暇なのだろう。新島まではまだ数時間掛かるのだから。,……彼も多分、暇なのだろう。{n}新島まではまだ数時間掛かるのだから。,"......Наверное, у него тоже было много свободного времени.{n}Чтобы добраться до Нииджимы требовалось ещё какое‐то время.",......Ele provavelmente está com muito tempo livre agora.{n}Ainda vai levar algum tempo até chegarmos em Niijima.,......He probably has a lot of time on his hands too.{n}It'll still take a while longer to reach Niijima.,……他大概也很閑吧。{n}畢竟，距到達新島還要花上幾小時。,……他大概也很闲吧。{n}毕竟，距到达新岛还要花上几小时。,......He probably has a lot of time on his hands too.{n}It'll still take a while longer to reach Niijima.,......He probably has a lot of time on his hands too.{n}It'll still take a while longer to reach Niijima.,......He probably has a lot of time on his hands too.{n}It'll still take a while longer to reach Niijima.
,"It would only have taken on the order of half an hour by airplane, but there was the chance that the Sumaderas' net extended over Niijima airport.","It would only have taken a couple dozen minutes by airplane, but there was the chance that the Niijima airport was under the Sumadera family's web. ","It would only have taken a couple dozen minutes by airplane, but there was the chance that the Niijima airport was under the Sumadera family's web. ",飛行機で行けばものの数十分でつけるが、須磨寺家が新島空港に網を張っている可能性がある。,飛行機で行けばものの数十分でつけるが、須磨寺家が新島空港に網を張っている可能性がある。,"На самолёте это заняло бы несколько десятков минут, но существовала вероятность, что аэропорт Нииджимы находится под наблюдением семьи Сумадера.","Poderia levar uma hora e meia de avião, mas havia a probabilidade de que a rede de contatos dos Sumadera se estendesse até o aeroporto.","It would only have taken on the order of half an hour by airplane, but there was the chance that the Sumaderas' net extended over Niijima airport.",雖然坐飛機只需幾十分鐘就能到，不過，須磨寺家有可能已在新島機場撒下了網。,虽然坐飞机只需几十分钟就能到，不过，须磨寺家有可能已在新岛机场撒下了网。,"It would only have taken on the order of half an hour by airplane, but there was the chance that the Sumaderas' net extended over Niijima airport.","It would only have taken on the order of half an hour by airplane, but there was the chance that the Sumaderas' net extended over Niijima airport.","It would only have taken on the order of half an hour by airplane, but there was the chance that the Sumaderas' net extended over Niijima airport."
,"The harbor would probably be the same. For that reason, I had obtained a boat that would let me land while avoiding the harbor, with no questions asked.","The harbor would probably be the same. For that reason, I had obtained a boat that would let me land while avoiding the harbor, no questions asked. ","The harbor would probably be the same. For that reason, I had obtained a boat that would let me land while avoiding the harbor, no questions asked. ",多分、港も同じだろう。その為、事情を一切聞かないで、港を避けて上陸させてもらえるよう、船を手配した。,多分、港も同じだろう。その為、事情を一切聞かないで、港を避けて上陸させてもらえるよう、船を手配した。,"С портом, вероятно, то же самое. По этой причине я арендовала катер, который позволит мне без вопросов достичь земли, избегая при этом порта.","O mesmo poderia acontecer com o porto. Por esse motivo, eu consegui um barco que me deixaria embarcar evitando o porto, sem questionar nada.","The harbor would probably be the same. For that reason, I had obtained a boat that would let me land while avoiding the harbor, with no questions asked.",多半港口也一樣吧。因此，我們決定了，去租條能一概不問內情，避開港口登陸的船。,多半港口也一样吧。因此，我们决定了，去租条能一概不问内情，避开港口登陆的船。,"The harbor would probably be the same. For that reason, I had obtained a boat that would let me land while avoiding the harbor, with no questions asked.","The harbor would probably be the same. For that reason, I had obtained a boat that would let me land while avoiding the harbor, with no questions asked.","The harbor would probably be the same. For that reason, I had obtained a boat that would let me land while avoiding the harbor, with no questions asked."
,"I'd bumped into a cheery boat captain, treated him with generosity, and he had decided to help me out, amused......","I'd bumped into a cheery boat captain, treated him generously, and he had decided to help me out, amused... ","I'd bumped into a cheery boat captain, treated him generously, and he had decided to help me out, amused... ",たまたま陽気な船長が見つかり、気前良く弾んだら、面白がって協力してもらえることになったのだ……。,たまたま陽気な船長が見つかり、気前良く弾んだら、面白がって協力してもらえることになったのだ……。,"Я наткнулась на весёлого капитана катера, щедро его задобрила, и он, приятно удивлённый, решил мне помочь.","Eu acabei me encontrando por acaso com um barco na qual seu capitão era bem energético, o tratei com generosidade e ele decidiu me ajudar, com muita animação......","I'd bumped into a cheery boat captain, treated him with generosity, and he had decided to help me out, amused......",正巧找到了個爽快的船長，一大方地開了個高價，他就頗感興趣地答應了幫忙……。,正巧找到了个爽快的船长，一大方地开了个高价，他就颇感兴趣地答应了帮忙……。,"I'd bumped into a cheery boat captain, treated him with generosity, and he had decided to help me out, amused......","I'd bumped into a cheery boat captain, treated him with generosity, and he had decided to help me out, amused......","I'd bumped into a cheery boat captain, treated him with generosity, and he had decided to help me out, amused......"
Ushiromiya Ange,"""Still going to be a while?""","""Still gonna be a while?"" ","""Still gonna be a while?"" ",「まだだいぶ掛かるの？」,「まだだいぶ掛かるの？」,"""Всё ещё будем плыть?""","""Ainda vai demorar?""","""Still going to be a while?""",「還得開不少時間麼？」,「还得开不少时间么？」,"""Still going to be a while?""","""Still going to be a while?""","""Still going to be a while?"""
Amakusa Juuza,"""I just asked the captain, and it sounds like it'll take a full two hours more. Well, beggars can't be choosers.""","""I just asked the captain, and it sounds like it'll take a full two hours more. Well, beggars can't be choosers."" ","""I just asked the captain, and it sounds like it'll take a full two hours more. Well, beggars can't be choosers."" ",「さっき船長に聞いたら、あと２時間はたっぷり掛かるそうです。まぁ、贅沢は言えねぇですな。」,「さっき船長に聞いたら、あと２時間はたっぷり掛かるそうです。まぁ、贅沢は言えねぇですな」,"""Я недавно спрашивал капитана. Похоже, осталось не меньше двух часов. Ну, это нельзя назвать роскошью.""","""Eu acabei de perguntar ao capitão, e parece que ainda vai levar mais duas horas. Bem, não estamos em posição de pedir por nada melhor.""","""I just asked the captain, and it sounds like it'll take a full two hours more. Well, beggars can't be choosers.""",「剛才問了下船長，好像還得開個整整兩小時。不過，咱們也沒法要求太高。」,「刚才问了下船长，好像还得开个整整两小时。不过，咱们也没法要求太高。」,"""I just asked the captain, and it sounds like it'll take a full two hours more. Well, beggars can't be choosers.""","""I just asked the captain, and it sounds like it'll take a full two hours more. Well, beggars can't be choosers.""","""I just asked the captain, and it sounds like it'll take a full two hours more. Well, beggars can't be choosers."""
Ushiromiya Ange,""".........The weather sure is nice. Feels like I'll burn.""","""......The weather sure is nice. Feels like I'll burn."" ","""......The weather sure is nice. Feels like I'll burn."" ",「………いいお天気ね。焼けちゃいそう。」,「………いいお天気ね。焼けちゃいそう」,""".........Погода, конечно, отличная. Такое чувство, что я горю.""",""".........O tempo está realmente bom. Sinto que vou acabar me bronzeando.""",""".........The weather sure is nice. Feels like I'll burn.""",「………是個好天氣呢。感覺人都會被晒黑。」,「………是个好天气呢。感觉人都会被晒黑。」,""".........The weather sure is nice. Feels like I'll burn.""",""".........The weather sure is nice. Feels like I'll burn.""",""".........The weather sure is nice. Feels like I'll burn."""
