Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Ushiromiya Rosa,"""......Ah, ......uu......"" ","""..................Ah, ...............uug.........""","""......Ah, ......uu......"" ",「………………あ、……………ぅ………、」,「………………あ、……………ぅ………、」,"""............Ах... у‐у...""","""..................Ah, ...............uug.........""","""..................Ah, ...............uug.........""",「………………啊、……………嗚………、」,「………………啊、……………呜………、」,"""..................Ah, ...............uug.........""","""... Ah... uu...""","""..................Ah, ...............uug.........""","""..................Ah, ...............uug........."""
,Silent. Black. Cold. Painful. ,Silent. Black. Cold. Painful.,Silent. Black. Cold. Painful. ,静寂。真っ暗。冷たい。痛い。,静寂。真っ暗。冷たい。痛い。,В тишине. Черноте. Холоде. С болью.,Silêncio. Escuridão. Frio. Dor.,Silent. Black. Cold. Painful.,寂靜。漆黑。又冷。又痛。,寂静。漆黑。又冷。又痛。,Silent. Black. Cold. Painful.,Silenzioso. Nero. Freddo. Doloroso.,Silent. Black. Cold. Painful.,Silent. Black. Cold. Painful.
,Rosa regained consciousness bit by bit... ,Rosa regained consciousness bit by bit......,Rosa regained consciousness bit by bit... ,楼座は少しずつ意識を取り戻す……。,楼座は少しずつ意識を取り戻す……。,Роза понемногу начала приходить в себя...,Rosa recuperou a consciência pouco a pouco......,Rosa regained consciousness bit by bit......,樓座一點點地取回了意識……。,楼座一点点地取回了意识……。,Rosa regained consciousness bit by bit......,Rosa poco a poco riprese conoscenza...,Rosa regained consciousness bit by bit......,Rosa regained consciousness bit by bit......
,And the first thing she thought...was that it would have been better if she hadn't. ,And the first thing she thought...was that it would have been better if she hadn't.,And the first thing she thought...was that it would have been better if she hadn't. ,そして最初に考えたことは、意識を取り戻さなければ良かった、だった。,そして最初に考えたことは、意識を取り戻さなければ良かった、だった。,И первой её мыслью было... Что лучше бы сознание к ней не возвращалось.,E a primeira coisa que ela pensou...foi aquilo na qual seria melhor não ter pensado.,And the first thing she thought...was that it would have been better if she hadn't.,然後，她第一個想到的是，要是沒取回意識就好了。,然后，她第一个想到的是，要是没取回意识就好了。,And the first thing she thought...was that it would have been better if she hadn't.,E la prima cosa alla quale pensò... era che sarebbe stato meglio se non si fosse svegliata affatto.,And the first thing she thought...was that it would have been better if she hadn't.,And the first thing she thought...was that it would have been better if she hadn't.
,"After all, with her body this cold and hurting, ...the pain grew the more her consciousness returned. ","After all, her body was so cold and hurt so much, ......and it became worse the more her consciousness returned.","After all, with her body this cold and hurting, ...the pain grew the more her consciousness returned. ",だって、こんなにも体が冷えていて痛くて、……意識が戻れば戻るほどに辛くなるから。,だって、こんなにも体が冷えていて痛くて、……意識が戻れば戻るほどに辛くなるから。,"Потому что холод и боль в её теле становились лишь сильнее, чем больше прояснялось её сознание.","Afinal, seu corpo estava gélido e doía muito, ......e isto ainda se agravou mais quando recobrou a consciência.","After all, her body was so cold and hurt so much, ......and it became worse the more her consciousness returned.",畢竟，身子又涼又痛，……越是清醒過來，就越是難受。,毕竟，身子又凉又痛，……越是清醒过来，就越是难受。,"After all, her body was so cold and hurt so much, ......and it became worse the more her consciousness returned.","Dopotutto, con il suo corpo così freddo e dolorante... mano a mano che avrebbe ripreso conoscenza il dolore sarebbe solo diventato più forte.","After all, her body was so cold and hurt so much, ......and it became worse the more her consciousness returned.","After all, her body was so cold and hurt so much, ......and it became worse the more her consciousness returned."
,"It felt like she'd been sleeping on ice-cold marble in the darkness, lying face-down for a long time. ","It felt like she had been sleeping in the darkness for a long time now, face‐down on ice‐cold marble.","It felt like she'd been sleeping on ice-cold marble in the darkness, lying face-down for a long time. ",暗闇の中、冷え切った大理石の上でずっとうつ伏せになって寝ていたような感じ。,暗闇の中、冷え切った大理石の上でずっとうつ伏せになって寝ていたような感じ。,"Судя по ощущениям, она словно долгое время проспала в темноте на холодном как лёд мраморе лицом вниз.","Como se ela tivesse dormindo na escuridão por um longo período até então, com sua face contra o mármore frio.","It felt like she had been sleeping in the darkness for a long time now, face‐down on ice‐cold marble.",感覺自己好像趴在了黑暗中冰涼冰涼的大理石上，睡了好一會兒。,感觉自己好像趴在了黑暗中冰凉冰凉的大理石上，睡了好一会儿。,"It felt like she had been sleeping in the darkness for a long time now, face‐down on ice‐cold marble.",Era come se avesse dormito su del marmo freddo come il ghiaccio nell'oscurità più totale e sdraiata a faccia in giù per parecchio tempo.,"It felt like she had been sleeping in the darkness for a long time now, face‐down on ice‐cold marble.","It felt like she had been sleeping in the darkness for a long time now, face‐down on ice‐cold marble."
,"...Aaah, this is why I always tell myself. Even if its just for a nap, I've got to at least grab a sofa. ","......Aaah, this is why I always tell myself.{n}Even if it's just a nap, at least get on the sofa.","...Aaah, this is why I always tell myself. Even if its just for a nap, I've got to at least grab a sofa. ",……あぁ、だからいつも自分に言い聞かせてるのよ。たとえ仮眠であっても、せめてソファーの上へ行こうって。,……あぁ、だからいつも自分に言い聞かせてるのよ。{n}たとえ仮眠であっても、せめてソファーの上へ行こうって。,"......А‐а‐ах, вот почему я вечно твержу себе.{n}Даже если собираешься всего лишь ненадолго вздремнуть, нужно, по‐крайней мере, хотя бы лечь на диван.","......Aaah, é por isso que estou sempre dizendo para mim mesma.{n}Mesmo se for só um cochilo, ao menos vá para o sofá.","......Aaah, this is why I always tell myself.{n}Even if it's just a nap, at least get on the sofa.",……啊——，所以我才一直都在對自己說。{n}即便只是打個盹兒，也起碼得去沙發上睡。,……啊——，所以我才一直都在对自己说。{n}即便只是打个盹儿，也起码得去沙发上睡。,"......Aaah, this is why I always tell myself.{n}Even if it's just a nap, at least get on the sofa.","... Aaah, è per questo che me lo dico sempre. Anche se si tratta solo di un pisolino, cerca almeno di raggiungere il divano.","......Aaah, this is why I always tell myself.{n}Even if it's just a nap, at least get on the sofa.","......Aaah, this is why I always tell myself.{n}Even if it's just a nap, at least get on the sofa."
,"I know that, if I naively try to close my eyes for just a second... and end up sleeping on the floor or in the study chair, it'll hurt my body later and make things difficult... ","I always know that if I naively try and close my eyes for just a second, and end up sleeping on the floor or at my desk, it'll hurt my body later and I'll suffer for it......","I know that, if I naively try to close my eyes for just a second... and end up sleeping on the floor or in the study chair, it'll hurt my body later and make things difficult... ",ちょっと目を閉じるだけ、なんて甘えて、フローリングの上や書斎机の上に突っ伏して眠ってしまうと、後で体が痛くなって辛い思いをするって、いつも知ってるのに……。,ちょっと目を閉じるだけ、なんて甘えて、フローリングの上や書斎机の上に突っ伏して眠ってしまうと、後で体が痛くなって辛い思いをするって、いつも知ってるのに……。,"И хотя я всегда это знала, стоило мне наивно прикрыть глаза всего лишь на пару секунд, как в итоге я засыпала на полу или в кресле в кабинете, после чего моё тело в итоге начинало болеть, что всё усложняло...","Eu sei que sempre que eu inocentemente experimento fechar meus olhos por um instante, sempre acabo dormindo no chão ou sobre a mesa, e termino com meu corpo todo dolorido por causa disso......","I always know that if I naively try and close my eyes for just a second, and end up sleeping on the floor or at my desk, it'll hurt my body later and I'll suffer for it......",自己明明清楚，一旦縱容“只是稍微閉會兒眼”的想法，趴在地板或書桌上合眼，等之後醒來時，身子就會酸痛得要命……。,自己明明清楚，一旦纵容“只是稍微闭会儿眼”的想法，趴在地板或书桌上合眼，等之后醒来时，身子就会酸痛得要命……。,"I always know that if I naively try and close my eyes for just a second, and end up sleeping on the floor or at my desk, it'll hurt my body later and I'll suffer for it......","Sebbene io me lo ripeta sempre, se provo ingenuamente a chiudere i miei occhi anche solo per un attimo, e mi addormento sul pavimento o sulla sedia del mio studio, poi mi farà male tutto il corpo e mi renderà le cose difficili...","I always know that if I naively try and close my eyes for just a second, and end up sleeping on the floor or at my desk, it'll hurt my body later and I'll suffer for it......","I always know that if I naively try and close my eyes for just a second, and end up sleeping on the floor or at my desk, it'll hurt my body later and I'll suffer for it......"
,"Since I slept on such a cold and hard floor, even my bones are ice-cold. ","Because she slept on such a cold and hard floor, she was chilled to the bone.","Since I slept on such a cold and hard floor, even my bones are ice-cold. ",こんなにも冷たくて硬い床で眠っていたから、骨まで冷え切ってしまった。,こんなにも冷たくて硬い床で眠っていたから、骨まで冷え切ってしまった。,"Поскольку я спала на столь холодном и твёрдом полу, мне казалось, что у меня замерзли даже кости.","Por sempre dormir sobre um piso duro e gélido, ela estava fria até os ossos.","Because she slept on such a cold and hard floor, she was chilled to the bone.",都是因為睡在這又冷又硬的地上，才連骨頭都涼透了。,都是因为睡在这又冷又硬的地上，才连骨头都凉透了。,"Because she slept on such a cold and hard floor, she was chilled to the bone.","Giacché mi sono addormentata su di un pavimento così freddo e duro, persino le mie ossa sono fredde come il gelo.","Because she slept on such a cold and hard floor, she was chilled to the bone.","Because she slept on such a cold and hard floor, she was chilled to the bone."
,"Since I slept on such a hard and cold floor, the half of my face pressed down against it hurts a lot. ","Because she slept on such a hard and cold floor, the side of her face that had been pressing down against it was very painful.","Since I slept on such a hard and cold floor, the half of my face pressed down against it hurts a lot. ",こんなにも硬くて冷たい床で眠っていたから、押し付けていた顔半分がとても痛い。,こんなにも硬くて冷たい床で眠っていたから、押し付けていた顔半分がとても痛い。,"Очень болела также и половина лица, которой я во сне прижималась к полу.","Por sempre dormir em um piso duro e gélido, o lado de seu rosto, que estava pressionado contra o chão, estava doendo muito.","Because she slept on such a hard and cold floor, the side of her face that had been pressing down against it was very painful.",都是因為睡在這又硬又冷的地上，壓著的半張臉才會疼痛難當。,都是因为睡在这又硬又冷的地上，压着的半张脸才会疼痛难当。,"Because she slept on such a hard and cold floor, the side of her face that had been pressing down against it was very painful.","Giacché mi sono addormentata su di un pavimento così freddo, il lato della faccia a contatto con esso mi fa molto male.","Because she slept on such a hard and cold floor, the side of her face that had been pressing down against it was very painful.","Because she slept on such a hard and cold floor, the side of her face that had been pressing down against it was very painful."
