Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
,"It goes without saying, but since the time she was born, ......Jessica was raised in this mansion.","Of course, since the time of her birth, ...Jessica had been raised in this mansion. ","Obviously, since the time she was born, ......Jessica had been raised in this mansion.",朱志香は生まれてからずっと、……当たり前だが、この屋敷で育ってきた。,朱志香は生まれてからずっと、……当たり前だが、この屋敷で育ってきた。,С самого своего рождения Джессика росла и воспитывалась в этом особняке.,"Naturalmente, desde seu nascimento, ......Jessica vem sendo criada nesta mansão.",不言而喻，……朱志香自出生时起，一直在这幢大屋中生活、成长。,不言而喻，……朱志香自出生時起，一直在這幢大屋中生活、成長。,"Ovviamente, dal momento in cui era nata... Jessica era stata cresciuta in questa villa.","It goes without saying, but since the time she was born, ......Jessica was raised in this mansion.","No hace falta decirlo, pero desde que nació, Jessica se crió en esta mansión.", ﻣﻦ ﺍﻟﺒﺪﺍﻫﺔ ﻣﻌﻠﻮﻡٌ ﺃﻧﻬﺎ، ﻣﺬ ﺃﻃﻠﺖ ﻋﻠﻰ ﺍﻟﻮﺟﻮﺩ، ﻛﺎﻧﺖ ﺟﻴﺴﻴﻜﺎ ﺗﺮﺑﻰ ﻓﻲ ﻫﺬﺍ ﺍﻟﻘﺼﺮ.,"It goes without saying, but since the time she was born, ......Jessica was raised in this mansion.","It goes without saying, but since the time she was born, ......Jessica was raised in this mansion.","It goes without saying, but since the time she was born, ......Jessica was raised in this mansion."
,"The Western‐style house that the cousins simply called ""the mansion"" was her home.","The atrophied, Western-style house that the cousins called a mansion was her home. ","The atrophied, western-style house that the cousins called a mansion was her home.",いとこたちがお屋敷と呼んで萎縮するその洋館が、自分の家だった。,いとこたちがお屋敷と呼んで萎縮するその洋館が、自分の家だった。,"Выполненный в западном стиле дом, который кузены называли особняком, являлся её домом.","A casa em estilo ocidental que seus primos chamavam de ""a mansão"", era sua casa.",这幢被堂兄妹们称为大屋，令他们感到拘谨的洋馆，是她自己的家。,這幢被堂兄妹們稱為大屋，令他們感到拘謹的洋館，是她自己的家。,"La villa decadente, in stile occidentale che i cugini chiamavano villa era casa sua.","The Western‐style house that the cousins simply called ""the mansion"" was her home.","La casa de estilo occidental que los primos llamaban simplemente ""la mansión"" era su hogar."," ﺫﻟﻚ ﺍﻟﺒﻴﺖ ﻋﻠﻰ ﺍﻟﻄﺮﺍﺯ ﺍﻹﻓﺮﻧﺠﻲ ﺍﻟﺬﻱ ﻛﺎﻥ ﺃﺑﻨﺎﺀ ﺍﻟﻌﻤﻮﻣﺔ ﻳﺨﺘﺼﺮﻭﻥ ﺍﺳﻤﻪ ﺑـ""ﺍﻟﻘﺼﺮ""، ﻫﻮ ﻣﺄﻭﺍﻫﺎ ﻭﻣﺴﻜﻨﻬﺎ.","The Western‐style house that the cousins simply called ""the mansion"" was her home.","The Western‐style house that the cousins simply called ""the mansion"" was her home.","The Western‐style house that the cousins simply called ""the mansion"" was her home."
,"And yet, she had never understood her cousins' feelings as much as she did today.","And yet, she had never understood her cousins' feelings as much as she did today. ","And yet, she had never understood her cousins' feelings as much as she did today.",なのに、今日ほどそのいとこたちの気持ちがわかったことはない。,なのに、今日ほどそのいとこたちの気持ちがわかったことはない。,"И всё же она никогда не понимала чувства своих кузенов так, как сегодня.","Ainda assim, ela nunca entendeu os sentimentos de seus primos tanto quanto ela tinha entendido hoje.",不过，她从来没有像今天这般深刻地体会到堂兄妹们的心情。,不過，她從來沒有像今天這般深刻地體會到堂兄妹們的心情。,"Eppure, non aveva mai capito tanto i sentimenti dei suoi cugini quanto oggi.","And yet, she had never understood her cousins' feelings as much as she did today.","Y aun así, nunca había comprendido tanto los sentimientos de sus primos como hoy.", ﻭﻣﻊ ﺫﻟﻚ، ﻟﻢ ﺗﺪﺭﻙ ﻳﻮﻣًﺎ ﻣﺸﺎﻋﺮ ﺃﺑﻨﺎﺀ ﻋﻤﻮﻣﺘﻬﺎ ﻛﻤﺎ ﺃﺩﺭﻛﺘﻬﺎ ﺍﻟﻴﻮﻡ.,"And yet, she had never understood her cousins' feelings as much as she did today.","And yet, she had never understood her cousins' feelings as much as she did today.","And yet, she had never understood her cousins' feelings as much as she did today."
,"......And at the same time, her own home, which she knew well, had never felt so different a place as it did now......","...At the same time, she had never felt her own home, which she knew well, to be as alien as it seemed now... ","......And at the same time, she had never felt that her own home, which she knew well, was a different place as much as she did now......",……そして同時に、自分がよく見知った自宅が、これほど別の場所に感じたことはなかった……。,……そして同時に、自分がよく見知った自宅が、これほど別の場所に感じたことはなかった……。,"......И в то же время она никогда настолько не ощущала, что её собственный дом, который она знала так хорошо, был совершенно другим местом, как сейчас......","......E ao mesmo tempo, sua própria casa, na qual ela conhecia bem, nunca pareceu ser um lugar tão diferente como agora......",……与此同时，她也从未如现在这般地感到过，自己所熟知的家，犹如他处…。,……與此同時，她也從未如現在這般地感到過，自己所熟知的家，猶如他處…。,"... E allo stesso tempo, non aveva mai pensato che la sua stessa casa, che conosceva bene, fosse un posto diverso tanto quanto ora...","......And at the same time, her own home, which she knew well, had never felt so different a place as it did now......","... Y al mismo tiempo, su propia casa, que conocía bien, nunca le había parecido un lugar tan diferente como ahora...", ﻭﻓﻲ ﺍﻟﻮﻗﺖ ﻧﻔﺴﻪ، ﻣﺎ ﻛﺎﻥ ﺑﻴﺘﻬﺎ ﺍﻟﻤﺄﻟﻮﻑ ﻳﻮﻣًﺎ ﻟﻴﺒﺪﻭ ﻣُﻐﺎﻳﺮًﺍ ﻭﻣﻮﺣﺸﺎ ﻛﻤﺎ ﻫﻮ ﺍﻵﻥ...,"......And at the same time, her own home, which she knew well, had never felt so different a place as it did now......","......And at the same time, her own home, which she knew well, had never felt so different a place as it did now......","......And at the same time, her own home, which she knew well, had never felt so different a place as it did now......"
,Her own.........room.,Her own......room. ,"Her own.........room.",自分の、………部屋。,自分の、………部屋。,Её собственная... комната.,Seu próprio.........quarto.,自己的………房间。,自己的………房間。,La sua... camera.,Her own.........room.,Su propia... habitación., ﻏﺮﻓﺘﻬﺎ ﻫﻲ...,Her own.........room.,Her own.........room.,Her own.........room.
,"This had once been her personal hideaway, the only place in this vast mansion where she could feel at peace.","This had once been her hideaway, the only place in this vast mansion where she could feel at peace. ","This had once been her hideaway, the only place in this vast mansion where she could feel at peace.",そこはかつて、この広大な屋敷で唯一心を許せる、自分だけの隠れ家だった。,そこはかつて、この広大な屋敷で唯一心を許せる、自分だけの隠れ家だった。,"Когда‐то она была её убежищем, единственным местом в этом огромном особняке, где Джессика могла чувствовать себя спокойно.","Uma vez fora seu esconderijo pessoal, o único lugar nessa imensa mansão onde ela podia se sentir em paz.",此处曾是这广大的大屋中唯一能令自己彻底放松的，只属于自己的藏身处。,此處曾是這廣大的大屋中唯一能令自己徹底放鬆的，只屬於自己的藏身處。,"Questa una volta era stata il suo solo nascondiglio, il solo posto in questa vasta villa dove poteva sentirsi in pace.","This had once been her personal hideaway, the only place in this vast mansion where she could feel at peace.","Esta había sido su guarida personal, el único lugar de esta vasta mansión donde podía sentirse en paz.", ﻣﻼﺫﻫﺎ ﺍﻟﺴﺮﻱ، ﺍﻟﺮﻛﻦ ﺍﻷﻭﺣﺪ ﻓﻲ ﻫﺬﺍ ﺍﻟﻘﺼﺮ ﺍﻟﻔﺴﻴﺢ ﺍﻟﺬﻱ ﺗﺸﻌﺮ ﻓﻴﻪ ﺑﺎﻟﺴﻜﻴﻨﺔ.,"This had once been her personal hideaway, the only place in this vast mansion where she could feel at peace.","This had once been her personal hideaway, the only place in this vast mansion where she could feel at peace.","This had once been her personal hideaway, the only place in this vast mansion where she could feel at peace."
,"However, ......that door had never felt as intimidating as it did now.","However, ...she had never felt as much pressure coming from that door as she did now. ","However, ......she had never felt as much pressure coming from that door as she did now.",しかし、……今ほど、その扉に威圧感を感じることはない。,しかし、……今ほど、その扉に威圧感を感じることはない。,"Однако она никогда не ощущала такого давления, исходящего сейчас от двери.","Entretanto, ......aquela porta nunca pareceu ser tão intimidadora como agora.",可是，……此刻的她却从这扇门上感到了未曾有过的威压感。,可是，……此刻的她卻從這扇門上感到了未曾有過的威壓感。,Tuttavia... non aveva mai sentito così tanta pressione provenire da quella porta quanta ne sentiva ora.,"However, ......that door had never felt as intimidating as it did now.",Sin embargo... esa puerta nunca se había sentido tan intimidante como ahora., ﻏﻴﺮ ﺃﻥ ﺫﺍﻙ ﺍﻟﺒﺎﺏ ﻣﺎ ﻛﺎﻥ ﻳﻮﻣًﺎ ﻟﻴﺒﺪﻭ ﻣﻬﻴﺒًﺎ ﻣﺨﻴﻔًﺎ ﻛﻤﺎ ﺑﺪﺍ ﻟﻬﺎ ﺍﻵﻥ.,"However, ......that door had never felt as intimidating as it did now.","However, ......that door had never felt as intimidating as it did now.","However, ......that door had never felt as intimidating as it did now."
Ushiromiya Jessica,""".........A test, he says...? Tch, what the hell has he got waiting in there...... He better not have ransacked my desk and stuff......""","""......A test, you say...? Tch, what the hell could be waiting in there... I'm not gonna find my desk and stuff dragged around all over the place, right...?"" ",""".........A test, you say...?  Tch, what the hell could be waiting in there......  I'm not gonna find my desk and stuff dragged around all over the place, right......?""",「………テストだって…？　ちぇ、一体、何が待ち受けてやがるんだ……。まさか、私の机とか、引っ掻き回してねぇだろうな……。」,「………テストだって…？　ちぇ、一体、何が待ち受けてやがるんだ……。まさか、私の机とか、引っ掻き回してねぇだろうな……」,""".........Испытание, говорите? Что, чёрт возьми, меня может там ждать... Я же не обнаружу, что мой стол и вещи разбросаны по всей комнате, верно?""",""".........Ele disse que era um teste...? Tch, que merda vai estar me esperando aqui......? É melhor que ele não tenha mexido na minha mesa e espalhado minhas coisas......""",「………考试…？切，到底是有什么等着我呢……？总不会是乱翻过我的桌子什么的吧……」,「………考試…？切，到底是有什麼等著我呢……？總不會是亂翻過我的桌子什麼的吧……」,"""... Un test, hai detto...? Tch, che diavolo mi potrà aspettare lì dentro... non troverò mica la mia scrivania e tutta la roba in disordine sparsa per tutta la camera, vero...?""",""".........A test, he says...? Tch, what the hell has he got waiting in there...... He better not have ransacked my desk and stuff......""","""... ¿Una prueba, dices?... Tch, qué rayos habrá ahí dentro... Será mejor que no hayan desordenado mi escritorio y mis cosas...""","""ﺍﺧﺘﺒﺎﺭ، ﻳﻘﻮﻝ...؟ ﺗِﻒ، ﺃﻱُّ ﺑﻼﺀٍ ﻳﻨﺘﻈﺮﻧﻲ ﻫﻨﺎﻙ...؟ ﻭﻳﻠﻪ ﺇﻥ ﻛﺎﻥ ﻗﺪ ﺑﻌﺜﺮ ﻣﻜﺘﺒﻲ ﻭﺃﺷﻴﺎﺋﻲ...""",""".........A test, he says...? Tch, what the hell has he got waiting in there...... He better not have ransacked my desk and stuff......""",""".........A test, he says...? Tch, what the hell has he got waiting in there...... He better not have ransacked my desk and stuff......""",""".........A test, he says...? Tch, what the hell has he got waiting in there...... He better not have ransacked my desk and stuff......"""
,"She acted tough, trying to deceive herself.{n}......Trying to make herself believe that she wasn't scared of anything.","She acted tough, trying to deceive herself. ...Trying make herself believe that she wasn't scared of anything. ","She acted tough, trying to deceive herself.......Trying make herself believe that she wasn't scared of anything.",自らを騙すために、悪態をつく。……自分は何も恐れていないのだと、信じさせるために。,自らを騙すために、悪態をつく。{n}……自分は何も恐れていないのだと、信じさせるために。,"Она храбрилась, пытаясь обмануть саму себя.{n}......Стараясь заставить себя поверить, что она ничего не боялась.","Ela falou de forma dura, tentando enganar a si mesma.{n}......Tentando fazer a si mesma acreditar que não estava com medo de nada.",为了骗自己，朱志香故意出言不逊。{n}……这是为了令自己相信，自己无所畏惧。,為了騙自己，朱志香故意出言不遜。{n}……這是為了令自己相信，自己無所畏懼。,"Si comportò coraggiosamente, cercando di ingannare se stessa. ... Cercando di convincersi che non avesse paura di nulla.","She acted tough, trying to deceive herself.{n}......Trying to make herself believe that she wasn't scared of anything.","Se hizo la fuerte, tratando de engañarse a sí misma.{n}... Intentando hacerse creer que nada le daba miedo.", ﺗﻈﺎﻫَﺮَﺕ ﺑﺎﻟﺸﺪﺓ، ﻟﺘﻮﻫﻢ ﻧﻔﺴﻬﺎ.{n}ﺗﺤﺎﻭﻝ ﺃﻥ ﺗﻘﻨﻊ ﺫﺍﺗﻬﺎ ﺃﻧﻬﺎ ﻻ ﺗﻬﺎﺏ ﺷﻴﺌًﺎ.,"She acted tough, trying to deceive herself.{n}......Trying to make herself believe that she wasn't scared of anything.","She acted tough, trying to deceive herself.{n}......Trying to make herself believe that she wasn't scared of anything.","She acted tough, trying to deceive herself.{n}......Trying to make herself believe that she wasn't scared of anything."
,"She readied herself, and opened the door to her room.","Readying herself, she opened the door to her room. ","Readying herself, she opened the door to her room.",覚悟を決め、自分の部屋の扉を開く。,覚悟を決め、自分の部屋の扉を開く。,"Подготовив себя, она открыла дверь в свою комнату.","Ela preparou a si mesma, e então abriu a porta de seu quarto.",然后，她铁了铁心，打开了自己房间的门。,然後，她鐵了鐵心，打開了自己房間的門。,"Preparandosi, aprì la porta della sua stanza.","She readied herself, and opened the door to her room.","Preparándose, abrió la puerta a su habitación.", ﺗﻬﻴّﺄﺕ، ﻭﻓﺘﺤﺖ ﺑﺎﺏَ ﻏﺮﻓﺘﻬﺎ.,"She readied herself, and opened the door to her room.","She readied herself, and opened the door to her room.","She readied herself, and opened the door to her room."
