Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Ushiromiya Maria,"""...I don't know why you're mad, Battler."" ","""......I don't know why you're angry, Battler.""","""...I don't know why you're mad, Battler."" ",「……どうして戦人が怒ってるのか、わかんないよ。」,「……どうして戦人が怒ってるのか、わかんないよ」,"""......Я не понимаю, чего ты сердишься, Баттлер.""","""......Não consigo entender por que está bravo, Battler.""","""......I don't know why you're angry, Battler.""",「……戰人幹嘛發火呢，搞不懂哦。」,「……战人干嘛发火呢，搞不懂哦。」,"""......I don't know why you're angry, Battler.""","""... Non capisco perché ti sei arrabbiato, Battler.""","""......I don't know why you're angry, Battler.""","""......I don't know why you're angry, Battler."""
Ushiromiya Battler,"""You don't?! Everyone was killed!! By that damn geezer! Who was saying something crazy about {f:5:Beatrice}'s resurrection ceremony or whatever!!"" ","""You {i:should?!} Everyone was killed, goddammit!! By that goddamned old fart! Saying something incomprehensible about {f:5:Beatrice}'s resurrection ritual or something!!""","""You don't?! Everyone was killed!! By that damn geezer! Who was saying something crazy about {f:5:Beatrice}'s resurrection ceremony or whatever!!"" ",「わかるだろ？！　みんな殺されたんだぞ！！　あのクソジジイに！　ベアトリーチェ復活の儀式とかわけのわかんないことを言って！！」,「わかるだろ？！　みんな殺されたんだぞ！！　あのクソジジイに！　ベアトリーチェ復活の儀式とかわけのわかんないことを言って！！」,"""Чего я сержусь?! Все они мертвы! Из‐за этого грёбаного старикана! Нёсшего какую‐то чушь о ритуале воскрешения {f:5:Беатриче} и всякую другую хрень!""","""Pois {i:deveria}! Todos foram mortos!! Por aquele velho de merda! Dizendo algo incompreensível sobre um ritual de ressurreição da {f:5:Beatrice} ou algo assim!!""","""You {i:should?!} Everyone was killed, goddammit!! By that goddamned old fart! Saying something incomprehensible about {f:5:Beatrice}'s resurrection ritual or something!!""",「你明白的吧？！大家都被殺了啊！！被那個混帳老頭！胡扯些貝阿朵莉切復活儀式什麼的莫名其妙的瘋話！！」,「你明白的吧？！大家都被杀了啊！！被那个混帐老头！胡扯些贝阿朵莉切复活仪式什么的莫名其妙的疯话！！」,"""You {i:should?!} Everyone was killed, goddammit!! By that goddamned old fart! Saying something incomprehensible about {f:5:Beatrice}'s resurrection ritual or something!!""","""Non capisci?! Sono stati uccisi tutti!! Da quel dannato vecchiaccio! Mentre se ne andava dicendo cose incomprensibili su una cerimonia per la resurrezione di Beatrice o roba simile!!""","""You {i:should?!} Everyone was killed, goddammit!! By that goddamned old fart! Saying something incomprehensible about {f:5:Beatrice}'s resurrection ritual or something!!""","""You {i:should?!} Everyone was killed, goddammit!! By that goddamned old fart! Saying something incomprehensible about {f:5:Beatrice}'s resurrection ritual or something!!"""
Ushiromiya Maria,"""So, by now, 13 people have been offered as sacrifices, ...and it's already time for {f:5:Beatrice} to revive, right?"" ","""Then, that means, thirteen people have been offered as sacrifices, ......and {f:5:Beatrice} will have revived already, you know?""","""So, by now, 13 people have been offered as sacrifices, ...and it's already time for {f:5:Beatrice} to revive, right?"" ",「なら、これで１３人が生贄に捧げられて、……もうベアトリーチェは蘇った頃だよ？」,「なら、これで１３人が生贄に捧げられて、……もうベアトリーチェは蘇った頃だよ？」,"""Но 13 человек уже принесены в жертву, и {f:5:Беатриче} самое время воскреснуть, так?""","""Então, isso significa que treze pessoas foram oferecidas como sacrifício, ......e a {f:5:Beatrice} já foi revivida, sabia?""","""Then, that means, thirteen people have been offered as sacrifices, ......and {f:5:Beatrice} will have revived already, you know?""",「那麼，這下就獻上了十三名活祭，……貝阿朵莉切現在已經復活了？」,「那么，这下就献上了十三名活祭，……贝阿朵莉切现在已经复活了？」,"""Then, that means, thirteen people have been offered as sacrifices, ......and {f:5:Beatrice} will have revived already, you know?""","""Così a questo punto, sono state offerte tredici persone come sacrifici... ed è già ora che Beatrice torni in vita, giusto?""","""Then, that means, thirteen people have been offered as sacrifices, ......and {f:5:Beatrice} will have revived already, you know?""","""Then, that means, thirteen people have been offered as sacrifices, ......and {f:5:Beatrice} will have revived already, you know?"""
Ushiromiya Battler,"""Sure, that sounds great!! I'll find {f:5:Beatrice} too and kill them both!!"" ","""Yeah, that's perfect!! I'll take {f:5:Beatrice} too and kill them both!!""","""Sure, that sounds great!! I'll find {f:5:Beatrice} too and kill them both!!"" ",「あぁ、なら上等だ！！　ベアトリーチェもまとめて一緒に、ブチ殺してやるッ！！」,「あぁ、なら上等だ！！　ベアトリーチェもまとめて一緒に、ブチ殺してやるッ！！」,"""Конечно, замечательно! Тогда я ещё и {f:5:Беатриче} вместе с ним убью!""","""Sim, perfeito!! Eu vou pegar essa {f:5:Beatrice} também e matar os dois!!""","""Yeah, that's perfect!! I'll take {f:5:Beatrice} too and kill them both!!""",「啊啊，好極了啊！！把那貝阿朵莉切也帶上，一鍋端統統殺掉！！」,「啊啊，好极了啊！！把那贝阿朵莉切也带上，一锅端统统杀掉！！」,"""Yeah, that's perfect!! I'll take {f:5:Beatrice} too and kill them both!!""","""E certo, suona fantastico!! Prenderò anche Beatrice e li ucciderò tutti e due!!""","""Yeah, that's perfect!! I'll take {f:5:Beatrice} too and kill them both!!""","""Yeah, that's perfect!! I'll take {f:5:Beatrice} too and kill them both!!"""
Ushiromiya Maria,"""......We've survived the ceremony. So, we'll receive an invitation to the Golden Land from {f:5:Beatrice}. ","""............We survived the ritual. So we'll receive an invitation to the Golden Land from {f:5:Beatrice}, you see......?""","""......We've survived the ceremony. So, we'll receive an invitation to the Golden Land from {f:5:Beatrice}. ",「…………真里亞たちは儀式を生き残った。だからベアトリーチェに、黄金郷に招待してもらえるんだよ……？,「…………真里亞たちは儀式を生き残った。だからベアトリーチェに、黄金郷に招待してもらえるんだよ……？」,""".........Мы пережили ритуал. И мы получим приглашение в Золотую Землю от {f:5:Беатриче}, ты понимаешь?""","""............Nós sobrevivemos ao ritual. Então vamos receber um convite da {f:5:Beatrice} para a Terra Dourada, sabia......?""","""............We survived the ritual. So we'll receive an invitation to the Golden Land from {f:5:Beatrice}, you see......?""",「…………我們在儀式中活了下來。所以，貝阿朵莉切會招待我們去黃金鄉的喲……？」,「…………我们在仪式中活了下来。所以，贝阿朵莉切会招待我们去黄金乡的哟……？」,"""............We survived the ritual. So we'll receive an invitation to the Golden Land from {f:5:Beatrice}, you see......?""","""... Siamo sopravvissuti alla cerimonia. Per cui riceveremo un invito per la Terra Dorata da Beatrice, capisci...?","""............We survived the ritual. So we'll receive an invitation to the Golden Land from {f:5:Beatrice}, you see......?""","""............We survived the ritual. So we'll receive an invitation to the Golden Land from {f:5:Beatrice}, you see......?"""
Ushiromiya Maria,"Over there, all wishes will be granted. If having your family killed is painful, then you just have to resurrect them. ...That's what I plan to do. I'll revive the really nice real Mama, the one that isn't possessed by the black witch."" ","""All wishes are granted there. If you're suffering because your family was killed, then you just have to bring them back to life. ......That's what I plan to do. I'm going to revive my really nice real mama, the one that isn't possessed by the black witch.""","Over there, all wishes will be granted. If having your family killed is painful, then you just have to resurrect them. ...That's what I plan to do. I'll revive the really nice real Mama, the one that isn't possessed by the black witch."" ",そこでは願いは何でも叶う。家族を殺されたのが辛いなら、生き返らせてもらえばいいのに。……真里亞はそうするつもりだよ。黒い魔女に取り憑かれていない、本当にやさしい本当のママを蘇らせてもらうの。,「そこでは願いは何でも叶う。家族を殺されたのが辛いなら、生き返らせてもらえばいいのに。……真里亞はそうするつもりだよ。黒い魔女に取り憑かれていない、本当にやさしい本当のママを蘇らせてもらうの」,"""Там все наши желания будут исполнены. Если тебе больно от того, что убили твою семью, просто пожелай воскресить их. ......Мария как раз собирается это сделать. Мария воскресит по‐настоящему хорошую маму, которая не одержима чёрной ведьмой.""","""Todos os desejos serão garantidos. Se você está sofrendo porque sua família foi morta, então só precisa trazer eles de volta à vida. ......A Maria pretende fazer isso. Vou reviver a verdadeira e gentil mamãe, aquela que não foi possuída pela bruxa da escuridão.""","""All wishes are granted there. If you're suffering because your family was killed, then you just have to bring them back to life. ......That's what I plan to do. I'm going to revive my really nice real mama, the one that isn't possessed by the black witch.""",「在那裡，可以實現任何願望。若是因家人被殺感到難過的話，那就去許願將他們復活好了哦。……真里亞就是打算這麼做的喲。去復活沒有黑魔女附身的，真正溫柔的真正的媽媽。」,「在那里，可以实现任何愿望。若是因家人被杀感到难过的话，那就去许愿将他们复活好了哦。……真里亚就是打算这么做的哟。去复活没有黑魔女附身的，真正温柔的真正的妈妈。」,"""All wishes are granted there. If you're suffering because your family was killed, then you just have to bring them back to life. ......That's what I plan to do. I'm going to revive my really nice real mama, the one that isn't possessed by the black witch.""","Laggiù, tutti i desideri saranno esauditi. Se vedere la tua famiglia uccisa è doloroso, allora non devi fare altro che resuscitarli. ... È questo che Maria ha intenzione di fare. Maria riporterà in vita la vera Mamma che è tanto gentile, quella che non è posseduta dalla strega nera.","""All wishes are granted there. If you're suffering because your family was killed, then you just have to bring them back to life. ......That's what I plan to do. I'm going to revive my really nice real mama, the one that isn't possessed by the black witch.""","""All wishes are granted there. If you're suffering because your family was killed, then you just have to bring them back to life. ......That's what I plan to do. I'm going to revive my really nice real mama, the one that isn't possessed by the black witch."""
Ushiromiya Maria,"""...So Mama will always be with me. ...There won't be any more overtime or working on days off. ...She'll always be with me, and think only of me, kihhihihi, and she'll always fight against fearsome enemies for my sake. Kihhihihihihihi...!"" ","""......So Mama will always be with me from now on. .........There won't be any more overtime or working on days off. ...She'll always be with me, and think only of me, kihhihihi, and she'll fight all the time against fearsome enemies for me. Kihhihi{0}hi{0}hihihi...!""","""...So Mama will always be with me. ...There won't be any more overtime or working on days off. ...She'll always be with me, and think only of me, kihhihihi, and she'll always fight against fearsome enemies for my sake. Kihhihihihihihi...!"" ",……だからママは、もうずっと真里亞と一緒。………お仕事とかで残業も休日出勤も何もないの。…ずっと真里亞と一緒にいてくれて、真里亞のことだけを考えてくれて、きっひひひ、真里亞のために恐ろしい敵といつも戦ってくれるの。きっひひひひひひ…！」,「……だからママは、もうずっと真里亞と一緒。………お仕事とかで残業も休日出勤も何もないの。…ずっと真里亞と一緒にいてくれて、真里亞のことだけを考えてくれて、きっひひひ、真里亞のために恐ろしい敵といつも戦ってくれるの。きっひひひひひひ…！」,"""......И мама всегда будет с Марией. ......Она не будет задерживаться на работе или работать на выходных. ...Она всегда будет только с Марией, и думать будет только о Марии, ки‐хи‐хи‐хи, она всегда будет сражаться со страшными врагами ради Марии. Ки‐хи‐хи‐хи‐хи‐хи‐хи!""","""......Assim a mamãe vai ficar com a Maria para sempre. .........Não terão mais horas extras de trabalho nos dias de folga. ...Ela vai sempre estar comigo, pensar só em mim, kihhihihi, e vai lutar o tempo todo contra os inimigos assustadores por mim. Kihhihi{0}hi{0}hihihi...!""","""......So Mama will always be with me from now on. .........There won't be any more overtime or working on days off. ...She'll always be with me, and think only of me, kihhihihi, and she'll fight all the time against fearsome enemies for me. Kihhihi{0}hi{0}hihihi...!""",「……所以，媽媽會一直都與真里亞在一起了哦。………不會有因為工作加班與休息日上班。…一直都陪著真里亞，只想著真里亞，唧嘻嘻嘻，不論何時都會為了真里亞去與可怕的敵人戰鬥。唧、嘻嘻嘻嘻嘻嘻…！」,「……所以，妈妈会一直都与真里亚在一起了哦。………不会有因为工作加班与休息日上班。…一直都陪着真里亚，只想着真里亚，唧嘻嘻嘻，不论何时都会为了真里亚去与可怕的敌人战斗。唧、嘻嘻嘻嘻嘻嘻…！」,"""......So Mama will always be with me from now on. .........There won't be any more overtime or working on days off. ...She'll always be with me, and think only of me, kihhihihi, and she'll fight all the time against fearsome enemies for me. Kihhihi{0}hi{0}hihihi...!""","... Così Mamma sarà sempre con Maria. ... Non ci saranno più straordinari o lavoro nei giorni liberi. ... Lei sarà sempre con Maria, e penserà solo a Maria, kihhihihi, lotterà sempre contro nemici spaventosi per il bene di Maria. Kihhihihihihihi...!""","""......So Mama will always be with me from now on. .........There won't be any more overtime or working on days off. ...She'll always be with me, and think only of me, kihhihihi, and she'll fight all the time against fearsome enemies for me. Kihhihi{0}hi{0}hihihi...!""","""......So Mama will always be with me from now on. .........There won't be any more overtime or working on days off. ...She'll always be with me, and think only of me, kihhihihi, and she'll fight all the time against fearsome enemies for me. Kihhihi{0}hi{0}hihihi...!"""
Ushiromiya Battler,"""...There's something wrong with you. ...Why are you saying something so incomprehensible in a situation like this...?!"" ","""......There's something wrong with you. ......How can you sit there saying such incomprehensible crap in a situation like this...?!""","""...There's something wrong with you. ...Why are you saying something so incomprehensible in a situation like this...?!"" ",「……お前、どうかしてるぜ。……何でこの状況で、そんなワケわかんねえことを言ってられるんだ…！」,「……お前、どうかしてるぜ。……何でこの状況で、そんなワケわかんねえことを言ってられるんだ…！」,"""......С тобой явно что‐то не так. ......Зачем ты сейчас несёшь какой‐то вздор?!""","""......Tem algo muito errado com você. ......Como consegue ficar sentada aqui, dizendo essas merdas incompreensíveis, em uma situação como essa...?!""","""......There's something wrong with you. ......How can you sit there saying such incomprehensible crap in a situation like this...?!""",「……你丫有病。……為什麼在這種狀況下，還能說出這樣莫名其妙的話啊…？！」,「……你丫有病。……为什么在这种状况下，还能说出这样莫名其妙的话啊…？！」,"""......There's something wrong with you. ......How can you sit there saying such incomprehensible crap in a situation like this...?!""","""... Tu hai qualche rotella fuori posto. ... Perché ti metti a parlare di cose così incomprensibili in una situazione come questa...?!""","""......There's something wrong with you. ......How can you sit there saying such incomprehensible crap in a situation like this...?!""","""......There's something wrong with you. ......How can you sit there saying such incomprehensible crap in a situation like this...?!"""
Ushiromiya Maria,"""......Didn't Kyrie just tell you, Battler...? ......Didn't she tell you... to believe... in the witch?"" ","""............Didn't Auntie Kyrie just tell you, Battler...? ......Didn't she tell you...to believe......in the witch?""","""......Didn't Kyrie just tell you, Battler...? ......Didn't she tell you... to believe... in the witch?"" ",「…………戦人は今、霧江に言われたはずだよ…？　……魔女を、信じろと、……言われたはずなのに。」,「…………戦人は今、霧江伯母さんに言われたはずだよ…？　……魔女を、信じろと、……言われたはずなのに」,"""............Разве Кирие не сказала тебе, Баттлер? ......Разве она не попросила тебя поверить в ведьму?""","""............A tia Kyrie não disse a você, Battler...? ......Ela não disse a você...para acreditar......na bruxa?""","""............Didn't Auntie Kyrie just tell you, Battler...? ......Didn't she tell you...to believe......in the witch?""",「…………戰人，你應該剛聽霧江說過哦…？……明明，都跟你說了，……去相信魔女。」,「…………战人，你应该刚听雾江说过哦…？……明明，都跟你说了，……去相信魔女。」,"""............Didn't Auntie Kyrie just tell you, Battler...? ......Didn't she tell you...to believe......in the witch?""","""... Non te l'ha appena detto Kyrie, Battler...? Non ti ha detto... di credere ... nella strega?""","""............Didn't Auntie Kyrie just tell you, Battler...? ......Didn't she tell you...to believe......in the witch?""","""............Didn't Auntie Kyrie just tell you, Battler...? ......Didn't she tell you...to believe......in the witch?"""
Ushiromiya Battler,""".........F-Fuck. This is no time to get in an argument with you over something like this...!! Now, there are no hostages or anything...anyone left alive! This weird, shitty ceremony game is already over...!!"" ",""".....................Sh‐shit. This isn't the time to get in an argument with you...!! Forget ""hostages"", at this point, there's no one left alive at all! This dumb‐as‐hell, screwed‐up ritual game is done now...!!""",""".........F-Fuck. This is no time to get in an argument with you over something like this...!! Now, there are no hostages or anything...anyone left alive! This weird, shitty ceremony game is already over...!!"" ",「…………………く、くそ。こんなとこで真里亞と口喧嘩してる場合じゃねぇぜ…！！もう人質も何も誰も生き残っちゃいねぇんだ！　もうクソ下らねぇ、おかしな儀式もゲームもおしまいだぜ…！！,「…………………く、くそ。こんなとこで真里亞と口喧嘩してる場合じゃねぇぜ…！！　もう人質も何も誰も生き残っちゃいねぇんだ！　もうクソ下らねぇ、おかしな儀式もゲームもおしまいだぜ…！！」,"""...............Чёрт возьми. Сейчас не время пререкаться на эту тему! Всё, теперь никаких заложников не осталось... Никто из них не выжил! Эта идиотская, грёбаная игра‐ритуал завершилась!""",""".....................M‐Merda. Não é hora de ficar discutindo com você...!! Esqueça os ""reféns"", a essa hora não deve ter sobrado nenhum! Esse estranho jogo que é essa cerimônia de merda já acabou...!!""",""".....................Sh‐shit. This isn't the time to get in an argument with you...!! Forget ""hostages"", at this point, there's no one left alive at all! This dumb‐as‐hell, screwed‐up ritual game is done now...!!""",「…………………可、可惡。才沒工夫在這與你真里亞打嘴仗…！！已經是人質不人質的，一個活的都不剩了！無聊透頂滑稽可笑的儀式與遊戲，已經玩完了…！！」,「…………………可、可恶。才没工夫在这与你真里亚打嘴仗…！！已经是人质不人质的，一个活的都不剩了！无聊透顶滑稽可笑的仪式与游戏，已经玩完了…！！」,""".....................Sh‐shit. This isn't the time to get in an argument with you...!! Forget ""hostages"", at this point, there's no one left alive at all! This dumb‐as‐hell, screwed‐up ritual game is done now...!!""","""... D-Dannazione. Non è questo il momento di mettersi a bisticciare con te per qualcosa del genere...!! Ora, non ci sono ostaggi né... nessun altro che sia ancora in vita! Questa schifosa cerimonia bizzarra è già finita...!!",""".....................Sh‐shit. This isn't the time to get in an argument with you...!! Forget ""hostages"", at this point, there's no one left alive at all! This dumb‐as‐hell, screwed‐up ritual game is done now...!!""",""".....................Sh‐shit. This isn't the time to get in an argument with you...!! Forget ""hostages"", at this point, there's no one left alive at all! This dumb‐as‐hell, screwed‐up ritual game is done now...!!"""
