Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Ushiromiya Ange,"""Amakusa, could you turn that off?"" ","""Amakusa, could you turn that off?""","""Amakusa, could you turn that off?"" ",「天草、それ切ってくれる？」,「天草、それ切ってくれる？」,"""Амакуса, сделай одолжение, выключи, а?""","""Amakusa, poderia desligar isso?""","""Amakusa, could you turn that off?""",「天草，能把它關了嗎？」,「天草，能把它关了吗？」,"""Amakusa, could you turn that off?""","""Amakusa, puoi spegnerla?""","""Amakusa, could you turn that off?""","""Amakusa, could you turn that off?"""
Amakusa Juuza,"""Whoops, my bad. You don't like M. Zakky?"" ","""Whoops, my bad. You don't like {nobr:M. Zakky}?""","""Whoops, my bad. You don't like M. Zakky?"" ",「おっと、そりゃ失礼。Ｍ・ザッキーはお嫌いで？」,「おっと、そりゃ失礼。Ｍ・ザッキーはお嫌いで？」,"""Ой‐ой, пардон, виноват. Вам не нравится {nobr:М. Закки}?""","""Opa, eu peço desculpas. Não gosta do {nobr:M. Zakky}?""","""Whoops, my bad. You don't like {nobr:M. Zakky}?""",「哦，抱歉。您討厭 {c:86EF9C:M.Zakky}？{c:86EF9C:（詳見魔導書同名條目）}」,「哦，抱歉。您讨厌 {c:86EF9C:M.Zakky}？{c:86EF9C:（详见魔导书同名条目）}」,"""Whoops, my bad. You don't like {nobr:M. Zakky}?""","""Whoops, scusa. Non ti piace M. Zakky?""","""Whoops, my bad. You don't like {nobr:M. Zakky}?""","""Whoops, my bad. You don't like {nobr:M. Zakky}?"""
Ushiromiya Ange,"""I'm just not in the mood."" ","""I'm just not in the mood.""","""I'm just not in the mood."" ",「今が気分じゃないだけ。」,「今が気分じゃないだけ」,"""Просто я не в настроении.""","""Só não estou no clima.""","""I'm just not in the mood.""",「只是這會兒沒心情罷了。」,「只是这会儿没心情罢了。」,"""I'm just not in the mood.""","""Non sono dell'umore adatto.""","""I'm just not in the mood.""","""I'm just not in the mood."""
,Amakusa turned the radio off. ,Amakusa turned the radio off.,Amakusa turned the radio off. ,天草がラジオを切る。,天草がラジオを切る。,Амакуса выключил радио.,Amakusa desligou o rádio.,Amakusa turned the radio off.,天草關掉了收音機。,天草关掉了收音机。,Amakusa turned the radio off.,Amakusa spense la radio.,Amakusa turned the radio off.,Amakusa turned the radio off.
,The world of cheery sounds was immediately swallowed up by the roar of the sea... and blotted out by the ocean's gray... ,"The world of cheery sounds was immediately swallowed up by the roar of the sea, and blotted out by the ocean's gray......",The world of cheery sounds was immediately swallowed up by the roar of the sea... and blotted out by the ocean's gray... ,陽気な音の世界はたちまち潮騒に飲み込まれ、海の灰色で塗り潰してしまった……。,陽気な音の世界はたちまち潮騒に飲み込まれ、海の灰色で塗り潰してしまった……。,"Мир весёлых звуков тут же поглотил шум моря, а океан закрасил его своей серостью...","O mundo repleto de sons joviais imediatamente foi engolido pelo rugido do mar, tingido pelo cinza do oceano......","The world of cheery sounds was immediately swallowed up by the roar of the sea, and blotted out by the ocean's gray......",輕快之音的世界立即被波濤聲吞沒，被大海的灰色所掩蓋……。,轻快之音的世界立即被波涛声吞没，被大海的灰色所掩盖……。,"The world of cheery sounds was immediately swallowed up by the roar of the sea, and blotted out by the ocean's gray......","Il mondo di suoni allegri fu immediatamente inghiottito dal ruggito del mare, e cancellato dal grigio dell'oceano...","The world of cheery sounds was immediately swallowed up by the roar of the sea, and blotted out by the ocean's gray......","The world of cheery sounds was immediately swallowed up by the roar of the sea, and blotted out by the ocean's gray......"
Captain Kawabata,"""......Can you see it? Over there's where the harbor was at the time."" ",""".........See it? Over there's where the harbor was at the time.""","""......Can you see it? Over there's where the harbor was at the time."" ",「………見えるかい。あの辺が当時の船着場だ。」,「………見えるかい。あの辺が当時の船着場だ」,""".........Ты видишь? Там, где тогда была гавань.""",""".........Consegue ver? Lá é onde ficava o porto.""",""".........See it? Over there's where the harbor was at the time.""",「………看得到不？那邊就是當時的碼頭。」,「………看得到不？那边就是当时的码头。」,""".........See it? Over there's where the harbor was at the time.""","""... Riesce a vederlo? Lì è dove al tempo c'era il molo.""",""".........See it? Over there's where the harbor was at the time.""",""".........See it? Over there's where the harbor was at the time."""
Ushiromiya Ange,"""............"" ","""..............................""","""............"" ",「…………………………。」,「…………………………」,"""........................""","""..............................""","""..............................""",「…………………………」,「…………………………」,"""..............................""","""...""","""..............................""",""".............................."""
,"The boat captain pointed, but I couldn't really recall that scene of 12 years ago. ","The boat captain pointed, but I couldn't really recall how it looked twelve years ago.","The boat captain pointed, but I couldn't really recall that scene of 12 years ago. ",船長が指差すが、１２年も前の光景は、なかなか蘇らない。,船長が指差すが、１２年も前の光景は、なかなか蘇らない。,"Капитан катера указал мне, но я никак не могла вспомнить сцену двенадцатилетней давности.","O capitão do barco apontou, mas eu não consegui lembrar muito bem como ele se parecia doze anos atrás.","The boat captain pointed, but I couldn't really recall how it looked twelve years ago.",雖然船長在指給我看，但十二年前的情景就是浮現不起來。,虽然船长在指给我看，但十二年前的情景就是浮现不起来。,"The boat captain pointed, but I couldn't really recall how it looked twelve years ago.","Il capitano della barca indicò, ma non riuscii davvero a ricordare quella scena di 12 anni fa.","The boat captain pointed, but I couldn't really recall how it looked twelve years ago.","The boat captain pointed, but I couldn't really recall how it looked twelve years ago."
,"...I thought I'd surely be able to immediately remember how things had been at the time, ...but no memories came back to me. ","......I had believed that my memories of back then would come flooding back into my mind, ...but no memories were coming back to me at all.","...I thought I'd surely be able to immediately remember how things had been at the time, ...but no memories came back to me. ",……てっきり、こういうものは見る見る溢れるように当時のことを思い出せるに違いないと信じていたが、…一向に当時の記憶は戻らない。,……てっきり、こういうものは見る見る溢れるように当時のことを思い出せるに違いないと信じていたが、…一向に当時の記憶は戻らない。,"......Я полагала, что, несомненно, смогу сразу вспомнить, как всё было тогда, но воспоминания пока так и не вернулись ко мне.","......Eu pensei que minhas memórias voltariam inundando minha mente, ...mas nenhuma memória está voltando para mim.","......I had believed that my memories of back then would come flooding back into my mind, ...but no memories were coming back to me at all.",……我本以為，越是看這些東西，當時的事一定越能如潮水般涌入腦海，…但此刻，當時的記憶卻一點都沒回來。,……我本以为，越是看这些东西，当时的事一定越能如潮水般涌入脑海，…但此刻，当时的记忆却一点都没回来。,"......I had believed that my memories of back then would come flooding back into my mind, ...but no memories were coming back to me at all.",... Avevo creduto che sarei stata sicuramente capace di ricordare subito come le cose erano al tempo... ma non mi è tornato alcun ricordo.,"......I had believed that my memories of back then would come flooding back into my mind, ...but no memories were coming back to me at all.","......I had believed that my memories of back then would come flooding back into my mind, ...but no memories were coming back to me at all."
,"After that incident, the island was sealed off and left to the wild. ","After the incident, the island was sealed off and left to the wild.","After that incident, the island was sealed off and left to the wild. ",あの事件以来、島は封印され荒れるに任されている。,あの事件以来、島は封印され荒れるに任されている。,После того инцидента остров оказался закрытой местностью и одичал.,"Depois do incidente, a ilha foi selada e deixada à ruína.","After the incident, the island was sealed off and left to the wild.",自那起事件以來，島被封印、荒廢了十多年。,自那起事件以来，岛被封印、荒废了十多年。,"After the incident, the island was sealed off and left to the wild.","Dopo quell'incidente, l'isola fu isolata e lasciata inselvatichire.","After the incident, the island was sealed off and left to the wild.","After the incident, the island was sealed off and left to the wild."
