Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Ushiromiya Natsuhi,"{a:c: ""It's Natsuhi, please open up...!!""} ","{a:c:""It's Natsuhi, please open up...!!""}","{a:c: ""It's Natsuhi, please open up...!!""} ",{a:c:「夏妃です、開けて下さい…！！」},{a:c:「夏妃です、開けて下さい…！！」},"{a:c:""Это Нацухи. Прошу, откройте!..""}","{a:c:""É a Natsuhi, por favor, abra...!!""}","{a:c:""It's Natsuhi, please open up...!!""}",{a:c:「我是夏妃，請開門…！！」},{a:c:「我是夏妃，请开门…！！」},"{a:c:""It's Natsuhi, please open up...!!""}","{a:c: ""Sono Natsuhi, aprite per favore...!!""}","{a:c:""It's Natsuhi, please open up...!!""}","{a:c:""It's Natsuhi, please open up...!!""}"
,"As she knocked loudly and repeatedly, Natsuhi yelled. ",Natsuhi yelled as she knocked loudly and repeatedly.,"As she knocked loudly and repeatedly, Natsuhi yelled.",荒々しくノックを繰り返しながら夏妃が叫ぶ。,荒々しくノックを繰り返しながら夏妃が叫ぶ。,"Крикнула Нацухи, громко и неоднократно стуча в дверь.",Natsuhi gritou enquanto batia de forma vigorosa e continuamente na porta.,Natsuhi yelled as she knocked loudly and repeatedly.,夏妃用力猛敲著門，如此喊道。,夏妃用力猛敲着门，如此喊道。,Natsuhi yelled as she knocked loudly and repeatedly.,Natsuhi urlò mentre bussava forte e ripetutamente.,Natsuhi yelled as she knocked loudly and repeatedly.,Natsuhi yelled as she knocked loudly and repeatedly.
,"Shortly after, there was a heavy clunking sound, and the sound of the door to Kinzo's study unlocking could be heard. ","Shortly after, there was a heavy clunking sound, and the sound of the door to Kinzo's study unlocking could be heard."," Shortly after, there was a heavy clunking sound, and the sound of the door to Kinzo's study unlocking could be heard.",すぐに、ゴトリゴトリと重い音がして、金蔵の書斎の扉の鍵が開く音がした。,すぐに、ゴトリゴトリと重い音がして、金蔵の書斎の扉の鍵が開く音がした。,"Вскоре раздался тяжёлый, глухой звук, и дверь в кабинет Кинзо начала открываться.","Pouco depois, uma pesada toada metálica, e o som da porta do estúdio de Kinzo sendo destrancada pôde ser ouvido.","Shortly after, there was a heavy clunking sound, and the sound of the door to Kinzo's study unlocking could be heard.",接著馬上響起了一陣厚重的聲音，與金藏書房的門鎖被打開的聲音。,接着马上响起了一阵厚重的声音，与金藏书房的门锁被打开的声音。,"Shortly after, there was a heavy clunking sound, and the sound of the door to Kinzo's study unlocking could be heard.","Poco dopo si udì il rumore di una serratura, e il suono della porta dello studio di Kinzo che si apriva.","Shortly after, there was a heavy clunking sound, and the sound of the door to Kinzo's study unlocking could be heard.","Shortly after, there was a heavy clunking sound, and the sound of the door to Kinzo's study unlocking could be heard."
,"As the door opened, a heavily sweet, venomous odor flowed out. ","As the door opened, a heavily sweet venomous odor flowed out."," As the door opened, a heavily sweet, venomous odor flowed out.",扉を開くと、ぶわっと強く甘い、毒の臭いが溢れ出して来る。,扉を開くと、ぶわっと強く甘い、毒の臭いが溢れ出して来る。,"Как только она открылась, оттуда потёк невыносимо сладкий, ядовитый запах.","Conforme a porta foi se abrindo, um pesado odor, doce e venenoso, fluiu para fora.","As the door opened, a heavily sweet venomous odor flowed out.",一打開門，一股帶毒的濃烈甜臭味就“呼啦”溢了出來。,一打开门，一股带毒的浓烈甜臭味就“呼啦”溢了出来。,"As the door opened, a heavily sweet venomous odor flowed out.","Mentre la porta si apriva, si diffuse un forte odore dolciastro e velenoso.","As the door opened, a heavily sweet venomous odor flowed out.","As the door opened, a heavily sweet venomous odor flowed out."
,"Natsuhi was always ashamed of how she automatically grimaced at that, even though she thought it rude to the Family Head... ","Natsuhi was always ashamed of how she automatically grimaced at that, even though she thought it rude to the family head..."," Natsuhi was always ashamed of how she automatically grimaced at that, even though she thought it rude to the family head...",それに顔をしかめるのは、当主様に失礼といつも思いつつも、条件反射的にそうしてしまうことに、夏妃はいつも自己嫌悪していた…。,それに顔をしかめるのは、当主様に失礼といつも思いつつも、条件反射的にそうしてしまうことに、夏妃はいつも自己嫌悪していた…。,"Нацухи всегда было стыдно за то, что она автоматически морщится при этом, учитывая, что это грубо по отношению к главе семьи...","Natsuhi estava envergonhada por ter feito uma careta no mesmo momento em que o sentiu, mesmo pensando que aquilo era rude perante o chefe da família...","Natsuhi was always ashamed of how she automatically grimaced at that, even though she thought it rude to the family head...",對於“儘管每次都覺得，對此皺眉是對當主大人的失禮，卻還是條件反射地這麼做”一事，夏妃一直都厭惡著自己…。,对于“尽管每次都觉得，对此皱眉是对当主大人的失礼，却还是条件反射地这么做”一事，夏妃一直都厌恶着自己…。,"Natsuhi was always ashamed of how she automatically grimaced at that, even though she thought it rude to the family head...","Natsuhi si vergognava sempre della smorfia automatica che fece, anche se era un gesto scortese verso il capofamiglia...","Natsuhi was always ashamed of how she automatically grimaced at that, even though she thought it rude to the family head...","Natsuhi was always ashamed of how she automatically grimaced at that, even though she thought it rude to the family head..."
,Krauss was waiting for her inside the study. ,Krauss was waiting for her inside the study., Krauss was waiting for her inside the study.,書斎の中で蔵臼が迎える。,書斎の中で蔵臼が迎える。,Краусс ждал её в кабинете.,Krauss estava esperando por ela dentro do estúdio.,Krauss was waiting for her inside the study.,書房中，藏臼迎了上來。,书房中，藏臼迎了上来。,Krauss was waiting for her inside the study.,Krauss la stava aspettando nello studio.,Krauss was waiting for her inside the study.,Krauss was waiting for her inside the study.
,Natsuhi flew into his arms. ,Natsuhi flew into his arms., Natsuhi flew into his arms.,夏妃はその胸に飛び込んだ。,夏妃はその胸に飛び込んだ。,Нацухи полетела к нему в руки.,Natsuhi voou em seus braços.,Natsuhi flew into his arms.,夏妃撲進了他的胸膛。,夏妃扑进了他的胸膛。,Natsuhi flew into his arms.,Natsuhi si gettò fra le sue braccia.,Natsuhi flew into his arms.,Natsuhi flew into his arms.
Ushiromiya Natsuhi,"""......I-Is Father... ......Is he......"" ","""......I‐is Father... ......Is he.........""","""......I, is Father... ......Is he.........""",「……お、お父様は…、……お父様は………。」,「……お、お父様は…、……お父様は………」,"""......О... отец......... он.........""","""......O‐O pai... ......ele está.........""","""......I‐is Father... ......Is he.........""",「……爸、爸他…，……爸他………」,「……爸、爸他…，……爸他………」,"""......I‐is Father... ......Is he.........""","""... Nostro Padre è... è...""","""......I‐is Father... ......Is he.........""","""......I‐is Father... ......Is he........."""
Ushiromiya Krauss,"""Calm yourself. ......Doctor Nanjo is examining him now..."" ","""Calm yourself. ......Doctor Nanjo is examining him now...""","""Calm yourself. ......Doctor Nanjo is examining him now...""",「落ち着きたまえ。……今、南條先生が診ている…。」,「落ち着きたまえ。……今は、南條先生が診ている…」,"""Успокойся. ......Доктор Нанджо сейчас осматривает его...""","""Acalme‐se. ......O doutor Nanjo está examinando ele agora...""","""Calm yourself. ......Doctor Nanjo is examining him now...""",「冷靜點。……現在，南條大夫正在診查…」,「冷静点。……现在，南条大夫正在诊查…」,"""Calm yourself. ......Doctor Nanjo is examining him now...""","""Calmati. ... Il dottor Nanjo lo sta visitando ora...""","""Calm yourself. ......Doctor Nanjo is examining him now...""","""Calm yourself. ......Doctor Nanjo is examining him now..."""
,"With an uncertain gait, Natsuhi walked towards the center of the study, supported by Krauss. ","With an uncertain gait, Natsuhi went towards the center of the study, supported by Krauss.","With an uncertain gait, Natsuhi went towards the center of the study, supported by Krauss.",おぼつかない足取りの夏妃は、蔵臼に支えられながら書斎の奥へ向かう。,おぼつかない足取りの夏妃は、蔵臼に支えられながら書斎の奥へ向かう。,"Нацухи неуверенной походкой пошла в центр кабинета, опираясь на Краусса.","Com uma marcha incerta, Natsuhi foi em direção ao centro do estúdio, apoiada por Krauss.","With an uncertain gait, Natsuhi went towards the center of the study, supported by Krauss.",走都走不穩了的夏妃被藏臼攙著，往書房深處走去。,走都走不稳了的夏妃被藏臼搀着，往书房深处走去。,"With an uncertain gait, Natsuhi went towards the center of the study, supported by Krauss.","Con andatura incerta, Natsuhi si avvicinò al centro dello studio, sostenuta da Krauss.","With an uncertain gait, Natsuhi went towards the center of the study, supported by Krauss.","With an uncertain gait, Natsuhi went towards the center of the study, supported by Krauss."
