Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Ushiromiya Natsuhi,"""...Father, ...it's Natsuhi. Good morning..."" ","""......Father, ...it's Natsuhi. Good morning...""","""......Father..., it's Natsuhi. Good morning...""",「……お父様…、夏妃です。おはようございます…。」,「……お父様…、夏妃です。おはようございます…」,"""......Отец... это Нацухи. Доброе утро...""","""......Pai, ...é a Natsuhi. Bom dia...""","""......Father, ...it's Natsuhi. Good morning...""",「……爸…，我是夏妃。早上好…」,「……爸…，我是夏妃。早上好…」,"""......Father, ...it's Natsuhi. Good morning...""","""... Padre... sono Natsuhi. Buongiorno...""","""......Father, ...it's Natsuhi. Good morning...""","""......Father, ...it's Natsuhi. Good morning..."""
Ushiromiya Eva,"""There's no way he'll wake up if you do it like that! Father, it's Eva! Please wake up! It's an emergency!!"" ","""There's no way he'll wake up if you do it like that! Father, it's Eva! Please wake up! It's an emergency!!""","""There's no way he'll wake up if you do it like that! Father, it's Eva! Please wake up! It's an emergency!!""",「そんなので起きるわけないでしょう？！お父様、絵羽です！　起きて下さい！大変ですッ！！」,「そんなので起きるわけないでしょう？！　お父様、絵羽です！　起きて下さい！　大変ですッ！！」,"""Вот так ты его точно не разбудишь! Отец, это Ева! Проснись, пожалуйста! У нас срочное дело!!!""","""Até parece que ele vai acordar assim! Pai, é a Eva! Por favor, acorde! É uma emergência!!""","""There's no way he'll wake up if you do it like that! Father, it's Eva! Please wake up! It's an emergency!!""",「你這樣沒可能叫得醒爸吧？！爸、我是繪羽！請您醒醒！出大事了！！」,「你这样没可能叫得醒爸吧？！爸、我是绘羽！请您醒醒！出大事了！！」,"""There's no way he'll wake up if you do it like that! Father, it's Eva! Please wake up! It's an emergency!!""","""Non si sveglierà mai se fai così! Papà, sono Eva! Alzati per favore! {n}È un'emergenza!!""","""There's no way he'll wake up if you do it like that! Father, it's Eva! Please wake up! It's an emergency!!""","""There's no way he'll wake up if you do it like that! Father, it's Eva! Please wake up! It's an emergency!!"""
,Eva pushed Natsuhi aside and knocked repeatedly with all her strength. ,Eva pushed Natsuhi aside and knocked repeatedly with all her strength.,Eva pushed Natsuhi aside and knocked repeatedly with all her strength.,絵羽は夏妃を押しのけ、力任せに何度もノックを繰り返す。,絵羽は夏妃を押しのけ、力任せに何度もノックを繰り返す。,Ева оттолкнула Нацухи и несколько раз изо всех сил постучала в дверь.,Eva empurrou Natsuhi para o lado e bateu diversas vezes na porta com toda sua força.,Eva pushed Natsuhi aside and knocked repeatedly with all her strength.,繪羽推開夏妃，不停地用力敲門。,绘羽推开夏妃，不停地用力敲门。,Eva pushed Natsuhi aside and knocked repeatedly with all her strength.,Eva spinse via Natsuhi e bussò più volte con tutta la sua forza.,Eva pushed Natsuhi aside and knocked repeatedly with all her strength.,Eva pushed Natsuhi aside and knocked repeatedly with all her strength.
Ushiromiya Natsuhi,"""Q-Quiet down...!! You're being too boisterous...!"" ","""Qu‐quiet down...!! Don't make such a racket...!""","""Q, quiet down...!! You're being too boisterous...!""",「お、お静かに…！！　騒々しいにも程があります…！」,「お、お静かに…！！　騒々しいにも程があります…！」,"""У... успокойтесь!.. Вы слишком шумите!..""","""F‐Fique calma...!! Não faça um alarde desses...!""","""Qu‐quiet down...!! Don't make such a racket...!""",「靜、靜一靜…！！大聲也該有個限度…！」,「静、静一静…！！大声也该有个限度…！」,"""Qu‐quiet down...!! Don't make such a racket...!""","""A-Abbassa la voce...!! Sei troppo rumorosa...!""","""Qu‐quiet down...!! Don't make such a racket...!""","""Qu‐quiet down...!! Don't make such a racket...!"""
Ushiromiya Eva,"""Is now really the time to be saying something like that?!?!"" ","""Do you really think now is the time to be saying something like that?!?!""","""Is now really the time to be saying something like that?!?!""",「今はそんなこと言ってる場合じゃないでしょうッ？！？！」,「今はそんなこと言ってる場合じゃないでしょうッ？！？！」,"""Сейчас не время для таких слов!!!""","""Acha mesmo que é hora de ficar dizendo isso?!?!""","""Do you really think now is the time to be saying something like that?!?!""",「現在不是說這種話的時候吧？！？！」,「现在不是说这种话的时候吧？！？！」,"""Do you really think now is the time to be saying something like that?!?!""","""È davvero il momento di dire una cosa del genere?!?!""","""Do you really think now is the time to be saying something like that?!?!""","""Do you really think now is the time to be saying something like that?!?!"""
Furudo Erika,""".........So he isn't picking up the phone, and he isn't responding to knocking either? That's troublesome."" ","""............So he isn't picking up the phone, and he isn't responding to knocking either. What a quandary.""","""............So he isn't picking up the phone, and he isn't responding to knocking either? That's troublesome.""",「…………電話にも出ず、ノックしても音沙汰はなしですか。参りましたね。」,「…………電話にも出ず、ノックしても音沙汰はなしですか。参りましたね」,"""............Он не поднимает трубку, да ещё и не отвечает на стуки? Как проблематично.""","""............Ele não está atendendo o telefone, nem respondendo quando batemos. Mas que dilema.""","""............So he isn't picking up the phone, and he isn't responding to knocking either. What a quandary.""",「…………電話也不接，敲門也沒反應麼？傷腦筋了呢。」,「…………电话也不接，敲门也没反应么？伤脑筋了呢。」,"""............So he isn't picking up the phone, and he isn't responding to knocking either. What a quandary.""","""... Perciò non risponde né al telefono né alla porta? Questo è un problema.""","""............So he isn't picking up the phone, and he isn't responding to knocking either. What a quandary.""","""............So he isn't picking up the phone, and he isn't responding to knocking either. What a quandary."""
Nanjo Terumasa,"""...H-He might be in a bad mood again... Kinzo-san sometimes considers even the slightest change to be an omen... and gets into a bad mood for reasons only he can understand..."" ","""...H‐...he might be in a foul mood again... Kinzo‐san sometimes detects omens in the slightest of changes, and gets into a bad mood for reasons only apparent to him...""","""...H, ...he might be in a bad mood again... Kinzo-san sometimes considers even the slightest change to be an omen and gets into a bad mood for reasons only he can understand...""",「…き、…機嫌をまた、損ねられているのかもしれませんな…。金蔵さんは時に、ほんのわずかの変化であっても、それに吉凶を感じ、本人以外には与り知れぬ理由で機嫌を損ねたりします…。」,「…き、…機嫌をまた、損ねられているのかもしれませんな…。金蔵さんは時に、ほんのわずかの変化であっても、それに吉凶を感じ、本人以外には与り知れぬ理由で機嫌を損ねたりします…」,"""...Мо... может, он опять в плохом настроении... Кинзо даже малейшие изменения временами принимает за предзнаменования, и у него портится настроение по причинам, понятным только ему...""","""...E‐Ele pode estar de mau humor de novo... O Kinzo‐san, muitas vezes, considera mínimas alterações como sendo presságios, e fica de mau humor por motivos que só ele é capaz de compreender...""","""...H‐...he might be in a foul mood again... Kinzo‐san sometimes detects omens in the slightest of changes, and gets into a bad mood for reasons only apparent to him...""",「…也、…也許是，又心情不悅了吧…。即便是微小的變化，金藏先生有時也能從中感受到吉凶之兆，因除其本人外絕對不可能明白的理由而壞了心情…」,「…也、…也许是，又心情不悦了吧…。即便是微小的变化，金藏先生有时也能从中感受到吉凶之兆，因除其本人外绝对不可能明白的理由而坏了心情…」,"""...H‐...he might be in a foul mood again... Kinzo‐san sometimes detects omens in the slightest of changes, and gets into a bad mood for reasons only apparent to him...""","""... P... Potrebbe essere ancora di cattivo umore... Kinzo-san a volte considera anche il più piccolo cambiamento come un presagio e diventa di cattivo umore per ragioni che solo lui comprende...""","""...H‐...he might be in a foul mood again... Kinzo‐san sometimes detects omens in the slightest of changes, and gets into a bad mood for reasons only apparent to him...""","""...H‐...he might be in a foul mood again... Kinzo‐san sometimes detects omens in the slightest of changes, and gets into a bad mood for reasons only apparent to him..."""
Kumasawa Chiyo,"""Hoh, ...hohoho... Yes, that's true... This isn't something that's started today..."" ","""Ho......hohoho... Yes, that's true... This isn't something that's started today...""","""Hoh, ......hohoho... Yes, that's true... This isn't something that's started today...""",「ほ、……ほほほ…。そうですわねぇ…。こういうのは、何も今日だけに限ったことじゃありませんものねぇ…。」,「ほ、……ほほほ…。そうですわねぇ…。こういうのは、何も今日だけに限ったことじゃありませんものねぇ…」,"""Хо...... хо‐хо‐хо... Да, верно... Такое случается далеко не впервые...""","""Ho......hohoho... Sim, isso é verdade... Não é algo que começou hoje...""","""Ho......hohoho... Yes, that's true... This isn't something that's started today...""",「嚯、……嚯嚯嚯…。是呢…。這種情況，並不僅限於今日呢…」,「嚯、……嚯嚯嚯…。是呢…。这种情况，并不仅限于今日呢…」,"""Ho......hohoho... Yes, that's true... This isn't something that's started today...""","""Hoh... hohoho... sì, è vero... non è qualcosa cominciato solo oggi...""","""Ho......hohoho... Yes, that's true... This isn't something that's started today...""","""Ho......hohoho... Yes, that's true... This isn't something that's started today..."""
Ushiromiya Battler,"""Is that how badly Grandfather wants to shut himself away in the study?"" ","""Does Grandfather really shut himself away in his study that hard?""","""Is that how badly Grandfather wants to shut himself away in the study?""",「祖父さまって、…そこまで書斎に閉じ篭ってんのか？」,「祖父さまって、…そこまで書斎に閉じ篭ってんのか？」,"""Дед так часто запирается в кабинете?""","""O vovô realmente costuma se trancar em seu estúdio dessa forma?""","""Does Grandfather really shut himself away in his study that hard?""",「爺爺，…把自己關在書房裡，到了這個地步嗎？」,「爷爷，…把自己关在书房里，到了这个地步吗？」,"""Does Grandfather really shut himself away in his study that hard?""","""Il Nonno vuole così tanto chiudersi nello studio?""","""Does Grandfather really shut himself away in his study that hard?""","""Does Grandfather really shut himself away in his study that hard?"""
Shannon,"""...Yes. ...It's not uncommon for him to stay in his study for more than a month at a time..."" ","""......Yes. ......It's not uncommon for him to stay in his study for over a month at a time...""","""......Yes. ......It's not uncommon for him to stay in his study for more than a month at a time...""",「……はい。……１ヶ月以上も、書斎を出られないことも珍しくはありませんので…。」,「……はい。……１ヶ月以上も、書斎を出られないことも珍しくはありませんので…」,"""......Да. ......Для него не редкость пропасть там более чем на месяц...""","""......Sim. ......Não é incomum que ele permaneça em seu estúdio por até um mês sem sair...""","""......Yes. ......It's not uncommon for him to stay in his study for over a month at a time...""",「……是的。……一個多月不出一次書房，也並不罕見…」,「……是的。……一个多月不出一次书房，也并不罕见…」,"""......Yes. ......It's not uncommon for him to stay in his study for over a month at a time...""","""... Sì. ... Non è raro che stia nel suo studio anche per più di un mese consecutivo...""","""......Yes. ......It's not uncommon for him to stay in his study for over a month at a time...""","""......Yes. ......It's not uncommon for him to stay in his study for over a month at a time..."""
