Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
{f:5:Bernkastel},"""......Erika, Dlanor.""","""...Erika, Dlanor."" ","""......Erika, Dlanor.""",「……ヱリカ、ドラノール。」,「……ヱリカ、ドラノール」,"""......Эрика, Дланор.""","""......Erika, Dlanor.""","""......Erika, Dlanor.""",「……繪梨花，德拉諾爾。」,「……绘梨花，德拉诺尔。」,"""......Erika, Dlanor.""","""......Erika, Dlanor.""","""......Erika, Dlanor."""
Furudo Erika,"""Yes, my master.""","""Yes, my master."" ","""Yes, my master.""",「はい、我が主。」,「はい、我が主」,"""Да, госпожа.""","""Sim, minha mentora.""","""Yes, my master.""",「在，我主。」,「在，我主。」,"""Yes, my master.""","""Yes, my master.""","""Yes, my master."""
Dlanor,"""You {f:5:called}?""","""You {f:5:called}?"" ","""You CALLED?""",「お呼びデスカ。」,「お呼びデスカ」,"""Вы звали?""","""Você {f:5:chamou}?""","""You {f:5:called}?""",「您叫我嗎？」,「您叫我吗？」,"""You {f:5:called}?""","""You {f:5:called}?""","""You {f:5:called}?"""
{f:5:Bernkastel},"""......I want you two to stay in this fragment......and explain everything in the remaining first through fourth games. That pitiful transient witch no longer exists to assert her witch illusions. Expose the naked truth with extreme prejudice.""","""...I want you two to stay in this Fragment and explain everything in the remaining 1st through 4th games. That pitiful transient witch who supports the Illusion of the Witch no longer exists herself. Expose the naked truth thoroughly."" ","""......I want you two to stay in this Fragment and explain everything in the remaining 1st through 4th games. That pitiful transient witch who claims the Illusion of the Witch is true no longer exists herself. Expose the frank truth thoroughly.""",「……あなたたちは、引き続きこのカケラに留まり、残る第１から第４のゲーム全てを解明しなさい。もはや、魔女幻想を主張する哀れな仮初魔女は存在しない。……剥き出しの真実を、徹底的に暴いてやりなさい。」,「……あなたたちは、引き続きこのカケラに留まり、残る第１から第４のゲーム全てを解明しなさい。もはや、魔女幻想を主張する哀れな仮初魔女は存在しない。……剥き出しの真実を、徹底的に暴いてやりなさい」,"""......Останьтесь в этом фрагменте и объясните всё в остальных играх с первую по четвёртую. Жалкой ведьмы на короткий миг, утверждавшей, что иллюзия ведьмы реальна, больше нет. Раскройте всю правду.""","""......Quero que vocês permaneçam neste Fragmento......e expliquem tudo que restou nos quatro primeiros jogos. A pobre bruxa transiente já não mais existe para afirmar as ilusões da bruxa. Exponham a verdade nua e crua com extremo preconceito.""","""......I want you two to stay in this fragment......and explain everything in the remaining first through fourth games. That pitiful transient witch no longer exists to assert her witch illusions. Expose the naked truth with extreme prejudice.""",「……你們，繼續留在這個碎片，去把剩下的第 1 到第 4 盤全部解明。主張魔女幻想的可悲的臨時魔女已經不復存在。……去給我徹底地揭露，顯露出來的真實。」,「……你们，继续留在这个碎片，去把剩下的第 1 到第 4 盘全部解明。主张魔女幻想的可悲的临时魔女已经不复存在。……去给我彻底地揭露，显露出来的真实。」,"""......I want you two to stay in this fragment......and explain everything in the remaining first through fourth games. That pitiful transient witch no longer exists to assert her witch illusions. Expose the naked truth with extreme prejudice.""","""......I want you two to stay in this fragment......and explain everything in the remaining first through fourth games. That pitiful transient witch no longer exists to assert her witch illusions. Expose the naked truth with extreme prejudice.""","""......I want you two to stay in this fragment......and explain everything in the remaining first through fourth games. That pitiful transient witch no longer exists to assert her witch illusions. Expose the naked truth with extreme prejudice."""
Furudo Erika,"""*giggle*! Leave it to me, my master. There is no mystery that Furudo Erika cannot solve.""","""*giggle*! Leave it to me, my master. There is no riddle that I, Furudo Erika, cannot solve."" ","""*giggle*! Leave it to me, my master. There is no riddle that I, Furudo Erika, cannot solve.""",「くすくす！　お任せを、我が主ッ。この古戸ヱリカに、解けぬ謎はありません。」,「くすくす！　お任せを、我が主ッ。この古戸ヱリカに、解けぬ謎はありません」,"""*хи‐хи*! Как скажете, госпожа. Нет такой загадки, которую я, Фурудо Эрика, не могу разгадать.""","""*risos*! Deixe isso comigo, minha mentora. Não há mistério que Furudo Erika não possa resolver.""","""*giggle*! Leave it to me, my master. There is no mystery that Furudo Erika cannot solve.""",「呵呵！包在我身上，我主。在我古戶繪梨花面前，沒有解不開的謎。」,「呵呵！包在我身上，我主。在我古户绘梨花面前，没有解不开的谜。」,"""*giggle*! Leave it to me, my master. There is no mystery that Furudo Erika cannot solve.""","""*giggle*! Leave it to me, my master. There is no mystery that Furudo Erika cannot solve.""","""*giggle*! Leave it to me, my master. There is no mystery that Furudo Erika cannot solve."""
{f:5:Bernkastel},"""......Of course. That's why you're my piece, my double. *giggle*giggle*giggle*!""","""...Of course. That's why you're my piece, my double. *giggle*giggle*giggle*!"" ","""......Of course. That's why you're my piece, my double. *giggle*giggle*giggle*!""",「……当然よ。それでこそ、私の駒、私の分身だわ。くすくすくすくすくすくす！」,「……当然よ。それでこそ、私の駒、私の分身だわ。くすくすくすくすくすくす！」,"""......Разумеется. Именно поэтому ты моя фигура, мой двойник. *хи‐хи*хи‐хи*хи‐хи*!""","""......É claro. É por isso que você é minha peça, minha dublê. *risos*risos*risos*!""","""......Of course. That's why you're my piece, my double. *giggle*giggle*giggle*!""",「……當然的事喲。這才是，我的棋子，我的分身。呵呵呵呵呵呵！」,「……当然的事哟。这才是，我的棋子，我的分身。呵呵呵呵呵呵！」,"""......Of course. That's why you're my piece, my double. *giggle*giggle*giggle*!""","""......Of course. That's why you're my piece, my double. *giggle*giggle*giggle*!""","""......Of course. That's why you're my piece, my double. *giggle*giggle*giggle*!"""
,"{f:5:Bernkastel} wore a massive...and horrible smile, which Erika shared.","{f:5:Bernkastel} wore a massive...and horrible smile, which Erika shared. ","Bernkastel wore a massive...and horrible smile, which Erika shared.",ベルンカステルは、最上級の、…そして最低の笑みを浮かべ、それをヱリカと共有する。,ベルンカステルは、最上級の、…そして最低の笑みを浮かべ、それをヱリカと共有する。,{f:5:Бернкастель} широко и жутко улыбнулась... и Эрика разделила её улыбку.,"{f:5:Bernkastel} exibiu um grande...e horrível sorriso, que foi compartilhado com Erika.","{f:5:Bernkastel} wore a massive...and horrible smile, which Erika shared.",貝倫卡斯泰露浮現出了，最高貴、…同時也是最卑劣的笑容，將這愉悅與繪梨花共有。,贝伦卡斯泰露浮现出了，最高贵、…同时也是最卑劣的笑容，将这愉悦与绘梨花共有。,"{f:5:Bernkastel} wore a massive...and horrible smile, which Erika shared.","{f:5:Bernkastel} wore a massive...and horrible smile, which Erika shared.","{f:5:Bernkastel} wore a massive...and horrible smile, which Erika shared."
,"......{f:5:Beatrice}'s witch illusions would disappear, and the results of all of the previous games would be painted over.","...{f:5:Beatrice}'s Illusion of the Witch would disappear, and the results in all of the previous games would be painted over. ","......Beatrice's Illusion of the Witch would disappear, and the results in all of the previous games would be painted over.",……ベアトリーチェの魔女幻想は消え去り、これまでのゲームの結果が、塗り替えられる。,……ベアトリーチェの魔女幻想は消え去り、これまでのゲームの結果が、塗り替えられる。,"......Иллюзия ведьмы {f:5:Беатриче} исчезла, и теперь результаты всех предыдущих игр будут переписаны.","......As ilusões da bruxa {f:5:Beatrice} iriam desaparecer, e os resultados de todos os jogos anteriores seriam repintados.","......{f:5:Beatrice}'s witch illusions would disappear, and the results of all of the previous games would be painted over.",……貝阿朵莉切的魔女幻想將會消逝，前幾盤遊戲的結果將被改寫。,……贝阿朵莉切的魔女幻想将会消逝，前几盘游戏的结果将被改写。,"......{f:5:Beatrice}'s witch illusions would disappear, and the results of all of the previous games would be painted over.","......{f:5:Beatrice}'s witch illusions would disappear, and the results of all of the previous games would be painted over.","......{f:5:Beatrice}'s witch illusions would disappear, and the results of all of the previous games would be painted over."
,"It had been crushed in every way possible, ......and only the naked truth remained.","It had been crushed in every way possible, ...and only the naked truth remained. "," It had been crushed in every way possible, ......and only the frank truth remained.",完膚なきまでに破壊され、……剥き出しの真実だけが残った。,完膚なきまでに破壊され、……剥き出しの真実だけが残った。,Она сокрушена всеми возможными способами...... и осталась только откровенная истина.,"Havia sido esmagado de todas as formas possíveis, ......e apenas a verdade nua permaneceu.","It had been crushed in every way possible, ......and only the naked truth remained.",幻想已被徹底破壞，……剩下的僅為，顯露出來的真實。,幻想已被彻底破坏，……剩下的仅为，显露出来的真实。,"It had been crushed in every way possible, ......and only the naked truth remained.","It had been crushed in every way possible, ......and only the naked truth remained.","It had been crushed in every way possible, ......and only the naked truth remained."
,"To Erika, such a weak truth might as well have been fish on a chopping board...",Such a weak truth was no better than fish on the chopping board for Erika... , Such a weak truth was no better than fish on the chopping board for Erika...,そのようなか弱い真実など、ヱリカにとっては俎上の鯉に等しい…。,そのようなか弱い真実など、ヱリカにとっては俎上の鯉に等しい…。,Такая слабая правда для Эрики была всё равно что рыба на разделочной доске...,"Para Erika, tal verdade tão débil era como um peixe na tábua de corte...","To Erika, such a weak truth might as well have been fish on a chopping board...",這種脆弱的真實，對繪梨花來說，等同於俎上魚肉…。,这种脆弱的真实，对绘梨花来说，等同于俎上鱼肉…。,"To Erika, such a weak truth might as well have been fish on a chopping board...","To Erika, such a weak truth might as well have been fish on a chopping board...","To Erika, such a weak truth might as well have been fish on a chopping board..."
