Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,......The sound of crashing waves.,...The sound of crashing waves. ,......The sound of crashing waves.,……波の砕ける音。,……波の砕ける音。,......Грохот волн.,......O barulho das ondas quebrando.,......The sound of crashing waves.,……海浪碎裂之聲。,……海浪碎裂之声。,......The sound of crashing waves.,......The sound of crashing waves.,......The sound of crashing waves.
,The sound of the tide surging. The noise of the sea breeze.,The sound of the tide surging. The noise of the sea breeze. , The sound of the tide surging. The noise of the sea breeze.,潮がうねる音。潮風が騒ぐ音。,潮がうねる音。潮風が騒ぐ音。,Нарастающий прилив. Шум морского бриза.,O sonido da maré subindo. O ruído da brisa marítima.,The sound of the tide surging. The noise of the sea breeze.,波濤起伏之聲。海風呼嘯之聲。,波涛起伏之声。海风呼啸之声。,The sound of the tide surging. The noise of the sea breeze.,The sound of the tide surging. The noise of the sea breeze.,The sound of the tide surging. The noise of the sea breeze.
,"Whenever my headache torments me, these are the sounds that fill my head......","Whenever my headache torments me, these are the sounds that fill my head... "," Whenever my headache torments me, these are the sounds that fill my head......",頭痛に苛まれる時、いつも私の頭を満たすものはそれ……。,頭痛に苛まれる時、いつも私の頭を満たすものはそれ……。,"Когда меня мучает головная боль, голову переполняют эти звуки......","Sempre que minha cabeça me atormenta, são esses os sons que a preenchem......","Whenever my headache torments me, these are the sounds that fill my head......",在受頭痛折磨時，我的腦袋裡總是漲滿了這些東西……。,在受头痛折磨时，我的脑袋里总是涨满了这些东西……。,"Whenever my headache torments me, these are the sounds that fill my head......","Whenever my headache torments me, these are the sounds that fill my head......","Whenever my headache torments me, these are the sounds that fill my head......"
,My inability to bear a successor placed me in a very difficult position within the Ushiromiya family...,"Unable to bear a successor, I was in a very difficult position with regards to the Ushiromiya family... "," Unable to bear a successor, I was in a very difficult position with regards to the Ushiromiya family...",跡継ぎを宿せない私は、右代宮家において、あまりに辛い立場にありました…。,跡継ぎを宿せない私は、右代宮家において、あまりに辛い立場にありました…。,"Неспособная родить преемника, я была в семье Уширомия в очень сложном положении...",Minha incapacidade de dar à luz ao sucessor me colocou em uma posição muito delicada dentro da família Ushiromiya...,My inability to bear a successor placed me in a very difficult position within the Ushiromiya family...,懷不上繼承人的我，在右代宮家，處於過於艱辛的立場…。,怀不上继承人的我，在右代宫家，处于过于艰辛的立场…。,My inability to bear a successor placed me in a very difficult position within the Ushiromiya family...,My inability to bear a successor placed me in a very difficult position within the Ushiromiya family...,My inability to bear a successor placed me in a very difficult position within the Ushiromiya family...
,"I tried every medication that was said to promote fertility, every incense or herb, ......but nothing I tried had any effect.","Whenever I heard of a drug or incense that could make you achieve pregnancy, I tried it, ...but nothing had any effect. "," Whenever I heard of a drug or incense that could make you achieve pregnancy, I tried it......but nothing I tried had any effect.",懐妊できる薬があると聞いては試し、香があると聞いては試し、……様々な試みは、いずれも結実することはありませんでした。,懐妊できる薬があると聞いては試し、香があると聞いては試し、……様々な試みは、いずれも結実することはありませんでした。,"Всякий раз, слыша о препарате или ладане, помогающем забеременеть, я пробовала...... но ничего не помогало.","Eu tentei todo tipo de medicamento que dizia promover a fertilidade, os mais diversos tipos de incensos e ervas, ......mas nada do que tentei teve efeito.","I tried every medication that was said to promote fertility, every incense or herb, ......but nothing I tried had any effect.",聽說有能懷上孕的藥，我去試了，聽說有助孕的香，我也去試了，……嘗試了各種各樣的方法，結果，不論哪種都沒有見效。,听说有能怀上孕的药，我去试了，听说有助孕的香，我也去试了，……尝试了各种各样的方法，结果，不论哪种都没有见效。,"I tried every medication that was said to promote fertility, every incense or herb, ......but nothing I tried had any effect.","I tried every medication that was said to promote fertility, every incense or herb, ......but nothing I tried had any effect.","I tried every medication that was said to promote fertility, every incense or herb, ......but nothing I tried had any effect."
,"Until I was blessed with Jessica 18 years ago, ......I was ashamed to even call myself a wife.","Until I was blessed with Jessica 18 years ago, ...I was ashamed to even call myself a wife. "," Until I was blessed with Jessica 18 years ago......, I was ashamed to even call myself a wife.",１８年前に朱志香を授かるまで……、私は妻と名乗ることさえ、はばかられたのです。,１８年前に朱志香を授かるまで……、私は妻と名乗ることさえ、はばかられたのです。,Пока меня не благословили Джессикой 18 лет назад...... мне было стыдно даже называть себя женой.,"Até ser abençoada com a Jessica 18 anos atrás, ......eu tinha vergonha até de dizer que era a esposa.","Until I was blessed with Jessica 18 years ago, ......I was ashamed to even call myself a wife.",在 18 年前懷上朱志香之前……，我甚至不敢說自己身為人婦。,在 18 年前怀上朱志香之前……，我甚至不敢说自己身为人妇。,"Until I was blessed with Jessica 18 years ago, ......I was ashamed to even call myself a wife.","Until I was blessed with Jessica 18 years ago, ......I was ashamed to even call myself a wife.","Until I was blessed with Jessica 18 years ago, ......I was ashamed to even call myself a wife."
{f:5:Beatrice},"""......The creation of a child depends on the efforts of two people and the whims of heaven. It's not fair to place all the blame on yourself.""","""...Children are created by the efforts of two people and the whims of heaven. It's not fair to place all the blame on yourself."" ","""......The creation of a child depends on the efforts of two people and the whims of heaven. It's not fair to place all the blame on yourself.""",「……子を成すのは、二人の努力と天の気まぐれ。そなたばかりが責められたのでは、割が合わぬな。」,「……子を成すのは、二人の努力と天の気まぐれ。そなたばかりが責められたのでは、割が合わぬな」,"""......Рождение ребёнка зависит от усилий двух людей и прихоти небес. Несправедливо брать всю вину на себя.""","""......A criação de uma criança depende dos esforços de duas pessoas e do capricho dos céus. Não é justo colocar toda culpa em você.""","""......The creation of a child depends on the efforts of two people and the whims of heaven. It's not fair to place all the blame on yourself.""",「……生小孩看的是兩人的努力與上天的心情。盡是指責汝可不公平。」,「……生小孩看的是两人的努力与上天的心情。尽是指责汝可不公平。」,"""......The creation of a child depends on the efforts of two people and the whims of heaven. It's not fair to place all the blame on yourself.""","""......The creation of a child depends on the efforts of two people and the whims of heaven. It's not fair to place all the blame on yourself.""","""......The creation of a child depends on the efforts of two people and the whims of heaven. It's not fair to place all the blame on yourself."""
Ushiromiya Natsuhi,"""I still don't know what caused my inability to become pregnant. I even went to see noted physicians. I underwent humiliating examinations. ......But I was always just told that they didn't understand the reason...""","""I still don't know what caused my inability to become pregnant. I even went to see noted physicians. I underwent humiliating examinations. ...But I was always just told that they didn't understand the reason..."" ","""I still don't know what caused my inability to become pregnant. I even went to see noted physicians. I underwent humiliating examinations. ......But I was always just told that they didn't understand the reason...""",「何が原因で懐妊出来なかったのかは、今となってはわかりません。名医のもとにも通いました。屈辱的な検査も受けました。……しかしいつも、理由はわからないと言われるだけでした…。」,「何が原因で懐妊出来なかったのかは、今となってはわかりません。名医のもとにも通いました。屈辱的な検査も受けました。……しかしいつも、理由はわからないと言われるだけでした…」,"""Я до сих пор не знаю, почему не могла забеременеть. Я даже отмечалась у врачей. Прошла унизительные проверки. ......Но мне всегда говорили только то, что причина неизвестна...""","""Até hoje não sei o que causou a deficiência que não me permitia engravidar.{n}Eu fui aos mais renomados médicos. Me submeti aos mais humilhantes exames. ......Mas tudo o que diziam era sempre que não sabiam qual era o motivo...""","""I still don't know what caused my inability to become pregnant. I even went to see noted physicians. I underwent humiliating examinations. ......But I was always just told that they didn't understand the reason...""",「是因什麼原因而懷不上孕，到現在是沒法搞明白了。去過名醫那裡。受過屈辱的檢查。……然而得到的卻總是一句，原因不明…」,「是因什么原因而怀不上孕，到现在是没法搞明白了。去过名医那里。受过屈辱的检查。……然而得到的却总是一句，原因不明…」,"""I still don't know what caused my inability to become pregnant. I even went to see noted physicians. I underwent humiliating examinations. ......But I was always just told that they didn't understand the reason...""","""I still don't know what caused my inability to become pregnant. I even went to see noted physicians. I underwent humiliating examinations. ......But I was always just told that they didn't understand the reason...""","""I still don't know what caused my inability to become pregnant. I even went to see noted physicians. I underwent humiliating examinations. ......But I was always just told that they didn't understand the reason..."""
{f:5:Beatrice},"""Even though quite some time had passed since your marriage, you still couldn't bear a child. ......I see. It's only natural that Eva, who secretly aspired to become the next head, would start getting ideas...""","""Even though quite some time had passed since your marriage, you still couldn't bear a child. ...I see. It's only natural that Eva, who secretly aspired to become the Successor, would start getting ideas..."" ","""Even though quite some time had passed since your marriage, you still couldn't bear a child. ......I see. It's only natural that Eva, who secretly aspired to become the next head, would start getting ideas...""",「結婚から短くない時間を経て、未だ子を宿せない。……なるほどな。次期当主を密かに狙う絵羽が、首をもたげぬわけもない…。」,「結婚から短くない時間を経て、未だ子を宿せない。……なるほどな。次期当主を密かに狙う絵羽が、首をもたげぬわけもない…」,"""С момента твоего брака прошло достаточно времени, но ты по‐прежнему не могла родить. ......Ясно. Вполне естественно, что Ева, тайно стремившаяся стать следующей главой, напридумывала всякое...""","""Mesmo depois de ter passado um bom tempo desde seu casamento, você ainda não foi capaz de gerar uma criança. ......Entendo. É natural que a Eva, que secretamente aspira se tornar o próximo chefe, começasse a bolar algum plano...""","""Even though quite some time had passed since your marriage, you still couldn't bear a child. ......I see. It's only natural that Eva, who secretly aspired to become the next head, would start getting ideas...""",「自結婚起已經過了一段不短的時間，可汝卻還未懷上孩子。……原來如此。暗中盯著下任當主位子的繪羽，倒是不可能不付諸行動…」,「自结婚起已经过了一段不短的时间，可汝却还未怀上孩子。……原来如此。暗中盯着下任当主位子的绘羽，倒是不可能不付诸行动…」,"""Even though quite some time had passed since your marriage, you still couldn't bear a child. ......I see. It's only natural that Eva, who secretly aspired to become the next head, would start getting ideas...""","""Even though quite some time had passed since your marriage, you still couldn't bear a child. ......I see. It's only natural that Eva, who secretly aspired to become the next head, would start getting ideas...""","""Even though quite some time had passed since your marriage, you still couldn't bear a child. ......I see. It's only natural that Eva, who secretly aspired to become the next head, would start getting ideas..."""
,Eva tried to convince Father that I was a failure as a future head's wife.,Eva tried to convince Father that I was a failure as the Successor's wife. ,Eva tried to convince Father that I was a failure as a future head's wife.,絵羽はお父様に、私は次期当主の妻として失格だと唆しました。,絵羽はお父様に、私は次期当主の妻として失格だと唆しました。,"Ева пыталась убедить отца в том, что я потерпела неудачу как жена будущего главы.",Ela tentou convencer o pai de que eu era uma falha como futura esposa do chefe.,Eva tried to convince Father that I was a failure as a future head's wife.,繪羽向爸挑撥離間，說我作為下任當主的妻子很是失職。,绘羽向爸挑拨离间，说我作为下任当主的妻子很是失职。,Eva tried to convince Father that I was a failure as a future head's wife.,Eva tried to convince Father that I was a failure as a future head's wife.,Eva tried to convince Father that I was a failure as a future head's wife.
