Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
Ushiromiya George,"""......Erika‐chan, huh. She's an odd kid. ...Somehow, I just can't seem to get along well with the young kids these days.""","""...Erika-chan, huh... She's an odd kid. ...Somehow, I just can't seem to get along well with the young kids these days."" ","""......Erika-chan, huh. She's an odd kid. ...Somehow, I just can't seem to get along well with the young kids these days.""",「……ヱリカちゃん、か。ずいぶん変わった子だね。…最近の若い子とは、どうも相性が良くないよ。」,「……ヱリカちゃん、か。ずいぶん変わった子だね。…最近の若い子とは、どうも相性が良くないよ」,"""......Эрика... Странная девочка. По‐моему, я не умею ладить с нынешними детьми.""","""......Erika‐chan, é? Ela é mesmo uma criança estranha. ...Eu simplesmente não consigo me imaginar me dando bem com as crianças de hoje em dia.""","""......Erika‐chan, huh. She's an odd kid. ...Somehow, I just can't seem to get along well with the young kids these days.""",「……繪梨花，麼？這孩子，相當與眾不同呢。…最近的年輕人，總覺得與他們合不來。」,「……绘梨花，么？这孩子，相当与众不同呢。…最近的年轻人，总觉得与他们合不来。」,"""......Erika‐chan, huh. She's an odd kid. ...Somehow, I just can't seem to get along well with the young kids these days.""","""......Erika‐chan, huh. She's an odd kid. ...Somehow, I just can't seem to get along well with the young kids these days.""","""......Erika‐chan, huh. She's an odd kid. ...Somehow, I just can't seem to get along well with the young kids these days."""
Shannon,"""*giggle*. You're still pretty young yourself, George‐san.""","""*giggle* You're still pretty young yourself, George-san."" ","""*giggle* You're still pretty young yourself, George-san.""",「くす。譲治さんだってお若いですよ。」,「くす。譲治さんだってお若いですよ」,"""*хи‐хи* Вы сами ещё очень молоды, Джордж.""","""*risos*. Você ainda é bem jovem, George‐san.""","""*giggle*. You're still pretty young yourself, George‐san.""",「嘻。讓治你也不大喲。」,「嘻。让治你也不大哟。」,"""*giggle*. You're still pretty young yourself, George‐san.""","""*giggle*. You're still pretty young yourself, George‐san.""","""*giggle*. You're still pretty young yourself, George‐san."""
Ushiromiya George,"""Hahaha... I guess it's because I've always been the oldest of the cousins... It's always made me feel like I'm not one of the young ones anymore.""","""Hahaha... I guess it's because I've always been the oldest of the cousins... It's always made me feel like I'm not one of the young ones anymore."" ","""Hahaha... I guess it's because I've always been the oldest of the cousins... It's always made me feel like I'm not one of the young ones anymore.""",「ははは…。いとこで最年長ということもあって、ついつい…。いつも自分がもう若くないって気持ちになっちゃって。」,「ははは…。いとこで最年長ということもあって、ついつい…。いつも自分がもう若くないって気持ちになっちゃって」,"""Ха‐ха‐ха... Я всегда был самым старшим из кузенов... Из‐за этого мне постоянно кажется, что я уже не молод.""","""Hahaha... Acho que é porque eu sempre fui o primo mais velho... Faz com que eu não me sinta mais tão jovem.""","""Hahaha... I guess it's because I've always been the oldest of the cousins... It's always made me feel like I'm not one of the young ones anymore.""",「哈哈哈…。也是有我在堂兄妹中最年長的原因吧，不知不覺…。總是以為，自己已經不小了。」,「哈哈哈…。也是有我在堂兄妹中最年长的原因吧，不知不觉…。总是以为，自己已经不小了。」,"""Hahaha... I guess it's because I've always been the oldest of the cousins... It's always made me feel like I'm not one of the young ones anymore.""","""Hahaha... I guess it's because I've always been the oldest of the cousins... It's always made me feel like I'm not one of the young ones anymore.""","""Hahaha... I guess it's because I've always been the oldest of the cousins... It's always made me feel like I'm not one of the young ones anymore."""
,"George and Shannon could be seen surrounded by the rainy rose garden.{n}Though the rain was still pouring down, there was hardly any wind at all.","George and Shannon could be seen standing in the rainy rose garden. Though the rain was still pouring down, there was hardly any wind at all. ","George and Shannon could be seen standing in the rainy rose garden. Though the rain was still pouring down, there was hardly any wind at all.",譲治と紗音の姿は、雨の薔薇庭園にあった。雨はまだ本降りだが風はほとんどない。,譲治と紗音の姿は、雨の薔薇庭園にあった。{n}雨はまだ本降りだが風はほとんどない。,"Джордж и Шаннон стояли в дождливом розарии.{n}Хотя по‐прежнему лил дождь, ветер был едва заметен.","George e Shannon podiam ser avistados nos arredores do chuvoso jardim de rosas. Ainda estava chuviscando, e praticamente não havia vento algum.","George and Shannon could be seen surrounded by the rainy rose garden.{n}Though the rain was still pouring down, there was hardly any wind at all.",讓治與紗音的身影，在那下著雨的玫瑰庭園中。{n}雖然雨依然下得正酣，但風基本停了。,让治与纱音的身影，在那下着雨的玫瑰庭园中。{n}虽然雨依然下得正酣，但风基本停了。,"George and Shannon could be seen surrounded by the rainy rose garden.{n}Though the rain was still pouring down, there was hardly any wind at all.","George and Shannon could be seen surrounded by the rainy rose garden.{n}Though the rain was still pouring down, there was hardly any wind at all.","George and Shannon could be seen surrounded by the rainy rose garden.{n}Though the rain was still pouring down, there was hardly any wind at all."
,The scant protection provided by the arbor was more than enough to house this secret meeting between lovers.,The scant protection provided by the arbor was more than enough to house this secret meeting between lovers. , The scant protection provided by the arbor was more than enough to house this secret meeting between lovers.,こうして東屋で雨宿りが出来るなら、二人の逢瀬には充分だった。,こうして東屋で雨宿りが出来るなら、二人の逢瀬には充分だった。,Скудного укрытия в виде беседки для тайной встречи влюблённых было более чем достаточно.,"O abrigo da chuva, provido pelo gazebo, era mais do que suficiente para proteger o encontro secreto entre os dois amantes.",The scant protection provided by the arbor was more than enough to house this secret meeting between lovers.,只要能像這樣於亭子中避雨，就已足夠於兩人的幽會。,只要能像这样于亭子中避雨，就已足够于两人的幽会。,The scant protection provided by the arbor was more than enough to house this secret meeting between lovers.,The scant protection provided by the arbor was more than enough to house this secret meeting between lovers.,The scant protection provided by the arbor was more than enough to house this secret meeting between lovers.
,"Following that fight with Erika, the group had decided to play some cards for a change of pace.","Following that fight with Erika, they had decided to play some cards for a change of pace. "," Following that fight with Erika, they had decided to play some cards for a change of pace.",ヱリカと喧嘩別れした彼らは、気分転換にトランプで遊んだ。,ヱリカと喧嘩別れした彼らは、気分転換にトランプで遊んだ。,После той перепалки с Эрикой они решили поиграть в карты для смены темпа.,"Após a discussão com Erika, o grupo das crianças decidiu ir jogar cartas para esvaziar a cabeça.","Following that fight with Erika, the group had decided to play some cards for a change of pace.",與繪梨花鬧翻分道揚鑣的他們，為換換心情玩了一會牌。,与绘梨花闹翻分道扬镳的他们，为换换心情玩了一会牌。,"Following that fight with Erika, the group had decided to play some cards for a change of pace.","Following that fight with Erika, the group had decided to play some cards for a change of pace.","Following that fight with Erika, the group had decided to play some cards for a change of pace."
,"When that was over, Shannon returned to the servant room, .....and shortly after that, George left the room as well to meet Shannon here at the time they had arranged.","When that was over, Shannon had returned to the servant room, ...and shortly after that, George had left his room to meet with Shannon at the time they had arranged. "," When that was over, Shannon had returned to the servant room, .....and shortly after that, George had left his room to meet with Shannon at the time they had arranged.",その後、紗音は使用人室に戻り、……そして遅れて譲治も部屋を出て、約束の時間にここで落ち合ったのだ。,その後、紗音は使用人室に戻り、……そして遅れて譲治も部屋を出て、約束の時間にここで落ち合ったのだ。,"Когда игра закончилась, Шаннон вернулась в комнату слуг..... а вскоре после этого Джордж ушёл из своей комнаты, чтобы встретиться с ней в назначенное время.","Após jogarem, Shannon retornou para a sala dos serviçais, .....e pouco depois, George deixou o quarto para se encontrar com Shannon no horário previamente combinado.","When that was over, Shannon returned to the servant room, .....and shortly after that, George left the room as well to meet Shannon here at the time they had arranged.",在這之後，紗音回了傭人室，……接著再過了一會，讓治也離開房間，在約好的時間於此跟她相會。,在这之后，纱音回了佣人室，……接着再过了一会，让治也离开房间，在约好的时间于此跟她相会。,"When that was over, Shannon returned to the servant room, .....and shortly after that, George left the room as well to meet Shannon here at the time they had arranged.","When that was over, Shannon returned to the servant room, .....and shortly after that, George left the room as well to meet Shannon here at the time they had arranged.","When that was over, Shannon returned to the servant room, .....and shortly after that, George left the room as well to meet Shannon here at the time they had arranged."
Shannon,"""I think kids around Erika‐san's age have a really hard time accepting themselves.""","""I think kids around Erika-san's age have a hard time getting along with themselves, more so than any other age."" ","""I think kids around Erika-san's age have a really hard time accepting themselves.""",「ヱリカさんくらいのお歳の方が、一番、自分自身との付き合い方が難しいと思います。」,「ヱリカさんくらいのお歳の方が、一番、自分自身との付き合い方が難しいと思います」,"""Думаю, детям в возрасте Эрики очень трудно принять самих себя.""","""Eu acredito que crianças da idade da Erika‐san tenham bastante dificuldade de se aceitarem.""","""I think kids around Erika‐san's age have a really hard time accepting themselves.""",「我覺得，像繪梨花小姐這種年紀的人，是最難跟自己相處的。」,「我觉得，像绘梨花小姐这种年纪的人，是最难跟自己相处的。」,"""I think kids around Erika‐san's age have a really hard time accepting themselves.""","""I think kids around Erika‐san's age have a really hard time accepting themselves.""","""I think kids around Erika‐san's age have a really hard time accepting themselves."""
Ushiromiya George,"""......Yeah, that's true. Around that age, most kids are so determined to break out of the shell of childhood that they lash out in all directions with their beaks. Only once they manage to break through can they finally stretch their wings and fly high. ......I was like that too. When I was still inside that shell, I was a weak, deplorable man who didn't deserve any respect.""","""...Yeah, that's true. Around that age, most kids are so determined to free themselves from the shell of childhood that they lash out in all directions with their beaks. When they do break out, they'll finally be free to stretch their wings and fly high. ...I was like that too. My old self, still trapped inside that shell, was a weak, deplorable person who I couldn't really respect."" ","""......Yeah, that's true. Around that age, most kids are so determined to free themselves from the shell of childhood that they lash out in all directions with their beaks. When they do break out, they'll finally be free to stretch their wings and fly high. ......I was like that too. When I was still inside that shell, I was a weak, deplorable man who didn't deserve any respect.""",「……そうだね。子供という殻を打ち破りたくて、辺り構わず嘴を打ちつけるお年頃だね。それを打ち破れて、ようやく大きく羽ばたくことが出来る。……僕もそうだったよ。かつて、まだ殻の中にいた時の自分は、情けなくひ弱な、まるで尊敬できないだった。」,「……そうだね。子供という殻を打ち破りたくて、辺り構わず嘴を打ちつけるお年頃だね。それを打ち破れて、ようやく大きく羽ばたくことが出来る。……僕もそうだったよ。かつて、まだ殻の中にいた時の自分は、情けなくひ弱な、まるで尊敬できない男だった」,"""......Да, верно. Примерно в этом возрасте большинство детей так сильно хотят освободиться от своей детской скорлупы, что бьют клювами во все стороны. А когда вырываются, то наконец могут расправить крылья и высоко взлететь. ......Я тоже был таким. Внутри этой скорлупы я был слабым, скверным человеком, не заслуживающим уважения.""","""......Sim, é verdade. Por volta dessa idade, a maioria das crianças estão tão determinada a saírem de suas cascas que acabam esticando seus braços e pernas em todas as direções para quebrá‐la. Só depois que são capazes de quebrá‐la que elas finalmente podem esticar suas asas e voar. ......Eu também era assim. Quando ainda estava dentro dessa casca, eu era fraco, um homem deplorável que não merecia respeito algum.""","""......Yeah, that's true. Around that age, most kids are so determined to break out of the shell of childhood that they lash out in all directions with their beaks. Only once they manage to break through can they finally stretch their wings and fly high. ......I was like that too. When I was still inside that shell, I was a weak, deplorable man who didn't deserve any respect.""",「……是呢。這年紀，會很想啄破名為“小孩”的蛋殻，不顧一切地向四周亂啄呢。啄破了蛋殻，才能終得大大地伸展羽翼。……我那時也是這樣的喲。過去的，還在殻中時的我自己，是個既沒出息又懦弱的、完全無法尊敬的男人。」,「……是呢。这年纪，会很想啄破名为“小孩”的蛋壳，不顾一切地向四周乱啄呢。啄破了蛋壳，才能终得大大地伸展羽翼。……我那时也是这样的哟。过去的，还在壳中时的我自己，是个既没出息又懦弱的、完全无法尊敬的男人。」,"""......Yeah, that's true. Around that age, most kids are so determined to break out of the shell of childhood that they lash out in all directions with their beaks. Only once they manage to break through can they finally stretch their wings and fly high. ......I was like that too. When I was still inside that shell, I was a weak, deplorable man who didn't deserve any respect.""","""......Yeah, that's true. Around that age, most kids are so determined to break out of the shell of childhood that they lash out in all directions with their beaks. Only once they manage to break through can they finally stretch their wings and fly high. ......I was like that too. When I was still inside that shell, I was a weak, deplorable man who didn't deserve any respect.""","""......Yeah, that's true. Around that age, most kids are so determined to break out of the shell of childhood that they lash out in all directions with their beaks. Only once they manage to break through can they finally stretch their wings and fly high. ......I was like that too. When I was still inside that shell, I was a weak, deplorable man who didn't deserve any respect."""
Shannon,"""Th‐that's not true...""","""Th-That's not true..."" ","""Th, that's not true...""",「そ、そんなことはありません…。」,「そ、そんなことはありません…」,"""Не... неправда...""","""I‐Isso não é verdade...""","""Th‐that's not true...""",「沒、沒這種事…」,「没、没这种事…」,"""Th‐that's not true...""","""Th‐that's not true...""","""Th‐that's not true..."""
