Speaker,Umineko Project (UP),Steam - Umineko Project (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Chinese Simplified (CN),Chinese Traditional (CHT),Italian - Ars Magica - Old (ITA),Italian - Majotachi no Sub - New (IT),Spanish (ES),Arabic (AR),Vietnamese (VI),Indonesian (IDN),Turkish (TR)
,.........The eerie sound of the wind and rain.,...I could hear the eerie sound of wind and rain. ,"......The eerie sound of the wind and rain.",………不気味な雨と、風の音。,………不気味な雨と、風の音。,......Жуткий шум ветра и дождя.,.........O ominoso som do vento e da chuva.,………阴气森森的雨声、风声。,………陰氣森森的雨聲、風聲。,... L'inquietante rumore del vento e della pioggia.,.........The eerie sound of the wind and rain.,... Escuchaba el espeluznante sonido del viento y la lluvia.,.........The eerie sound of the wind and rain.,.........The eerie sound of the wind and rain.,.........The eerie sound of the wind and rain.,.........The eerie sound of the wind and rain.
,"Once again, I hazily regained consciousness on top of the bed...","Once again, I hazily regained consciousness on top of the bed... "," Once again, I hazily regained consciousness on top of the bed...",俺はぼんやりと再び、ベッドの上で意識を取り戻す…。,俺はぼんやりと再び、ベッドの上で意識を取り戻す…。,Я снова в тумане очнулся на кровати...,"Deitado sobre a cama, mais uma vez, vagamente fui recobrando consciência...",我又一次于床上，朦朦胧胧恢复了意识…。,我又一次於床上，朦朦朧朧恢復了意識…。,"Un'altra volta, ripresi coscienza in modo sfocato sul letto...","Once again, I hazily regained consciousness on top of the bed...","Una vez más, vagamente recuperé la consciencia sobre la cama...","Once again, I hazily regained consciousness on top of the bed...","Once again, I hazily regained consciousness on top of the bed...","Once again, I hazily regained consciousness on top of the bed...","Once again, I hazily regained consciousness on top of the bed..."
,The finger that the witch had bitten off......was still attached.,The finger that the witch had bitten off... was attached to my hand. ," The finger that the witch had bitten off.....was still attached.",　魔女に食い千切られた指は、……くっ付いてる。,魔女に食い千切られた指は、……くっ付いてる。,"Палец, откушенный ведьмой...... всё ещё был на месте.",O dedo que a bruxa havia mordido......ainda estava em seu lugar.,被魔女咬断的手指，……还连在手上。,被魔女咬斷的手指，……還連在手上。,Il dito che la strega aveva staccato con un morso. ... Era ancora attaccato.,The finger that the witch had bitten off......was still attached.,El dedo que la bruja me había arrancado... aún estaba unido a mi mano.,The finger that the witch had bitten off......was still attached.,The finger that the witch had bitten off......was still attached.,The finger that the witch had bitten off......was still attached.,The finger that the witch had bitten off......was still attached.
,"I didn't say ""it was all an illusion""......just that it was still attached.","That's not to say that ""it was all an illusion"", but my finger was now attached. "," I didn't say 'it was all an illusion'......just that it was still attached.",あれは幻だった、ではなく、……くっ付いてると、表現する。,あれは幻だった、ではなく、……くっ付いてると、表現する。,"Я не говорю 'это была иллюзия'...... только то, что он по‐прежнему у меня был.","Eu não diria que ""foi tudo uma ilusão""......só porque ele permaneceu onde deveria estar.",那并非是一场幻觉，……所以用“还连在手上”一词来表达。,那並非是一場幻覺，……所以用“還連在手上”一詞來表達。,Non ho detto ‘era tutta un'illusione’... solo che era ancora attaccato.,"I didn't say ""it was all an illusion""......just that it was still attached.","No diría que ""fue todo una ilusión""... solo que aún estaba unido.","I didn't say ""it was all an illusion""......just that it was still attached.","I didn't say ""it was all an illusion""......just that it was still attached.","I didn't say ""it was all an illusion""......just that it was still attached.","I didn't say ""it was all an illusion""......just that it was still attached."
,"...After all, the pain and the teeth marks as though a witch had bitten it.........were still there.","...After all, the pain and the teeth marks as though a witch had bitten it... ...were still there. ","...After all, the pain and the teeth marks as though a witch had bitten it.........were still there.",…なぜなら、魔女に噛まれたかのような歯型と痛みが、……残っていたから。,…なぜなら、魔女に噛まれたかのような歯型と痛みが、……残っていたから。,"...В конце концов, боль и следы от зубов, будто ведьма укусила его...... никуда не пропали.","...Afinal, a dor e as marcas dos dentes da bruxa que o morderam.........ainda estavam ali.",…要问为什么的话，是因为宛如被魔女咬过似的齿痕与痛楚，……还在我的手指上残留着，,…要問為什麼的話，是因為宛如被魔女咬過似的齒痕與痛楚，……還在我的手指上殘留著，,"... Dopotutto, il dolore e i segni di denti come se una strega l'avesse morso... erano ancora lì.","...After all, the pain and the teeth marks as though a witch had bitten it.........were still there.","... Después de todo, el dolor y las marcas de dientes de cuando la bruja lo había mordido... aún estaban ahí.","...After all, the pain and the teeth marks as though a witch had bitten it.........were still there.","...After all, the pain and the teeth marks as though a witch had bitten it.........were still there.","...After all, the pain and the teeth marks as though a witch had bitten it.........were still there.","...After all, the pain and the teeth marks as though a witch had bitten it.........were still there."
,"And yet, the window, which I had supposedly smashed, had been fixed as though it had never been broken in the first place...","And yet, the window, which I had supposedly smashed, had been fixed as though it had never been broken in the first place... "," And yet, the window, which I had supposedly smashed, had been fixed as though it had never been broken in the first place...",なのに叩き割ったはずの窓ガラスは、最初からそうだったかのように平然と直っている…。,なのに叩き割ったはずの窓ガラスは、最初からそうだったかのように平然と直っている…。,"И тем не менее, окно, которое я разбил, было как новым, словно его и вовсе не разбивали...","E ainda, a janela que eu supostamente havia quebrado, estava inteira, como se nunca tivesse sido quebrada...",可是，理应已被敲碎了的窗玻璃，却如一开始即是那样般地恢复了原状…。,可是，理應已被敲碎了的窗玻璃，卻如一開始即是那樣般地恢復了原狀…。,"E tuttavia, la finestra, che avevo apparentemente rotto, era stata aggiustata come se non fosse mai stata rotta...","And yet, the window, which I had supposedly smashed, had been fixed as though it had never been broken in the first place...","Aun así, la ventana, que yo supuestamente había destrozado, había sido reparada como si nunca hubiera estado rota en primer lugar...","And yet, the window, which I had supposedly smashed, had been fixed as though it had never been broken in the first place...","And yet, the window, which I had supposedly smashed, had been fixed as though it had never been broken in the first place...","And yet, the window, which I had supposedly smashed, had been fixed as though it had never been broken in the first place...","And yet, the window, which I had supposedly smashed, had been fixed as though it had never been broken in the first place..."
,.........How can I escape this creepy room?,......How can I escape from this creepy room? ,".........How can I escape this creepy room? ",………俺は、どうすればこの気味の悪い部屋から逃げられるんだ。,………俺は、どうすればこの気味の悪い部屋から逃げられるんだ。,.........Как мне выбраться из этой жуткой комнаты?,.........Como eu posso escapar deste quarto estranho?,………我要怎么做，才能从这令人心里发毛的房间逃出去啊。,………我要怎麼做，才能從這令人心裡發毛的房間逃出去啊。,... Come posso scappare da questa stanza spaventosa?,.........How can I escape this creepy room?,... ¿Cómo puedo escapar de este escalofriante cuarto?,.........How can I escape this creepy room?,.........How can I escape this creepy room?,.........How can I escape this creepy room?,.........How can I escape this creepy room?
,Why am I locked up in this eerie room......all alone...?,Why am I locked up in this eerie room...all alone...? ,"Why am I locked up in this eerie room......all alone...? ",どうして俺だけが、……こんな不気味な部屋に閉じ込められているんだ…。,どうして俺だけが、……こんな不気味な部屋に閉じ込められているんだ…。,Почему я заперт в ней...... совсем один?..,Por que eu estou preso neste quarto sinistro......sozinho...?,为什么偏偏就我一个，……被关在了这种阴森的房间…。,為什麼偏偏就我一個，……被關在了這種陰森的房間…。,Perché sono rinchiuso in questa stanza inquietante... tutto solo...?,Why am I locked up in this eerie room......all alone...?,¿Por qué estoy encerrado en este espeluznante cuarto... completamente solo?...,Why am I locked up in this eerie room......all alone...?,Why am I locked up in this eerie room......all alone...?,Why am I locked up in this eerie room......all alone...?,Why am I locked up in this eerie room......all alone...?
,I want to get out. ......I have to get out. ......Let me out of here.........,"I want to get out. ...I have to get out. ...Please, let me out...... ","I want to get out. ......I have to get out. ......Let me out of here.........",出たい。……出なくちゃ。……ここから出して………。,出たい。……出なくちゃ。……ここから出して………。,Я хочу выйти. ......Мне нужно выйти. ......Выпустите меня отсюда.........,Eu quero sair. ......Eu preciso sair. ......Me deixe sair daqui.........,好想出去。……我得出去。……放我出去吧………。,好想出去。……我得出去。……放我出去吧………。,Voglio uscire. ... Devo uscire. ... Lasciami uscire...,I want to get out. ......I have to get out. ......Let me out of here.........,Quiero salir... Tengo que salir... Déjenme salir de aquí...,I want to get out. ......I have to get out. ......Let me out of here.........,I want to get out. ......I have to get out. ......Let me out of here.........,I want to get out. ......I have to get out. ......Let me out of here.........,I want to get out. ......I have to get out. ......Let me out of here.........
,......The door was sealed with a firm chain.,...The door was sealed with a firm chain. ,"......The door was sealed with a firm chain.",……扉は厳重な鎖によって封じられている。,……扉は厳重な鎖によって封じられている。,......Дверь была перекрыта твёрдой цепью.,......A porta estava selada com uma firme corrente.,……门被夸张的锁链所封住。,……門被誇張的鎖鏈所封住。,... La porta era sigillata con una catena ben salda.,......The door was sealed with a firm chain.,... La puerta estaba sellada con una rígida cadena.,......The door was sealed with a firm chain.,......The door was sealed with a firm chain.,......The door was sealed with a firm chain.,......The door was sealed with a firm chain.
