Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,"Erika was dozing off on the bed, so when a knock sounded on the door, it took some time before she noticed.","Erika was dozing off on her bed, so when a knock sounded on the door, it took some time before she noticed. ","Erika was dozing off on the bed, so when a knock sounded on the door, it took some time before she noticed.",ベッドの上でまどろんでいたヱリカは、扉をノックされているのに気付くのに、しばらくの時間を掛けねばならなかった。,ベッドの上でまどろんでいたヱリカは、扉をノックされているのに気付くのに、しばらくの時間を掛けねばならなかった。,"Эрика задремала на кровати, и когда раздался стук в дверь, она заметила его не сразу.","Erika estava cochilando sobre a cama quando ouviu o som de uma batida na porta, a qual levou algum tempo antes que ela percebesse.","Erika was dozing off on the bed, so when a knock sounded on the door, it took some time before she noticed.",在床上打盹的繪梨花，雖有聽到敲門聲，但要睜開眼，是不得不稍微花了一點點時間。,在床上打盹的绘梨花，虽有听到敲门声，但要睁开眼，是不得不稍微花了一点点时间。,"Erika was dozing off on the bed, so when a knock sounded on the door, it took some time before she noticed.","Erika was dozing off on the bed, so when a knock sounded on the door, it took some time before she noticed.","Erika was dozing off on the bed, so when a knock sounded on the door, it took some time before she noticed."
,She looked at the clock and saw that not much time had passed since she had lain down.,She looked at the clock and saw that not much time had passed since she had lain down. , She looked at the clock and saw that not much time had passed since she had lain down.,時計を見ると、横になってから大して時間は経ってなかった。,時計を見ると、横になってから大して時間は経ってなかった。,"Она посмотрела на часы и увидела, что с тех пор, как она легла, прошло не так много времени.",Ela olhou para o relógio e notou que não havia se passado muito tempo desde que tinha ido se deitar.,She looked at the clock and saw that not much time had passed since she had lain down.,看了下鐘，距躺下並未經過多少時間。,看了下钟，距躺下并未经过多少时间。,She looked at the clock and saw that not much time had passed since she had lain down.,She looked at the clock and saw that not much time had passed since she had lain down.,She looked at the clock and saw that not much time had passed since she had lain down.
Furudo Erika,""".........Yes, who is it? I hope you have a good reason for knocking on the detective's door at an hour like this...""","""......Yes, who is it? I hope you have a good reason for knocking on the detective's door at an hour like this..."" ",""".........Yes, who is it? I hope you have a good reason for knocking on the detective's door at an hour like this...""",「………はい、どちら様ですか。こんな時間に、探偵の部屋をノックするからには、相応の理由はあるんですよね…？」,「………はい、どちら様ですか。こんな時間に、探偵の部屋をノックするからには、相応の理由はあるんですよね…？」,""".........Да, кто там? Надеюсь, у вас есть хорошая причина стучать по двери детектива в такой час...""",""".........Sim, quem seria? Espero que tenha um bom motivo para bater na porta de uma detetive a essa hora da noite...""",""".........Yes, who is it? I hope you have a good reason for knocking on the detective's door at an hour like this...""",「………來了，請問哪位？在這種時間敲偵探房間的門，是有著與此相應的理由吧…？」,「………来了，请问哪位？在这种时间敲侦探房间的门，是有着与此相应的理由吧…？」,""".........Yes, who is it? I hope you have a good reason for knocking on the detective's door at an hour like this...""",""".........Yes, who is it? I hope you have a good reason for knocking on the detective's door at an hour like this...""",""".........Yes, who is it? I hope you have a good reason for knocking on the detective's door at an hour like this..."""
Furudo Erika,"""That's right. ......I have one thing to say before we begin this game.""","""That's right. ...I have one thing to say before we begin this game."" ","""That's right. ......I have one thing to say before we begin this game.""",「そうだ。……今回のゲームを始める前に一つ、宣言があります。」,「そうだ。……今回のゲームを始める前に一つ、宣言があります」,"""Точно. ......Перед началом игры мне нужно кое‐что сказать.""","""É mesmo. ......Eu tenho algo a dizer antes do jogo começar.""","""That's right. ......I have one thing to say before we begin this game.""",「對了。……在本次遊戲開始前，我要先宣言一件事。」,「对了。……在本次游戏开始前，我要先宣言一件事。」,"""That's right. ......I have one thing to say before we begin this game.""","""That's right. ......I have one thing to say before we begin this game.""","""That's right. ......I have one thing to say before we begin this game."""
Ushiromiya Battler,"""Oh, that detective proclamation thing? Knock yourself out.""","""Oh, that detective proclamation thing. Do as you wish."" ","""Oh, that detective proclamation thing. Do as you wish.""",「あぁ、例の探偵宣言とやらか。好きにするがいいぜ。」,「あぁ、例の探偵宣言とやらか。好きにするがいいぜ」,"""А‐а, провозглашение детективом. Делай как знаешь.""","""Ah, seria uma proclamação do detetive? Faça como quiser.""","""Oh, that detective proclamation thing? Knock yourself out.""",「啊，就是那個偵探宣言麼？請自便吧。」,「啊，就是那个侦探宣言么？请自便吧。」,"""Oh, that detective proclamation thing? Knock yourself out.""","""Oh, that detective proclamation thing? Knock yourself out.""","""Oh, that detective proclamation thing? Knock yourself out."""
Furudo Erika,"""No, just the opposite. ......I say we raise the stakes.""","""No, I mean the opposite. ...I say we raise the stakes."" ","""No, I mean the opposite. ......I say we raise the stakes.""",「いいえ、その逆です。……勝負のレートを上げようということです。」,「いいえ、その逆です。……勝負のレートを上げようということです」,"""Нет, я имею в виду обратное. ......Мы повышаем ставки.""","""Não, é justamente o oposto. ......Eu gostaria que aumentássemos as apostas.""","""No, just the opposite. ......I say we raise the stakes.""",「不，正相反。……我想調高勝敗的賠率。」,「不，正相反。……我想调高胜败的赔率。」,"""No, just the opposite. ......I say we raise the stakes.""","""No, just the opposite. ......I say we raise the stakes.""","""No, just the opposite. ......I say we raise the stakes."""
{f:5:Beatrice},""".........Raise...the stakes......?""","""......Raise...the stakes...?"" ",""".........Raise...the stakes...?""",「………勝負のレート、…とは……？」,「………勝負のレート、…とは……？」,""".........Повышаете... ставки?..""",""".........Aumentar...as apostas......?""",""".........Raise...the stakes......?""",「………勝敗的賠率…是指……？」,「………胜败的赔率…是指……？」,""".........Raise...the stakes......?""",""".........Raise...the stakes......?""",""".........Raise...the stakes......?"""
{f:5:Lambdadelta},"""What's this? Now that sounds interesting. What do you mean?""","""What's this? Now that sounds interesting. What do you mean?"" ","""What's this? Now that sounds interesting. What do you mean?""",「何々？　面白そうなことを言い出すじゃない。どういうことよ？」,「何々？　面白そうなことを言い出すじゃない。どういうことよ？」,"""Что‐что? Звучит интересно. Вы о чём?""","""Do que está falando? Agora ficou mais interessante. Ao que se refere?""","""What's this? Now that sounds interesting. What do you mean?""",「什麼什麼？這倒是講出了句挺有意思的話呢？這是指什麼呀？」,「什么什么？这倒是讲出了句挺有意思的话呢？这是指什么呀？」,"""What's this? Now that sounds interesting. What do you mean?""","""What's this? Now that sounds interesting. What do you mean?""","""What's this? Now that sounds interesting. What do you mean?"""
{f:5:Bernkastel},"""......It's simple. Battler got a shot off at us in the last game. So, if Erika does the same in this game, we're only even.""","""...It's simple. Battler got a shot off at us in the last game. So, if Erika does the same in this game, we're only even."" ","""......It's simple. Battler got a shot off at us in the last game. So, if Erika does the same in this game, we're only even.""",「……簡単な話よ。前回のゲームは戦人が一本取ったわ。だから今回、ヱリカが一本を取ってもイーブンにしかならない。」,「……簡単な話よ。前回のゲームは戦人が一本取ったわ。だから今回、ヱリカが一本を取ってもイーブンにしかならない」,"""......Всё просто. В прошлой игре Баттлер нагнул нас. Поэтому в этой игре Эрика должна не просто сравнять счёт.""","""......É bem simples. O Battler nos pegou de jeito no último jogo. Por isso, se a Erika fizer o mesmo neste jogo, estamos quites.""","""......It's simple. Battler got a shot off at us in the last game. So, if Erika does the same in this game, we're only even.""",「……很簡單。上盤遊戲，輸了戰人一局。所以這次，就算繪梨花贏回一局，也就只是勝敗相抵罷了。」,「……很简单。上盘游戏，输了战人一局。所以这次，就算绘梨花赢回一局，也就只是胜败相抵罢了。」,"""......It's simple. Battler got a shot off at us in the last game. So, if Erika does the same in this game, we're only even.""","""......It's simple. Battler got a shot off at us in the last game. So, if Erika does the same in this game, we're only even.""","""......It's simple. Battler got a shot off at us in the last game. So, if Erika does the same in this game, we're only even."""
{f:5:Beatrice},"""Wasn't the last game a tie...?""","""Wasn't the last game a tie...?"" ","""Wasn't the last game a tie...?""",「前回のゲームは、引き分けだったのでは…。」,「前回のゲームは、引き分けだったのでは…」,"""Разве в прошлой игре не была ничья?..""","""O último jogo não terminou empatado...?""","""Wasn't the last game a tie...?""",「上盤遊戲，不是平局嗎…？」,「上盘游戏，不是平局吗…？」,"""Wasn't the last game a tie...?""","""Wasn't the last game a tie...?""","""Wasn't the last game a tie...?"""
