Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,A dreary breeze blew through the golden rose garden... ,A desolate wind blew through the golden rose garden......,A dreary breeze blew through the golden rose garden......,荒涼とした風が、黄金の薔薇庭園を、吹き抜ける……。,荒涼とした風が、黄金の薔薇庭園を、吹き抜ける……。,В золотом розарии дул тоскливый ветер...,Um vento desolado soprou através do jardim de rosas......,A desolate wind blew through the golden rose garden......,荒涼的風，掠過黃金的玫瑰庭園……。,荒凉的风，掠过黄金的玫瑰庭园……。,A desolate wind blew through the golden rose garden......,Una tetra brezza soffiò attraverso il giardino di rose dorate...,A desolate wind blew through the golden rose garden......,A desolate wind blew through the golden rose garden......
,"Shannon and Kanon had already finished walking 19 steps, their backs still facing each other. ","Shannon and Kanon had already finished walking 19 steps, and their backs still faced each other."," Shannon and Kanon had already finished walking 19 steps, their backs still facing each other.",紗音と嘉音は、すでに、１９歩を歩き終えて、背を向けている。,紗音と嘉音は、すでに、１９歩を歩き終えて、背を向けている。,Шаннон и Канон уже закончили отступать на 19 шагов и по‐прежнему стояли спиной друг к другу.,Shannon e Kanon já tinham dado os 19 passos e ainda estavam de costas um para o outro.,"Shannon and Kanon had already finished walking 19 steps, and their backs still faced each other.",紗音和嘉音已經走完了 19 步，正背對背站著。,纱音和嘉音已经走完了 19 步，正背对背站着。,"Shannon and Kanon had already finished walking 19 steps, and their backs still faced each other.","Shannon e Kanon avevano ormai finito di compiere 19 passi, rivolgendo ancora la propria schiena l'uno all'altra.","Shannon and Kanon had already finished walking 19 steps, and their backs still faced each other.","Shannon and Kanon had already finished walking 19 steps, and their backs still faced each other."
,"...When the demons conducting the trial gave the signal, they would both turn...and settle this. ","......At the signal of the demons responsible for this trial, they would both turn.........and settle this.","......When the demons giving the trial gave the signal, they would both turn......and settle this.",……試練の悪魔たちが、合図をすれば、一斉に振り返って、………決着する。,……試練の悪魔たちが、合図をすれば、一斉に振り返って、………決着する。,"......Когда демоны, отводящие испытание, дадут сигнал, они оба повернутся...... и решат исход.","......Ao sinal dos demônios responsáveis pela prova, os dois se virariam.........e decidiriam tudo.","......At the signal of the demons responsible for this trial, they would both turn.........and settle this.",……只要考驗的惡魔們一發出信號，他們就會一齊回頭，………決出勝負。,……只要考验的恶魔们一发出信号，他们就会一齐回头，………决出胜负。,"......At the signal of the demons responsible for this trial, they would both turn.........and settle this.","... Quando i demoni che avevano impartito la prova avrebbero dato il segnale, entrambi si sarebbero voltati... e avrebbero risolto tutto.","......At the signal of the demons responsible for this trial, they would both turn.........and settle this.","......At the signal of the demons responsible for this trial, they would both turn.........and settle this."
,Each had one of the dueling pistols given by the demons in their hands. ,Each of them held one of the dueling pistols that the demons had prepared., Each had one of the dueling pistols given by the demons in their hands.,互いの手には、悪魔たちが用意した、決闘用のピストルが。,互いの手には、悪魔たちが用意した、決闘用のピストルが。,"У каждого в руке был дуэльный пистолет, данный демонами.",Ambos estavam segurando pistolas de duelos que haviam sido preparadas pelos demônios.,Each of them held one of the dueling pistols that the demons had prepared.,他們手上，各自握著惡魔們準備的決鬥手槍。,他们手上，各自握着恶魔们准备的决斗手枪。,Each of them held one of the dueling pistols that the demons had prepared.,Ognuno di loro aveva nelle proprie mani una delle pistole da duello donate loro dai demoni.,Each of them held one of the dueling pistols that the demons had prepared.,Each of them held one of the dueling pistols that the demons had prepared.
,The bullets...promised certain death no matter where on the body they hit. ,The bullets......promised certain death no matter where on the body they hit., The bullets......promised certain death no matter where on the body they hit.,その弾は、体のどこにかすろうと、……絶対の死を約束する。,その弾は、体のどこにかすろうと、……絶対の死を約束する。,"Пули...... обещали верную смерть, куда бы ни попали.","As balas......prometiam uma morte certa, independentemente de qual parte do corpo o tiro atingisse.",The bullets......promised certain death no matter where on the body they hit.,手槍的子彈，只要擦過身體的任何一個部位……就保證絕對會死。,手枪的子弹，只要擦过身体的任何一个部位……就保证绝对会死。,The bullets......promised certain death no matter where on the body they hit.,"I proiettili... promettevano morte certa, qualunque parte del corpo avrebbero colpito.",The bullets......promised certain death no matter where on the body they hit.,The bullets......promised certain death no matter where on the body they hit.
,This duel would not end... ...until one of them died... ,This duel would not end......until one of them died......, This duel would not end......until one of them died......,　二人の、どちらかが死ぬまで、……この決闘は終わらない……。,二人の、どちらかが死ぬまで、……この決闘は終わらない……。,Эта дуэль не закончится...... пока один из них не умрёт......,Este duelo não terminaria......até que um deles morresse......,This duel would not end......until one of them died......,在兩個人當中的其中一方死亡之前，……這場決鬥都不會結束……。,在两个人当中的其中一方死亡之前，……这场决斗都不会结束……。,This duel would not end......until one of them died......,Questo duello non sarebbe terminato... finché uno dei due non sarebbe morto...,This duel would not end......until one of them died......,This duel would not end......until one of them died......
Ushiromiya George,"""........."" ","""..............................""","""............""",「…………………………。」,「…………………………」,"""............""","""..............................""","""..............................""",「…………………………」,「…………………………」,"""..............................""","""...""","""..............................""",""".............................."""
Ushiromiya Jessica,"""........."" ","""...........................""","""............""",「………………………。」,「………………………」,"""............""","""...........................""","""...........................""",「………………………」,「………………………」,"""...........................""","""...""","""...........................""","""..........................."""
,George and Jessica...just quietly watched the ones they loved... ,George and Jessica......just quietly watched the ones they loved...,George and Jessica......just quietly watched the ones they loved...,譲治も朱志香も、……ただ静かに、恋の相方を見守っている…。,譲治も朱志香も、……ただ静かに、恋の相方を見守っている…。,"Джордж и Джессика...... просто молча наблюдали за теми, кого любят...",George e Jessica......observaram em silêncio aqueles quem eles amavam...,George and Jessica......just quietly watched the ones they loved...,讓治和朱志香，……都只是靜靜地，凝視著自己的戀人…。,让治和朱志香，……都只是静静地，凝视着自己的恋人…。,George and Jessica......just quietly watched the ones they loved...,George e Jessica... guardavano in silenzio coloro che amavano...,George and Jessica......just quietly watched the ones they loved...,George and Jessica......just quietly watched the ones they loved...
,"They had already entrusted all of their thoughts to them, ...as well as their fates. ",They had already entrusted all of their thoughts to them...and their fates., They had already entrusted all of their thoughts to them...and their fates.,もはや、全ての思いも命運も、託した。,もはや、全ての思いも命運も、託した。,Они уже доверили им все свои мысли... и судьбы.,Eles já haviam confiado todos os seus sentimentos a eles...e também seus destinos.,They had already entrusted all of their thoughts to them...and their fates.,早已將所有的感情和命運都托付給了他們。,早已将所有的感情和命运都托付给了他们。,They had already entrusted all of their thoughts to them...and their fates.,Avevano già affidato loro i propri pensieri... e i propri destini.,They had already entrusted all of their thoughts to them...and their fates.,They had already entrusted all of their thoughts to them...and their fates.
