Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
{f:5:Bernkastel},"""......Lambda, ...where are you...?"" ","""............Lambda, ......where are you......?""",""".........Lambda......where are you......?""",「…………ラムダ、……どこ……？」,「…………ラムダ、……どこ……？」,""".........Лямбда...... где ты?..""","""............Lambda, ......cadê você......?""","""............Lambda, ......where are you......?""",「…………拉姆達，……在哪裡……？」,「…………拉姆达，……在哪里……？」,"""............Lambda, ......where are you......?""","""... Lambda... dove sei...?""","""............Lambda, ......where are you......?""","""............Lambda, ......where are you......?"""
,"Just having to say that felt like admitting defeat, ...and I didn't like it. ",Just having to say that felt like admitting defeat......and I didn't like it.,Just having to say that felt like admitting defeat......and I didn't like it.,それを口に出すこと自体が、ある種の敗北を認めたようで、……ちょっぴり悔しい。,それを口に出すこと自体が、ある種の敗北を認めたようで、……ちょっぴり悔しい。,"Просто должна сказать, что признавать поражение...... было неприятно.",Simplesmente ter que dizer isso faz parecer que estou admitindo a derrota......eu não gosto disso.,Just having to say that felt like admitting defeat......and I didn't like it.,說出這句話這件事本身，就像是承認了某種失敗一樣，……於是感到有點後悔。,说出这句话这件事本身，就像是承认了某种失败一样，……于是感到有点后悔。,Just having to say that felt like admitting defeat......and I didn't like it.,Solo dover dire così era come ammettere la sconfitta... e non mi piaceva.,Just having to say that felt like admitting defeat......and I didn't like it.,Just having to say that felt like admitting defeat......and I didn't like it.
,"Why is it that she's always so obnoxious and clingy when I don't need her, ...and then won't answer when I call her name? ","Why is it that she's always so obnoxious and clingy when I don't need her, ......and then won't answer when I call her name?"," Why is it that she's always so obnoxious and clingy when I don't need her, ......and then won't answer when I call her name.",頼みもしない時にばかり、うるさく纏わり付いてくるくせに、……珍しく名前を呼んでやったら返事もしないなんて、………馬鹿にしてる。,頼みもしない時にばかり、うるさく纏わり付いてくるくせに、……珍しく名前を呼んでやったら返事もしないなんて、………馬鹿にしてる。,"Почему она всегда так несносна и надоедлива, когда не нужна...... но не отвечает, когда я зову её?","Por que ela é sempre tão obnóxia e sempre grudenta quando eu não preciso dela, ......mas nunca responde quando eu chamo pelo nome dela?","Why is it that she's always so obnoxious and clingy when I don't need her, ......and then won't answer when I call her name?",明明總是在不需要的時候，糾纏不休死纏不放，……難得叫聲名字卻連回都不回一下，………把我當白痴一樣。,明明总是在不需要的时候，纠缠不休死缠不放，……难得叫声名字却连回都不回一下，………把我当白痴一样。,"Why is it that she's always so obnoxious and clingy when I don't need her, ......and then won't answer when I call her name?",Perché è sempre così sgradevole e appiccicosa quando non ho bisogno di lei... e poi non risponde quando la chiamo?,"Why is it that she's always so obnoxious and clingy when I don't need her, ......and then won't answer when I call her name?","Why is it that she's always so obnoxious and clingy when I don't need her, ......and then won't answer when I call her name?"
,Where...am I...? ,Where.........am I......?, Where......am I......? ,ここは、………どこなの……？,ここは、………どこなの……？,Где...... я?..,Onde.........eu estou......?,Where.........am I......?,這裡是，………哪裡……？,这里是，………哪里……？,Where.........am I......?,Dove... sono...?,Where.........am I......?,Where.........am I......?
,"Annoyed by the completely predictable ending, I'd left the cathedral. ","Annoyed by the completely predictable ending, I had left the cathedral.","Annoyed by the completely predictable ending, I had left the cathedral.",完全にオチの見えた展開で馬鹿らしくなり、私は大聖堂を出たはずなのだ。,完全にオチの見えた展開で馬鹿らしくなり、私は大聖堂を出たはずなのだ。,"Раздражённая предсказуемым концом, я покинула собор.","Incomodada com o final extremamente previsível, eu deixei a catedral.","Annoyed by the completely predictable ending, I had left the cathedral.",由於完全看得到結局的展開真是無聊，我應該是離開了大聖堂。,由于完全看得到结局的展开真是无聊，我应该是离开了大圣堂。,"Annoyed by the completely predictable ending, I had left the cathedral.","Infastidita dalla conclusione del tutto prevedibile, avevo lasciato la cattedrale.","Annoyed by the completely predictable ending, I had left the cathedral.","Annoyed by the completely predictable ending, I had left the cathedral."
,...I'd planned on finding some terrace with a cool night's breeze to kill time on until the end of that farcical reception. ,......I had planned on finding some terrace with a cool night's breeze...where I could kill time until the end of that farcical reception.,......I had planned on finding some terrace with a cool night's breeze to kill time on until the end of that farcical reception.,……どこか、涼しい夜風の当たるテラスでも見つけたら、そこで茶番の披露宴が終わるまで時間でも潰してるつもりだった。,……どこか、涼しい夜風の当たるテラスでも見つけたら、そこで茶番の披露宴が終わるまで時間でも潰してるつもりだった。,"......Я хотела найти террасу с прохладным ночным ветерком, чтобы убить время до конца этого фарсового приёма.",......Eu pretendia encontrar algum terraço com uma agradável brisa noturna...onde eu pudesse matar tempo até o fim daquela recepção ardil.,......I had planned on finding some terrace with a cool night's breeze...where I could kill time until the end of that farcical reception.,……打算在哪，找著個吹著涼爽夜風的陽台的話，就在那消磨時間直到那個滑稽的婚宴結束為止。,……打算在哪，找着个吹着凉爽夜风的阳台的话，就在那消磨时间直到那个滑稽的婚宴结束为止。,......I had planned on finding some terrace with a cool night's breeze...where I could kill time until the end of that farcical reception.,... Avevo in mente di trovare qualche terrazzo con una fresca brezza nottura per ammazzare il tempo fino alla fine di quel ridicolo ricevimento.,......I had planned on finding some terrace with a cool night's breeze...where I could kill time until the end of that farcical reception.,......I had planned on finding some terrace with a cool night's breeze...where I could kill time until the end of that farcical reception.
{f:5:Bernkastel},"""...It's true that I tried to find somewhere desolate so that I wouldn't have to look at people, ...but this is a bit ridiculous."" ","""......It's true that I tried to find somewhere desolate so that I didn't have to look at people, .........but this is a bit ridiculous.""","""......It's true that I tried to find somewhere desolate so that I didn't have to look at people, ......but this is a bit ridiculous.""",「……確かに、人の顔を見たくなかったから、ひと気のない方へばかり進んだけど。………さすがに、これはいないにも程があるわ。」,「……確かに、人の顔を見たくなかったから、ひと気のない方へばかり進んだけど。………さすがに、これはいないにも程があるわ」,"""......Да, я хотела найти уединённое местечко, чтобы не видеть их всех...... но это уже слишком.""","""......É verdade que eu tentei encontrar um lugar desolado para que eu não precisasse olhar para as pessoas, .........mas isso é um pouco ridículo.""","""......It's true that I tried to find somewhere desolate so that I didn't have to look at people, .........but this is a bit ridiculous.""",「……雖然，確實是因為不想看見人臉，所以一直朝著沒人的地方前進。………不過再怎麼說，這沒人也要有個限度。」,「……虽然，确实是因为不想看见人脸，所以一直朝着没人的地方前进。………不过再怎么说，这没人也要有个限度。」,"""......It's true that I tried to find somewhere desolate so that I didn't have to look at people, .........but this is a bit ridiculous.""","""... È vero che ho provato a trovare qualche posto desolato così che non dovessi guardare la gente... ma così è esagerato.""","""......It's true that I tried to find somewhere desolate so that I didn't have to look at people, .........but this is a bit ridiculous.""","""......It's true that I tried to find somewhere desolate so that I didn't have to look at people, .........but this is a bit ridiculous."""
,"I, the great {f:5:Bernkastel}, ...am lost? ","I, the great {f:5:Bernkastel}, ......am lost?","I, the great Bernkastel, ......am lost? ",この、大ベルンカステルが、……迷子？,この、大ベルンカステルが、……迷子？,"Я, великая {f:5:Бернкастель}...... потерялась?","Eu, a Grande {f:5:Bernkastel}, ......perdi?","I, the great {f:5:Bernkastel}, ......am lost?",我，大貝倫卡斯泰露，……竟然迷路了？,我，大贝伦卡斯泰露，……竟然迷路了？,"I, the great {f:5:Bernkastel}, ......am lost?","Io, la grande Bernkastel... mi sono persa?","I, the great {f:5:Bernkastel}, ......am lost?","I, the great {f:5:Bernkastel}, ......am lost?"
,A miracle like that certainly wouldn't happen. ,A miracle like that certainly couldn't happen.,A miracle like that certainly couldn't happen.,そんな奇跡、絶対に起こるものか。,そんな奇跡、絶対に起こるものか。,Такое чудо невозможно.,Um milagre que certamente não poderia existir.,A miracle like that certainly couldn't happen.,這樣的奇跡，怎麼可能出現？,这样的奇迹，怎么可能出现？,A miracle like that certainly couldn't happen.,Un miracolo come questo certamente non può succedere.,A miracle like that certainly couldn't happen.,A miracle like that certainly couldn't happen.
,"Yes, ...miracles don't exist in this world. ",Yes...miracles don't exist in this world., Yes...miracles don't exist in this world.,そう、この世に奇跡なんて、存在しない。,そう、この世に奇跡なんて、存在しない。,"Да, в этом мире не бывает чудес.",Sim...milagres não existem neste mundo.,Yes...miracles don't exist in this world.,對，這個世界的奇跡什麼的，是不存在的。,对，这个世界的奇迹什么的，是不存在的。,Yes...miracles don't exist in this world.,Già... i miracoli non esistono in questo mondo.,Yes...miracles don't exist in this world.,Yes...miracles don't exist in this world.
,"To create a miracle, you need ""an amount of time that can never be reached"", a period that's no different from infinity. ","To create a miracle, you need ""an amount of time that can never be reached"", a period that is no different from infinity."," To create a miracle, you need 'an amount of time that can never be reached', a period that is no different from infinity.",奇跡を生み出すには、無限に等しい時間という、“決して訪れぬ時間”が必要になのだから。,奇跡を生み出すには、無限に等しい時間という、“決して訪れぬ時間”が必要なのだから。,"На сотворение чуда нужно 'время, которого никогда не хватает', период, неотличимый от бесконечности.","Para criar um milagre, você precisa de ""uma quantia de tempo que nunca poderá ser alcançada"", um período de tempo que não se difere do infinito.","To create a miracle, you need ""an amount of time that can never be reached"", a period that is no different from infinity.",因為要生出奇跡，是需要“等同於無限的時間”這種，“絕對不會來臨的時間”的。,因为要生出奇迹，是需要“等同于无限的时间”这种，“绝对不会来临的时间”的。,"To create a miracle, you need ""an amount of time that can never be reached"", a period that is no different from infinity.","Per creare un miracolo, si ha bisogno di ‘una quantità di tempo che non può mai essere raggiunta’, un periodo non diverso da infinito.","To create a miracle, you need ""an amount of time that can never be reached"", a period that is no different from infinity.","To create a miracle, you need ""an amount of time that can never be reached"", a period that is no different from infinity."
