Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,"Quietly, quietly, ......the rain fell down.","Quietly, quietly. ...The rain fell down. ","Quietly, quietly.......The rain fell down.",静かに、静かに。……雨が降っている。,静かに、静かに。……雨が降っている。,"Тихо, тихо. ......Падал дождь.","Silenciosa e silenciosamente, ......a chuva caía.","Quietly, quietly, ......the rain fell down.",雨。……靜靜地、靜靜地下著。,雨。……静静地、静静地下着。,"Quietly, quietly, ......the rain fell down.","Quietly, quietly, ......the rain fell down.","Quietly, quietly, ......the rain fell down."
,"The rain of sadness dripped down the outer walls of the chapel, quietly washing away the dust of the world of the living.","The rain of sadness dripped down the outer walls of the chapel, quietly washing away the dust of the world of the living. "," The rain of sadness dripped down the outer walls of the chapel, quietly washing away the dust of the world of the living.",悲しみの雨は、礼拝堂の外壁を濡らして流し、現世の塵を静かに払う。,悲しみの雨は、礼拝堂の外壁を濡らして流し、現世の塵を静かに払う。,"Дождь печали капал по внешним стенам часовни, тихо смывая пыль мира живых.","A chuva da tristeza escorria pelas paredes externas da capela, silenciosamente lavando a poeira do mundo dos vivos.","The rain of sadness dripped down the outer walls of the chapel, quietly washing away the dust of the world of the living.",悲傷的雨，淋濕了禮拜堂的外壁，緩緩淌下，靜靜掃去了現世凡塵。,悲伤的雨，淋湿了礼拜堂的外壁，缓缓淌下，静静扫去了现世凡尘。,"The rain of sadness dripped down the outer walls of the chapel, quietly washing away the dust of the world of the living.","The rain of sadness dripped down the outer walls of the chapel, quietly washing away the dust of the world of the living.","The rain of sadness dripped down the outer walls of the chapel, quietly washing away the dust of the world of the living."
,The chapel doors were open.,The chapel doors were open. , The chapel doors were open.,礼拝堂の扉は開かれていた。,礼拝堂の扉は開かれていた。,Двери были открыты.,As portas da capela estavam abertas.,The chapel doors were open.,禮拜堂開著門。,礼拜堂开着门。,The chapel doors were open.,The chapel doors were open.,The chapel doors were open.
,"For a wedding, only those with invitations would be allowed in.","During a wedding, only those with invitations are allowed inside. "," For a wedding, only those with invitations would be allowed in.",婚儀ならば、参列者は招待状を持つ者に限られる。,婚儀ならば、参列者は招待状を持つ者に限られる。,На свадьбу туда пускали бы только по приглашениям.,"Em casamentos, apenas aqueles com convite têm permissão para entrar.","For a wedding, only those with invitations would be allowed in.",如若是婚禮，那參禮者就僅限於有請柬之人。,如若是婚礼，那参礼者就仅限于有请柬之人。,"For a wedding, only those with invitations would be allowed in.","For a wedding, only those with invitations would be allowed in.","For a wedding, only those with invitations would be allowed in."
,"However, for a funeral, the doors would be open for all those who remembered the deceased.","However, during a funeral, the doors are open to all who remember the deceased. "," However, for a funeral, the doors would be open for all those who remembered the deceased.",しかし、葬儀ならば、故人を偲ぶ者すべてに、扉は開かれている。,しかし、葬儀ならば、故人を偲ぶ者すべてに、扉は開かれている。,"Однако на похоронах двери открыты для всех, кто вспомнит покойного.","Mas, em um funeral, as portas ficam abertas para todos aqueles que relembram os mortos.","However, for a funeral, the doors would be open for all those who remembered the deceased.",不過，換成葬禮，大門就會向所有緬懷故人的人們敞開。,不过，换成葬礼，大门就会向所有缅怀故人的人们敞开。,"However, for a funeral, the doors would be open for all those who remembered the deceased.","However, for a funeral, the doors would be open for all those who remembered the deceased.","However, for a funeral, the doors would be open for all those who remembered the deceased."
,"......So, this must be a funeral.","...So, this must be a funeral. ","......So, this must be a funeral.",……だからこれは、葬儀に違いなかった。,……だからこれは、葬儀に違いなかった。,"......Поэтому, стало быть, там проводились похороны.","......Logo, isso só poderia ser um funeral.","......So, this must be a funeral.",……所以，這無疑是葬禮。,……所以，这无疑是葬礼。,"......So, this must be a funeral.","......So, this must be a funeral.","......So, this must be a funeral."
,A figure holding an umbrella approached the chapel.,A shadow holding an umbrella approached the chapel. , A shadow holding an umbrella approached the chapel.,傘を持つ人影が、礼拝堂へ近付いていく。,傘を持つ人影が、礼拝堂へ近付いていく。,"К часовне подошла тень, держащая зонтик.","Uma figura, segurando um guarda‐chuva, aproximou‐se da capela.",A figure holding an umbrella approached the chapel.,拿著傘的人影，漸漸靠近禮拜堂。,拿着伞的人影，渐渐靠近礼拜堂。,A figure holding an umbrella approached the chapel.,A figure holding an umbrella approached the chapel.,A figure holding an umbrella approached the chapel.
,It was......Will.,It was...Will. , It was......Will.,それは、……ウィルだった。,それは、……ウィルだった。,......Уилл.,Era......Will.,It was......Will.,此人是，……威爾。,此人是，……威尔。,It was......Will.,It was......Will.,It was......Will.
Willard H. Wright,"""...........................""","""............"" ","""............""",「………………………。」,「………………………」,"""............""","""...........................""","""...........................""",「………………………」,「………………………」,"""...........................""","""...........................""","""..........................."""
,A reception desk had been set up in the entrance to the chapel.,A reception desk had been set up at the chapel's entrance. ,A reception desk had been set up in the entrance to the chapel.,礼拝堂の入口には机が出され、受付が設けられていた。,礼拝堂の入口には机が出され、受付が設けられていた。,При входе в часовню стояла приёмная стойка.,Foi montada uma recepção em frente à capela.,A reception desk had been set up in the entrance to the chapel.,禮拜堂的入口放著張桌子，此處設有一個接待處。,礼拜堂的入口放着张桌子，此处设有一个接待处。,A reception desk had been set up in the entrance to the chapel.,A reception desk had been set up in the entrance to the chapel.,A reception desk had been set up in the entrance to the chapel.
