Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
Willard H. Wright,"""............"" ","""........................""",""".........""",「……………………。」,「……………………」,""".........""","""........................""","""........................""",「……………………」,「……………………」,"""........................""","""...""","""........................""","""........................"""
,"""...This form is..."" ","""............This form is......""","""......This form is...""",「…………この姿は……、」,「…………この姿は……、」,"""......Эта внешность...""","""............Esta forma é......""","""............This form is......""",「…………這副模樣是……，」,「…………这副模样是……，」,"""............This form is......""","""... Questa forma è...""","""............This form is......""","""............This form is......"""
{f:5:Bernkastel},"""I'm lending it to you. After all, I hate idiots. ...*giggle*giggle* Call yourself Clair, as a temporary name. Or would you prefer Beato?"" ","""I'm lending it to you. After all, I hate idiots. ......*giggle*giggle*. Call yourself Clair, as a temporary name. Or would you prefer Beato?""","""I'm lending it to you. After all, I hate idiots. ......*giggle*giggle*. Call yourself Clair, as a temporary name. Or would you prefer Beato?""",「貸してあげるわ。私、馬鹿は嫌いだから。……くすくすくすくす。仮の名として、クレルと名乗りなさい。それとも、ベアトがいい？」,「貸してあげるわ。私、馬鹿は嫌いだから。……くすくすくすくす。仮の名として、クレルと名乗りなさい。それとも、ベアトがいい？」,"""Возьми на время. Ненавижу идиотов. ......*хи‐хи*хи‐хи*. Можешь временно называть себя Клэр. Или ты предпочитаешь Беато?""","""Estou emprestando ela a você. Afinal, eu odeio idiotas. ......*risos*risos*.{n}Chame a si de Clair, será um nome temporário. Ou você prefere Beato?""","""I'm lending it to you. After all, I hate idiots. ......*giggle*giggle*. Call yourself Clair, as a temporary name. Or would you prefer Beato?""",「是我借你的哦。畢竟，我討厭不動腦的笨蛋。……嘻嘻嘻嘻。作為化名，你就稱自己為克蕾爾吧。還是說，想叫貝阿朵？」,「是我借你的哦。毕竟，我讨厌不动脑的笨蛋。……嘻嘻嘻嘻。作为化名，你就称自己为克蕾尔吧。还是说，想叫贝阿朵？」,"""I'm lending it to you. After all, I hate idiots. ......*giggle*giggle*. Call yourself Clair, as a temporary name. Or would you prefer Beato?""","""Te la concedo in prestito. Dopotutto, odio gli idioti. ... *giggle*giggle*. {n}Chiamati Clair, come nome temporaneo. O preferiresti Beato?""","""I'm lending it to you. After all, I hate idiots. ......*giggle*giggle*. Call yourself Clair, as a temporary name. Or would you prefer Beato?""","""I'm lending it to you. After all, I hate idiots. ......*giggle*giggle*. Call yourself Clair, as a temporary name. Or would you prefer Beato?"""
Clair,"""...... ...You have my gratitude. This way, I won't have to expose my pitiful form."" ","""........................ ...You have my gratitude. This way, I won't have to expose my pitiful form.""","""...............You have my gratitude. This way, I won't have to expose my pitiful form.""",「……………………。……感謝します。みすぼらしい姿を晒さずに済みます。」,「……………………。……感謝します。みすぼらしい姿を晒さずに済みます」,"""...............Примите мою благодарность. Так мне не придётся раскрывать свою убогую внешность.""","""........................ ...Você tem minha gratidão. Assim, eu não precisarei expor a minha miserável forma.""","""........................ ...You have my gratitude. This way, I won't have to expose my pitiful form.""",「……………………。……感謝。這下就不用暴露出我寒磣的外表了。」,「……………………。……感谢。这下就不用暴露出我寒碜的外表了。」,"""........................ ...You have my gratitude. This way, I won't have to expose my pitiful form.""","""... Hai la mia gratitudine. In questo modo, non dovrò esporre il mio patetico aspetto.""","""........................ ...You have my gratitude. This way, I won't have to expose my pitiful form.""","""........................ ...You have my gratitude. This way, I won't have to expose my pitiful form."""
,{f:5:Bernkastel} had given Clair a fake form. ,{f:5:Bernkastel} had given this person a fake form.,Bernkastel had given Clair a fake form.,ベルンカステルにより、偽りの姿が与えられる。,ベルンカステルにより、偽りの姿が与えられる。,{f:5:Бернкастель} дала Клэр фальшивую внешность.,{f:5:Bernkastel} deu uma forma àquela pessoa.,{f:5:Bernkastel} had given this person a fake form.,她被貝倫卡斯泰露給予了虛假的外觀。,她被贝伦卡斯泰露给予了虚假的外观。,{f:5:Bernkastel} had given this person a fake form.,Bernkastel aveva dato a Clair un aspetto fittizio.,{f:5:Bernkastel} had given this person a fake form.,{f:5:Bernkastel} had given this person a fake form.
,"It was a temporary form, for the person acting the part of {f:5:Beatrice}. A fake to fool those who still hadn't discovered {f:5:Beatrice}'s true form... ",It was a temporary form for the person acting the part of {f:5:Beatrice}.{n}A false appearance intended for those yet to reach the truth of {f:5:Beatrice}'s identity......," It was a temporary form, for the person acting the part of Beatrice. A fake to fool those who still hadn't discovered Beatrice's true form......",これは、ベアトリーチェを演じる者の、仮の姿。ベアトリーチェの正体に未だ至れぬ者へのまやかし……。,これは、ベアトリーチェを演じる者の、仮の姿。{n}ベアトリーチェの正体に未だ至れぬ者へのまやかし……。,"Временную внешность для лица, играющего роль {f:5:Беатриче}.{n}Подделку для обмана тех, кто ещё не раскрыл её истинный облик......",Era uma forma temporária para a pessoa que atuaria o papel de {f:5:Beatrice}.{n}Uma falsa aparência pretendida por aqueles que ainda não alcançaram a verdadeira identidade de {f:5:Beatrice}......,It was a temporary form for the person acting the part of {f:5:Beatrice}.{n}A false appearance intended for those yet to reach the truth of {f:5:Beatrice}'s identity......,此乃，扮演貝阿朵莉切之人的，虛假的模樣。{n}向還未抵達貝阿朵莉切真面目的人展示的，虛幻……。,此乃，扮演贝阿朵莉切之人的，虚假的模样。{n}向还未抵达贝阿朵莉切真面目的人展示的，虚幻……。,It was a temporary form for the person acting the part of {f:5:Beatrice}.{n}A false appearance intended for those yet to reach the truth of {f:5:Beatrice}'s identity......,"Era una forma temporanea, per la persona che recitava il ruolo di Beatrice. {n}Un falso per ingannare quelli che ancora non avevano scoperto la vera identità di Beatrice...",It was a temporary form for the person acting the part of {f:5:Beatrice}.{n}A false appearance intended for those yet to reach the truth of {f:5:Beatrice}'s identity......,It was a temporary form for the person acting the part of {f:5:Beatrice}.{n}A false appearance intended for those yet to reach the truth of {f:5:Beatrice}'s identity......
Ushiromiya Lion,"""...Then... is this a tale... about me in another world?"" ","""......Is that......a story about......me in another world?""","""......Then... is this a tale... about me in another world?""",「……それが、……異なる世界の、…私の物語、なのですか。」,「……それが、……異なる世界の、…私の物語、なのですか」,"""......Значит... эта история... обо мне в другом мире?""","""......Esta é......uma história sobre mim......em outro mundo?""","""......Is that......a story about......me in another world?""",「……這就是，……不同的世界的，…我的故事，嗎？」,「……这就是，……不同的世界的，…我的故事，吗？」,"""......Is that......a story about......me in another world?""","""... Quindi... questa è una storia... su di me in un altro mondo?""","""......Is that......a story about......me in another world?""","""......Is that......a story about......me in another world?"""
Clair,"""Lion, ...this is indeed a tale of you in another world, and also my tale. ...The tale of a world where I live as a witch, not a Human..."" ","""Lion. ......It is a tale about me, who is also another world's you. ......The tale of the world where I live as a witch, not a {y:0:Human}{n:0:human}...""","""Lion. ......This is a tale of you in another world, and also my tale. ......The tale of the world where I live as a witch, not a human...""",「理御。……これが、異なる世界のあなたにして我の物語。……私がニンゲンとしてでなく、魔女として生きる世界の物語…。」,「理御。……これが、異なる世界のあなたにして我の物語。……私がニンゲンとしてでなく、魔女として生きる世界の物語…」,"""Лион. ......Это история о тебе в другом мире, а также моя история. ......История о мире, в котором я живу как ведьма, а не {y:0:Человек}{n:0:человек}...""","""Lion. ......É um conto sobre mim, que também é sobre você em outro mundo. ......O conto do mundo onde vivo como uma bruxa, não um ser {y:0:Humano}{n:0:humano}...""","""Lion. ......It is a tale about me, who is also another world's you. ......The tale of the world where I live as a witch, not a {y:0:Human}{n:0:human}...""",「理御。……這就是，不同的世界的你與我的故事。……我不作為人類，作為魔女地活著的世界的故事…」,「理御。……这就是，不同的世界的你与我的故事。……我不作为人类，作为魔女地活着的世界的故事…」,"""Lion. ......It is a tale about me, who is also another world's you. ......The tale of the world where I live as a witch, not a {y:0:Human}{n:0:human}...""","""Lion. ... Questa è una tua storia in un altro mondo, e anche la mia. ... La storia di un mondo in cui vivo come strega, non come essere umano...""","""Lion. ......It is a tale about me, who is also another world's you. ......The tale of the world where I live as a witch, not a {y:0:Human}{n:0:human}...""","""Lion. ......It is a tale about me, who is also another world's you. ......The tale of the world where I live as a witch, not a {y:0:Human}{n:0:human}..."""
Ushiromiya Lion,"""......I am capable of imagining ""what if"" scenarios for my own life. ...However, the tale you tell... ...is beyond anything I can imagine..."" ","""............I sometimes imagine ""what if"" scenarios for my own life. ......However, ......the tale you tell......is beyond anything...I can imagine...""",""".........I am capable of imagining 'what if' scenarios for my own life. ......However, the tale you tell......is beyond anything I can imagine...""",「…………私も、自分の人生に、もしもを想像することはあります。……しかし、……あなたの話す物語は、……私の想像を、超え過ぎている…。」,「…………私も、自分の人生に、もしもを想像することはあります。……しかし、……あなたの話す物語は、……私の想像を、超え過ぎている…」,""".........Я могу представить сценарии своей жизни 'а что если'. ......Ho... история, которую ты рассказываешь...... превзошла все мои ожидания...""","""............Às vezes, eu também imagino cenários ""e se"" da minha própria vida. ......Contudo, ......o conto que contou......está além de qualquer coisa...que eu possa imaginar...""","""............I sometimes imagine ""what if"" scenarios for my own life. ......However, ......the tale you tell......is beyond anything...I can imagine...""",「…………我也曾想像過，自己的人生若有個萬一會變成怎樣。……但是，……你所講的故事，……太過超越，我的想像了…」,「…………我也曾想象过，自己的人生若有个万一会变成怎样。……但是，……你所讲的故事，……太过超越，我的想象了…」,"""............I sometimes imagine ""what if"" scenarios for my own life. ......However, ......the tale you tell......is beyond anything...I can imagine...""","""... Sono in grado di immaginare degli scenari ipotetici per la mia vita. {n}Tuttavia, la storia che racconti... è oltre ogni mia immaginazione...""","""............I sometimes imagine ""what if"" scenarios for my own life. ......However, ......the tale you tell......is beyond anything...I can imagine...""","""............I sometimes imagine ""what if"" scenarios for my own life. ......However, ......the tale you tell......is beyond anything...I can imagine..."""
Willard H. Wright,"""Even so, ...it's the life that another ""you"" has led."" ","""Even so, ......it's the life that another ""you"" has led.""","""Even so, ......it's the life that another 'you' has led.""",「それでも。……もう一人のお前の辿った人生だ。」,「それでも。……もう一人のお前の辿った人生だ」,"""И всё‐таки...... это твоя жизнь в другом мире.""","""Mesmo assim, ......é a vida que ""você"" levou em outra vida.""","""Even so, ......it's the life that another ""you"" has led.""",「即便如此。……這也是另一個你所踏上的人生。」,「即便如此。……这也是另一个你所踏上的人生。」,"""Even so, ......it's the life that another ""you"" has led.""","""Nonostante ciò... è la vita condotta da un differente ‘te’.""","""Even so, ......it's the life that another ""you"" has led.""","""Even so, ......it's the life that another ""you"" has led."""
