Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
Ushiromiya Kinzo,"""Lieutenant Yamamoto. The Italians don't want us to tell the mainland about this gold.""","""Lieutenant Yamamoto, the Italians don't want us to tell the mainland about this gold."" ","""Lieutenant Yamamoto. The Italians don't want us to tell the mainland about this gold.""",「中尉。イタリア人たちは、この黄金のことを、本土へ報告しないことを望んでいます。」,「中尉。イタリア人たちは、この黄金のことを、本土へ報告しないことを望んでいます」,"""Лейтенант Ямамото. Итальянцы не хотят, чтобы мы рассказывали материку об этом золоте.""","""Tenente Yamamoto. Os italianos não querem que contemos à pátria sobre este ouro.""","""Lieutenant Yamamoto. The Italians don't want us to tell the mainland about this gold.""",「中尉。那幫意大利人不希望我們將這筆黃金的事報告本土。」,「中尉。那帮意大利人不希望我们将这笔黄金的事报告本土。」,"""Lieutenant Yamamoto. The Italians don't want us to tell the mainland about this gold.""","""Lieutenant Yamamoto. The Italians don't want us to tell the mainland about this gold.""","""Lieutenant Yamamoto. The Italians don't want us to tell the mainland about this gold."""
,""".........Aha. So, they don't want our country to take possession of it.""","""...Heheh. So, they don't want our country to snatch it away from them."" ","""......Aha. So, they don't want our country to take possession of it.""",「………ふふん。我が国に横領されたくないからであろうな。」,「………ふふん。我が国に横領されたくないからであろうな」,"""......Aхa. Так они не хотят, чтобы им завладела наша страна?""",""".........Aha. Então, eles não querem que nosso país tome posse disso?""",""".........Aha. So, they don't want our country to take possession of it.""",「………哼哼。他們是不想這筆金子被我國侵吞吧。」,「………哼哼。他们是不想这笔金子被我国侵吞吧。」,""".........Aha. So, they don't want our country to take possession of it.""",""".........Aha. So, they don't want our country to take possession of it.""",""".........Aha. So, they don't want our country to take possession of it."""
Beatrice,"""<What did he say?>""","""<What did he say?>"" ","""<What did he say?>""",『彼は何と？』,『彼は何と？』,"""<Что он сказал?>""","""‹O que ele disse?›""","""<What did he say?>""",『他在說什麼？』,『他在说什么？』,"""<What did he say?>""","""<What did he say?>""","""<What did he say?>"""
Ushiromiya Kinzo,"""<He's saying your group probably doesn't want it reported because you fear that Japan will take possession of the gold.>""","""<He's saying your group probably doesn't want it reported...because you fear that Japan will steal it away from you.>"" ","""<He's saying your group probably doesn't want it reported because you fear that Japan will take possession of the gold.>""",『日本が黄金を横領するのを恐れているから、報告されたくないのだろうと言っている。』,『日本が黄金を横領するのを恐れているから、報告されたくないのだろうと言っている』,"""<Сказал, что ваша группа не хочет сообщать о золоте, боясь, что им завладеет Япония.>""","""‹Ele está dizendo que o seu grupo provavelmente não queria reportar sobre isso porque temiam que o Japão ficasse de posse do ouro.›""","""<He's saying your group probably doesn't want it reported because you fear that Japan will take possession of the gold.>""",『他在說，你們多半是怕日本侵吞黃金，所以才不希望我們報告。』,『他在说，你们多半是怕日本侵吞黄金，所以才不希望我们报告。』,"""<He's saying your group probably doesn't want it reported because you fear that Japan will take possession of the gold.>""","""<He's saying your group probably doesn't want it reported because you fear that Japan will take possession of the gold.>""","""<He's saying your group probably doesn't want it reported because you fear that Japan will take possession of the gold.>"""
Beatrice,"""<Ensign Angelo is actually more afraid of Italy itself finding out. To us, our homeland's current government is a mere puppet set up by the Allied Forces. If they find out, the gold will be returned to them. However, that would be the same as handing the gold over to our enemies.>""","""<Lieutenant Angelo is actually more afraid of Italy itself finding out. To us, our homeland's current government is a mere puppet set up by the Allied Forces. If they find out, the gold will be returned to them. However, that would be the same as handing the gold over to our enemies.>"" ","""<Ensign Angelo is actually more afraid of Italy itself finding out. To us, our homeland's current government is a mere puppet set up by the Allied Forces. If they find out, the gold will be returned to them. However, that would be the same as handing the gold over to our enemies.>""",『少尉はむしろ、イタリア本国に知られることを恐れているわ。私たちにとって、今の祖国は連合国の傀儡政権。彼らに知られれば、黄金は返還することになる。しかしそれは、私たちの敵に黄金を渡すようなもの。』,『少尉はむしろ、イタリア本国に知られることを恐れているわ。私たちにとって、今の祖国は連合国の傀儡政権。彼らに知られれば、黄金は返還することになる。しかしそれは、私たちの敵に黄金を渡すようなもの』,"""<На самом деле прапорщик Анджело больше боится, что прознает сама Италия. Для нас нынешнее правительство нашей родины лишь марионетка союзных сил. Если они узнают, золото нужно будет вернуть. Но это то же самое, что вручить его нашим врагам.>""","""‹O subtenente Angelo tem mais medo que a própria Itália descubra. Para nós, o governo atual da nossa pátria é um mero fantoche das Forças Aliadas. Se eles descobrirem, o ouro vai retornar. Mas isso seria o mesmo que entregar o ouro nas mãos do inimigo.›""","""<Ensign Angelo is actually more afraid of Italy itself finding out. To us, our homeland's current government is a mere puppet set up by the Allied Forces. If they find out, the gold will be returned to them. However, that would be the same as handing the gold over to our enemies.>""",『少尉反而是怕被意大利本國知道。對我們來說，現在的祖國是盟軍的傀儡政權。要是被他們知道了，黃金就將被返還。但這種返還，就像是把黃金交給我們的敵人一樣。』,『少尉反而是怕被意大利本国知道。对我们来说，现在的祖国是盟军的傀儡政权。要是被他们知道了，黄金就将被返还。但这种返还，就像是把黄金交给我们的敌人一样。』,"""<Ensign Angelo is actually more afraid of Italy itself finding out. To us, our homeland's current government is a mere puppet set up by the Allied Forces. If they find out, the gold will be returned to them. However, that would be the same as handing the gold over to our enemies.>""","""<Ensign Angelo is actually more afraid of Italy itself finding out. To us, our homeland's current government is a mere puppet set up by the Allied Forces. If they find out, the gold will be returned to them. However, that would be the same as handing the gold over to our enemies.>""","""<Ensign Angelo is actually more afraid of Italy itself finding out. To us, our homeland's current government is a mere puppet set up by the Allied Forces. If they find out, the gold will be returned to them. However, that would be the same as handing the gold over to our enemies.>"""
,They had come all this way to make sure that the gold didn't fall into enemy hands.,They'd come all this way to make sure that the gold didn't fall into enemy hands. ,They had come all this way to make sure that the gold didn't fall into enemy hands.,敵の手に黄金を渡さないために、彼らはここまでやって来たのだ。,敵の手に黄金を渡さないために、彼らはここまでやって来たのだ。,"Они приехали в такую даль, чтобы золото не попало в руки врага.",Eles tiveram todo esse trabalho para ter certeza que o ouro não iria cair nas mãos dos inimigos.,They had come all this way to make sure that the gold didn't fall into enemy hands.,為了不把黃金交予敵手，他們不遠萬里地來到了此處。,为了不把黄金交予敌手，他们不远万里地来到了此处。,They had come all this way to make sure that the gold didn't fall into enemy hands.,They had come all this way to make sure that the gold didn't fall into enemy hands.,They had come all this way to make sure that the gold didn't fall into enemy hands.
,They needed to hide this gold from the puppet government......until their homeland could be truly restored...,They needed to hide it from that puppet government... ...until their homeland could be truly restored... , They needed to hide this gold from the puppet government until their homeland could be truly restored...,彼らの真の祖国が復興する日まで、この黄金を傀儡の祖国の手から、彼らは隠さなくてはならない…。,彼らの真の祖国が復興する日まで、この黄金を傀儡の祖国の手から、彼らは隠さなくてはならない…。,"Им нужно скрывать его от марионеточного правительства до тех пор, пока их родина не будет по‐настоящему восстановлена...",Precisavam esconder esse ouro do governo fantoche......até que a pátria deles possa ser realmente restaurada...,They needed to hide this gold from the puppet government......until their homeland could be truly restored...,在他們真正祖國復興之日的到來之前，必須遠離傀儡祖國的魔掌，好好藏起這筆黃金…。,在他们真正祖国复兴之日的到来之前，必须远离傀儡祖国的魔掌，好好藏起这笔黄金…。,They needed to hide this gold from the puppet government......until their homeland could be truly restored...,They needed to hide this gold from the puppet government......until their homeland could be truly restored...,They needed to hide this gold from the puppet government......until their homeland could be truly restored...
,"""Ushiromiya. Make a proposal to the Italians. Tell them that we wish to offer our assistance.""","""Ushiromiya, make a proposal to the Italians. Tell them that we wish to offer our assistance."" ","""Ushiromiya. Make a proposal to the Italians. Tell them that we wish to offer our assistance.""",「右代宮。イタリア人たちに提案せよ。我々は協力を申し出たいとな。」,「右代宮。イタリア人たちに提案せよ。我々は協力を申し出たいとな」,"""Уширомия. Предложи итальянцам сделку. Скажи, что мы хотим предложить им помощь.""","""Ushiromiya. Faça uma proposta aos italianos. Diga a eles que desejamos oferecer ajuda.""","""Ushiromiya. Make a proposal to the Italians. Tell them that we wish to offer our assistance.""",「右代宮。向意大利人提議。就說我們想進行協助。」,「右代宫。向意大利人提议。就说我们想进行协助。」,"""Ushiromiya. Make a proposal to the Italians. Tell them that we wish to offer our assistance.""","""Ushiromiya. Make a proposal to the Italians. Tell them that we wish to offer our assistance.""","""Ushiromiya. Make a proposal to the Italians. Tell them that we wish to offer our assistance."""
Ushiromiya Kinzo,"""What sort of assistance...?""","""What sort of assistance...?"" ","""What sort of assistance...?""",「協力とは…？」,「協力とは…？」,"""Какую именно?..""","""Que tipo de ajuda...?""","""What sort of assistance...?""",「協助是指…？」,「协助是指…？」,"""What sort of assistance...?""","""What sort of assistance...?""","""What sort of assistance...?"""
,"""I understand what the Italians are trying to say. They want that gold to be hidden so that their homeland doesn't find out about it. However, they would need to obtain at least a transport ship if they plan to take it from this island. If they tried that, however, the mainland would hear about it, which means that the Italian government would too.""","""Let's see if I've got this straight. They want that gold kept secret, so their homeland doesn't find out about it. But they'll need to find at least a transport ship if they plan to carry it off this island. If they try that though, the mainland will hear about it, which means the Italian government will too."" ","""I understand what the Italians are trying to say. They want that gold to be hidden so that their homeland doesn't find out about it. However, they would need to obtain at least a transport ship if they plan to take it from this island. If they tried that, however, the mainland would hear about it, which means that the Italian government would too.""",「イタリア人たちの言い分はこうであろう？　彼らはその黄金を、祖国に知られることなく隠したいわけだ。しかし、この島から運び出そうとすれば、輸送船を手配せねばならなくなる。そうすれば、本土に知られ、さらにはイタリア本国にも知られることとなる。」,「イタリア人たちの言い分はこうであろう？　彼らはその黄金を、祖国に知られることなく隠したいわけだ。しかし、この島から運び出そうとすれば、輸送船を手配せねばならなくなる。そうすれば、本土に知られ、さらにはイタリア本国にも知られることとなる」,"""Я понимаю, что итальянцы имеют в виду. Они хотят спрятать золото, чтобы их родина не узнала о нём. Но если они запланируют увезти его с острова, им потребуется транспортное судно. В этом случае материк узнает о золоте, а значит, и итальянское правительство.""","""Eu entendo o que os italianos estão tentando. Eles querem que o ouro seja escondido para que a pátria deles não o encontre. Mas precisariam de um transporte marítimo se planejam levá‐lo embora desta ilha. Se tentarem isso, contudo, nosso país ficaria sabendo, o que significa que a pátria italiana também saberia.""","""I understand what the Italians are trying to say. They want that gold to be hidden so that their homeland doesn't find out about it. However, they would need to obtain at least a transport ship if they plan to take it from this island. If they tried that, however, the mainland would hear about it, which means that the Italian government would too.""",「那幫意大利人的主張是這樣吧？他們想不被祖國知道地藏起這筆黃金。可是，如要將黃金運出這個島，那就必須得去準備運輸船。而這麼做，會被本土知道，還會被意大利本國知道。」,「那帮意大利人的主张是这样吧？他们想不被祖国知道地藏起这笔黄金。可是，如要将黄金运出这个岛，那就必须得去准备运输船。而这么做，会被本土知道，还会被意大利本国知道。」,"""I understand what the Italians are trying to say. They want that gold to be hidden so that their homeland doesn't find out about it. However, they would need to obtain at least a transport ship if they plan to take it from this island. If they tried that, however, the mainland would hear about it, which means that the Italian government would too.""","""I understand what the Italians are trying to say. They want that gold to be hidden so that their homeland doesn't find out about it. However, they would need to obtain at least a transport ship if they plan to take it from this island. If they tried that, however, the mainland would hear about it, which means that the Italian government would too.""","""I understand what the Italians are trying to say. They want that gold to be hidden so that their homeland doesn't find out about it. However, they would need to obtain at least a transport ship if they plan to take it from this island. If they tried that, however, the mainland would hear about it, which means that the Italian government would too."""
