Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,"After putting Ange to sleep in the parlor, Genji and the others returned. ","After putting Ange to sleep in the parlor, Genji and the others returned.","After putting Ange to sleep in the parlor, Genji and the others returned.",縁寿を客間に寝かせ、源次たちが戻ってくる。,縁寿を客間に寝かせ、源次たちが戻ってくる。,"Оставив Энджи спать в гостиной, вернулись Генджи и остальные.","Após colocar Ange para dormir na sala de visitas, Genji e os demais retornaram.","After putting Ange to sleep in the parlor, Genji and the others returned.",讓緣壽在客廳睡下，源次他們回到了派對上。,让缘寿在客厅睡下，源次他们回到了派对上。,"After putting Ange to sleep in the parlor, Genji and the others returned.","Dopo aver portato Ange a dormire in salotto, Genji e gli altri tornarono.","After putting Ange to sleep in the parlor, Genji and the others returned.","After putting Ange to sleep in the parlor, Genji and the others returned."
Ushiromiya Battler,"""Thanks. Was she sleeping well...?"" ","""Thanks. Was she sleeping well...?""","""Thanks. Was she sleeping well...?""",「ありがとう。よく眠ってたか…？」,「ありがとう。よく眠ってたか…？」,"""Спасибо. Она хорошо спит?..""","""Obrigado. Ela está dormindo bem...?""","""Thanks. Was she sleeping well...?""",「謝謝。她睡得好麼…？」,「谢谢。她睡得好么…？」,"""Thanks. Was she sleeping well...?""","""Grazie. Stava dormendo bene...?""","""Thanks. Was she sleeping well...?""","""Thanks. Was she sleeping well...?"""
Ronoue Genji,"""Yes. She is sleeping peacefully."" ","""Yes. She is sleeping peacefully.""","""Yes. She is sleeping peacefully.""",「はい。よくお休みになっております。」,「はい。よくお休みになっております」,"""Да. Она спит мирным сном.""","""Sim. Está dormindo tranquilamente.""","""Yes. She is sleeping peacefully.""",「是的。睡得十分香甜。」,「是的。睡得十分香甜。」,"""Yes. She is sleeping peacefully.""","""Sì. Stava dormendo tranquillamente.""","""Yes. She is sleeping peacefully.""","""Yes. She is sleeping peacefully."""
{f:5:Beatrice},"""The noise from here won't reach the parlor, right...?"" ","""The noise from here won't reach the parlor, right...?""","""The noise from here won't reach the parlor, right...?""",「ここでの騒ぎは、客間へは届かぬか…？」,「ここでの騒ぎは、客間へは届かぬか…？」,"""Шум отсюда ведь не дойдёт до гостиной?..""","""O barulho daqui não chega até a sala de visitas, né...?""","""The noise from here won't reach the parlor, right...?""",「這裡的喧鬧，不會傳到客廳去吧…？」,「这里的喧闹，不会传到客厅去吧…？」,"""The noise from here won't reach the parlor, right...?""","""Il rumore da qui non raggiungerà il salotto, giusto...?""","""The noise from here won't reach the parlor, right...?""","""The noise from here won't reach the parlor, right...?"""
Shannon,"""That's right. The door is closed, so I don't think it will reach."" ","""That's right. The door is closed, so I don't think it will reach.""","""That's right. The door is closed, so I don't think it will reach.""",「はい。扉も閉めておりますし、客間には届かないと思います。」,「はい。扉も閉めておりますし、客間には届かないと思います」,"""Нет. Дверь закрыта, так что вряд ли.""","""Não. A porta está fechada, por isso acredito que não chegará.""","""That's right. The door is closed, so I don't think it will reach.""",「不會。門已經關好了，應該不會傳到客廳。」,「不会。门已经关好了，应该不会传到客厅。」,"""That's right. The door is closed, so I don't think it will reach.""","""Sì. La porta è chiusa, quindi non penso che arrivi.""","""That's right. The door is closed, so I don't think it will reach.""","""That's right. The door is closed, so I don't think it will reach."""
Ushiromiya Battler,"""......Ange, sweet dreams."" ","""............Ange. Sweet dreams.""",""".........Ange. Sweet dreams.""",「…………縁寿。いい夢、見ろよ。」,「…………縁寿。いい夢、見ろよ」,""".........Энджи. Сладких снов.""","""............Ange. Tenha bons sonhos.""","""............Ange. Sweet dreams.""",「…………緣壽。做個好夢。」,「…………缘寿。做个好梦。」,"""............Ange. Sweet dreams.""","""... Ange. Sogni d'oro.""","""............Ange. Sweet dreams.""","""............Ange. Sweet dreams."""
{f:5:Beatrice},"""Well then!! That's enough solemn farewells! Let us begin the magnificent festivities we have planned for the after-partyyyy!!"" ","""Well then!! That's enough solemn farewells! Let us begin the magnificent festivities we have planned for the after‐partyyyy!!""","""Well then!! That's enough solemn farewells! Let us begin the magnificent festivities we have planned for the after-partyyyy!!""",「さぁって！！　しんみりしたお別れ会はこれまでであるぞ！　さぁここからは盛大に行こうぞ、二次会だぁあああーッ！！」,「さぁって！！　しんみりしたお別れ会はこれまでであるぞ！　さぁここからは盛大に行こうぞ、二次会だぁあああーッ！！」,"""Ну что же! Достаточно торжественных прощаний! Начнём великолепный праздник, который у нас идёт по плану после вечери‐и‐инки!""","""Muito bem!! Chega de despedidas solenes! Vamos dar início às magníficas festividades que planejamos para o pós‐festaaaaaa!!""","""Well then!! That's enough solemn farewells! Let us begin the magnificent festivities we have planned for the after‐partyyyy!!""",「接下來！！沉靜的告別會就到此為止！從現在開始就是盛大的二次聚會啦————！！」,「接下来！！沉静的告别会就到此为止！从现在开始就是盛大的二次聚会啦————！！」,"""Well then!! That's enough solemn farewells! Let us begin the magnificent festivities we have planned for the after‐partyyyy!!""","""Bene allora!! Basta con gli addii solenni! Iniziamo i grandi festeggiamenti progettati per il dopo festaaaaaa!!""","""Well then!! That's enough solemn farewells! Let us begin the magnificent festivities we have planned for the after‐partyyyy!!""","""Well then!! That's enough solemn farewells! Let us begin the magnificent festivities we have planned for the after‐partyyyy!!"""
,"When Beato clapped her hands loudly above her head, a white flash filled the hall, and its entire appearance changed in an instant. ","When Beato clapped her hands loudly above her head, a white flash filled the hall, and its entire appearance changed in an instant.","When Beato clapped her hands loudly above her head, a white flash filled the hall, and its entire appearance changed in an instant.",ベアトが頭の上で、パーンと威勢良く手を叩くと、ホールが真っ白に瞬き、あっという間に様変わりする。,ベアトが頭の上で、パーンと威勢良く手を叩くと、ホールが真っ白に瞬き、あっという間に様変わりする。,"Когда Беато громко хлопнула в ладоши над головой, зал ярко вспыхнул, и весь его внешний вид тут же изменился.","Quando Beato bateu palmas acima de sua cabeça, para que todos a ouvissem, um flash branco tomou conta do hall e toda a sua aparência mudou em instantes.","When Beato clapped her hands loudly above her head, a white flash filled the hall, and its entire appearance changed in an instant.",貝阿朵在頭上威風地拍了下掌，大廳就隨著白色的閃光一起，瞬間變了模樣。,贝阿朵在头上威风地拍了下掌，大厅就随着白色的闪光一起，瞬间变了模样。,"When Beato clapped her hands loudly above her head, a white flash filled the hall, and its entire appearance changed in an instant.","Quando Beato batté le mani sulla sua testa, un lampo bianco riempì la sala, e questa cambiò subito aspetto.","When Beato clapped her hands loudly above her head, a white flash filled the hall, and its entire appearance changed in an instant.","When Beato clapped her hands loudly above her head, a white flash filled the hall, and its entire appearance changed in an instant."
,"The hall had transformed into a golden party chamber, with gold butterflies flitting about and gold leaf dancing everywhere. ","The hall had transformed into a golden party chamber, with gold butterflies flitting about and gold leaf dancing everywhere."," The hall had transformed into a golden party chamber, with gold butterflies flitting about and gold leaf dancing everywhere.",ホールは黄金の蝶たちが飛び交い金箔を撒き散らす、黄金のパーティー会場に変わった。,ホールは黄金の蝶たちが飛び交い金箔を撒き散らす、黄金のパーティー会場に変わった。,Зал превратился в помещение для золотой вечеринки с порхающими золотыми бабочками и кружащими повсюду золотыми лепестками.,"O hall foi transformado em um salão de festas de ouro, com borboletas douradas esvoaçando ao redor e pétalas de ouro dançando por todo lado.","The hall had transformed into a golden party chamber, with gold butterflies flitting about and gold leaf dancing everywhere.",大廳內，金色的蝴蝶們撒著金箔四處飛舞，大廳變成了黃金的宴會會場。,大厅内，金色的蝴蝶们撒着金箔四处飞舞，大厅变成了黄金的宴会会场。,"The hall had transformed into a golden party chamber, with gold butterflies flitting about and gold leaf dancing everywhere.","La sala si era trasformata in un salone per le feste dorato, con farfalle dorate che volavano e foglie dorate danzanti ovunque.","The hall had transformed into a golden party chamber, with gold butterflies flitting about and gold leaf dancing everywhere.","The hall had transformed into a golden party chamber, with gold butterflies flitting about and gold leaf dancing everywhere."
Ushiromiya Kinzo,"""Yes, the true party shall now begin!"" ","""Yes, the true party shall begin now!""","""Yes, the true party shall begin now!""",「さぁ、ここからは賑やかに行こうではないか！」,「さぁ、ここからは賑やかに行こうではないか！」,"""Да, настоящая вечеринка начнётся сейчас!""","""Sim, é agora que a festa começa pra valer!""","""Yes, the true party shall begin now!""",「來吧，從現在起就辦得熱鬧起來！」,「来吧，从现在起就办得热闹起来！」,"""Yes, the true party shall begin now!""","""Sì, la vera festa inizia ora!""","""Yes, the true party shall begin now!""","""Yes, the true party shall begin now!"""
