Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
Ushiromiya Ange,"""Somebodyyyyyyyyy!! Is anyone there?! Onii‐chaa{-}a{-}a{-}a{-}a{-}a{-}an!! Waaaaaahh!!""","""Somebodyyyyyyyyy!! Is anyone there?! Onii-chaaaaaaaan!! Aaaaaaahh!!"" ","""Somebodyyyyyyyyy!! Is anyone there?! Onii-chaaaaaaaan!! Waaaaaahh!!""",「誰かぁああぁぁ！！　誰かいないの？！　お兄ちゃぁぁあぁん！！　うわぁああああん！！」,「誰かぁああぁぁ！！　誰かいないの？！　お兄ちゃぁぁあぁん！！　うわぁああああん！！」,"""Кто‐нибу‐у‐у‐у‐удь!!! Здесь кто‐нибудь есть?! Брати‐и‐и‐и‐ик! Ува‐а‐а‐а‐а!""","""Alguémmmmmmmmmm!! Tem alguém aí?! Onii‐chaa{‐}a{‐}a{‐}a{‐}a{‐}a{‐}an!! Uwaaaaahh!!""","""Somebodyyyyyyyyy!! Is anyone there?! Onii‐chaa{-}a{-}a{-}a{-}a{-}a{-}an!! Waaaaaahh!!""",「有人嗎！！有人在嗎？！哥哥—————！！嗚哇——————！！」,「有人吗！！有人在吗？！哥哥—————！！呜哇——————！！」,"""Somebodyyyyyyyyy!! Is anyone there?! Onii‐chaa{-}a{-}a{-}a{-}a{-}a{-}an!! Waaaaaahh!!""","""Somebodyyyyyyyyy!! Is anyone there?! Onii‐chaa{-}a{-}a{-}a{-}a{-}a{-}an!! Waaaaaahh!!""","""Somebodyyyyyyyyy!! Is anyone there?! Onii‐chaa{-}a{-}a{-}a{-}a{-}a{-}an!! Waaaaaahh!!"""
,"Ange flew out of the guesthouse, sobbing.","Ange flew out of the guesthouse, sobbing. ","Ange flew out of the guesthouse, sobbing.",縁寿は泣き喚きながら、ゲストハウスを飛び出す。,縁寿は泣き喚きながら、ゲストハウスを飛び出す。,Энджи в рыданиях вылетела из домика для гостей.,Ange saiu correndo da casa de hóspedes enquanto chorava.,"Ange flew out of the guesthouse, sobbing.",緣壽一邊哭著，一邊飛奔出賓館。,缘寿一边哭着，一边飞奔出宾馆。,"Ange flew out of the guesthouse, sobbing.","Ange flew out of the guesthouse, sobbing.","Ange flew out of the guesthouse, sobbing."
,Was there anyone still alive on this island?,Is there anyone still alive on this island? , Is there anyone still alive on this island? ,この島には誰か生き残っていないのか。,この島には誰か生き残っていないのか。,На этом острове ещё кто‐нибудь жив?,Ainda havia alguém vivo na ilha?,Was there anyone still alive on this island?,這個島上已經無人生存了嗎？,这个岛上已经无人生存了吗？,Was there anyone still alive on this island?,Was there anyone still alive on this island?,Was there anyone still alive on this island?
,"When she checked the cousins' room earlier, it had been completely empty.","When she checked the cousin room earlier, it had been completely empty. ","When she checked the cousins' room earlier, it had been completely empty.",いとこ部屋には誰もいなかった。,いとこ部屋には誰もいなかった。,"Когда она ранее проверила комнату кузенов, там никого не было.","Quando foi ver o quarto dos primos, ele estava completamente vazio.","When she checked the cousins' room earlier, it had been completely empty.",堂兄妹的房間內空無一人。,堂兄妹的房间内空无一人。,"When she checked the cousins' room earlier, it had been completely empty.","When she checked the cousins' room earlier, it had been completely empty.","When she checked the cousins' room earlier, it had been completely empty."
,"However, she remembered that she hadn't seen Battler's body, or George's, or Maria's.","However, she remembered that she hadn't seen Battler, George, or Maria's bodies. "," However, she remembered that she hadn't seen Battler, George, or Maria's bodies.",しかし同時に、まだ戦人と譲治と真里亞の死体を見ていないことも思い出す。,しかし同時に、まだ戦人と譲治と真里亞の死体を見ていないことも思い出す。,"Но она вспомнила, что не увидела тела Баттлера, Джорджа и Марии.","Contudo, ela lembrou que não havia encontrado o corpo de Battler, George ou Maria.","However, she remembered that she hadn't seen Battler's body, or George's, or Maria's.",但是同時又想起，還沒見到戰人和讓治和真里亞的屍體。,但是同时又想起，还没见到战人和让治和真里亚的尸体。,"However, she remembered that she hadn't seen Battler's body, or George's, or Maria's.","However, she remembered that she hadn't seen Battler's body, or George's, or Maria's.","However, she remembered that she hadn't seen Battler's body, or George's, or Maria's."
,What she didn't know was whether this meant they were safe...or whether she was about to be reunited with them as corpses.,What she didn't know was whether this meant they were safe...or whether she was about to be reunited with them as corpses. , What she didn't know was whether this meant they were safe...or whether she was about to be reunited with them as corpses.,それがまだ生きていることを指すのか、これから死体として再会することを指すのか、わからない。,それがまだ生きていることを指すのか、これから死体として再会することを指すのか、わからない。,"Она не знала, в порядке они... или же она вот‐вот встретится с ними как с трупами.",O que ela não sabia era se isso significava que eles estavam bem...ou se ela ainda estava para se deparar com seus cadáveres.,What she didn't know was whether this meant they were safe...or whether she was about to be reunited with them as corpses.,這表示他們還活著呢？還是此後會作為屍體再會呢？緣壽不知道。,这表示他们还活着呢？还是此后会作为尸体再会呢？缘寿不知道。,What she didn't know was whether this meant they were safe...or whether she was about to be reunited with them as corpses.,What she didn't know was whether this meant they were safe...or whether she was about to be reunited with them as corpses.,What she didn't know was whether this meant they were safe...or whether she was about to be reunited with them as corpses.
Ushiromiya Ange,"""Where are you guys?! Where aaaare youuuuu?!! Answer meee{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}eee!!""","""Where are they?! Wheeeeeeeeere?!! Answer meeeeeeeeeeeee!!"" ","""Where are they?! Wheeeeeeeeere?!! Answer meeeeeeeeeeeee!!""",「お兄ちゃんたち、どこ？！　どこぉぉおおぉお！！　返事をしてぇええぇえぇえぇ！！」,「お兄ちゃんたち、どこ？！　どこぉぉおおぉお！！　返事をしてぇええぇえぇえぇ！！」,"""Где они?! Где‐е‐е‐е?!! Отве‐е‐е‐е‐е‐етьте!!!""","""Cadê vocês?! Cadêêêêêêê?! Respondaaa{‐}a{‐}a{‐}a{‐}a{‐}a{‐}a{‐}a{‐}aaam!!""","""Where are you guys?! Where aaaare youuuuu?!! Answer meee{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}eee!!""",「哥哥，你們在哪裡？！在哪兒啊——————？！！回答我呀————————！！」,「哥哥，你们在哪里？！在哪儿啊——————？！！回答我呀————————！！」,"""Where are you guys?! Where aaaare youuuuu?!! Answer meee{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}eee!!""","""Where are you guys?! Where aaaare youuuuu?!! Answer meee{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}eee!!""","""Where are you guys?! Where aaaare youuuuu?!! Answer meee{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}eee!!"""
,She dashed around through the rain.,She dashed around through the rain. ,She dashed around through the rain.,雨の中を走り回る。,雨の中を走り回る。,Она неслась под дождём.,Ela saiu correndo debaixo da chuva.,She dashed around through the rain.,在雨中來回奔跑。,在雨中来回奔跑。,She dashed around through the rain.,She dashed around through the rain.,She dashed around through the rain.
,Where was she going? Nowhere in particular.,Where was she going? Nowhere in particular. , Where was she going? Nowhere in particular.,どこへ？　がむしゃらに。,どこへ？　がむしゃらに。,"Куда? В частности, никуда.",Para onde ela estava indo? Ela não tinha rumo algum.,Where was she going? Nowhere in particular.,向何處？不顧一切地。,向何处？不顾一切地。,Where was she going? Nowhere in particular.,Where was she going? Nowhere in particular.,Where was she going? Nowhere in particular.
,"The lost little sister dashed around in circles, searching for her brother.","The lost little sister dashed around in circles, searching for her brother. "," The lost little sister dashed around in circles, searching for her brother.",兄の姿を求めて、迷子の妹が駆け回る。,兄の姿を求めて、迷子の妹が駆け回る。,Потерявшаяся младшая сестра бегала кругами в поисках брата.,"A irmãzinha perdida ficou correndo em círculos, procurando por seu irmão.","The lost little sister dashed around in circles, searching for her brother.",為尋找兄長的身影，迷路的妹妹四處奔走。,为寻找兄长的身影，迷路的妹妹四处奔走。,"The lost little sister dashed around in circles, searching for her brother.","The lost little sister dashed around in circles, searching for her brother.","The lost little sister dashed around in circles, searching for her brother."
,Drenched with rain and all alone......,Drenched with rain and all alone... , Drenched with rain and all alone......,びしょ濡れになりながら、ひとり……。,びしょ濡れになりながら、ひとり……。,Промокшая под дождём и совсем одна......,Encharcada pela chuva e sozinha......,Drenched with rain and all alone......,獨自一人，被淋得濕透……。,独自一人，被淋得湿透……。,Drenched with rain and all alone......,Drenched with rain and all alone......,Drenched with rain and all alone......
,".........Eventually, I thought I heard my brother's voice from beyond a bush.","......Eventually, I thought I heard my brother's voice from beyond a bush. ",".........Eventually, I thought I heard my brother's voice from beyond a bush.",………やがて、茂みの向こうに、兄の声を聞いた気がした。,………やがて、茂みの向こうに、兄の声を聞いた気がした。,".........В конце концов мне показалось, что я услышала из‐за куста голос своего брата.",.........Logo eu pensei ter ouvido a voz do meu irmão vindo além de um arbusto.,".........Eventually, I thought I heard my brother's voice from beyond a bush.",………終於，在樹叢的對面，似乎聽到了哥哥的聲音。,………终于，在树丛的对面，似乎听到了哥哥的声音。,".........Eventually, I thought I heard my brother's voice from beyond a bush.",".........Eventually, I thought I heard my brother's voice from beyond a bush.",".........Eventually, I thought I heard my brother's voice from beyond a bush."
,"No, it wasn't just his voice. I heard George onii‐chan's and Maria onee‐chan's voices too.","No, it wasn't just his voice. I heard George onii-chan's and Maria onee-chan's voices too. "," No, it wasn't just his voice. I heard George onii-chan's and Maria onee-chan's voices too.",いや、兄の声だけじゃない。譲治お兄ちゃんの声も、真里亞お姉ちゃんの声も聞こえた。,いや、兄の声だけじゃない。譲治お兄ちゃんの声も、真里亞お姉ちゃんの声も聞こえた。,"Нет, не только его. Ещё я услышала голоса братика Джорджа и сестрёнки Марии.","Não, não foi apenas a sua voz. Eu ouvi as vozes do George onii‐chan e da Maria onee‐chan também.","No, it wasn't just his voice. I heard George onii‐chan's and Maria onee‐chan's voices too.",不，不止是哥哥的聲音。還聽到了讓治哥哥的聲音，還有真里亞姐姐的聲音。,不，不止是哥哥的声音。还听到了让治哥哥的声音，还有真里亚姐姐的声音。,"No, it wasn't just his voice. I heard George onii‐chan's and Maria onee‐chan's voices too.","No, it wasn't just his voice. I heard George onii‐chan's and Maria onee‐chan's voices too.","No, it wasn't just his voice. I heard George onii‐chan's and Maria onee‐chan's voices too."
,"I called out at the top of my lungs, but they didn't answer.","I called out at the top of my lungs, but they didn't answer. "," I called out at the top of my lungs, but they didn't answer.",私は大声で呼び掛けるのだが、彼らは応えてはくれなかった。,私は大声で呼び掛けるのだが、彼らは応えてはくれなかった。,"Я крикнула во весь голос, но они не откликнулись.","Eu gritei o mais alto que pude para eles me ouvirem, mas ninguém respondeu.","I called out at the top of my lungs, but they didn't answer.",我大聲地呼喚他們，但他們並沒有回應。,我大声地呼唤他们，但他们并没有回应。,"I called out at the top of my lungs, but they didn't answer.","I called out at the top of my lungs, but they didn't answer.","I called out at the top of my lungs, but they didn't answer."
