Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,"""And then, you see, we'll set it up so that, among the works entered in Company X's mystery novel contest, yet another one of the great Hachijo's works will ""appear"" under a false name..."" ","""And then, you see, the public will be told that, among the works entered into the first Company X mystery novel contest, a work from the amazing Hachijo was once again submitted under a false name...""","""And then, you see, we'll set it up so that, among the works entered in Company X's mystery novel contest, yet another one of the great Hachijo's works will appear under a false name...""",「そこでですね、第１回丸々社ミステリー大賞応募作品中に、八城先生が再び偽名にて原稿をお寄せになったという形に致しまして…。」,「そこでですね、第１回丸々社ミステリー大賞応募作品中に、八城先生が再び偽名にて原稿をお寄せになったという形に致しまして…」,"""А потом мы сделаем так, что среди работ, представленных на конкурс детективных романов компании Х, ещё одна великая работа Хачиджо появится под фальшивым именем...""","""Então, como pode ver, será dito ao público que, dentre as obras que entraram no primeiro concurso de mistério da Editora Siclano, um novo trabalho da incrível Hachijo foi enviado novamente sob um nome falso...""","""And then, you see, the public will be told that, among the works entered into the first Company X mystery novel contest, a work from the amazing Hachijo was once again submitted under a false name...""",「就是說啊，在第 1 屆丸丸社推理小說大獎徵集作品中，八城老師您再次以假名的形式將原稿寄來…」,「就是说啊，在第 1 届丸丸社推理小说大奖征集作品中，八城老师您再次以假名的形式将原稿寄来…」,"""And then, you see, the public will be told that, among the works entered into the first Company X mystery novel contest, a work from the amazing Hachijo was once again submitted under a false name...""","""E poi, vede... lo prepareremo in modo che, tra le opere entrate nel concorso di romanzi gialli della Compagnia X, apparirà sotto un nome falso un'altra delle opere della grande Hachijo...""","""And then, you see, the public will be told that, among the works entered into the first Company X mystery novel contest, a work from the amazing Hachijo was once again submitted under a false name...""","""And then, you see, the public will be told that, among the works entered into the first Company X mystery novel contest, a work from the amazing Hachijo was once again submitted under a false name..."""
,"""Of course, we'll then move on with a movie version and a TV drama bundled in...! We here at Company X would be honored to accept your manuscript...!!"" ","""Of course, we'll have produced a movie version and a TV drama, all of it ready for a simultaneous and coordinated launch...! I hope this makes clear how eager we are at Company X to receive your manuscript...!!""","""Of course, we'll then move on with a movie version and a TV drama bundled in...! We here at Company X would be honored to accept your manuscript...!!""",「もちろん、映画化、テレビドラマ化、全てが同時にリンクして動く形になっておりまして…！　ぜひ先生の玉稿を我が丸々社にお預けいただきたく…！！」,「もちろん、映画化、テレビドラマ化、全てが同時にリンクして動く形になっておりまして…！　ぜひ先生の玉稿を我が丸々社にお預けいただきたく…！！」,"""Разумеется, мы пойдём дальше с киноверсией и теледрамой в комплекте!.. Мы, компания Х, сочтём за честь принять вашу рукопись!..""","""É claro, nós teremos produzido um filme e uma novela, tudo pronto para um lançamento coordenado e simultâneo...! Eu espero que isso deixe claro o quão dispostos nós, da Editora Siclano, estamos para receber o seu manuscrito...!!""","""Of course, we'll have produced a movie version and a TV drama, all of it ready for a simultaneous and coordinated launch...! I hope this makes clear how eager we are at Company X to receive your manuscript...!!""",「當然，電影化，電視劇化，這些都將同時聯動起來…！請務必將老師的玉稿交予我丸丸社…！！」,「当然，电影化，电视剧化，这些都将同时联动起来…！请务必将老师的玉稿交予我丸丸社…！！」,"""Of course, we'll have produced a movie version and a TV drama, all of it ready for a simultaneous and coordinated launch...! I hope this makes clear how eager we are at Company X to receive your manuscript...!!""","""In seguito, ovviamente, passeremo ad una versione cinematica insieme ad una fiction televisiva...! Noi della Compagnia X saremmo onorati di accettare il suo manoscritto...!!""","""Of course, we'll have produced a movie version and a TV drama, all of it ready for a simultaneous and coordinated launch...! I hope this makes clear how eager we are at Company X to receive your manuscript...!!""","""Of course, we'll have produced a movie version and a TV drama, all of it ready for a simultaneous and coordinated launch...! I hope this makes clear how eager we are at Company X to receive your manuscript...!!"""
Hachijo Tohya,"""And am I getting prize money out of this?"" ","""And will there be prize money?""","""And will there be prize money?""",「賞金は出るのですか。」,「賞金は出るのですか」,"""А призовые деньги будут?""","""E terá uma premiação em dinheiro?""","""And will there be prize money?""",「會有獎金嗎？」,「会有奖金吗？」,"""And will there be prize money?""","""E ci sarà un premio in denaro?""","""And will there be prize money?""","""And will there be prize money?"""
,"""But of course...! The 10 million yen prize for Company X's first mystery novel contest will all go to you! And much more besides!!"" ","""But of course...! The ten million yen prize for Company X's first mystery novel contest will all go to you! And much more besides!!""","""But of course...! The 10 million yen prize for Company X's first mystery novel contest will all go to you! And much more besides!!""",「もちろんでございます…！　栄えある第１回丸々社ミステリー大賞賞金１０００万円はもちろん、先生にお支払いさせていただきます！　他にもですね、他にも他にも！！」,「もちろんでございます…！　栄えある第１回丸々社ミステリー大賞賞金１０００万円はもちろん、先生にお支払いさせていただきます！　他にもですね、他にも他にも！！」,"""Конечно!.. Весь приз за первый конкурс детективных романов компании Х — 10 миллионов иен — перейдёт к вам! И многое другое!""","""É claro...! Os dez milhões do prêmio do primeiro concurso de livro de mistério da Editora Siclano irá todo para você! E muito mais além disso!!""","""But of course...! The ten million yen prize for Company X's first mystery novel contest will all go to you! And much more besides!!""",「當然有的…！這隆重的第 1 屆丸丸社推理小說大獎獎金 1000 萬日元，當然會支付給老師您的！其它還有，還有還有！！」,「当然有的…！这隆重的第 1 届丸丸社推理小说大奖奖金 1000 万日元，当然会支付给老师您的！其它还有，还有还有！！」,"""But of course...! The ten million yen prize for Company X's first mystery novel contest will all go to you! And much more besides!!""","""Ma certamente...! Il premio da 10 milioni di yen per il primo concorso di romanzi gialli della Compagnia X andrà tutto a lei! E poi, molto altro!!""","""But of course...! The ten million yen prize for Company X's first mystery novel contest will all go to you! And much more besides!!""","""But of course...! The ten million yen prize for Company X's first mystery novel contest will all go to you! And much more besides!!"""
Hachijo Tohya,"""Splendid. You've caught my interest. That's why I've decided not to write up a manuscript for you."" ","""Splendid. You've caught my interest. That's why I've decided not to write up a manuscript.""","""Splendid. You've caught my interest. That's why I've decided not to write up a manuscript.""",「面白い。気に入りました。だから原稿は書かないことにします。」,「面白い。気に入りました。だから原稿は書かないことにします」,"""Великолепно. Вы меня заинтересовали. Поэтому я решила не писать рукопись.""","""Magnífico. Você tem o meu interesse. É por isso que decidi não escrever um manuscrito.""","""Splendid. You've caught my interest. That's why I've decided not to write up a manuscript.""",「有意思。我很中意。所以就不打算寫原稿了。」,「有意思。我很中意。所以就不打算写原稿了。」,"""Splendid. You've caught my interest. That's why I've decided not to write up a manuscript.""","""Splendido. Avete catturato il mio interesse. Per cui, ho deciso di non scrivere un manoscritto.""","""Splendid. You've caught my interest. That's why I've decided not to write up a manuscript.""","""Splendid. You've caught my interest. That's why I've decided not to write up a manuscript."""
,"""""Whaaaaaat?!?! M-Madam Hachijo, whyyyyyy...?!!!"""" ","""""Whaaaaaaaa?!?! M‐Madam Hachijo, whyyyyyyyy...?!!!""""","""""Whaaaaaaaa?!?! M, Madam Hachijo, whyyyyyyyy...?!!!""""",「「ええぇええぇえ？！？！　せ、先生ッ、そんなぁッ…！！！」」,「「ええぇええぇえ？！？！　せ、先生ッ、そんなぁッ…！！！」」,"""""Э‐э‐э‐э?!?! Ма... мадам Хачиджо, почему‐у‐у‐у?!!""""","""""Quêêêêêêê?!?! S‐Sensei, por quê...?!!!""""","""""Whaaaaaaaa?!?! M‐Madam Hachijo, whyyyyyyyy...?!!!""""",「「誒誒誒誒誒誒誒？！？！老、老師，怎麼這樣…！！！」」,「「诶诶诶诶诶诶诶？！？！老、老师，怎么这样…！！！」」,"""""Whaaaaaaaa?!?! M‐Madam Hachijo, whyyyyyyyy...?!!!""""","""""Eeeeeeeeeeeh?!?! S-Signora Hachijo, perchéééé...?!!!""""","""""Whaaaaaaaa?!?! M‐Madam Hachijo, whyyyyyyyy...?!!!""""","""""Whaaaaaaaa?!?! M‐Madam Hachijo, whyyyyyyyy...?!!!"""""
,"Everything had seemed to be going so smoothly up until then, so this sudden refusal made the people from the publishing company fall over in their sofa. ","Everything had seemed to be going so smoothly up until then, so this sudden refusal made the people from the publishing company fall over in their sofa.","Everything had seemed to be going so smoothly up until then, so this sudden refusal made the people from the publishing company fall over in their sofa.",ここまで話がとんとん拍子で進んでいたのに、にこやかに原稿を断られ、出版社の人間達はソファーの上で仰け反って転げる。,ここまで話がとんとん拍子で進んでいたのに、にこやかに原稿を断られ、出版社の人間達はソファーの上で仰け反って転げる。,"Всё, казалось бы, шло гладко, и от её неожиданного отказа люди из издательства перевалились на диване.","Tudo parecia estar transcorrendo bem até então, por isso essa recusa repentina fez o pessoal da editora caírem no sofá.","Everything had seemed to be going so smoothly up until then, so this sudden refusal made the people from the publishing company fall over in their sofa.",明明之前話題都在順利進展下去，被這麼痛苦地拒絕了提供原稿，出版社的人們都仰倒在沙發上。,明明之前话题都在顺利进展下去，被这么痛苦地拒绝了提供原稿，出版社的人们都仰倒在沙发上。,"Everything had seemed to be going so smoothly up until then, so this sudden refusal made the people from the publishing company fall over in their sofa.","Sembrava che tutto sarebbe andato bene fino ad allora, perciò questo rifiuto improvviso fece ricadere sul divano le persone della casa editrice.","Everything had seemed to be going so smoothly up until then, so this sudden refusal made the people from the publishing company fall over in their sofa.","Everything had seemed to be going so smoothly up until then, so this sudden refusal made the people from the publishing company fall over in their sofa."
Hachijo Tohya,"""This little scheme of yours is far more interesting than the manuscript I wrote. In that case, it wouldn't be fitting to hand it over to you. ...It was always a worthless story. I wanted to lure my ignorant readers into lauding it, making them feel as though they'd performed some magnificent reasoning. ","""This little scheme of yours is far more interesting than the manuscript I wrote. Which is why this manuscript is unsuitable for your company. ......It was always a worthless story. Mere junk prose to entice my ignorant readers into somehow ignoring their own ignorance and feeling as though they have exhausted the limits of reasoning.""","""This little scheme of yours is far more interesting than the manuscript I wrote. In that case, it wouldn't be fitting to hand it over to you. ......It was always a worthless story. Just something for my ignorant readers to put on their shelves and let them think that they've managed to solve a great puzzle.",「私が書いた原稿より、あなた方のシナリオの方が面白い。ですから、この原稿は御社にお預けするに相応しくありません。……元より、下らなき原稿。無知蒙昧なる読者が、如何にそれを棚に上げて、自身が推理の限りを尽くしたかのような気分になるよう誘導するだけの駄文。,「私が書いた原稿より、あなた方のシナリオの方が面白い。ですから、この原稿は御社にお預けするに相応しくありません。……元より、下らなき原稿。無知蒙昧なる読者が、如何にそれを棚に上げて、自身が推理の限りを尽くしたかのような気分になるよう誘導するだけの駄文」,"""Ваша авантюра гораздо интереснее написанной мной рукописи. Было бы неуместно отдавать её вам. ......Она всегда была никудышной историей. Всего лишь тем, что мои невежественные читатели ставят на полку, думая, что сумели разгадать великую загадку.""","""Esse seu esqueminha é muito mais interessante que o manuscrito que escrevi. Por isso, este manuscrito não é apropriado para a sua editora. ......É sempre uma história sem valor. Uma mera prosa sáfio para seduzir meus ignorantes leitores a algo que acaba por ignorar a própria ignorância deles e os fazem sentir como se tivessem exaurido os limites do raciocínio.""","""This little scheme of yours is far more interesting than the manuscript I wrote. Which is why this manuscript is unsuitable for your company. ......It was always a worthless story. Mere junk prose to entice my ignorant readers into somehow ignoring their own ignorance and feeling as though they have exhausted the limits of reasoning.""",「比起我寫的原稿，你們的劇本更有意思。所以，這份原稿不適合交給貴社。……原本這就是，無聊的原稿。蒙昧無知的讀者，無論怎麼將之束之高閣，也只是誘導讀者認為自身的推理已經到了盡頭的爛文。」,「比起我写的原稿，你们的剧本更有意思。所以，这份原稿不适合交给贵社。……原本这就是，无聊的原稿。蒙昧无知的读者，无论怎么将之束之高阁，也只是诱导读者认为自身的推理已经到了尽头的烂文。」,"""This little scheme of yours is far more interesting than the manuscript I wrote. Which is why this manuscript is unsuitable for your company. ......It was always a worthless story. Mere junk prose to entice my ignorant readers into somehow ignoring their own ignorance and feeling as though they have exhausted the limits of reasoning.""","""Questo vostro schema è di gran lunga più interessante del manoscritto che ho composto. In questo caso, non sarebbe adatto consegnarvelo. ... È sempre stata una storia senza valore. Semplicemente qualcosa che i miei lettori ignoranti metterebbero sui loro scaffali e che farebbe credere loro che sono riusciti a risolvere un grandioso enigma.","""This little scheme of yours is far more interesting than the manuscript I wrote. Which is why this manuscript is unsuitable for your company. ......It was always a worthless story. Mere junk prose to entice my ignorant readers into somehow ignoring their own ignorance and feeling as though they have exhausted the limits of reasoning.""","""This little scheme of yours is far more interesting than the manuscript I wrote. Which is why this manuscript is unsuitable for your company. ......It was always a worthless story. Mere junk prose to entice my ignorant readers into somehow ignoring their own ignorance and feeling as though they have exhausted the limits of reasoning."""
Hachijo Tohya,"I was hoping that you children of men would recognize the irony and laugh at your own mistake, but it looks like you've taken it seriously. Yes, I can say I'm ashamed at my own failure as a writer."" ","""I was hoping that they'd recognize the irony and laugh at their own foolishness, but it looks like you've taken it seriously. Yes, I can say I'm ashamed at my own failure as a writer."""," I was hoping that they'd recognize the irony and laugh at their own foolishness, but it looks like you've taken it seriously. Yes, I can say I'm ashamed at my own failure as a writer.""",それを皮肉と気付き、人の子が自らの愚かさに苦笑する、そんな作品に書いたつもりが、まさか推理小説の扱いを受けるとは。我ながら文才のなさに呆れ果てるというものです。」,「それを皮肉と気付き、人の子が自らの愚かさに苦笑する、そんな作品に書いたつもりが、まさか推理小説の扱いを受けるとは。我ながら文才のなさに呆れ果てるというものです」,"""Я надеялась, что они распознают иронию и посмеются над своей глупостью, но вы восприняли это всерьёз. Да, могу сказать, что, как писателю, мне стыдно за свой провал.""","""Eu estava esperando que eles reconhecessem a ironia e rissem da própria tolice, mas parece que você levou a sério. Sim, posso dizer que estou envergonhada da minha própria falha como escritora.""","""I was hoping that they'd recognize the irony and laugh at their own foolishness, but it looks like you've taken it seriously. Yes, I can say I'm ashamed at my own failure as a writer.""",「注意到其中的諷刺，人子苦笑於自己的愚蠢，我只是想寫這樣的作品，居然會被當作是推理小說。看來我的文采已經缺失到連我自己都覺得目瞪口呆了。」,「注意到其中的讽刺，人子苦笑于自己的愚蠢，我只是想写这样的作品，居然会被当作是推理小说。看来我的文采已经缺失到连我自己都觉得目瞪口呆了。」,"""I was hoping that they'd recognize the irony and laugh at their own foolishness, but it looks like you've taken it seriously. Yes, I can say I'm ashamed at my own failure as a writer.""","Speravo che avrebbero riconosciuto l'ironia e riso della propria stoltezza, ma sembra che voi l'abbiate preso sul serio. Sì, posso dire di provare vergogna per il mio fallimento come scrittrice.""","""I was hoping that they'd recognize the irony and laugh at their own foolishness, but it looks like you've taken it seriously. Yes, I can say I'm ashamed at my own failure as a writer.""","""I was hoping that they'd recognize the irony and laugh at their own foolishness, but it looks like you've taken it seriously. Yes, I can say I'm ashamed at my own failure as a writer."""
,"""O-O-Of course not!! Please, forgive us!! Please, let us use your-!!"" ","""O‐o‐of course not!! Please, forgive us!! Please, let us use your work!!""","""O, o, of course not!! Please, forgive us!! Please, let us use your-!!""",「ととと、とんでもない！！　どうかお許しをー！！　どうか我が社に玉稿をーー！！」,「ととと、とんでもない！！　どうかお許しをー！！　どうか我が社に玉稿をーー！！」,"""Ко‐ко‐конечно нет! Простите нас! Прошу, позвольте нам взять вашу‐!""","""É‐É‐É claro que não!! Por favor, nos perdoe!! Permita usarmos seu trabalho!!""","""O‐o‐of course not!! Please, forgive us!! Please, let us use your work!!""",「才才才、才沒有這回事！！請您原諒——！！請您將玉稿交予我社——！！」,「才才才、才没有这回事！！请您原谅——！！请您将玉稿交予我社——！！」,"""O‐o‐of course not!! Please, forgive us!! Please, let us use your work!!""","""O-Ovviamente no!! La prego, ci perdoni!! La prego, ci lasci usare il suo-!!""","""O‐o‐of course not!! Please, forgive us!! Please, let us use your work!!""","""O‐o‐of course not!! Please, forgive us!! Please, let us use your work!!"""
