Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,Shannon and Kanon stood guard in front of the door to the Golden Land.,Shannon and Kanon stood guard in front of the door to the Golden Land. ,Shannon and Kanon stood guard in front of the door to the Golden Land.,黄金郷の扉の前には、紗音と嘉音が門番として立っていた。,黄金郷の扉の前には、紗音と嘉音が門番として立っていた。,Шаннон и Канон стояли на страже перед дверью в Золотую Землю.,Shannon e Kanon permaneceram de guarda em frente a porta que levava à Terra Dourada.,Shannon and Kanon stood guard in front of the door to the Golden Land.,在黃金鄉的門前，紗音和嘉音作為守門人站在那裡。,在黄金乡的门前，纱音和嘉音作为守门人站在那里。,Shannon and Kanon stood guard in front of the door to the Golden Land.,Shannon and Kanon stood guard in front of the door to the Golden Land.,Shannon and Kanon stood guard in front of the door to the Golden Land.
,They glared quietly and fearlessly at the eerie fleet of ships across the horizon.,They glared quietly and fearlessly at the eerie fleet of ships across the horizon. , They glared quietly and fearlessly at the eerie fleet of ships across the horizon.,水平線にて取り囲む不気味な大船団に臆すことなく、静かに睨み続けている。,水平線にて取り囲む不気味な大船団に臆すことなく、静かに睨み続けている。,Они спокойно и бесстрашно смотрели на жуткий флот кораблей на горизонте.,Eles olharam silenciosamente e destemidamente para a ominosa frota de navios que vinha além do horizonte.,They glared quietly and fearlessly at the eerie fleet of ships across the horizon.,他們毫不畏懼從地平線上包圍過來的恐怖大船隊，靜靜地凝視著。,他们毫不畏惧从地平线上包围过来的恐怖大船队，静静地凝视着。,They glared quietly and fearlessly at the eerie fleet of ships across the horizon.,They glared quietly and fearlessly at the eerie fleet of ships across the horizon.,They glared quietly and fearlessly at the eerie fleet of ships across the horizon.
,Shannon slowly lifted her hands.,Shannon slowly lifted her hands. , Shannon slowly lifted her hands.,紗音がゆっくりと両手を掲げる。,紗音がゆっくりと両手を掲げる。,Шаннон медленно подняла руки.,Shannon lentamente ergueu suas mãos.,Shannon slowly lifted her hands.,紗音慢慢張開雙手。,纱音慢慢张开双手。,Shannon slowly lifted her hands.,Shannon slowly lifted her hands.,Shannon slowly lifted her hands.
,"Kanon also raised his right hand, and a blade that trailed red appeared there.","Kanon raised his right hand, and a red blade appeared there. "," Kanon also raised his right hand, and a red blade appeared there.",嘉音もゆっくりと右腕を掲げ、赤き軌跡の剣を現す。,嘉音もゆっくりと右腕を掲げ、赤き軌跡の剣を現す。,"Канон тоже поднял правую руку, и там появилось красное лезвие.","Kanon também levantou sua mão direita, e uma lâmina traçando uma trilha vermelha apareceu.","Kanon also raised his right hand, and a blade that trailed red appeared there.",嘉音也慢慢舉起右手，現出了紅色軌跡的劍。,嘉音也慢慢举起右手，现出了红色轨迹的剑。,"Kanon also raised his right hand, and a blade that trailed red appeared there.","Kanon also raised his right hand, and a blade that trailed red appeared there.","Kanon also raised his right hand, and a blade that trailed red appeared there."
Shannon,"""Stop right there. I forbid you to come any closer.""","""Stop right there. I forbid you to come any closer."" ","""Stop right there. I forbid you to come any closer.""",「そこで止まって下さい。それ以上の接近を拒否します。」,「そこで止まって下さい。それ以上の接近を拒否します」,"""Оставайтесь там. Я запрещаю вам приближаться.""","""Pare bem aí. Eu o proíbo de se aproximar mais.""","""Stop right there. I forbid you to come any closer.""",「請就此止步。禁止再繼續接近。」,「请就此止步。禁止再继续接近。」,"""Stop right there. I forbid you to come any closer.""","""Stop right there. I forbid you to come any closer.""","""Stop right there. I forbid you to come any closer."""
Kanon,"""......If you do, ......I'll kill you.""","""...If you do, ...I'll kill you."" ","""......If you do, ......I'll kill you.""",「……それ以上、近寄れば、……斬るっ。」,「……それ以上、近寄れば、……斬るっ」,"""......Если приблизитесь...... я убью вас.""","""......Se o fizer, ......eu o matarei.""","""......If you do, ......I'll kill you.""",「……再接近過來的話，……我會動手的。」,「……再接近过来的话，……我会动手的。」,"""......If you do, ......I'll kill you.""","""......If you do, ......I'll kill you.""","""......If you do, ......I'll kill you."""
,They could see a single dinghy leave the fleet and approach them.{n}They couldn't tell if it was a messenger or the first wave.,They could see a single dinghy leaving the fleet and approaching them. They couldn't tell if it was a messenger or the first wave. ,They could see a single dinghy leave the fleet and approach them. They couldn't tell if it was a messenger or the first wave.,大船団より、一艘の小船が近付いてくるのが見える。使者か、尖兵か、わからない。,大船団より、一艘の小船が近付いてくるのが見える。{n}使者か、尖兵か、わからない。,"Они видели, как одна шлюпка покинула флот и направлялась к ним.{n}Нельзя было сказать, посланник это или же первая волна.",Eles podiam avistar um solitário bote deixando a frota e se aproximando.{n}Eles não sabiam dizer se era um mensageiro ou a primeira onda de ataque.,They could see a single dinghy leave the fleet and approach them.{n}They couldn't tell if it was a messenger or the first wave.,能夠看到從大船隊中，開過來一艘小船。{n}不知道是使者，還是尖兵。,能够看到从大船队中，开过来一艘小船。{n}不知道是使者，还是尖兵。,They could see a single dinghy leave the fleet and approach them.{n}They couldn't tell if it was a messenger or the first wave.,They could see a single dinghy leave the fleet and approach them.{n}They couldn't tell if it was a messenger or the first wave.,They could see a single dinghy leave the fleet and approach them.{n}They couldn't tell if it was a messenger or the first wave.
,Shannon and Kanon watched it cautiously...,Shannon and Kanon watched it cautiously... , Shannon and Kanon watched it cautiously...,紗音と嘉音は、用心深く様子を見守る…。,紗音と嘉音は、用心深く様子を見守る…。,Шаннон и Канон внимательно наблюдали за ней...,Shannon e Kanon observaram com atenção...,Shannon and Kanon watched it cautiously...,紗音和嘉音慎重地觀察著…。,纱音和嘉音慎重地观察着…。,Shannon and Kanon watched it cautiously...,Shannon and Kanon watched it cautiously...,Shannon and Kanon watched it cautiously...
,At the head of that dinghy rowed by goats......stood Erika.,At the head of that dinghy rowed by goats...stood Erika. , At the head of that dinghy rowed by goats......stood Erika.,山羊がオールを漕ぐその小船の先頭には、……ヱリカが堂々と立っていた。,山羊がオールを漕ぐその小船の先頭には、……ヱリカが堂々と立っていた。,"Во главе шлюпки, на которой гребли козлоголовые...... стояла Эрика.",Na proa do bote remado por cabras......estava Erika.,At the head of that dinghy rowed by goats......stood Erika.,在由山羊划槳的這小船的船頭，……繪梨花堂堂正正地站在那裡。,在由山羊划桨的这小船的船头，……绘梨花堂堂正正地站在那里。,At the head of that dinghy rowed by goats......stood Erika.,At the head of that dinghy rowed by goats......stood Erika.,At the head of that dinghy rowed by goats......stood Erika.
,"...Where had she gotten that headgear from? Maybe she was trying to act the part of the fleet's leader. ......The object on top of Erika's head, as she glared at them with an audacious smile, appeared to be a pirate hat.","...Where the heck did she get that thing from? Maybe she's trying to act the part of the fleet's leader. ...Erika was glaring at them and smiling aggressively, with what appeared to be a pirate hat on her head. ","...Where could she have gotten that from? Maybe she's trying to act the part of the fleet's leader. ......Erika was glaring at them and smiling aggressively, with what appeared to be a pirate hat on her head.",どこから持ってきたやら。この大船団の長を気取っているのだろうか。……海賊帽のようなものを被り、こちらを睨みながら不敵に笑っている。,どこから持ってきたやら。この大船団の長を気取っているのだろうか。……海賊帽のようなものを被り、こちらを睨みながら不敵に笑っている。,"...Откуда у неё это? Может, строит из себя лидера флота. ......Эрика смотрела на них и агрессивно улыбалась с пиратской шляпой на голове.","...De onde ela tirou aquele chapéu? Talvez ela estivesse tentando agir como se fosse a comandante da frota. ......O objeto sobre a cabeça de Erika, conforme ela olhava para eles com um sorriso audacioso, aparentava ser um chapéu pirata.","...Where had she gotten that headgear from? Maybe she was trying to act the part of the fleet's leader. ......The object on top of Erika's head, as she glared at them with an audacious smile, appeared to be a pirate hat.",不知道是從哪裡拿來的。大概是打算體現自己是這大船隊的統領者吧。……她戴著海盜帽般的東西，盯著這邊無畏地笑著。,不知道是从哪里拿来的。大概是打算体现自己是这大船队的统领者吧。……她戴着海盗帽般的东西，盯着这边无畏地笑着。,"...Where had she gotten that headgear from? Maybe she was trying to act the part of the fleet's leader. ......The object on top of Erika's head, as she glared at them with an audacious smile, appeared to be a pirate hat.","...Where had she gotten that headgear from? Maybe she was trying to act the part of the fleet's leader. ......The object on top of Erika's head, as she glared at them with an audacious smile, appeared to be a pirate hat.","...Where had she gotten that headgear from? Maybe she was trying to act the part of the fleet's leader. ......The object on top of Erika's head, as she glared at them with an audacious smile, appeared to be a pirate hat."
Furudo Erika,"""I've come to deliver our terms. There will be room for negotiation. Please open the gate.""","""I've come to deliver our terms. There will be room for negotiation. Please open the gate."" ","""I've come to deliver our terms. There will be room for negotiation. Please open the gate.""",「最後通牒に参りました。交渉余地のあるものです。開門して下さい。」,「最後通牒に参りました。交渉余地のあるものです。開門して下さい」,"""Я пришла передать наши условия. Будут переговоры. Откройте ворота.""","""Eu vim para dar o nosso ultimato. Haverá espaço para negociações. Por favor, abram o portão.""","""I've come to deliver our terms. There will be room for negotiation. Please open the gate.""",「我是來下最後通牒的。還有交涉餘地。請開門。」,「我是来下最后通牒的。还有交涉余地。请开门。」,"""I've come to deliver our terms. There will be room for negotiation. Please open the gate.""","""I've come to deliver our terms. There will be room for negotiation. Please open the gate.""","""I've come to deliver our terms. There will be room for negotiation. Please open the gate."""
,Shannon and Kanon looked at each other.,Shannon and Kanon looked at each other. ,Shannon and Kanon looked at each other.,紗音と嘉音は顔を見合わせる。,紗音と嘉音は顔を見合わせる。,Шаннон и Канон переглянулись.,Shannon e Kanon olharam um para o outro.,Shannon and Kanon looked at each other.,紗音和嘉音相互對視。,纱音和嘉音相互对视。,Shannon and Kanon looked at each other.,Shannon and Kanon looked at each other.,Shannon and Kanon looked at each other.
,Erika was the one offering this deal. It wasn't likely to be anything agreeable.,Erika was the one offering this deal. It wasn't likely to be anything agreeable. , Erika was the one offering this deal. It wasn't likely to be anything agreeable.,ヱリカの持ってくるものだ。どうせろくな条件じゃない。,ヱリカの持ってくるものだ。どうせろくな条件じゃない。,Эту сделку предлагает Эрика. Вряд ли она будет приемлемой.,Erika estava oferecendo um acordo. Era pouco provável que fosse algo agradável.,Erika was the one offering this deal. It wasn't likely to be anything agreeable.,既然是繪梨花帶來的。肯定不會是什麼好條件。,既然是绘梨花带来的。肯定不会是什么好条件。,Erika was the one offering this deal. It wasn't likely to be anything agreeable.,Erika was the one offering this deal. It wasn't likely to be anything agreeable.,Erika was the one offering this deal. It wasn't likely to be anything agreeable.
,"However, if they turned her away, the attack would probably begin at once.","However, if they turned her away, the attack would probably begin at once. "," However, if they turned her away, the attack would probably begin at once.",しかし、それを門前払いにすれば、ただちに攻撃を開始するだろう。,しかし、それを門前払いにすれば、ただちに攻撃を開始するだろう。,"Но если они прогонят её, сразу же начнётся атака.","Entretanto, se eles dessem as costas, o ataque logo poderia ter início.","However, if they turned her away, the attack would probably begin at once.",但是，把她逐出門前的話，肯定會立刻開始攻擊吧。,但是，把她逐出门前的话，肯定会立刻开始攻击吧。,"However, if they turned her away, the attack would probably begin at once.","However, if they turned her away, the attack would probably begin at once.","However, if they turned her away, the attack would probably begin at once."
,"Since they were in a firmly inferior position, they wanted to buy time by any means they could.","Since they were in a firmly inferior position, they wanted to buy time by any means they could. "," Since they were in a firmly inferior position, they wanted to buy time by any means they could.",絶対的劣勢であることを考えれば、今はどんな形であっても時間を稼ぎたい。,絶対的劣勢であることを考えれば、今はどんな形であっても時間を稼ぎたい。,В своём крайне невыгодном положении они хотели любыми средствами выиграть время.,"Por estarem em uma posição firmemente inferior, eles precisavam ganhar tempo a todo custo.","Since they were in a firmly inferior position, they wanted to buy time by any means they could.",考慮到如今處於絕對劣勢下，現在無論以什麼形式都要拖延時間。,考虑到如今处于绝对劣势下，现在无论以什么形式都要拖延时间。,"Since they were in a firmly inferior position, they wanted to buy time by any means they could.","Since they were in a firmly inferior position, they wanted to buy time by any means they could.","Since they were in a firmly inferior position, they wanted to buy time by any means they could."
,"At Shannon's nod, Kanon erased his sword......","At Shannon's nod, Kanon erased his sword... "," At Shannon's nod, Kanon erased his sword......",紗音が頷くと、嘉音は剣を消す……。,紗音が頷くと、嘉音は剣を消す……。,"Шаннон кивнула, и Канон стёр свой меч......","Com o consentimento de Shannon, Kanon apagou sua espada......","At Shannon's nod, Kanon erased his sword......",紗音一點頭，嘉音便把劍消去……。,纱音一点头，嘉音便把剑消去……。,"At Shannon's nod, Kanon erased his sword......","At Shannon's nod, Kanon erased his sword......","At Shannon's nod, Kanon erased his sword......"
,The Golden Land was filled with a hard downpour accompanied by occasional thunder.,The Golden Land was filled with a hard downpour accompanied by occasional thunder. , The Golden Land was filled with a hard downpour accompanied by occasional thunder.,黄金郷は、時折雷鳴を伴う強い雨が降っていた。,黄金郷は、時折雷鳴を伴う強い雨が降っていた。,"В Золотой Земле шёл сильный ливень, сопровождаемый вспышками грома.",A Terra Dourada estava tomada por um forte aguaceiro que caía acompanhado de trovões ocasionais.,The Golden Land was filled with a hard downpour accompanied by occasional thunder.,黃金鄉有時會伴隨著雷鳴降下大雨。,黄金乡有时会伴随着雷鸣降下大雨。,The Golden Land was filled with a hard downpour accompanied by occasional thunder.,The Golden Land was filled with a hard downpour accompanied by occasional thunder.,The Golden Land was filled with a hard downpour accompanied by occasional thunder.
