Speaker,Steam (ST),Umineko Project (UP),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (Ars Magica) (Old) (ITA),Italian (Majotachi no Sub) (New) (IT),Turkish (TR)
,"The majestic Witch of Theatergoing, Drama, and Spectating set down her pen, looked at the ceiling, and sighed deeply. ","The majestic Witch of Theatergoing, Drama, and Spectating set down her pen, looked at the ceiling, and sighed deeply.","The majestic Witch of Theatergoing, Drama, and Spectating set down her pen, looked at the ceiling, and sighed deeply.",尊厳なる観劇と戯曲と傍観の魔女は、筆を置き、天井を見上げながら深く息を吐き出すのだった。,尊厳なる観劇と戯曲と傍観の魔女は、筆を置き、天井を見上げながら深く息を吐き出すのだった。,"Величественная ведьма театра, драмы и спектакля положила перо, посмотрела в потолок и глубоко вздохнула.","A majestosa Bruxa do Teatro, Dramaturgia e Observação largou sua caneta, olhando para o teto e suspirando profundamente.","The majestic Witch of Theatergoing, Drama, and Spectating set down her pen, looked at the ceiling, and sighed deeply.",富有尊嚴的觀劇、戲曲與旁觀的魔女放下筆，仰望天花板深深地嘆了口氣。,富有尊严的观剧、戏曲与旁观的魔女放下笔，仰望天花板深深地叹了口气。,"The majestic Witch of Theatergoing, Drama, and Spectating set down her pen, looked at the ceiling, and sighed deeply.","La somma Strega dell'Opera, dei Drammi e degli Spettacoli, posò la penna, guardò il soffitto e sospirò profondamente.","The majestic Witch of Theatergoing, Drama, and Spectating set down her pen, looked at the ceiling, and sighed deeply.","The majestic Witch of Theatergoing, Drama, and Spectating set down her pen, looked at the ceiling, and sighed deeply."
,The desk was covered with a scattered mountain of paper covered with writing. ,The desk was covered with a scattered mountain of paper covered with writing., The desk was covered with a scattered mountain of paper covered with writing.,机の上は、書き散らされた膨大な量の原稿用紙が乱雑に積まれている。,机の上は、書き散らされた膨大な量の原稿用紙が乱雑に積まれている。,Стол был накрыт разбросанной горой исписанной бумаги.,"A mesa estava coberta por uma montanha de papel espalhado, preenchido por uma escrita manual.",The desk was covered with a scattered mountain of paper covered with writing.,桌子上雜亂地堆著大量書寫過的原稿用紙。,桌子上杂乱地堆着大量书写过的原稿用纸。,The desk was covered with a scattered mountain of paper covered with writing.,La scrivania era ricoperta da un'enorme montagna di carta completamente scritta.,The desk was covered with a scattered mountain of paper covered with writing.,The desk was covered with a scattered mountain of paper covered with writing.
,"Words were packed onto the pages in a thin, high information density language that only the great ones could read. ","Words were packed onto the pages in a thin, high‐information‐density language that only the great ones could read."," Words were packed onto the pages in a thin, high information density language that only the great ones could read.",細やかな、そして尊厳ある者にしか読めぬ情報密度の極めて高い言語が、ぎっしりと書き込まれている。,細やかな、そして尊厳ある者にしか読めぬ情報密度の極めて高い言語が、ぎっしりと書き込まれている。,"Слова ложились на страницы в тонком языке высокой информационной плотности, который могли читать только великие.","As palavras estavam condensadas em uma fina linguagem de alta informação e densidade, a qual apenas os mais importantes dentre todos poderiam ler.","Words were packed onto the pages in a thin, high‐information‐density language that only the great ones could read.",上面寫滿了細碎的，只有尊嚴之人才能閱讀的擁有超高情報密度的語言。,上面写满了细碎的，只有尊严之人才能阅读的拥有超高情报密度的语言。,"Words were packed onto the pages in a thin, high‐information‐density language that only the great ones could read.",Le parole erano compresse sulle pagine in un sottile linguaggio con alta densità di informazioni che solo i grandi potevano leggere.,"Words were packed onto the pages in a thin, high‐information‐density language that only the great ones could read.","Words were packed onto the pages in a thin, high‐information‐density language that only the great ones could read."
,Each letter of this language carried the same amount of information as several books in the Human world. ,Each letter of this language carried the same amount of information as several books in the {y:0:Human}{n:0:human} world., Each letter of this language carried the same amount of information as several books in the human world.,その言語の一文字は、ニンゲンの世界での書籍数冊に匹敵する情報量を持つ。,その言語の一文字は、ニンゲンの世界での書籍数冊に匹敵する情報量を持つ。,"Каждая буква этого языка переносит то же количество информации, что и несколько книг мира {y:0:Люд}{n:0:люд}ей.",Cada letra dessa língua carregava a mesma quantia de informação que diversos livros do mundo {y:0:Humano}{n:0:humano}.,Each letter of this language carried the same amount of information as several books in the {y:0:Human}{n:0:human} world.,這些語言的一個字，就有著能匹敵人類世界的數冊書籍的情報量。,这些语言的一个字，就有着能匹敌人类世界的数册书籍的情报量。,Each letter of this language carried the same amount of information as several books in the {y:0:Human}{n:0:human} world.,Ogni lettera di questo linguaggio conteneva lo stesso ammontare di informazioni di diversi libri umani.,Each letter of this language carried the same amount of information as several books in the {y:0:Human}{n:0:human} world.,Each letter of this language carried the same amount of information as several books in the {y:0:Human}{n:0:human} world.
,These letters filled every inch of this huge pile of paper. ,These letters filled every inch of this huge pile of paper., These letters filled every inch of this huge pile of paper.,それによって、ぎっしりと書き上げられた原稿用紙が、これほどに積み上げられているのだから。,それによって、ぎっしりと書き上げられた原稿用紙が、これほどに積み上げられているのだから。,Такие буквы заполнили каждый дюйм этой огромной бумажной кипы.,Essa letras preenchiam cada centímetro da grande pilha de papel.,These letters filled every inch of this huge pile of paper.,並且密密麻麻地寫滿了這種語言的原稿紙，堆積了如此之多。,并且密密麻麻地写满了这种语言的原稿纸，堆积了如此之多。,These letters filled every inch of this huge pile of paper.,Queste lettere riempivano ogni centimetro di quella enorme pila di carta.,These letters filled every inch of this huge pile of paper.,These letters filled every inch of this huge pile of paper.
,"...Surely, she had written out every little detail of some world. ","......Surely, she had written out every little detail of some world.","......Surely, she had written out every little detail of some world.",……彼女はきっと、何か一つの世界を、書き切ったに違いなかった。,……彼女はきっと、何か一つの世界を、書き切ったに違いなかった。,"......Она, безусловно, выписала каждую мелкую деталь некого мира.","......Certamente, ela havia escrito cada mínimo detalhe de algum mundo.","......Surely, she had written out every little detail of some world.",……她一定是，寫下了一整個世界。,……她一定是，写下了一整个世界。,"......Surely, she had written out every little detail of some world.","... Di certo, aveva trascritto ogni piccolo dettaglio di un qualche mondo.","......Surely, she had written out every little detail of some world.","......Surely, she had written out every little detail of some world."
{f:5:Featherine},"""......Yes, I have written it all. Though to be accurate, I have not truly written it all."" ","""............I have written all there is to write. Though to be accurate, more could yet be written.""",""".........Yes, I have written it all. Though to be accurate, I have not truly written it all.""",「…………書き切ったには、書き切った。いや、正確には書き切っておらぬのだが。」,「…………書き切ったには、書き切った。いや、正確には書き切っておらぬのだが」,""".........Да, я всё написала. Хотя, если быть точнее, я не написала всего.""","""............Eu escrevi tudo o que tinha para escrever. Embora possa ser preciso, mais ainda poderia ser escrito.""","""............I have written all there is to write. Though to be accurate, more could yet be written.""",「…………要說寫完，是寫完了。不，正確來說應該是沒給它寫完。」,「…………要说写完，是写完了。不，正确来说应该是没给它写完。」,"""............I have written all there is to write. Though to be accurate, more could yet be written.""","""... Sì, ho scritto tutto. Anche se per essere precisa, non l'ho fatto davvero.""","""............I have written all there is to write. Though to be accurate, more could yet be written.""","""............I have written all there is to write. Though to be accurate, more could yet be written."""
,"She stood up, sat down in her favorite rocking chair, and rocked peacefully for a while. ","She stood up, sat down in her favorite rocking chair, and rocked peacefully for a while.","She stood up, sat down in her favorite rocking chair, and rocked peacefully for a while.",彼女は立ち上がり、お気に入りの揺り椅子に腰を下ろすと、しばらくの間、その緩やかな揺れを楽しんだ。,彼女は立ち上がり、お気に入りの揺り椅子に腰を下ろすと、しばらくの間、その緩やかな揺れを楽しんだ。,"Она встала, села в своё любимое кресло‐качалку и какое‐то время мирно качалась.","Ela se levantou, sentando‐se em sua cadeira de balanço favorita e balançando tranquilamente por determinado tempo.","She stood up, sat down in her favorite rocking chair, and rocked peacefully for a while.",她站起來，坐到自己中意的搖椅上，以那平緩的搖動為趣搖了一段時間。,她站起来，坐到自己中意的摇椅上，以那平缓的摇动为趣摇了一段时间。,"She stood up, sat down in her favorite rocking chair, and rocked peacefully for a while.","Si alzò, si sedette sulla sua sedia a dondolo preferita, e dondolò tranquilla per un po'.","She stood up, sat down in her favorite rocking chair, and rocked peacefully for a while.","She stood up, sat down in her favorite rocking chair, and rocked peacefully for a while."
{f:5:Featherine},"""How far must one write before they can say they've written it all? ...That is what has bothered me in all my years of writing. ...The adventures of Humans can be very interesting as a tale. However, even I still don't know when that adventure stops being an adventure."" ","""How much must one write before they can say they've written it all? ......That is what has bothered me in all my years of writing. ......The adventures of {y:0:Human}{n:0:human}s can be very interesting as a tale. However, even I still don't know when that adventure stops being an adventure.""","""How far must one write before they can say they've written it all? ......That is what has bothered me in all my years of writing. ......The adventures of humans can be very interesting as a tale. However, even I still don't know when that adventure stops being an adventure.""",「どこまでを描けば、果たして物語を書き切ったと言えるのか。……私の、物書きとしての長年の悩みだ。……ニンゲンの冒険は物語としてとても面白い。しかし、どこまでが冒険で、どこからがそうではないのかが、私をしても、未だによくわからぬのだ。」,「どこまでを描けば、果たして物語を書き切ったと言えるのか。……私の、物書きとしての長年の悩みだ。……ニンゲンの冒険は物語としてとても面白い。しかし、どこまでが冒険で、どこからがそうではないのかが、私をしても、未だによくわからぬのだ」,"""Сколько нужно написать, прежде чем можно будет сказать, что всё написано? ......Это беспокоило меня на протяжении всех моих лет писательства. ......Приключения {y:0:Люд}{n:0:люд}ей в виде истории могут быть очень интересны. Но даже я до сих пор не знаю, когда это приключение перестаёт быть приключением.""","""O quanto alguém deve escrever antes de dizer que escreveu tudo? ......Isso é o que sempre me incomodou durante meus muitos anos de escritora. ......As aventuras dos {y:0:Humanos}{n:0:humanos} podem se tornar contos muito interessantes. Contudo, nem mesmo eu sei quando uma aventura deixa de ser uma aventura.""","""How much must one write before they can say they've written it all? ......That is what has bothered me in all my years of writing. ......The adventures of {y:0:Human}{n:0:human}s can be very interesting as a tale. However, even I still don't know when that adventure stops being an adventure.""",「寫到這裡，能夠說是把故事寫完了嗎？……這是，我作為寫作者長年以來的煩惱。……人類的冒險故事非常非常有趣。但是，哪裡是冒險，哪裡不是，我還不太能分清。」,「写到这里，能够说是把故事写完了吗？……这是，我作为写作者长年以来的烦恼。……人类的冒险故事非常非常有趣。但是，哪里是冒险，哪里不是，我还不太能分清。」,"""How much must one write before they can say they've written it all? ......That is what has bothered me in all my years of writing. ......The adventures of {y:0:Human}{n:0:human}s can be very interesting as a tale. However, even I still don't know when that adventure stops being an adventure.""","""Quanto deve scrivere qualcuno prima di poter dire di aver scritto tutto? ... Questo è ciò che mi ha angustiato in tutti i miei anni di scrittura. ... Le avventure degli umani possono essere molto interessanti come storia. Tuttavia, nemmeno io so ancora quando questa avventura smette di essere tale.""","""How much must one write before they can say they've written it all? ......That is what has bothered me in all my years of writing. ......The adventures of {y:0:Human}{n:0:human}s can be very interesting as a tale. However, even I still don't know when that adventure stops being an adventure.""","""How much must one write before they can say they've written it all? ......That is what has bothered me in all my years of writing. ......The adventures of {y:0:Human}{n:0:human}s can be very interesting as a tale. However, even I still don't know when that adventure stops being an adventure."""
{f:5:Featherine},"""...My old friend, who is now gone, once said that a Human's life is an adventure from beginning to end, so there is never a correct time to set down one's pen. ...I do not agree. I think one must put away the pen at some point. I believe one should write a tale to an appropriate point, then leave the aftertaste and opinions to the minds of the spectators."" ","""......My old friend, who is now gone...once said that a {y:0:Human}{n:0:human}'s life is an adventure from beginning to end, so there is never a correct time to set down one's pen. ......I do not agree. I think one must put away the pen at some point. I believe one should write a tale to an appropriate point, then leave the trailing notes and opinions of what follows to the minds of the spectators.""","""......My old friend, who is now gone... once said that a human's life is an adventure from beginning to end, so there is never a correct time to set down one's pen. ......I do not agree. I think one must put away the pen at some point. I believe one should write a tale to an appropriate point, then leave the aftertaste and opinions to the minds of the spectators.""",「……すでに没した私の旧友は、ニンゲンの人生は、初めから終わりまでが全て冒険であり、筆を置くところなど存在しないと言ったが。……私はそうは思わぬ。筆の置き所というものがあると思う。物語は、適当なところまでを記し、その後の余韻や感想は、観劇者に委ねるべきだと思う。」,「……すでに没した私の旧友は、ニンゲンの人生は、初めから終わりまでが全て冒険であり、筆を置くところなど存在しないと言ったが。……私はそうは思わぬ。筆の置き所というものがあると思う。物語は、適当なところまでを記し、その後の余韻や感想は、観劇者に委ねるべきだと思う」,"""......Мой старый друг, которого уже нет в живых... однажды сказал, что жизнь {y:0:Человек}{n:0:человек}а — приключение от начала до конца, поэтому никогда не приходит пора опустить ручку. ......Я не согласна. Думаю, в какой‐то момент ручку всё‐таки нужно положить. Я считаю, что нужно написать историю до подходящего момента и оставить у зрителей послевкусие и мнения.""","""......Minha velha amiga, que agora se foi...certa vez disse que a vida {y:0:Humana}{n:0:humana} é uma aventura do início ao fim, portanto nunca é a hora certa de colocar sua caneta para descansar. ......Eu não concordo. Eu penso que é necessário deixá‐la de lado em algum momento. Eu acredito que deve ser escrito até um ponto apropriado, assim deixando para trás notas e opiniões na mente dos espectadores sobre o que transcorreu posteriormente.""","""......My old friend, who is now gone...once said that a {y:0:Human}{n:0:human}'s life is an adventure from beginning to end, so there is never a correct time to set down one's pen. ......I do not agree. I think one must put away the pen at some point. I believe one should write a tale to an appropriate point, then leave the trailing notes and opinions of what follows to the minds of the spectators.""",「……已經逝去的我的舊友，曾說過人類的人生，從開始到結束全部都是冒險，不存在能夠停筆的地方。……但我不這樣認為。我覺得是有能夠停筆的地方的。故事，要記述到適當的程度，那之後的餘韻和感想，應當交給觀劇者們品味。」,「……已经逝去的我的旧友，曾说过人类的人生，从开始到结束全部都是冒险，不存在能够停笔的地方。……但我不这样认为。我觉得是有能够停笔的地方的。故事，要记述到适当的程度，那之后的余韵和感想，应当交给观剧者们品味。」,"""......My old friend, who is now gone...once said that a {y:0:Human}{n:0:human}'s life is an adventure from beginning to end, so there is never a correct time to set down one's pen. ......I do not agree. I think one must put away the pen at some point. I believe one should write a tale to an appropriate point, then leave the trailing notes and opinions of what follows to the minds of the spectators.""","""... Una mia vecchia amica, che ora non c'è più... una volta disse che la vita umana è un'avventura dall'inizio alla fine, quindi non c'è mai un tempo esatto per posare la penna. ... Non sono d'accordo. Penso che bisogni posare la penna ad un certo punto. Credo che sia necessario scrivere una storia fino ad un certo punto, e poi lasciare il seguito e le opinioni alla mente degli spettatori.""","""......My old friend, who is now gone...once said that a {y:0:Human}{n:0:human}'s life is an adventure from beginning to end, so there is never a correct time to set down one's pen. ......I do not agree. I think one must put away the pen at some point. I believe one should write a tale to an appropriate point, then leave the trailing notes and opinions of what follows to the minds of the spectators.""","""......My old friend, who is now gone...once said that a {y:0:Human}{n:0:human}'s life is an adventure from beginning to end, so there is never a correct time to set down one's pen. ......I do not agree. I think one must put away the pen at some point. I believe one should write a tale to an appropriate point, then leave the trailing notes and opinions of what follows to the minds of the spectators."""
