Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,"Outside, the rain had started to pour down hard.","Outside, the rain had started to pour down hard. ","Outside, the rain had started to pour down hard.",外はすっかり雨になってしまっていた。,外はすっかり雨になってしまっていた。,Снаружи начался ливень.,"Do lado de fora, a chuva começou a cair com força.","Outside, the rain had started to pour down hard.",外面雨已經下得很大了。,外面雨已经下得很大了。,"Outside, the rain had started to pour down hard.","Outside, the rain had started to pour down hard.","Outside, the rain had started to pour down hard."
,"However, inside the cousins' room, it was loud and cheery.","However, inside the cousin room, it was loud and cheery. "," However, inside the cousins' room, it was loud and cheery.",しかし、いとこ部屋はとても賑やか。,しかし、いとこ部屋はとても賑やか。,Однако в комнате кузенов было шумно и весело.,"Porém, dentro do quarto dos primos, estava barulhento e animado.","However, inside the cousins' room, it was loud and cheery.",但是，堂兄妹們的房間裡卻是相當熱鬧。,但是，堂兄妹们的房间里却是相当热闹。,"However, inside the cousins' room, it was loud and cheery.","However, inside the cousins' room, it was loud and cheery.","However, inside the cousins' room, it was loud and cheery."
,"It could have been raining spears, and no one would have paid any attention.","It could have been raining spears, and no one would have paid any attention. "," It could have been raining spears, and no one would have paid any attention.",たとえ、雨が降ろうと槍が降ろうと、彼らの楽しいひと時にはなんの差し支えもなかった。,たとえ、雨が降ろうと槍が降ろうと、彼らの楽しいひと時にはなんの差し支えもなかった。,Никто бы не обратил внимания даже если бы с неба падали копья.,Poderia estar chovendo lanças que ninguém iria perceber.,"It could have been raining spears, and no one would have paid any attention.",不管是下雨還是下子彈，都無法打擾他們遊玩的時間。,不管是下雨还是下子弹，都无法打扰他们游玩的时间。,"It could have been raining spears, and no one would have paid any attention.","It could have been raining spears, and no one would have paid any attention.","It could have been raining spears, and no one would have paid any attention."
Ushiromiya Battler,"""Ihihiii!! Full hou~se!! Take that!""","""Ihihiii!! Full house!! Take that!"" ","""Ihihi-!! Full hou~se!! Take that!""",「いっひっひーー！！　俺、フルハウス〜！！　ドーン！」,「いっひっひーー！！　俺、フルハウス〜！！　ドーン！」,"""Ихи‐хи! Фул‐хаус! Получай!""","""Ihihiii!! Fiz um {i:full hou~se}!! Toma essa!""","""Ihihiii!! Full hou~se!! Take that!""",「咦嘻嘻——！！我是滿堂紅～！！咚！」,「咦嘻嘻——！！我是满堂红～！！咚！」,"""Ihihiii!! Full hou~se!! Take that!""","""Ihihiii!! Full hou~se!! Take that!""","""Ihihiii!! Full hou~se!! Take that!"""
Ushiromiya George,"""Whoa. You weren't bluffing...!""","""Whoa. You weren't bluffing...!"" ","""Whoa. You weren't bluffing...!""",「うわっ。ブラフじゃなかったか…！」,「うわっ。ブラフじゃなかったか…！」,"""Ого. Так ты не блефовал!..""","""Uwaa. Não estava blefando mesmo...!""","""Whoa. You weren't bluffing...!""",「唔哇。不是唬人的啊…！」,「唔哇。不是唬人的啊…！」,"""Whoa. You weren't bluffing...!""","""Whoa. You weren't bluffing...!""","""Whoa. You weren't bluffing...!"""
,"The cousins were all bursting with energy, sitting in a circle on the bed.","The cousins were all bursting with energy, sitting in a circle on the bed. ","The cousins were all bursting with energy, sitting in a circle on the bed.",ベッドの上で車座になり、いとこたちは大盛り上がりしていた。,ベッドの上で車座になり、いとこたちは大盛り上がりしていた。,Переполненные энергией кузены сидели в кругу на кровати.,"Os primos estavam repletos de energia, sentados em círculo sobre a cama.","The cousins were all bursting with energy, sitting in a circle on the bed.",盤腿坐在床上，堂兄妹們玩得是熱火朝天。,盘腿坐在床上，堂兄妹们玩得是热火朝天。,"The cousins were all bursting with energy, sitting in a circle on the bed.","The cousins were all bursting with energy, sitting in a circle on the bed.","The cousins were all bursting with energy, sitting in a circle on the bed."
Ushiromiya Jessica,"""And I thought Battler always had crap in his hands every time he acted tough...!""","""And I thought Battler always had crap in his hands every time he acted tough...!"" ","""And I thought Battler always had crap in his hands every time he acted tough...!""",「戦人がデカく張る時は、役なしのことが多いと思ってたんだがなぁ…！」,「戦人がデカく張る時は、役なしのことが多いと思ってたんだがなぁ…！」,"""А я‐то думала, что всякий раз, когда Баттлер ведёт себя храбро, у него мусор на руках!..""","""E eu pensando que o Battler sempre estava com mãos horríveis quando começava a se achar...!""","""And I thought Battler always had crap in his hands every time he acted tough...!""",「我還想著戰人那會兒那麼緊張，肯定是廢牌很多呢…！」,「我还想着战人那会儿那么紧张，肯定是废牌很多呢…！」,"""And I thought Battler always had crap in his hands every time he acted tough...!""","""And I thought Battler always had crap in his hands every time he acted tough...!""","""And I thought Battler always had crap in his hands every time he acted tough...!"""
Ushiromiya Battler,"""Of course, I've been losing all this time just to make you think that! Ushiromiya Battler, the man who loses strategically to win in the end! Ihihi!""","""Of course, I've been losing all this time just to make you think that! Ushiromiya Battler, the man who loses strategically to win in the end! Ihihi!"" ","""Of course, I've been losing all this time just to make you think that! Ushiromiya Battler, the man who loses strategically to win in the end! Ihihi!""",「そう思わせるために、ここまで負けてきたんだぜぇ？　最後に勝つ為に負けを布石する男、右代宮戦人！　いっひっひ！」,「そう思わせるために、ここまで負けてきたんだぜぇ？　最後に勝つ為に負けを布石する男、右代宮戦人！　いっひっひ！」,"""Конечно, я всё это время проигрывал просто чтобы вы так подумали! Уширомия Баттлер — тот, кто по стратегии проигрывает, чтобы в итоге победить! Ихи‐хи!""","""É óbvio que eu perdi até agora só para fazer você pensar assim! Ushiromiya Battler, o homem que perde estrategicamente para vencer no final! Ihihi!""","""Of course, I've been losing all this time just to make you think that! Ushiromiya Battler, the man who loses strategically to win in the end! Ihihi!""",「就是為了讓你這麼想，我才一直輸到現在啊？為了最後取勝而以失敗為布局的男人，右代宮戰人！咦嘻嘻！」,「就是为了让你这么想，我才一直输到现在啊？为了最后取胜而以失败为布局的男人，右代宫战人！咦嘻嘻！」,"""Of course, I've been losing all this time just to make you think that! Ushiromiya Battler, the man who loses strategically to win in the end! Ihihi!""","""Of course, I've been losing all this time just to make you think that! Ushiromiya Battler, the man who loses strategically to win in the end! Ihihi!""","""Of course, I've been losing all this time just to make you think that! Ushiromiya Battler, the man who loses strategically to win in the end! Ihihi!"""
Ushiromiya Maria,"""Uu, Battler's amazing...! All my coins are gone again.""","""Uu-, Battler's incredible...! All my coins have disappeared again."" ","""Uu-, Battler's incredible...! All my coins have disappeared again.""",「うー、戦人すごい、戦人すごい…！　真里亞、またコインなくなっちゃった。」,「うー、戦人すごい、戦人すごい…！　真里亞、またコインなくなっちゃった」,"""У‐у, Баттлер невероятен!.. У меня опять не осталось монеток.""","""Uu, o Battler é incrível...! A Maria ficou sem moedas.""","""Uu, Battler's amazing...! All my coins are gone again.""",「嗚——，戰人好厲害，戰人好厲害…！真里亞，硬幣又少了。」,「呜——，战人好厉害，战人好厉害…！真里亚，硬币又少了。」,"""Uu, Battler's amazing...! All my coins are gone again.""","""Uu, Battler's amazing...! All my coins are gone again.""","""Uu, Battler's amazing...! All my coins are gone again."""
Ushiromiya Jessica,"""I'll give you some of mine. Let's crush Battler together, okay?!""","""I'll give you some of mine. Let's crush Battler together, okay?!"" ","""I'll give you some of mine. Let's crush Battler together, okay?!""",「私のコインを分けてやるよ。一緒に戦人をぶっ潰そうぜ！」,「私のコインを分けてやるよ。一緒に戦人をぶっ潰そうぜ！」,"""Я дам тебе пару своих. Давай вместе разгромим Баттлера!""","""Pode ficar com parte das minhas. Vamos esmagar o Battler juntas, tá?!""","""I'll give you some of mine. Let's crush Battler together, okay?!""",「我的硬幣分你點兒吧。一起來打垮戰人嘞！」,「我的硬币分你点儿吧。一起来打垮战人嘞！」,"""I'll give you some of mine. Let's crush Battler together, okay?!""","""I'll give you some of mine. Let's crush Battler together, okay?!""","""I'll give you some of mine. Let's crush Battler together, okay?!"""
