Speaker,Umineko Project (UP),Steam (ST),Original Witch Hunt (OG),PC Japanese (JP),PS3 Japanese - Censored (JPC),Russian (RU),Brazilian Portuguese (PT),Vietnamese (VI),Chinese Traditional (CHT),Chinese Simplified (CN),Indonesian (IDN),Italian (IT),Turkish (TR)
,"I became the Halloween party princess, and the tournament of quizzes and riddles just for me began.","I became the Halloween party princess, and the tournament of quizzes and riddles just for me began. ","I became the Halloween party princess, and the tournament of quizzes and riddles just for me began.",私はハロウィンパーティーのお姫様になり、私のためだけのクイズとなぞなぞ大会が開かれることになった。,私はハロウィンパーティーのお姫様になり、私のためだけのクイズとなぞなぞ大会が開かれることになった。,"Я стала принцессой хэллоуинской вечеринки, и специально для меня начали турнир викторин и загадок.","Eu me tornei a princesa da Festa de Halloween, e um torneio de quizzes e enigmas feito só para mim, começou.","I became the Halloween party princess, and the tournament of quizzes and riddles just for me began.",我成為萬聖夜派對的公主，為了我而進行問答猜謎大會。,我成为万圣夜派对的公主，为了我而进行问答猜谜大会。,"I became the Halloween party princess, and the tournament of quizzes and riddles just for me began.","I became the Halloween party princess, and the tournament of quizzes and riddles just for me began.","I became the Halloween party princess, and the tournament of quizzes and riddles just for me began."
,It looks like I get a medal for each puzzle I get right.,It looks like I get a medal for each puzzle I get right. , It looks like I get a medal for each puzzle I get right.,正解する度に、メダルがもらえるらしい。,正解する度に、メダルがもらえるらしい。,"Похоже, я получу медаль за каждую отгаданную головоломку.",Parece que eu ganho uma medalha para cada um que eu acertar.,It looks like I get a medal for each puzzle I get right.,猜對了，就會拿到金幣。,猜对了，就会拿到金币。,It looks like I get a medal for each puzzle I get right.,It looks like I get a medal for each puzzle I get right.,It looks like I get a medal for each puzzle I get right.
,"If I get a lot, I'm supposed to get a wonderful prize from Grandfather.","If I get a lot, I'm supposed to get a wonderful prize from Grandfather. "," If I get a lot, I'm supposed to get a wonderful prize from Grandfather.",いっぱいもらえば、お祖父さまから素敵なご褒美があるらしい。,いっぱいもらえば、お祖父さまから素敵なご褒美があるらしい。,"Если соберу много таких, дедушка даст мне чудесный приз.","Se conseguir várias, eu devo ganhar um prêmio incrível do vovô.","If I get a lot, I'm supposed to get a wonderful prize from Grandfather.",拿到好多的話，爺爺就會給我很棒的獎勵。,拿到好多的话，爷爷就会给我很棒的奖励。,"If I get a lot, I'm supposed to get a wonderful prize from Grandfather.","If I get a lot, I'm supposed to get a wonderful prize from Grandfather.","If I get a lot, I'm supposed to get a wonderful prize from Grandfather."
,"Okay, here I go.","Okay, here I go. "," Okay, here I go.",よし、がんばる。,よし、がんばる。,"Ладно, вперёд.","Sim, vou me esforçar.","Okay, here I go.",好，我要加油。,好，我要加油。,"Okay, here I go.","Okay, here I go.","Okay, here I go."
Ushiromiya Ange,"""Who should I start with?""","""Who should I start with?"" ","""Who should I start with?""",「誰からクイズをもらえばいいのかな。」,「誰からクイズをもらえばいいのかな」,"""С кого бы начать?""","""Por quem eu devo começar?""","""Who should I start with?""",「從誰那裡開始猜謎好呢？」,「从谁那里开始猜谜好呢？」,"""Who should I start with?""","""Who should I start with?""","""Who should I start with?"""
Ushiromiya Eva,"""I don't think it matters. Start with whomever you like.""","""I don't think it matters. Start with whomever you like."" ","""I don't think it matters. Start with whomever you like.""",「誰からでもいいそうよ。好きな人に話し掛けてごらんなさい。」,「誰からでもいいそうよ。好きな人に話し掛けてごらんなさい」,"""Вряд ли это важно. Начинай с кого хочешь.""","""Não acho que isso importe. Comece com quem você quiser.""","""I don't think it matters. Start with whomever you like.""",「從誰開始都行啊。去和喜歡的人問問試試。」,「从谁开始都行啊。去和喜欢的人问问试试。」,"""I don't think it matters. Start with whomever you like.""","""I don't think it matters. Start with whomever you like.""","""I don't think it matters. Start with whomever you like."""
Ushiromiya Rudolf,"""I'd better think up a killer puzzle while I have the chance.""","""I'd better think up a killer puzzle while I have the chance."" ","""I'd better think up a killer puzzle while I have the chance.""",「今の内に、何か取って置きの問題を考えておかないとなぁ。」,「今の内に、何か取って置きの問題を考えておかないとなぁ」,"""Лучше придумаю сногсшибательную головоломку, пока есть возможность.""","""É bom eu aproveitar e pensar em um enigma bem difícil enquanto posso.""","""I'd better think up a killer puzzle while I have the chance.""",「趁著現在，得好好想個難題出來啊。」,「趁着现在，得好好想个难题出来啊。」,"""I'd better think up a killer puzzle while I have the chance.""","""I'd better think up a killer puzzle while I have the chance.""","""I'd better think up a killer puzzle while I have the chance."""
Ushiromiya Rosa,"""Maria, didn't you have a quiz book in your bag?""","""Maria, didn't you have a quiz book in your bag?"" ","""Maria, didn't you have a quiz book in your bag?""",「真里亞ー、あなた、クイズの本を鞄に入れてなかった？」,「真里亞ー、あなた、クイズの本を鞄に入れてなかった？」,"""Мария, у тебя, кажется, в сумке есть книга с викторинами?""","""Maria, você não tinha um livro de quizzes na sua bolsa?""","""Maria, didn't you have a quiz book in your bag?""",「真里亞，你的包包裡帶沒帶猜謎書啊？」,「真里亚，你的包包里带没带猜谜书啊？」,"""Maria, didn't you have a quiz book in your bag?""","""Maria, didn't you have a quiz book in your bag?""","""Maria, didn't you have a quiz book in your bag?"""
Ushiromiya Maria,"""Uu! I do! Kihihihihihi, I'm gonna bully Ange with a mean one...!""","""Uu-! I do! Kihihihihihi, I'm gonna give Ange a nasty one...!"" ","""Uu-! I do! Kihihihihihi, I'm gonna bully Ange with a mean one...!""",「うー！　あるよー！　きっひひひひひひ、意地悪な問題で縁寿をいじめるの…！」,「うー！　あるよー！　きっひひひひひひ、意地悪な問題で縁寿をいじめるの…！」,"""У‐у! Есть! Ки‐хи‐хи‐хи‐хи, я подразню Энджи противной загадкой!..""","""Uu! Tenho! Kihihihihihi, vou judiar da Ange com ele...!""","""Uu! I do! Kihihihihihi, I'm gonna bully Ange with a mean one...!""",「嗚——！帶了喲！唧嘻嘻嘻嘻嘻嘻，我要用刁鑽的問題來欺負緣壽…！」,「呜——！带了哟！唧嘻嘻嘻嘻嘻嘻，我要用刁钻的问题来欺负缘寿…！」,"""Uu! I do! Kihihihihihi, I'm gonna bully Ange with a mean one...!""","""Uu! I do! Kihihihihihi, I'm gonna bully Ange with a mean one...!""","""Uu! I do! Kihihihihihi, I'm gonna bully Ange with a mean one...!"""
,Maria onee‐chan laughed with an evil smile.,Maria onee-chan laughed with an evil smile. ,Maria onee-chan laughed with an evil smile.,真里亞お姉ちゃんがすっごく意地悪そうな顔で笑う。,真里亞お姉ちゃんがすっごく意地悪そうな顔で笑う。,Сестрёнка Мария засмеялась с недоброй улыбкой.,A Maria onee‐chan riu com um sorriso maligno.,Maria onee‐chan laughed with an evil smile.,真里亞姐姐用很不懷好意的表情笑著。,真里亚姐姐用很不怀好意的表情笑着。,Maria onee‐chan laughed with an evil smile.,Maria onee‐chan laughed with an evil smile.,Maria onee‐chan laughed with an evil smile.
