Speaker,Arabic (AR)
Ushiromiya Jessica,"""...ﻟﻢ ﺗﻌﺪ ﻣﺎﺭﻳﺎ ﺑﻌﺪ. ...ﺃﺗﺴﺎﺀﻝ ﺇﻥ ﻛﺎﻧﺖ ﺗﻌﺎﺗﺐ ﻣﻦ ﺍﻟﻌﻤﺔ ﺭﻭﺯﺍ ﻣﺠﺪﺩًﺍ."""
,ﻣﻨﺬ ﺃﻥ ﻗﺎﺑﻠﻮﺍ ﻣﺎﺭﻳﺎ ﻓﻲ ﺍﻟﻤﻄﺎﺭ، ﻛﺎﻧﺖ ﺗﺜﻴﺮ ﺿﺠﺔً ﻛﺒﻴﺮﺓ ﺑﺎﺳﺘﻤﺮﺍﺭٍ ﺣﻮﻝ ﺍﻟﻬﺎﻟﻮﻳﻦ.
,...ﻟﻜﻦ ﻳﺒﺪﻭ ﺃﻧﻬﺎ ﺗﺠﺎﻭﺯﺕ ﺍﻟﺤﺪﻭﺩ ﻫﺬﻩ ﺍﻟﻤﺮﺓ، ﻭﺗﺼﺮّﻓﺖ ﺑﺼﺨﺐ ﻣﺒﺎﻟﻎ ﻓﻴﻪ ﻋﻠﻰ ﺍﻟﻄﺎﺋﺮﺓ، ﻭﻓﻲ ﺍﻟﻘﺎﺭﺏ، ﻭﺃﺛﻨﺎﺀ ﺍﻟﻐﺪﺍﺀ، ﻣﻤﺎ ﺩﻓﻊ ﺭﻭﺯﺍ ﻟﺘﺤﺬﻳﺮﻫﺎ ﻣﺮﺍﺭًﺍ.
,ﻓﻲ ﻣﺜﻞ ﺗﻠﻚ ﺍﻷﻭﻗﺎﺕ، ﻧﺎﺩﺭًﺍ ﻣﺎ ﻛﺎﻧﺖ ﺍﻟﻌﻤﺔ ﺭﻭﺯﺍ ﺗﻌﺎﺗﺒﻬﺎ ﺃﻣﺎﻡ ﺍﻟﻨﺎﺱ.{n}...ﺍﻷﻛﺜﺮ ﺷﻴﻮﻋًﺎ ﺃﻧّﻬﺎ ﻛﺎﻧﺖ ﺗﻨﺎﺩﻱ ﻣﺎﺭﻳﺎ ﺇﻟﻰ ﺍﻟﻈﻼﻝ، ﻭﺗﻌﺎﺗﺒﻬﺎ ﻋﻨﺪﻣﺎ ﻳﻜﻮﻧﺎﻥ ﺑﻤﻔﺮﺩﻫﻤﺎ.
,ﻟﺬﺍ ﺑﻤﺎ ﺃﻥّ ﻣﺎﺭﻳﺎ ﻗﺪ ﻧﻮﺩﻳﺖ ﺇﻟﻰ ﻣﻜﺎﻥٍ ﻣﺎ، ﻇﻨﻮﺍ ﺃﻧﻪ ﻻ ﺑﺪّ ﺃﻧﻬﺎ ﺗﻌﺎﺗﺐ.
,ﻋﻨﺪﻣﺎ ﻧﻈﺮﻭﺍ ﺇﻟﻰ ﺍﻟﺴﺎﻋﺔ، ﺃﺩﺭﻛﻮﺍ ﺃﻥّ ﺍﻟﻮﻗﺖ ﺍﻗﺘﺮﺏ ﻣﻦ ﺍﻟﺴﺎﺩﺳﺔ.{n}ﻟﻢ ﻳﺴﺘﻄﻴﻌﻮﺍ ﺗﺨﻴﻞ ﺃﻥّ ﻣﺎﺭﻳﺎ ﻛﺎﻧﺖ ﺗﻌﺎﺗﺐ ﻃﻮﺍﻝ ﻫﺬﺍ ﺍﻟﻮﻗﺖ.
,ﺭﺑﻤﺎ ﺣﺎﻥ ﻭﻗﺖ ﺑﺪﺀ ﺃﺣﺪ ﺑﺮﺍﻣﺞ ﺍﻷﻧﻤﻲ ﺍﻟﺘﻲ ﺗﺸﺎﻫﺪﻫﺎ ﻛﻞّ ﺃﺳﺒﻮﻉٍ، ﺃﻭ ﺷﻲﺀ ﻣﻦ ﻫﺬﺍ ﺍﻟﻘﺒﻴﻞ.  ﻭﺭﺑﻤﺎ ﻗﺪ ﻗﺮﺭﺕ ﺃﻥ ﺗﺒﻘﻰ ﻓﻲ ﻏﺮﻓﺔ ﺍﻟﻤﻌﻴﺸﺔ ﺑﺎﻟﻘﺼﺮ.
Shannon,"""ﻗﺪ ﻳﻜﻮﻥ ﺑﺎﺗﻠﺮ-ﺳﺎﻣﺎ ﻗﺪ ﺍﺳﺘﻴﻘﻆ ﻭﻫﻤﺎ ﻳﻠﻌﺒﺎﻥ ﻣﻌًﺎ."""
Ushiromiya George,"""ﻋﻠﻰ ﺍﻷﺭﺟﺢ ﺃﻥ ﻣﺎﺭﻳﺎ-ﺗﺸﺎﻥ ﻗﺪ ﺍﻋﺘﺒﺮﺗﻪ ﺻﺪﻳﻘًﺎ ﺟﺪﻳﺪًﺍ....ﺃﻧﺎ ﻣﺘﺄﻛﺪ ﻣﻦ ﺃﻧّﻬﺎ ﺍﺳﺘﻤﺘﻌﺖ ﻛﺜﻴﺮًﺍ ﻋﻨﺪﻣﺎ ﻟﻌﺒﺖ ﺍﻟﻬﺎﻟﻮﻳﻦ ﻣﻊ ﺑﺎﺗﻠﺮ-ﻛﻦ ﻓﻲ ﺍﻟﻤﻄﺎﺭ."""
Ushiromiya Jessica,"""ﺑﺎﺗﻠﺮ ﻛﺎﻥ ﻳﻌﺒﺚ ﻛﺜﻴﺮًﺍ ﻫﻮ ﺍﻵﺧﺮ. ﻟﻘﺪ ﻛﺒﺮ ﺫﻟﻚ ﺍﻟﺮﺟﻞ، ﻟﻜﻨّﻪ ﻟﻢ ﻳﺘﻐﻴﺮ ﺩﺍﺧﻠﻴًﺎ ﻭﻟﻮ ﻗﻠﻴﻼً ﻋﻤﺎ ﻛﺎﻥ ﻋﻠﻴﻪ ﺳﺎﺑﻘًﺎ."""
Shannon,"""ﻫﺬﺍ ﺻﺤﻴﺢ. ...ﺃﺷﻌﺮ ﺃﻥّ ﺑﺎﺗﻠﺮ-ﺳﺎﻣﺎ ﻛﺎﻥ ﻛﺮﻳﻤًﺎ ﺑﻤﺎ ﻳﻜﻔﻲ ﻟﻴﻈﻞّ ﻛﻤﺎ ﻛﺎﻥ ﻗﺒﻞ ﺳﺖ ﺳﻨﻮﺍﺕ."""
Ushiromiya George,"""ﺷﺎﻧﻮﻥ، ﻫﻞ ﺗﺘﺬﻛﺮﻳﻦ ﻛﻴﻒ ﻛﺎﻥ ﺑﺎﺗﻠﺮ-ﻛﻮﻥ ﻗﺒﻞ ﺳﺖّ ﺳﻨﻮﺍﺕ؟"""
Shannon,"""ﻧﻌﻢ. ﻷﻧّﻪ ﻛﺎﻥ، ﺣﺴﻨًﺎ، ﻧﺸﻴﻄًﺎ ﺟﺪًﺍ. *ﺿﺤﻚ*."""
Ushiromiya George,"""ﺃﻧﺎ ﺃﻳﻀًﺎ ﺃﺗﺬﻛﺮ ﻛﻴﻒ ﻛﻨﺎ ﻧﻠﻌﺐ ﻧﺤﻦ ﺍﻷﺭﺑﻌﺔ ﻗﺒﻞ ﺳﺖ ﺳﻨﻮﺍﺕ. ﻛﺎﻧﺖ ﺷﺎﻧﻮﻥ ﺗﺘﺼﺮﻑ ﻛﺜﻴﺮًﺍ ﻛﺄﺧﺖٍ ﻛﺒﻴﺮﺓ."""
Ushiromiya Jessica,"""ﻫﺬﺍ ﺻﺤﻴﺢ. ﺃﺷﻌﺮ ﺃﻧّﻬﺎ ﻛﺎﻧﺖ ﺃﻛﺜﺮ ﺭﺯﺍﻧﺔً ﻓﻲ ﺫﻟﻚ ﺍﻟﻮﻗﺖ. ﺁﻫﺎﻫﺎﻫﺎ!"""
Shannon,"""ﻓـ-...ﻓﻲ ﺫﻟﻚ ﺍﻟﻮﻗﺖ ﺃﻧﺎ، ﺃﻣﻢ، ...ﻟﻢ ﺃﻛﻦ ﺃﻋﺮﻑ ﻣﻜﺎﻧﻲ، ﻟﺬﺍ... ﺃﻣﻢ، ﻳﺠﺐ ﺃﻥ ﺃﻋﺘﺬﺭ ﻋﻦ ﻛﻞّ ﺗﺼﺮﻓﺎﺗﻲ ﺍﻟﺴﻴﺌﺔ..."""
