Speaker,Arabic (AR)
,ﻛﺎﻥ ﻗﻮﺩﺍ ﻳﻘﻮﻡ ﺑﺠﻮﻻﺕ ﺍﻟﻠﻴﻞ ﺍﻟﺘﻔﻘﺪﻳﺔ.
,ﻟﻢ ﻳﻌﺶ ﻋﻠﻰ ﺭﻭﻛﻴﻨﺠﻴﻤﺎ ﺳﻮﻯ ﺁﻝ ﺃﻭﺷﻴﺮﻭﻣﻴﺎ.{n}ﻟﺬﺍ، ﻻ ﻃﺎﺋﻞ ﻓﻲ ﺍﻟﺘﺤﻘﻖ ﻣﻦ ﺇﻏﻼﻕ ﺍﻟﻤﺪﺍﺧﻞ.
,ﻭﻟﻜﻦ، ﻣﻨﺬ ﺃﻥ ﻭﺑﺨﺘﻬﻢ ﻧﺎﺗﺴﻮﻫﻲ ﻋﻠﻰ ﺫﻟﻚ ﺑﺎﻋﺘﺒﺎﺭﻩ ﺇﻫﻤﺎﻻً، ﺃﺻﺒﺤﺖ ﺟﻮﻟﺔ ﺍﻟﺘّﻔﻘﺪ ﺍﻟﻠﻴﻠﻴﺔ ﻣﻦ ﺭﺗﺎﺋﺐ ﺍﻟﺨﺪﻡ ﺍﻟﻴﻮﻣﻴﺔ.
,...ﻓﻲ ﺍﻷﺻﻞ، ﺃﻣﺮﺕ ﻧﺎﺗﺴﻮﻫﻲ ﺑﻬﺬﺍ ﺗﺒﻌًﺎ ﻟﻠﺸﺎﺋﻌﺎﺕ ﺍﻟﻤﻘﻠﻘﺔ ﻣﻦ ﺣﻴﻦٍ ﻵﺧﺮ ﻋﻦ ﻭﺟﻮﺩ ﺳﺎﺣﺮﺓ.
,ﻛﻞ ﻣﻦ ﺯﺍﺭ ﻫﺬﻩ ﺍﻟﺠﺰﻳﺮﺓ ﻛﺎﻥ ﻳﻌﺮﻑ ﻋﻦ ﺃﺳﻄﻮﺭﺓ {f:7:ﺑﻴﺎﺗﺮﻳﺲ}، ﺳﺎﺣﺮﺓ ﺍﻟﻐﺎﺑﺔ. ﻓﻘﺪ ﺃﺻﺒﺢ ﻫﺬﺍ ﺭﺍﺳﺨًﺎ ﻛﻘﺼﺔ ﺃﺷﺒﺎﺡ ﻣﻤﻴﺰﺓ ﻟﻬﺬﻩ ﺍﻟﺠﺰﻳﺮﺓ..
,ﻭﻟﻬﺬﺍ، ﻟﻢ ﻳﻜﻦ ﻏﺮﻳﺒًﺎ ﺃﻥ ﺗُﺮﻭﻯ ﻗﺼﺺ ﻋﻦ ﺃﺻﻮﺍﺕ ﺃﻭ ﻇﻼﻝ ﻏﺎﻣﻀﺔ ﻓﻲ ﻗﺼﺮ ﻳُﻔﺘﺮﺽ ﺃﻧﻪ ﺧﺎﻝٍ ﺗﻤﺎﻣًﺎ. ...ﻟﻜﻦ ﻓﻲ ﺑﻌﺾ ﺍﻷﺣﻴﺎﻥ،
,ﻛﺎﻧﺖ ﻫﺬﻩ ﺍﻟﻘﺼﺺ ﺗﺸﺎﻉُ ﻛﺜﻴﺮًﺍ ﻭﺗﺘﻀﺨﻢ، ﺣﺘﻰ ﺗﺼﻞ ﺇﻟﻰ ﺃﺫﻥ ﻧﺎﺗﺴﻮﻫﻲ، ﻓﺘﻈﻦ ﺃﻥ ﻫﻨﺎﻙ ﻏﺮﺑﺎﺀ ﺗﺴﻠﻠﻮﺍ ﺇﻟﻰ ﺍﻟﻘﺼﺮ.
,ﻟﺪﺭﺟﺔ ﺃﻧﻬﺎ ﻓﻲ ﺇﺣﺪﻯ ﺍﻟﻤﺮﺍﺕ ﺃﻳﻘﻈﺖ ﺟﻤﻴﻊ ﺍﻟﺨﺪﻡ، ﻭﺃﻣﺮﺕ ﺑﺘﻔﺘﻴﺶ ﺍﻟﻘﺼﺮ ﺑﺄﻛﻤﻠﻪ!
,ﺑﻤﺎ ﺃﻥ ﻛﻞ ﻫﺬﻩ ﺍﻟﻀﺠﺔ ﺣﻮﻝ ﺍﻟﺴﺎﺣﺮﺓ ﺣﺪﺛﺖ ﻗﺒﻞ ﻗﺪﻭﻡ ﻗﻮﺩﺍ، ﻓﻘﺪ ﺳﻤﻊ ﻋﻨﻬﺎ ﻓﻘﻂ ﻣﻦ ﺍﻟﺨﺪﻡ ﺍﻷﻛﺜﺮ ﺃﻗﺪﻣﻴﺔ.
,ﻗﺼﺺ ﺍﻷﺷﺒﺎﺡ ﻛﻬﺬﻩ ﻳﻤﻜﻦ ﺳﻤﺎﻋﻬﺎ ﻓﻲ ﺃﻱ ﻣﻜﺎﻥ ﻋﻤﻞ. ﺣﺘﻰ ﻓﻲ ﺍﻟﻤﻄﺎﻋﻢ ﻭﺍﻟﻔﻨﺎﺩﻕ ﺍﻟﺘﻲ ﺳﺒﻖ ﻟﻘﻮﺩﺍ ﺍﻟﻌﻤﻞ ﻓﻴﻬﺎ، ﻓﻘﺪ ﺷﺎﻉ ﻓﻴﻬﺎ ﺍﻟﻜﺜﻴﺮ ﻣﻦ ﺗﻠﻚ ﺍﻟﻘﺼﺺ.
