Speaker,Brazilian Portuguese (PT)
{f:5:Beatrice},"""...Qual tipo de chá preto eu devo preparar a seguir? Você é livre para escolher qualquer marca que tenha sido criada ao longo desses anos."""
,"""......Chá preto com {i:umeboshi}. ......Daquelas {i:umeboshi} que você encontra em embalagens por 200 ienes."""
{f:5:Beatrice},"""*risos*risos*...! ...Por milhares de anos, tenho sido amante de chá preto, mas eu nunca ouvi falar nesse tipo. ...Eu nunca me cansarei de viver neste mundo."""
,"""...............Beato. Você não precisa exibir tal hostilidade. ...Eu sou apenas uma mera bruxa que está aqui de passagem. Eu não vim com nenhuma intenção de violar as regras de seu território."""
{f:5:Beatrice},"""...*risos*risos*, não há sequer um resquício de hostilidade. ...Eu só estou muito preocupada por ver como a lendária bruxa, Lady {f:5:Bernkastel}, se preocupou em participar."""
{f:5:Bernkastel},""".........Você entendeu mal. Eu sou impotente. Diante de uma bruxa como você, com o terrível poder de matar uma pessoa centenas de vezes, eu sou completamente impotente."""
{f:5:Beatrice},"""Terrível mesmo é uma bruxa ""impotente"" como um poder no qual ninguém é capaz de se equiparar. Afinal, você destronou a Grande Lady {f:5:Lambdadelta}, sozinha."""
{f:5:Bernkastel},"""......Eu apenas venci um concurso de resistência. Aquela garota simplesmente se cansou."""
{f:5:Beatrice},"""Não foi isso o que Lady {f:5:Lambdadelta} disse. ...*risos*risos*risos*, ser humilde demais pode ser inconveniente, Lady {f:5:Bernkastel}."""
{f:5:Bernkastel},"""......Aquela garota possui um poder terrível. ............O poder de matar uma pessoa ""sem falha"". No entanto, não existe nada nesse mundo que ""não possua falha"". Assim como, não importa quantas vezes você divida 1, você nunca conseguirá chegar a 0."""
{f:5:Bernkastel},"""Aquela garota tem o poder de trazer cada vez mais para perto o ""zero sem fim"" e dar origem à ""certeza quase absoluta"". ......Eu espero poder nunca ter que precisar lutar com uma bruxa tão terrível como ela de novo."""
{f:5:Beatrice},"""No entanto, você tem um poder que se manifesta sem falhas, ""exceto pelo zero"". ......Embora você diga que não exista tal coisa como ""sem falha"" neste mundo, você mesma possui um poder infalível. ......Que aterrorizante, *risos*risos*risos*...!"""
{f:5:Bernkastel},"""......O poder de matar uma pessoa ""infinitamente""... ...Eu acho que você é muito mais aterrorizante."""
{f:5:Beatrice},"""Deixando as brincadeiras de lado. ......Do seu ponto de vista, o meu é apenas um poder insignificante. A frase ""a bajulação não vai te levar a lugar algum"" foi feita para esta situação."""
{f:5:Bernkastel},"""......Considere isso um pagamento pela minha estadia aqui. ...Eu sou uma viajante efêmera que está viajando pelos {ruby:kakera:Fragmentos}, correndo continuamente para escapar do tédio. ......Eu simplesmente vim para cá porque eu ouvi que você estava para começar algo interessante. Não se preocupe, eu partirei assim que você começar a me deixar entediada."""
{f:5:Beatrice},"""*risos*risos*...! Eu estou profundamente e humildemente encantada por ter a grande Lady {f:5:Bernkastel} como uma observadora. *risos*risos*! E então, qual a sua impressão?"""
{f:5:Bernkastel},"""............{f:5:Lambdadelta} é aterrorizante por causa de sua crueldade; no entanto, ela é uma garota a qual eu poderia entender. ...Você parece possuir afeição, mas eu não consigo entendê‐la completamente. Por isso que você é muito mais aterrorizante que ela."""
{f:5:Beatrice},"""*risos*risos*risos*...! Eu sou inconstante por natureza. Perdoe‐me por isso. ...Além disso, eu acredito que você também vai aproveitar e confiar seu destino ao rolar dos dados inconsistentes — não é, Lady {f:5:Bernkastel}?"""
{f:5:Bernkastel},"""......Quando eu jogo os dados, eu jogo claramente para conseguir o que quero. Diferente de você. Você, por outro lado, antecipa tudo que vai sair."""
{f:5:Bernkastel},"""E, não importa o resultado, você nunca fica desapontada. Seja qual for o resultado que o rolar dos dados te mostre, você está satisfeita ""sem falha"". .........Nesse sentido, você me supera completamente."""
{f:5:Bernkastel},""".........Você é a única que eu realmente não gostaria de enfrentar. Dentro de você, não há nada além de zero. É por isso que eu não posso ganhar de você com o meu poder. ...A pior disputa. ......Possivelmente a {f:5:Lambdadelta}, por outro lado, pode ser uma boa adversária para você. Já que ela provavelmente seria capaz de matar seu ""infinito""."""
{f:5:Beatrice},"""*risos*risos*, *risos*risos*risos*! ......Realmente, é muito melhor tomar chá na companhia de uma bruxa. Nunca fica chato. *risos*risos*!"""
{f:5:Bernkastel},"""......É bom ouvir isso. O tédio é o único veneno que pode me matar...... Então, não me mate, certo? Lady {f:5:Beatrice}, a Bruxa do Infinito."""
{f:5:Beatrice},"""Se este é o seu desejo, eu devo lhe mostrar algo ainda melhor."""
{f:5:Beatrice},"""......Nesse caso, não seria melhor se eu trouxesse o próximo tabuleiro agora mesmo? Parece que o próximo conto fará mais por você do que outra xícara de chá."""
{f:5:Bernkastel},"""................................."""
{f:5:Beatrice},"""Só espere um momento. ......*risos*risos*!"""
{f:5:Bernkastel},............Parece que algo problemático acabou se encantando por você.
{f:5:Bernkastel},"Eu gostaria de emprestar o meu poder, mas como você acabou de ouvir, o poder dela e o meu não se dão bem. É uma pena para você."
{f:5:Bernkastel},"Mas você é realmente lamentável, então eu vou te ajudar um pouco."
