Speaker,Brazilian Portuguese (PT)
,Eu comecei a recordar.
,Lembrando daqueles dias nos quais eu dificilmente poderia imaginar a felicidade que tenho hoje.
,"Naquele tempo, eu era uma estudante do fundamental.{n}Uma garota comum, que sonhava com o amor, algo normal naquela idade."
,Mas eu realmente não deveria ter tido esse sonho.
,"...Porque eu sou uma ""mobília"".{n}Uma mobília nada mais é do que um utensílio, não é humano."
,"Para alguém assim como eu, que é menos do que um humano, simplesmente receber uma educação básica já era mais felicidade do que o suficiente."
,"Por isso, até mesmo pensar sobre o amor era mais do que eu merecia..."
,"A conferência da família Ushiromiya era um evento costumeiro que acontecia todos os anos, em outubro, mas os parentes ocasionalmente vinham visitar em outras épocas do ano.{n}...Naturalmente, eles não vinham apenas para beber chá."
,"Neste dia, a família de Eva estava visitando o chefe da família em Rokkenjima."
,"Os três membros da família de Krauss e os três membros da família de Eva tinham se reunido na sala de visitas, e estavam tendo uma conversa amigável enquanto eles se atualizavam a respeito da situação de todos."
,"Genji supostamente tinha informado Kinzo a respeito da chegada da família de Eva, mas ele ainda não havia descido."
,"...Provavelmente, ele devia estar imerso em sua ""pesquisa"", e não podia perder tempo."
,"Isso acontecia com frequência, então os outros esperavam pacientemente pelo seu caprichoso pai vir recebê‐los."
Ushiromiya Krauss,"""Hoh. Isso soa promissor. Estude bastante com o seu pai, e faça o seu melhor para segui‐lo logo."""
Ushiromiya George,"""Muito obrigado. Os mentores aos quais meu pai me apresentou estão me proporcionando um estudo realmente valioso. Estou aprendendo coisas que não são ensinadas na escola."""
Ushiromiya Hideyoshi,"""Não é como linguagem ou matemática, que você aprende na escola. O que você estuda é a atitude em relação ao estudo. Uma vez que você forma a base, vai começar um longo período de estudo, que vai durar a vida toda."""
Ushiromiya Hideyoshi,"""Aqueles incapazes de compreender isso vão passar o resto de suas vidas como ignorantes, totalmente incapazes de absorver conhecimento. Eles podem obter notas perfeitas em matemática e linguagem, mas permanecerão inúteis para suas empresas!"""
Ushiromiya Krauss,"""Mmhm, isso é realmente verdade. Hideyoshi‐san, sua política educacional é realmente excelente."""
Ushiromiya Hideyoshi,"""Você ainda não é um homem completo, George! Sempre mantenha isso em mente, e abrace seus estudos."""
Ushiromiya Eva,"""Vamos, pare com isso, querido. O George está {i:sempre} dando o melhor de si. Não é mesmo?"""
Ushiromiya Natsuhi,"""Isso é mesmo excelente. Eu gostaria que a nossa Jessica aprendesse isso com ele..."""
