Speaker,Brazilian Portuguese (PT)
,"......Deixando as motivações dos adultos de lado...{n}Ao menos para nós crianças, estes supostamente eram para ser dias de diversão, onde os primos aprofundam suas amizades."
,"Porém, quando acordamos, havia uma inacreditável e cruel realidade esperando por nós..."
Ushiromiya Jessica,"""............hic, ......hic......!"""
Ushiromiya George,"""................................."""
,O George‐aniki e a Jessica estavam chorando pelas mortes da Shannon‐chan e do Kanon‐kun.
,"......Agora mesmo, todos que estavam vivos se reuniram no lobby do primeiro andar da casa de hóspedes. E lá haviam 12 de nós."
,"...Inacreditável, não é?{n}Havia 18 pessoas até ontem.{n}...E, em uma noite, um terço desse número perdeu suas vidas..."
,"Minha agitação finalmente diminuiu, junto à minha falta de sono por ter sido acordado tão cedo essa manhã, eu estava sentindo como se tudo isso foi apenas um pouco irreal."
,......Quero pensar que isso é algum tipo de pesadelo... Meu escapismo barato continua a me dizer repetidamente que era verdade.
,A Maria voltou para dormir no sofá onde a tia Rosa estava sentada.
,"...Mesmo tendo nervos de aço, ela provavelmente estava realmente cansada por não ter dormido."
,Os adultos estavam carregando peças da coleção do vovô...rifles Winchester de cano curto.
,"...Aparentemente, são remanescentes do período em que ele era obcecado com o ocidente, haviam quatro armas idênticas reunidas."
,"Elas foram divididas entre os quatro irmãos: o tio Krauss, a tia Eva, meu pai e a tia Rosa."
,"Caixas de papel cheias de munição estavam sobre a mesa, e os irmãos silenciosamente carregavam suas armas."
Ushiromiya Rudolf,""".........É um pouco assustador. Mesmo eu estando aqui tocando nisso, tenho a sensação que o pai está pronto para gritar ""Não toque nisso!"" e me bater."""
Ushiromiya Krauss,"""Então você está com sorte. ...Não importa o quanto toque, não vai mais apanhar."""
Ushiromiya Rosa,"""............Eu não consigo acreditar nisso. ...Que o pai............acabaria se deparando com um final desses..."""
Nanjo Terumasa,"""Eu pensei que se tratando do Kinzo‐san, ele provavelmente não morreria deitado em um cama, ......mas, mesmo assim, ......isso foi horrível demais..."""
Ushiromiya Eva,"""Ei. Eu me pergunto se é mesmo o pai...? Eu suspeito que possa ser o cadáver de uma pessoa diferente sendo usado como substituto para nos enganar..."""
Ushiromiya Natsuhi,"""......Não, sem dúvida, aquele é o pai. Você viu os dedos dele, não viu? Considerando o vasto número de pessoas que existem, ainda assim não deve existir muitos humanos com seis dedos em cada pé."""
Ushiromiya Kyrie,"""Contudo, ............não podemos dizer que não existem outros. Eu ouvi que a polidactilia não é uma doença rara. Ele era um homem que gostava de grandes truques, não era? ......Ele pode ter preparado o corpo de alguém que também tinha o mesmo número de dedos em cada pé."""
Ushiromiya Natsuhi,"""Que absurdo! Por qual motivo ele faria algo assim...?!"""
Ushiromiya Hideyoshi,"""......Eu concordaria se fosse uma pessoa normal. ...Mas nós estamos falando do pai. Você não pode afirmar com certeza que o que a Kyrie‐san disse é um absurdo."""
Ushiromiya Rudolf,"""............Dizem que é difícil confirmar a identidade de um cadáver queimado. No entanto, devem haver várias formas de examiná‐lo a partir de seus dentes e estrutura óssea. Se a polícia investigar, eles serão capazes de dizer de quem é o corpo em um instante."""
Ushiromiya Krauss,"""O problema começa que antes da polícia, precisamos de um engenheiro telefônico."""
Ushiromiya Rosa,"""......O barco provavelmente não vai vir enquanto esse tufão continuar. ...Então, ele vai vir amanhã?"""
Ushiromiya Natsuhi,"""Eu espero que o barco volte novamente às 9 h de amanhã. Então, acredito que seremos capazes de entrar em contato com a polícia."""
Ushiromiya Eva,"""......Tanto nós, quanto o culpado...estamos presos nesta ilha até que o tufão passe?"""
,".........Só pela conversa dos nossos pais, nós podíamos ter uma ideia da situação geral, mas vamos explicar tudo mais uma vez."
,"Primeiro, logo cedo pela manhã."
,"Em vários lugares pela mansão, um total de seis corpos, do vovô e de todos os serviçais, foram encontrados um depois do outro."
,"Primeiro, o vovô foi usado como combustível para as chamas na sala da caldeira, e estava completamente queimado."
,"Os serviçais foram encontrados mortos, cada um trancado em um quarto pela mansão, com círculos mágicos desenhados."
,"A causa da morte dos serviçais é incerta, mas de acordo com o diagnóstico do doutor Nanjo, há uma alta chance deles terem sido perfurados por algo como uma lança, ......ou possivelmente pelo disparo de uma arma."
,Por isso os adultos começaram a se armar com rifles.
,E o que tornou a situação ainda mais caótica foi que as linhas telefônicas estão fora de serviço. Não sabemos se isso foi causado por um raio que caiu ou se o culpado as destruiu.
,"Qualquer que tenha sido a causa, o contato com o exterior foi interrompido e não podemos contatar a polícia."
,"Por isso, até amanhã de manhã, quando o tufão passar e o barco vier, nós precisamos nos proteger."
,"Afinal, Rokkenjima está agora isolada por um tufão. E assim como estamos presos na ilha, o culpado também está."
,"Parece que os adultos ficaram a noite toda acordados, passando o tempo todo discutindo durante a conferência de família na sala de jantar da mansão. E mesmo assim, esses crimes ocorreram na mansão."
,"......Enquanto os adultos estavam ocupados em um frenesi sobre dinheiro, o assassino estava matando sob o mesmo teto..."
,"A tia Natsuhi disse que eles eram rígidos quanto a trancar as portas e janelas durante a noite.{n}E mesmo assim, alguma pessoa suspeita entrou na mansão."
,"...Os adultos decidiram que a mansão era grande demais para poder ser considerada segura, por isso eles saíram dela juntos com as armas e se mudaram para a casa de hóspedes, onde nós estávamos."
,.........O que nos trás a situação atual.
,"O George‐aniki e a Jessica imploraram para ver o corpo da Shannon‐chan, mas os adultos não permitiram, dizendo que precisávamos esperar a polícia chegar."
,Isso não é apenas porque eles trancaram todos os quartos para preservar as cenas.
,"...Afinal, o culpado que matou os seis pode estar vagando pela mansão."
,"Para a família Ushiromiya, nesse momento, a mansão que deveria ser sua casa...se tornou uma zona de perigo, invadida por um assassino desconhecido..."
,"Isso faz sentido, afinal, a mansão é muito grande. Há um monte de pontos cegos e espaços escuros, e é grande demais para garantir uma segurança absoluta com tantas pessoas assim."
,"Em contraste, a casa de hóspedes é um prédio muito menor que a mansão."
,"Com dois andares. Número de quartos...uns dez?{n}......Aparentemente, ela foi construída originalmente com o propósito de servir como hospedagem para quando a ilha fosse transformada em um resort."
,Por isso é fácil entender toda a estrutura e garantir uma segurança.{n}Isso faz com que seja um bom lugar para se abrigar.
,"......E... Há uma chance extremamente alta desse assassinato em massa de seis pessoas ser um ""jogo""."
,Porque o culpado proclamou isso em uma carta.
,"Eu ouvi que um envelope em estilo ocidental com o brasão da família, assim como o que a Maria afirmou ter recebido da {f:5:Beatrice} ontem, foi encontrada na sala da caldeira onde o corpo do vovô foi descoberto."
,Isto era o que a carta dizia:
,"{e:070:Para que não não se tenha nenhum mal‐entendido.{n}O jogo que eu busco é se vocês são ou não capazes de resolver o enigma do epitáfio, e não se são capazes de me pegar ou não.{n}{n}Se vocês não resolverem o enigma do epitáfio, esses sacrifícios miseráveis vão aumentar cada vez mais.{n}Seria mais sábio passar o tempo de vocês tentando resolver o epitáfio do que procurando por mim.{n}{n}Se ninguém for capaz de resolver o enigma do epitáfio, ninguém vai sobreviver.}"
,"{e:070:Se uma pessoa com habilidades o suficiente para resolver o epitáfio aparecer, eu darei a ela todo o ouro da Terra Dourada, a liderança da família Ushiromiya e todo o meu poder.{n}{n}Fui eu quem sucedeu a liderança da família que pertencia ao Kinzo‐sama.{n}Eu estou ansiosa para ver quem vai receber a liderança de mim.{n}{n}{nobreak:{m:-3:—}—}{f:5:Beatrice}, d'Ouro.}"
,...Esse enigma do epitáfio é...aquela coisa.
,"Aquele estranho epitáfio escrito no mesmo lugar onde está o retrato da bruxa, exibido no hall da mansão."
,"Foi o vovô quem ordenou que aquilo fosse escrito, e a pessoa que o resolver, supostamente, receberia a liderança da família, o ouro escondido ou algo assim."
,"Desde que foi exibido pela primeira vez muitos anos atrás, todos os familiares, apesar de rirem dele no começo, tem secretamente se desafiado a resolver ele sozinho."
,"No entanto, até hoje, ninguém o resolveu. Mais uma vez foi dito para nós resolvermos esse enigma ininteligível e, dessa vez, estamos sendo ameaçados; se não o resolvermos, todos nós seremos mortos."
,"......Se isso não é um ""jogo"", como deveríamos chamá‐lo...?"
,A ousada opinião de que devemos procurar pelas instalações do culpado foram cogitadas.
,"Porém, há uma boa chance dele estar armado, e não necessariamente pode haver apenas um."
,"E, ...enquanto ele poderia ter matado mais de seis pessoas, ele tinha {i:parado as seis}."
,"No fim, a opinião que prevaleceu é a de que devemos evitar se opor ao culpado de forma descuidada, e ficarmos em um lugar seguro, esperando pela chegada da polícia..."
,"Depois que os adultos cuidadosamente conferiram se as portas e janelas estavam fechadas, eles montaram um acampamento no lobby."
,"Enquanto carregavam suas armas para se distraírem da tensão, suas expressões mostravam que já estavam cansados daquele longo dia, que mal havia começado..."
,Não há nada que eu possa fazer.
,"No momento, tudo que sou capaz de fazer é aprender a usar uma arma, e se preparar para a possibilidade de que...aconteça algo que {i:leve a um excesso de armas}......"
,"......Este é o jeito. Fiquem aqui obedientemente, {i:eu e o resto de vocês}."
Ushiromiya Battler,"""...............Seis pessoas no começo de novo? E dessas vez foi o vovô e todos os serviçais."""
{f:5:Virgilia},"""Possivelmente, aquela criança tenha estudado cuidadosamente seus movimentos no último jogo. E tomou como prioridade retirar primeiro as peças que ela supôs que você tomaria como suspeitos primeiro."""
Ushiromiya Battler,"""......Isso faz sentido. ...Tanto da última vez, quanto na anterior, os serviçais sabiam tudo sobre a mansão, e quem anda com as chaves mestras são sempre os primeiros na lista de suspeitos."""
Ushiromiya Battler,"""......Um bom exemplo é no último jogo, o quarto fechado da Jessica. Se eu apenas tivesse aceitado que um dos serviçais era o culpado, aquilo sequer seria um quarto fechado."""
{f:5:Virgilia},"""Sendo assim, ......aquela criança quis ir direto neles. Ela provavelmente foi bloquear imediatamente a rota de escape você usaria por último."""
Ushiromiya Battler,"""A Beato já proclamou em vermelho que não tem mais de 18 pessoas nessa ilha. ...Então basicamente, .........{i:ela está dizendo ""desista""}. ......Agora eu tenho que suspeitar de um dos 18."""
{f:5:Virgilia},"""......Aquela criança provavelmente vai vir até você roubando as peças dos 18, e depois aparecer com uma 19ª pessoa que não deveria existir, fazendo você aceitar que ela é uma bruxa."""
{f:5:Virgilia},"""......É porque, agora que a estratégia de intimidação dela de forçar você a se submeter mostrando sua magia falhou, ela pode apenas fazer um ataque frontal."""
Ushiromiya Battler,"""......Perfeito. Blefar não vai mais funcionar."""
{f:5:Virgilia},"""Seja cuidadoso. Tecer ficções é o ponto mais forte de uma bruxa. ...Não importa o que aquela criança diga ou mostre, isso definitivamente não vai ameaçar a verdade em que você acredita. Não se esqueça disso."""
Ushiromiya Battler,""".........Claro. Eu estaria condenado se os mesmos movimentos funcionassem comigo de novo e de novo. .........Apareça, {f:5:Beatrice}. Vamos começar!!!"""
{f:5:Beatrice},"""Eu já estou sentada à mesa de jogo. Meu turno também já está completo."""
Ronove,"""......E pensar que eu teria a Madame como minha oponente. É mesmo um infortúnio, ojou‐sama. ...Nossos movimentos serão lidos por completo."""
{f:5:Beatrice},"""Isso não é um problema. Os movimentos dela são todos de clássicos antiquados. Não há nada para se temer."""
{f:5:Virgilia},"""...Quais foram os movimentos que ensinei a você, além dos clássicos? Estou ansiosa para vê‐los, {f:5:Beatrice}."""
{f:5:Beatrice},"""......*gargalhada*gargalhada*gargalhada*gargalhada*. Está tudo bem, Battleerr? Alguém que nega as bruxas pode mesmo aceitar uma bruxa como estrategista...?"""
Ushiromiya Battler,"""Essa provocação estúpida é inútil. Essa pessoa é minha conselheira, não, minha adjunta. Isso não muda em nada essa luta de punhos entre você e eu."""
{f:5:Beatrice},"""Eu entendo. ......Você hesita tanto que provavelmente precisa de rodinhas para aprender a andar de bicicleta. Faça como quiser. Venha, comece!! É a sua vez!"""
Ushiromiya Battler,"""Vamos começar com a reconstrução da cena do crime. ......{f:5:Virgilia}, por favor!"""
{f:5:Virgilia},"""O primeiro corpo descoberto foi o da Shannon. Ela foi encontrada na sala de visitas, localizada no primeiro andar da mansão. A porta e as janelas estavam fechadas, e um quarto fechado foi estabelecido."""
Ushiromiya Battler,"""......Clarificação requisitada para a Beato. Reconfirme a definição de um quarto fechado."""
{f:5:Beatrice},"""Mmhm. O termo ""quarto fechado"" se refere a um ambiente onde o interior e o exterior do mesmo estão completamente isolados de qualquer passagem entre eles. Naturalmente, é impossível de afetar qualquer coisa dentro do mesmo ou escapar, nem mesmo interferências são possíveis. Isso é compreensível, incluindo todas as negações de portas escondidas, bem como qualquer margem para interferências vindas de fora."""
{f:5:Beatrice},"""......Daqui em diante, essa definição será referida como: ""Definição de quarto fechado da {f:5:Beatrice}""!"""
Ushiromiya Battler,"""Confirmando detalhes. ......Defina ""margem para interferências vindas de fora""."""
{f:5:Beatrice},"""Se refere a qualquer tipo de interferência direta vinda do lado de fora, coisas como linhas de pesca ou hastes longas e finas. Em outras palavras, você está para concluir que não há nenhum espaço entre as portas ou janela onde esses truques possam ser usados."""
Ushiromiya Battler,"""Será? Mesmo se não houver um espaço, você deve ser capaz de interferir com ondas de rádio, como um controle remoto, certo?"""
{f:5:Beatrice},"""Muito bem. Eu adicionarei a definição que é impossível para ondas de rádio ou qualquer método relacionado de controle remoto interferir."""
Ushiromiya Battler,"""Também há um telefone na sala de visitas. Um dispositivo conectado como ele não conta como controle remoto, certo?!"""
{f:5:Beatrice},"""Os telefones já estão inutilizados. ...Ah, isso é um saco. Vou incluir isso também. Todos os métodos diretos e indiretos de interferência de fora do ambiente para o interior do quarto fechado são impossíveis."""
Ushiromiya Battler,"""E quanto a voz ou batidas? Elas devem ser capazes de interferir de fora para dentro sem entrar no ambiente, certo?"""
{f:5:Beatrice},""".........Mesmo sendo um quarto fechado, provavelmente não é impossível para alguém bater na porta ou chamar. Permitindo ou não a comunicação humana vinda de fora, isso não vai contra a definição de quarto fechado."""
Ushiromiya Battler,"""Ou seja, você não pode incluir na sua definição que esses métodos de comunicação sejam interrompidos?"""
Ronove,"""De fato, é o caso."""
Ushiromiya Battler,"""Entendido. .........Então, a sala de visitas da Shannon‐chan satisfaz a ""definição de quarto fechado da {f:5:Beatrice}""?"""
{f:5:Beatrice},"""Está correto."""
Ushiromiya Battler,""".........Definição de quarto fechado entendida. Continue, {f:5:Virgilia}."""
{f:5:Virgilia},"""Sim."""
{f:5:Virgilia},""".........O corpo de Shannon estava de posse da uma chave mestra. Os parentes que a descobriram pegaram a chave."""
Ushiromiya Battler,"""Repetição requisitada para Beato. Quantas chaves mestras existem dessa vez?"""
{f:5:Beatrice},"""...Hmph. O mesmo da última vez. {p:1:Existem cinco, uma para cada serviçal}."""
Ushiromiya Battler,"""O que significa que ainda não é um quarto fechado. Ainda há quatro chaves mestras sobrando. Isso apenas significa que após o assassinato da Shannon‐chan, uma das outras quatro foi usada para trancar."""
Ronove,"""Está correto. .........E não foi encontrada apenas uma chave mestra."""
{f:5:Virgilia},"""Sim."""
{f:5:Virgilia},"""......Junto com o corpo, havia um envelope ocidental com o brasão da família.{n}Ao invés de uma carta, a chave para o quarto de hóspedes do segundo andar foi encontrada."""
Ushiromiya Battler,"""......A chave para o quarto de hóspedes do segundo andar... Eu posso definir que há apenas uma chave além das chaves mestras que pode abrir a porta do quarto de hóspedes do segundo andar?"""
{f:5:Beatrice},"""Não há problema nenhum nisso. E, diferente das chaves mestras, existe apenas uma."""
Ronove,"""Em outras palavras, para se abrir um quarto específico, em adição as cinco chaves mestra, há apenas uma outra chave."""
Ushiromiya Battler,"""......Ou seja, isso é uma mensagem dizendo para ir ao quarto de hóspedes do segundo andar agora? Por isso os adultos foram para o quarto de hóspedes do segundo andar?"""
{f:5:Virgilia},"""Sim."""
{f:5:Virgilia},"""A porta do quarto de hóspedes do segundo andar também estava fechada, e um círculo mágico estava desenhado. ......Os parentes abriram ela com a chave que encontraram próxima ao corpo de Shannon."""
{f:5:Virgilia},"""Dentro do quarto, o corpo da Kumasawa foi descoberto. O quarto é um quarto fechado. Essa definição é baseada na ""definição de quarto fechado da {f:5:Beatrice}""."""
