Speaker,Brazilian Portuguese (PT)
,A porta foi vigorosamente aberta e Rosa voou para dentro com Maria.
Ushiromiya Rosa,"""O Genji‐san ou qualquer outro está aqui...?! Não importa quem, alguém nos traga uma toalha de banho...!!"""
,"O tufão já estava soprando com tudo lá fora, e já havia começado uma chuva torrencial. Mesmo que ela estivesse com um guarda‐chuva, Maria estava no jardim de rosa em meio à chuva e o vento o tempo todo."
,Ela estava gelada.
,"Maria acabou tendo uma pequena briga com Rosa no jardim de rosas, e foi dito para ela ficar lá para sempre."
,"......Ela fez o que fora dito e continuou naquele mesmo lugar, mesmo depois que a chuva começou a cair."
,"Rosa certamente ficou um pouco emocional e furiosa, mas a teimosia de Maria provavelmente era a maior culpada disso."
,"......Os primos, que infelizmente foram testemunhas daquela discussão, estavam aliviados em ver mãe e filha próximas mais uma vez."
,"Rosa secou a cabeça de Maria com a toalha. Ela parecia estar preocupada que a Maria pegasse um resfriado, mas Maria estava indiferente quanto a isso."
Ushiromiya Rosa,"""Você está bem? Não está com frio, está? Talvez nós devêssemos voltar logo e pegar uma muda de roupas..."""
Ushiromiya Maria,"""Uu, estou beeem! Estou com fome, e comida é melhor que roupas, uu!"""
Ushiromiya Battler,"""Hahahaha. Ela parece bem, tia Rosa. Se está animada assim, significa que vai ficar bem."""
Ushiromiya George,"""É mesmo ótimo que ela tenha trazido um guarda‐chuva. ......Eu pensei que ela pudesse ter ficado encharcada. O fato dela estar com um guarda‐chuva ao menos é uma consolação."""
Ushiromiya Jessica,"""Mas, Maria! Mesmo tendo um guarda‐chuva, você deveria procurado algum abrigo quando começa a chover assim, entendeu? Garotas nunca devem deixar seus corpos esfriarem."""
Ushiromiya Maria,""".........Uu."""
Ushiromiya Rosa,"""Está tudo bem, Jessica‐chan. ......É culpa minha por ter dito para ela ficar lá. Me desculpe, me desculpe...!!"""
Ushiromiya Maria,"""Uu! A Maria é uma boa garota? É uma boa garota por fazer o que a mamãe disse? Fiquei lá mesmo estando frio, fiquei lá até a mamãe voltar! Uu‐uu!"""
Ushiromiya Rosa,"""Sim, você é uma boa garota, Maria. Você fez exatamente o que a mamãe disse... Você foi muito bem. Mas na próxima, mesmo se a mamãe disser alguma coisa, você deve procurar por um abrigo se começar a chover assim. Entendido...? Promete pra mamãe."""
Ushiromiya Maria,"""Uu. Prometo pra mamãe. ......Uu{p:0:☆}"""
,"Enquanto Rosa gentilmente segurava Maria, elas juntaram seus dedos mínimos e fizeram uma promessa."
,"Battler, assim como os outros, podiam ver que através desse laço entre mãe e filha, expressado por um único dedo, que o calor estava começando a retornar ao corpo de Maria."
Ushiromiya Rosa,"""Kanon‐kun, obrigada pela toalha. Foi de grande ajuda."""
Kanon,"""......Então, se me dão licença."""
,"Kanon se curvou sem demonstrar expressões, como se pensasse que não havia feito nada que merecesse uma gratidão, então deixou a sala de visitas."
Ushiromiya Rosa,"""......Certo, já está quase na hora do jantar. Vamos comer todos juntos. ......Maria, você pode até ficar com metade da minha sobremesa por ser tão obediente."""
Ushiromiya Maria,"""Uu! É mesmo, mamãe?! Uu‐uu, ganhei sobremesa, uu‐uu‐uu{p:0:♪} Te amo, mamãe, {nobr:te amo}, mamãe!"""
Ushiromiya Rosa,"""Vamos, Maria, não se agite. A mamãe também te ama, Maria. Eu te amo, Maria, eu te amo muito, Maria."""
Ushiromiya Maria,"""A Maria também ama a mamãe, a Maria ama a mamãe! Uu‐uu‐uu‐uu!"""
Ushiromiya Rosa,"""Uu‐uu‐uu‐uu{p:0:♪}"""
,Rosa e Maria pareciam realmente felizes juntas. Mesmo os primos que estavam observando começaram se sentir uma espécie de calor que preenchia seus peitos.
Ushiromiya Battler,"""......Sabe, essa deve ser a idade em que você se dá melhor com seus pais."""
Ushiromiya Jessica,"""Não foi assim comigo. A minha mãe sempre ficava gritando comigo para estudar, estudar e estudar."""
Ushiromiya George,"""Isso porque ela ama sua filha. O amor parental nem sempre é gentil e indulgente. Minha mãe também era rígida comigo, mas agora eu percebo que isso é porque ela se importava comigo."""
Ushiromiya Maria,"""Uu‐uu‐uu! Amo a mamãe, amo a mamãe!"""
Ushiromiya Rosa,"""Eu te amo, Maria, eu te amo, Maria{p:0:♪} Então, vamos ir comer? Vamos ser amigas e darmos as mãos."""
Ushiromiya Maria,"""Uu! Ser amigas e dar as mãos! A mamãe e a Maria, amigas, amigas{p:0:♪}"""
Ushiromiya Rosa,"""Sim, isso mesmo. A mamãe e a Maria são amigas. Para todo sempre.{n}Eu te amo, Maria..."""
Ushiromiya Battler,"""...............Que merda é essa? ...O que aconteceu?"""
,"O som repentino veio da xícara de chá que Gretel estava segurando, que havia caído e se quebrado."
Ushiromiya Ange,""".........Desculpe. Eu fiquei distraída por um momento. Desculpe por derrubá‐la."""
,A xícara no chão se quebrou em pequenos pedaços.
,......Ela realmente teria feito tal som apenas de cair e se partir em tantos pedaços só por ter sido derrubada daquela altura?
,"Mesmo alguém obtuso como Battler era capaz de perceber que ela estava de mal humor por algum motivo, mas ele não pode entender o motivo dela ter ficado tão aborrecida de repente."
,"Quando ela se curvou para juntar os pedaços da xícara, Ronove apareceu do nada e a parou."
Ronove,"""Por favor, você vai acabar se ferindo. Deixe a limpeza comigo. Devo trazê‐la outra xícara...?"""
Ushiromiya Ange,"""......Não precisa. .........Acho que chá preto de demônios não combina com o meu paladar."""
{f:5:Beatrice},"""Hoh. E pensar que iria existir alguém que não fica satisfeita nem mesmo com o chá do Ronove. Devo respeitar seu paladar perspicaz."""
Ushiromiya Ange,""".........Estou ficando entediada, vou dar uma saída."""
Ushiromiya Battler,"""{i:Entediada}? Espera um pouco, mas as coisas acabaram de começar. Agora a Maria provavelmente vai dizer que recebeu o guarda‐chuva e uma carta da {f:5:Beatrice} de novo, sabia? Essa é uma parte importante—"""
Ushiromiya Ange,"""Vai ter que me dar licença. Desculpe, alguém precisa limpar essa bagunça."""
Ronove,"""Deixe isto comigo."""
,"Sem dizer nada mais, Gretel desapareceu por vontade própria. Sua forma literalmente derreteu e desapareceu no ar fino..."
,Definitivamente havia uma expressão de desagrado em seu rosto.
,"Mas nem Battler ou Ronove e, é claro, Beato, puderam entender motivo do humor dela ter se agravado de repente."
,Tudo o que restou foi a fragrância do chá preto que ela havia derrubado...
,.........É bem desagradável.
,"Não, sendo mais franca, é repulsivo."
Ushiromiya Maria,"""Uu...? ......Por que está tão irritada, Ange......?"""
Ushiromiya Ange,"""{i:Por quê}?! Não é óbvio...?"""
Ushiromiya Maria,"""Uu. ...A Maria não entende......"""
,"Mesmo a Maria onee‐chan, com aquela expressão vazia em seu rosto, ...me irrita."
,"Eu levantei minhas mãos em meio ao ar e, a partir do nada, um livro aterrissou nelas com um bam."
,.........Era o diário da Maria onee‐chan.
,"Mesmo não havendo vento, as páginas viraram sem eu sequer tocá‐las, e abriram para o mundo da Maria onee‐chan."
Ushiromiya Maria,"""......Por que você acha que a Maria não está feliz, Ange?"""
Ushiromiya Ange,"""............Pense nisso objetivamente."""
Ushiromiya Maria,"""Objetivamente, pela sua perspectiva, certo?"""
Ushiromiya Ange,"""..................... ......Você está dizendo que a verdade é diferente para mim e para você, Maria onee‐chan?"""
Ushiromiya Maria,"""A verdade muda sua forma dependendo do observador. E um observador do futuro sempre sobrescreve essa forma. .........Ange, o que você está tentando fazer com a felicidade da Maria...?"""
Ushiromiya Ange,""".............................."""
,"As páginas do diário começaram a virar em uma velocidade cada vez maior...{n}Então, uma brilhante luz derramou das profundezas do diário, ......engolindo tudo e pintando de branco."
Ushiromiya Rosa,""".........Desculpa, Maria. A mamãe tem muito trabalho que precisa ser feito urgentemente, então vou ficar confinada no trabalho por um tempo. ......Eu provavelmente não vou poder voltar para casa até tarde da noite do dia depois de amanhã."""
Ushiromiya Maria,"""......Uu. ......Então, e quanto a promessa que íamos ver filmes juntas no domingo......?"""
Ushiromiya Rosa,"""Os filmes...? Bem—"""
,"Julgando pelo tom de voz de Rosa, ela claramente havia esquecido da promessa."
,Mas a resposta de Maria a isto foi uma desculpa por ter perguntado...
,............Desculpa.
,Maria se desculpou por ter importunado sua mãe ao perguntar aquilo......
Ushiromiya Maria,""".........A Maria vai ficar cuidando da casa. Vou me comportar e esperar.{n}......Vou tomar banho todos os dias e trocar minhas roupas de baixo."""
Ushiromiya Maria,"""...Sei onde o dinheiro está. ......Irei a uma loja diferente todos os dias.{n}Tentarei nunca sair muito tarde. Se um policial perguntar, vou dizer que estou indo fazer algo para a mamãe. ......Vou dizer assim como você me disse."""
Ushiromiya Rosa,"""........................... ......Isso mesmo. Você é uma boa garota. Se você se comportar, eu vou comprar um presente. Agora ouça. Vá para a cama às nove. E de forma alguma diga para seu professor ou algum adulto que a mamãe não está em casa. Certo......?"""
Ushiromiya Maria,"""..................Tá. ......Por isso, mamãe, trabalhe bastante, certo? ......Trabalhar bastante, terminar seu trabalho......e voltar o mais rápido que puder..."""
Ushiromiya Maria,"""A Maria......não vai chorar durante a noite e incomodar os vizinhos...... ......Por isso, volte logo........."""
Ushiromiya Rosa,""".................. ......Muito bem, eu estou ocupada, então já vou desligar. ...Seja uma boa garota e espere pacientemente. Não faça nada idiota. Até mais."""
,"Click. ......Usando de um tom que indicava que ela estava encerrando a conversa, Rosa desligou o telefone sem sequer esperar pela resposta de Maria."
,"Maria habilmente colocou o telefone de volta no gancho e voltou para o sofá.{n}Lá estava sentado seu animal de pelúcia, Sakutaro, que estava assistindo TV com ela até um segundo atrás."
,Sakutaro estava segurando o controle remoto da TV.{n}......Ela tinha desligado a TV por um momento por causa do telefonema.
,Ele parecia estar pedindo para ligar novamente porque queria voltar a assistir TV logo.
Ushiromiya Maria,"""...............Sakutaro. ......Você quer assistir...TV?"""
Sakutarou,"‘......Uryu? Você não quer mais assistir, Maria...? Se o time dos atores responder todas as perguntas corretamente, eles podem acabar virando o jogo. Uryu~!’"
Ushiromiya Maria,""".........Não. .........Já chega de...TV."""
,"De novo, ......a mamãe está ocupada com o trabalho e não vai voltar para casa."
,A mamãe costuma fazer muita hora extra e só chega em casa muito tarde da noite.
,"......O trabalho exige que ela socialize ou algo assim, por isso ela sempre volta depois de ter bebido muito, mesmo sendo fraca com álcool, e com o rosto pálido, ela vai direto pro banho e de depois pra cama."
,"E mesmo nos fins de semana, ela diz que precisa fazer hora extra e passar a noite fora, e quase nunca vem pra casa."
,......Isso vem acontecendo bastante ultimamente. Ela sempre diz que tem muito trabalho acumulado ou algo assim...
,"......Todo mundo riu do desenho que me esforcei para fazer na aula de artes, mas queria que a mamãe pudesse ver ele também...mas, de novo, não vou poder mostrar pra ela."
,"E falar sobre quando todo mundo me indicou para fazer a limpeza, e me esforcei bastante e até o professor me elogiou."
,"Falar de quando fui fazer compras, e o homem da loja disse que sempre ficava impressionado e meu deu uma lata de café de graça."
,"E da carta que escrevi em segredo e escondi debaixo do travesseiro dela, porque queria encorajar a mamãe quando ela voltasse pra casa depois de trabalhar muito."
Ushiromiya Maria,"""...............E tem muito, muito...mais coisas......que queria falar."""
Sakutarou,‘.........A mamãe se esforça muito no trabalho dela. Ela trabalha com todas as suas forças para nós comermos todos os dias.’
Ushiromiya Maria,"""......Odeio o trabalho. ......A mamãe devia largar esse trabalho idiota."""
Sakutarou,"‘É importante para os adultos trabalhar. ......Permite que você coma, compre roupas, pague os lanches na escola e os depósitos para o acampamento de verão. ......É tudo porque a mamãe trabalha e ganha dinheiro para você.’"
Ushiromiya Maria,""".............................. ...Não preciso de comida. Não preciso de roupas. Não preciso de lanches na escola e não quero ir para o acampamento de verão. ...Não é como se algum dos grupos fosse deixar a Maria se juntar."""
Sakutarou,"‘Uryu...... ......Agora mesmo, no telefone, a mamãe prometeu que ia comprar um presente para você quando ela voltasse do trabalho, não foi?’"
Sakutarou,"‘Acho que a mamãe fez essa promessa porque você é importante para ela, Maria, e ela se sente mal por deixar você sozinha.’"
Ushiromiya Maria,""".........Será?"""
Sakutarou,‘Uryu! Ela certamente não faria isso se pensasse que você fosse chata ou um incômodo! ......Ela quer ficar ao seu lado o tempo todo também.’
Sakutarou,"‘...Ela também acha doloroso e triste não poder. ............Eu lembro quando a mamãe passou a noite ao seu lado, chorando.’"
Ushiromiya Maria,""".........Sim. ...Não entendi porque a mamãe estava chorando, ......mas ver a mamãe daquele jeito foi muito triste, ...e não pude fazer nada além de ficar em silêncio ao lado dela."""
Sakutarou,"‘Eu lembro da última coisa que a mamãe disse. ......Ela disse obrigada. .........Ela disse que só de você estar ao lado dela, você era a única aliada dela em todo o mundo. ......Uryu, você se lembra?’"
Ushiromiya Maria,"""Sim... .........Você é minha única aliada em todo o mundo, ......foi o que ela disse"""
,"O Sakutaro colocou o controle na mesa e se arrastou para o sofá, sentou no meu colo, ...e falou para mim enquanto olhava nos meus olhos."
Sakutarou,"‘......Eu tenho certeza que a mamãe gosta de você, Maria. .........Os clientes só riem dos designs que a mamãe desenha. ......E a companhia dela é a única que acaba encarregada de trabalhos problemáticos das outras companhias.’"
Sakutarou,"‘A mamãe é a presidente, por isso ela tem que cuidar de tudo sozinha. ......E a companhia dela é a única que nunca consegue se juntar em negócios com outras companhias.’"
Sakutarou,"‘.........Você é única aliada da mamãe, lembra? ......Mesmo se você disser para a mamãe largar o trabalho, ......no mundo todo, onde vai estar a única aliada da mamãe.........?’"
Ushiromiya Maria,"""...............uu... .........Sakutaro......"""
Sakutarou,"‘A única pessoa que eu tenho no mundo todo é você. ......E a única pessoa no mundo todo que a mamãe tem é você. .........E quanto a você, Maria?’"
Ushiromiya Maria,"""......Tenho a mamãe...e tenho você..."""
Sakutarou,‘Então você não está sozinha! Uryu!’
Ushiromiya Maria,""".........Uu."""
Sakutarou,"‘A mamãe está ocupada com o trabalho, por isso ela não pode ficar muito tempo com você, mas, por favor, não culpe ela por isso, Maria. ......Em troca, eu sempre vou estar ao seu lado, e eu vou estar aqui para todo o sempre. ...............Por isso não chore, tá...?’"
Sakutarou,‘.........Uryu... Comigo junto.........você pode parar de ficar triste......?’
Ushiromiya Maria,"""............uuu, ......uuuuuuuuuuu, Sakutaro... ......uuuuuuuuu!! UwaaAAaaAaahhh, waaAAahaaaAAahaaahhh..."""
,".........Dentre os buracos no coração de Maria, os quais ela tem feito o seu melhor para selá‐los, ...gotas de tristeza finalmente escorriam deles. ......*Escorre*escorre*. Plop, plop."
,"......Sniff, sniff, *escorre*escorre*, plop, plop."
,Mesmo fins de semana onde a mamãe não volta para casa não são coisas raras.
,......Mesmo esta noite não sendo especialmente mais dolorosa ou triste que qualquer outra.
,......As lágrimas de Maria escorriam.
Sakutarou,"‘Uryuu...! Não chore, Maria... Eu sempre vou estar com você... Mesmo se você for chorar, eu não vou. Eu sou um filhote de leão, não posso chorar porque estou solitário. ......Eu também quero chorar...mas eu {i:não vou}...!’"
Ushiromiya Maria,"""Por que você não chora, Sakutaro...? Você não chora, mesmo quando se sente sozinho e não consegue segurar as suas lágrimas...?"""
Sakutarou,"‘Uryu. Mas se eu chorar, quem vai fazer você se sentir melhor...? Por isso eu não vou chorar. Porque eu quero fazer você sorrir.’"
Ushiromiya Maria,"""Se sorrir, ......a mamãe vai voltar......?"""
