Speaker,Brazilian Portuguese (PT)
,Bam‐bam‐bam‐bam!!!
,O repentino som de alguém batendo vigorosamente contra a porta fez com que Natsuhi recuperasse seus sentidos.
,Ela provavelmente acabou cochilando no estúdio enquanto pensava em como iria superar o dia seguinte.
,Mas...quem poderia ser...? Em um momento como esse...
,"Mais importante que isso, a batida em si foi estranha."
,"Se alguém quisesse entrar em contato com ela, poderia simplesmente ter usado a linha interna."
,Ela já havia dito a todos que estaria ali.
,"Percebendo que algo estranho estava acontecendo, Natsuhi sacudiu sua cabeça novamente, dispersando toda sua sonolência."
Ushiromiya Eva,"""Pai, pai...!! É a Eva. Tenho algo urgente e vital para falar com você!"""
,Era a voz de Eva.
,......O que isso significa?
,Tenho certeza que pedi para que fechassem as portas e janelas da mansão depois que todos a deixassem em direção à casa de hóspedes.
,Então por que a Eva está aqui...?!
,"Natsuhi correu até a porta, respondeu com uma leve batida, e falou através da porta com um tom de voz ameno."
Ushiromiya Natsuhi,""".........O que você quer? Faça silêncio."""
Ushiromiya Eva,"""Natsuhi nee‐san...?! Por que está no estúdio do pai a essa hora?!"""
Ushiromiya Natsuhi,"""......Eu disse para falar baixo! Se esqueceu que o chefe valoriza a paz e o silêncio acima de tudo...?!"""
Ushiromiya Eva,"""Não é hora de ficar dizendo isso!! Deixe de ser pretensiosa e abra logo!! Tire o pai daí!!"""
Ushiromiya Natsuhi,"""O chefe quer dormir agora! Não sei o que quer tratar, mas irei ouvi‐la amanhã!"""
Ushiromiya Eva,"""Não tenho nada a tratar com você!! Só abre essa porta logo!!"""
,"Às vezes, todos os esquemas e suposições de alguém, podem se despedaçar devido a mais direta, mais simples e emocional estratégia."
,Isso é mau...
,"Se eu abrir a porta, a Eva provavelmente vai se atirar para dentro do estúdio na mesma hora."
,Não posso abrir a porta agora...!
,"No mesmo momento, o telefone tocou de repente."
,T‐Tudo bem. A duas chaves para o estúdio estão aqui.
,Ninguém pode abrir esta porta...!
,Natsuhi se afastou lentamente da porta e pegou o telefone...
Ushiromiya Natsuhi,"""A‐Alô!! É a Natsuhi!"""
Ushiromiya Krauss,"""Sou eu... Deu ruim. Quero que venha à sala de visitas, rápido."""
,Era Krauss. A tonalidade de sua voz estava tensionada.
,......O que aconteceu...?!
Ushiromiya Krauss,"""Parece que o Battler‐kun e a convidada chamada Erika.........resolveram o epitáfio da bruxa e encontraram o ouro."""
Ushiromiya Natsuhi,"""Quê? ........................ ...Isso, ...isso é verdade?!"""
Ushiromiya Krauss,"""O Rudolf, bem como os outros, já se meteram no meio. Estão dizendo que o Battler‐kun vai mostrar a todos a localização do ouro escondido..."""
Ushiromiya Natsuhi,"""Neste exato momento, a Eva‐san está do outro lado da porta, gritando para eu abrir...! Se eu abrir, ela vai se jogar para dentro do estúdio...!!"""
Ushiromiya Krauss,"""...E‐Eu entendi. Estarei aí o mais rápido possível. Não se preocupe com a Eva. Só fique onde está e não faça nada...! Vou te dar um sinal quando tiver afastado ela da porta, então saia assim que ouvi‐lo. Fique preparada...!"""
,"Logo depois, Krauss subiu as escadas, na companhia de Genji."
,"Um fervoroso debate começou entre os dois. ""Abra agora!"" ""Espere, se acalme."""
,"Em meio à isso, uma pequena batida na porta foi o sinal."
,......Krauss habilmente atraiu Eva para longe da porta e a distraiu.
,"Durante esse intervalo, Natsuhi escapuliu para fora do estúdio e rapidamente fechou a porta..."
,"Eva percebeu, e seu rosto se distorceu em total desapontamento, mas o pesado som da tranca automática já havia sido ouvido, e a porta foi selada."
Ushiromiya Eva,"""O ouro do epitáfio foi encontrado!! É natural que informemos o pai sobre isso...!! Ou por acaso... Tem algum motivo que te impede de contar isso ao pai?!"""
Ushiromiya Krauss,"""Temos rígidas ordens do pai para não acordá‐lo depois que vai para cama, independente de qual seja a circunstância. Seguir suas ordens é o dever do representante do chefe. Não concorda, Genji‐san?"""
Ronoue Genji,"""............Sim. O sono do Mestre não deve ser perturbado, independentemente da circunstância."""
Ushiromiya Eva,"""Há hora e lugar para tudo, não é mesmo...?! Quero dizer, o epitáfio foi resolvido!! O pai tem o direito de saber disso agora mesmo!"""
Ushiromiya Natsuhi,"""É claro, nós dois vamos relatar tudo ao chefe amanhã. Este é o nosso dever como representantes do chefe."""
Ushiromiya Eva,"""Quem se importa com isso?! Abram logo essa porta!! Me deixem ver o pai!! Pai, pai, consegue me ouvir? É a Eva!! Por favor, abra!!"""
Ushiromiya Eva,"""Aiaiai, me solte...!! I‐Isso dói...!!"""
Ushiromiya Krauss,"""Nós iremos informá‐lo sobre isso......! Agora pare de socar a porta......!!"""
Ushiromiya Eva,"""Ei, aiaiaiai...!! Me solta, me solta!!"""
Ronoue Genji,"""Krauss‐sama, Eva‐sama. Vocês já foram informados que o Mestre está dormindo. Por favor, contenham‐se para não perturbá‐lo ainda mais...!"""
,"Quando Genji se pronunciou com firmeza, os dois finalmente pararam de se engalfinhar."
,"Aparentou que Genji, o único que se comunicava com Kinzo desde muito jovem, ainda possuía um ar de dignidade, capaz de controlar Krauss e Eva..."
,Eva deixou seus argumentos de lado por ora.
,"Ela poderia se preocupar com isso depois que visse o ouro com seus próprios olhos. Afinal, ela mesma ainda não havia confirmado o fato."
,Natsuhi e seus cúmplices deram um jeito de lidar com a crise.
,"......Porém, o movimento dos demônios que zombaria de seus esforços já está em andamento..."
{f:5:Beatrice},"""O Battler.........resolveu o enigma do epitáfio, tem certeza......?!"""
Ushiromiya Kinzo,"""Mm. ......Embora ele tenha recebido uma grande ajuda daquela garota, Erika, foi ele quem chegou à resposta final. A Erika já proclamou que renuncia de seus direitos à Terra Dourada. ......Portanto, é Battler aquele a alcançar a Terra Dourada."""
Ronove,""".........O destino pode ser mesmo interessante às vezes. E pensar que o Battler‐sama iria chegar até aquele lugar..."""
{f:5:Virgilia},"""O que vai fazer, Beato? ......Você prometeu que iria interromper a cerimônia se o epitáfio fosse resolvido."""
Ushiromiya Kinzo,"""Mm. ...Este foi o combinado, né?"""
{f:5:Beatrice},""".........Este foi o combinado. Sim."""
Ronove,"""Ao que parece, o Battler‐sama não demonstra interesse em se tornar o mestre da Terra Dourada. ......Parece que ninguém irá se tornar nosso mestre."""
{f:5:Virgilia},"""Isto também faz parte do destino. Já faz décadas desde a primeira vez que nos manifestamos no mundo {y:0:Humano}{n:0:humano} através do nosso laço com o Lorde {f:5:Goldsmith}. ......Foi bem divertido."""
Gaap,""".........Vamos, Lia, está parecendo uma vovózinha. ......Então, o que faremos? De acordo com as regras da Riiche e do {f:5:Goldsmith}, agora que o Battler resolveu o epitáfio e decidiu que não se tornaria nosso mestre, nós finalmente estamos dispensados de nosso dever, correto?"""
Ushiromiya Kinzo,"""Corretíssimo. ......Não tenho nenhum arrependimento. Eu sempre estive preparado para ser chutado para o Cócito."""
{f:5:Beatrice},"""Espera. Não podemos deixar isso acontecer. ......Você pode não ter nenhum arrependimento, mas eu ainda sirvo à Natsuhi. Nos libertarmos de nosso dever só porque o Battler resolveu o epitáfio seria muito irresponsável. ......Bruxas não têm permissão para quebrar contratos, bem como não devem falhar em demonstrar gratidão."""
Ronove,"""......De fato. Devemos servi‐la até que a conferência familiar se encerre."""
{f:5:Virgilia},"""Nesse caso, você também não será liberado de seu dever por um tempo, Lorde {f:5:Goldsmith}. ......Talvez seja melhor esperar o decorrer dessa conferência familiar em segurança, dizer adeus à Natsuhi‐sama no último instante, ......e se possível, a recompensar por todos os seus esforços."""
Ushiromiya Kinzo,"""...............Hmm. ......Ela fez bem apoiando meu filho imbecil."""
{f:5:Beatrice},"""Não era você o anjo caído na qual uma das asas foi arrancada? Deixe a que sobrou como sendo um presente de despedida e vá."""
Ushiromiya Kinzo,"""......Hmm. ......Isso também seria adequado. É possível que a Natsuhi seja digna de carregar o peso da minha asa. ...Porém, .........estamos nos aproximando de um momento crítico. ......Sua recompensa terá que esperar. Busque superar este teste em segurança, ......Natsuhi..."""
,A montanha de ouro deixou todos sem palavras.
,"Apesar de todos terem acreditado fervorosamente na sua existência, ......ninguém era capaz de olhar para todo aquele ouro e não ficar pasmo..."
Ushiromiya Natsuhi,"""............E pensar que existia um lugar assim........."""
Ushiromiya Krauss,"""Não consigo acreditar nisso...... ......Pai, seu........."""
,Todos estavam atordoados pelo ouro.
,O primeiro a quebrar o silêncio e sair comemorando em êxtase foi Hideyoshi.
,"Rindo de forma animada, ele se agarrou à parede de ouro, e sentiu o gélido e duro toque dela em suas bochechas."
Ushiromiya Hideyoshi,"""W‐Waha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}ha{0}hahaha...!! I‐Isso é incrível! É mesmo real!!"""
Ushiromiya Rudolf,"""......Ha......ha{0}ha{0}ha{0}ha{0}ha{0}haha!! Pai, seu desgraçado, estocando todo esse ouro em um lugar ridículo desses!!"""
Ushiromiya Eva,"""Com tudo isso nós......não temos...mais nada a temer... Tudo que a vida jogar pra cima de nós, ......nós podemos superar......! Rosaaa......!!"""
Ushiromiya Rosa,"""Nee‐san...... Nee‐san...... Seremos capazes de encontrar a felicidade com isso, certo......?"""
,"Eva e Rosa começaram a andar na direção uma da outra ao mesmo tempo, e se abraçaram enquanto iam às lágrimas..."
,Êxtase e choque...admiração e suspiros.
,"Após andar em direção à pilha de ouro que causou tal mistura de emoções, ......Erika falou como se fosse a apresentadora de um programa de televisão."
Furudo Erika,""".........Se o dinheiro é tudo neste mundo, então este ouro é a personificação da felicidade. ......Meus parabéns, pessoal. Eu oro, do fundo do meu coração, para que esta descoberta enriqueça suas vidas."""
Ushiromiya Kyrie,"""Tiro meu chapéu a você...... ......E pensar que resolveria o epitáfio em um único dia, logo após chegar nesta ilha."""
Furudo Erika,""".........Se não fosse possível resolvê‐lo em um dia, então não seria possível resolver, não importando quantos dias eu investisse nele. Não é necessário mais do que um piscar de olhos para que suas pequenas células cinzentas deem a você o {i:insight​} necessário para a resolução. ......Além disso, eu não fui capaz de resolver o enigma sozinha. Peço que dirijam seus elogios ao feito alcançado pelo Battler‐san, pessoal."""
Ushiromiya Battler,"""................................."""
Furudo Erika,"""......Eu renuncio qualquer direito a esta descoberta. Meu raciocínio se provou correto, e isso já é o suficiente para me satisfazer. Portanto, eu quero dar ao Battler‐san todo o crédito pela descoberta do ouro."""
Furudo Erika,"""......Apesar de eu estar aqui, peço que continuem a discussão de vocês como se eu não estivesse. O Battler‐san chamou todos os adultos aqui, tomando cuidado para que nenhum de seus primos percebessem. Isto só pode significar uma coisa. ......Ele deve desejar que vocês conduzam a verdadeira conferência familiar."""
Ushiromiya Battler,"""......Erika. Pare de tentar estragar o show."""
Furudo Erika,"""Ora, sinto muito por isso. ............Neste caso, irei abdicar da posição de facilitadora deste processo. Pois bem, quem assumirá?"""
,"Dando de ombros, Erika olhou para todos os presentes."
,"......Após um breve momento de silêncio, Eva fez o primeiro movimento."
Ushiromiya Eva,"""Eu presumo que nenhum de nós tenha esquecido......o acordo que fizemos mais cedo."""
Ushiromiya Rudolf,"""Não. Vamos dividir entre nós quatro, 2 bilhões e meio para cada. E {i:o sucessor do chefe} fica com 10 bilhões."""
Ushiromiya Natsuhi,""".........E‐Espera um pouco! Quem decidiu que aquele que encontrasse o ouro se tornaria o sucessor?!"""
Ushiromiya Hideyoshi,"""Para aí mesmo, não vem com essa agora, Natsuhi‐san...!! Este vem sendo a base de nossa conversa o tempo todo! Dizer isso agora é vergonhoso, não acha?!"""
Ushiromiya Rosa,"""...Isso mesmo. ......Não era você que estava preocupada que um dos serviçais resolvesse o enigma, e que acabasse sendo considerado o sucessor do chefe...?"""
Ushiromiya Krauss,"""Mas não está explicitamente escrito em lugar nenhum que essa é a verdade!"""
Ushiromiya Eva,"""Você é desprezível!!! Foi assim que cada um de nós interpretou!!"""
Ushiromiya Rudolf,"""Ela está certo, aniki! Vai querer mudar de lado agora?!"""
Ushiromiya Kyrie,"""Embora nunca tenha sido escrito, eu acredito que não restam dúvidas de que esse foi o entendimento comum entre nós. Não consigo entender como você pode dizer que é completamente irrelevante."""
Ushiromiya Natsuhi,"""Você não pode simplesmente interpretar o epitáfio do chefe da forma como quiser!! Onde está escrito que aquele que encontrar o ouro vai ser o sucessor?!{n}A decisão do epitáfio cabe ao chefe. Vocês não têm o direito de decidir isso por conta própria!!"""
Ushiromiya Krauss,""".........Se acalme, Natsuhi."""
Ushiromiya Natsuhi,"""Como que vou me acalmar?! Eu realmente acho impressionante que o {nobr:Battler‐kun} tenha resolvido o epitáfio! Acredito que seja justo que ele receba algum tipo de recompensa. Mas dizer que essa recompensa deve ser metade do que está aqui é claramente um comportamento divergente, e o argumento de que o descobridor automaticamente se torna o sucessor é algo que eu jamais permitirei sem uma contenda...!!"""
Ushiromiya Rosa,"""I‐Isso é covardia, Natsuhi nee‐san...! Vai na contramão de tudo que discutimos mais cedo...!"""
Ushiromiya Rudolf,"""Eu concordo! Pode até não estar escrito, mas o fato de que a pessoa que resolvesse o epitáfio se tornaria o sucessor sempre foi nossa maior suposição não escrita...! Não é muito justo começar a reclamar disso no último segundo, é?! Sim, não é nada justo!!"""
Ushiromiya Natsuhi,"""De qualquer forma!! Este ouro pertence ao pai!! Não podemos decidir como dividir ele sem a permissão do pai!!"""
Ushiromiya Hideyoshi,"""Sem chance!! Isso é covardia, Natsuhi‐san! Nós estamos falando disso o dia todo! Está dizendo que toda aquela conversa foi papo furado?! Nem vem com essa agora!!"""
Ushiromiya Eva,"""Por que simplesmente não votamos?! O Battler‐kun, aquele que encontrou o ouro, é o sucessor do chefe! Meu marido e eu não temos nenhuma objeção!! E quanto a vocês, Rudolf, Kyrie‐san? Rosa?!"""
Ushiromiya Rudolf,"""Sem objeções. Mandou bem, Battler!!"""
